"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF

0	0,5600967	0,2065908	0,4852157	0,6124620	0,7339061	1,0173116	0,7653388	0,8375585	0,4231247	0,8618818	1,0483658	0,9232449	0,6236752	0,9864146	0,7565256	0,6282470	0,3830982	0,0543313	0,9466988	0,2374628	0,4384205	0,4154814	0,0129113	0,1410081	0,5526293	0,5232871	0,8176112	0,4950229	0,3016902	0,9700298	0,7908216	1,0506278
20	0,4753554	0,2452360	0,4889248	0,6043622	0,7672879	0,8850882	0,8141097	0,7371753	0,4378124	0,7856853	0,9938918	0,8440818	0,6673713	0,9725374	0,7133244	0,5685082	0,4132407	0,2505769	0,7137576	0,3235379	0,5307610	0,4299615	0,0134279	0,1960190	0,6474136	0,3771512	0,7490646	0,4658418	0,2649723	0,9569622	0,7307312	0,6234125
40	0,4659306	0,2128816	0,4941580	0,6652896	0,8228675	0,8721313	0,7703317	0,7158921	0,4459974	0,7955568	1,0278410	0,8112252	0,7700291	0,9850627	0,7350063	0,5736624	0,3594253	0,3990610	0,4545437	0,3308645	0,6029717	0,4536239	0,0149539	0,1241838	0,6340939	0,3081570	0,7317056	0,4201871	0,2693417	0,9273304	0,7443183	0,3847090
60	0,4473986	0,2255051	0,5666652	0,6501451	0,7944476	0,8849653	0,6908960	0,6532874	0,4169902	0,8225681	1,0495735	0,8731045	0,8076345	1,0315333	0,8022294	0,5783269	0,4026246	0,4616305	0,2748059	0,3082245	0,6352235	0,5019594	0,0180627	0,1516016	0,6549586	0,2264504	0,7551687	0,3759549	0,2537153	0,9708173	0,8141170	0,2881613
80	0,4506286	0,2013786	0,5928779	0,6943635	0,7901396	0,9409932	0,8163183	0,6753619	0,4067438	0,7603848	0,9973803	0,8497010	0,8071365	1,0139085	0,8229779	0,5515844	0,3697832	0,5659707	0,1952043	0,3331800	0,6873050	0,4867402	0,0097507	0,1362138	0,6727603	0,2012106	0,7655830	0,3824863	0,2392703	0,9512244	0,8122538	0,1972210
100	0,4620444	0,2036409	0,5769923	0,6633789	0,8323896	0,8810277	0,8362534	0,6497001	0,4365884	0,7886435	0,9658922	0,9293556	0,8362707	0,9716361	0,8604363	0,5989453	0,4295743	0,5042823	0,1422813	0,3684358	0,6751764	0,5234246	0,0122408	0,1571069	0,7351750	0,1717246	0,7247622	0,3473345	0,2507113	0,8890922	0,8170064	0,1454080
120	0,5380222	0,1925229	0,4819324	0,6298130	0,8571943	0,9047933	0,9174387	0,6116076	0,4205752	0,7962746	0,9557832	0,9046641	0,8515482	1,0155970	0,8356415	0,5944378	0,3918019	0,5281064	0,1323630	0,3578558	0,6742975	0,4974800	0,0147360	0,1335229	0,7710088	0,1818004	0,7602916	0,3440369	0,2578404	0,9232733	0,8571263	0,1343892
140	0,4908670	0,2001918	0,4700243	0,6699230	0,8665417	0,8711224	0,8798462	0,6396460	0,4742906	0,7463218	0,9928128	0,9475433	0,9160784	0,9989957	0,8776964	0,5931327	0,3544574	0,5607648	0,1204259	0,3697180	0,7348613	0,5419471	0,0176526	0,1813379	0,7385696	0,1713798	0,6956513	0,3180102	0,2647173	0,9222769	0,8036435	0,1501989
160	0,4960062	0,1890724	0,4645809	0,6146686	0,8900038	0,8912005	0,7909338	0,5709616	0,5079481	0,7495152	1,0195322	0,8946035	0,9169105	0,9711050	0,9109435	0,6337399	0,4207407	0,5239440	0,0829866	0,3063053	0,6743394	0,5001894	0,0117262	0,1363828	0,6970034	0,1713517	0,7220242	0,3444991	0,2798845	0,9709310	0,7711260	0,1705928
180	0,4936106	0,1850746	0,4726486	0,6039671	0,8322703	0,9391920	0,8115578	0,5407460	0,4639860	0,7684520	0,9805542	0,9613598	0,8667608	1,0288511	0,9161457	0,6404853	0,3927554	0,6072394	0,0747754	0,2703165	0,6507351	0,5334647	0,0102119	0,1223852	0,6948104	0,1387837	0,7019369	0,3719715	0,2546629	0,9772131	0,7639870	0,1330672
200	0,5339253	0,1620303	0,4464212	0,5952221	0,8189899	0,8881673	0,8298210	0,6104655	0,4916464	0,8412644	0,9561576	0,9450410	0,9168415	0,8524926	0,9038318	0,6199321	0,3798838	0,6086247	0,0749213	0,2756013	0,6412149	0,4967001	0,0067910	0,1175291	0,7495480	0,1677274	0,7098903	0,3464766	0,2544908	0,9835653	0,8098001	0,1270163
220	0,5539274	0,1642973	0,4795259	0,5458465	0,8010979	0,8434256	0,8589757	0,5971697	0,4987095	0,8025402	0,9728045	0,8399641	0,8604718	0,9314643	0,9180562	0,5745691	0,3753226	0,6308613	0,0608268	0,2887732	0,6511048	0,4935002	0,0145111	0,1343156	0,7109050	0,1538522	0,7248381	0,3479664	0,2480648	1,0003987	0,8504060	0,1227843
