"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF

0	0,4827886	0,1828971	0,5234478	0,6792144	0,8379060	0,9209434	0,8538767	0,7272488	0,4734500	0,8155484	1,0999121	0,8783262	0,8320380	1,0600097	0,8158874	0,5549477	0,3300865	0,0415523	0,9135232	0,2678838	0,4517625	0,4285465	0,0129716	0,1244144	0,5399138	0,5325818	0,7716190	0,4986579	0,3220009	0,9254633	0,7534215	1,0414291
20	0,4918144	0,2142057	0,4082566	0,6392847	0,7611284	0,9116033	0,7937918	0,7316075	0,4686321	0,8077278	1,0520216	0,8131327	0,6346337	1,0442432	0,7194950	0,5487015	0,3584731	0,0954270	0,7789270	0,3419070	0,5344988	0,4873276	0,0128575	0,1506682	0,5754367	0,4804918	0,8120661	0,4179824	0,2911155	0,8982264	0,7178886	0,9538387
40	0,5183139	0,1786450	0,4233559	0,6874563	0,7362496	0,8726429	0,8509248	0,7095626	0,4686848	0,7584937	1,0145312	0,7717841	0,6621837	0,9973835	0,6555564	0,5572348	0,3871966	0,1895611	0,7056735	0,3401212	0,5841305	0,4636134	0,0138307	0,1307015	0,5873052	0,4181128	0,7616448	0,4522380	0,2346550	0,9133874	0,7313288	0,7150749
60	0,5382628	0,1986074	0,4303265	0,6413012	0,7838811	0,8888989	0,8374082	0,6991597	0,4712794	0,8277447	1,0463463	0,7720437	0,7237353	1,0346185	0,6671364	0,5741097	0,3554804	0,2802255	0,5522648	0,3269152	0,5721284	0,5041849	0,0147144	0,1366269	0,6113454	0,3563835	0,7406284	0,3763435	0,2395714	0,9479416	0,7861223	0,5380904
80	0,5325085	0,2010923	0,4330956	0,6150053	0,7868787	0,9120429	0,7438656	0,6681692	0,4389552	0,7918012	1,0049984	0,8019169	0,6470551	1,0387128	0,6965261	0,5656692	0,3620830	0,3975210	0,4489308	0,3169696	0,5926090	0,5373954	0,0174368	0,1342981	0,6192460	0,3042706	0,7185618	0,3594171	0,2300896	0,9122992	0,8040479	0,3937427
100	0,4924607	0,2415282	0,5482219	0,6657816	0,8713115	0,9230711	0,7308019	0,6723751	0,4179074	0,7668685	0,9908684	0,9560692	0,7159627	0,9947036	0,7596543	0,5429196	0,3818374	0,4712018	0,3183235	0,3494258	0,6438716	0,4649754	0,0097867	0,1647492	0,6665949	0,2964935	0,7385770	0,3254358	0,2246128	0,8927663	0,8164679	0,2610155
120	0,5458402	0,2305690	0,5531029	0,6454372	0,8362315	0,9521239	0,7757373	0,6433725	0,4709461	0,8444655	0,9670345	0,9500706	0,7518207	1,0326438	0,8309203	0,5898745	0,4081627	0,5261858	0,2348222	0,3836162	0,7034295	0,4975203	0,0114728	0,1685985	0,7077822	0,2540489	0,7701350	0,2932271	0,2598581	0,8962053	0,8074574	0,2249421
140	0,5321689	0,1973816	0,5277666	0,6722413	0,8750273	0,9775455	0,8277551	0,6665952	0,4927299	0,8988669	0,9948667	0,9510742	0,8078184	1,0643727	0,9034607	0,5913827	0,4211092	0,5186076	0,1740731	0,3490951	0,7043173	0,5278850	0,0138804	0,1587004	0,7714290	0,2396422	0,7526318	0,2890935	0,2533695	0,9197431	0,8751788	0,1719258
160	0,5435271	0,2057435	0,4762641	0,6502254	0,8430963	0,9810415	0,8352049	0,6783099	0,5041283	0,8922080	0,9827559	0,8349669	0,8456679	1,0431279	0,8818878	0,5982760	0,4522042	0,5154822	0,1486324	0,4080243	0,7037536	0,5188913	0,0194984	0,1504530	0,7460523	0,2207004	0,7617083	0,3273210	0,2902603	0,8514006	0,8732185	0,1766030
