"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF

0	0,4876555	0,1941916	0,4595439	0,6469937	0,8424405	1,0000000	0,8291040	0,8187942	0,4031944	0,8930290	0,9781013	0,8980726	0,6353967	0,9971521	0,7869989	0,5791661	0,3700958	0,0468565	0,9967515	0,2913821	0,4263165	0,4514275	0,0095969	0,1555879	0,5769732	0,5034227	0,7483318	0,4658169	0,3436135	0,9348957	0,7258238	0,9956473
20	0,4876579	0,1941997	0,4595331	0,6471550	0,8414273	0,9425013	0,8291058	0,7313832	0,4059523	0,8890369	0,9780293	0,8971068	0,7382269	0,9971527	0,8216054	0,5790052	0,3700889	0,2364030	0,6601842	0,2913730	0,5283342	0,4514134	0,0095969	0,1448830	0,6043515	0,3805174	0,7480730	0,4624359	0,3417479	0,9510163	0,7295572	0,6016888
40	0,4876594	0,1942064	0,4595242	0,6472910	0,8364686	0,9132119	0,8291065	0,6795975	0,4184907	0,8717921	0,9775169	0,8930719	0,8063041	0,9971505	0,8423213	0,5782342	0,3700844	0,3614230	0,4450559	0,2913668	0,5869604	0,4514037	0,0095969	0,1437639	0,6221355	0,3008764	0,7466656	0,4473232	0,3326743	0,9614448	0,7452661	0,3851607
60	0,4876602	0,1942117	0,4595168	0,6474059	0,8278139	0,8982921	0,8291065	0,6489173	0,4396256	0,8439922	0,9765459	0,8869043	0,8510015	0,9971425	0,8541182	0,5769177	0,3700815	0,4438828	0,3075495	0,2913625	0,6206508	0,4513973	0,0095969	0,1436455	0,6336872	0,2493215	0,7440635	0,4224651	0,3164924	0,9678452	0,7690615	0,2661249
80	0,4876607	0,1942161	0,4595108	0,6475028	0,8170342	0,8906921	0,8291063	0,6307409	0,4646982	0,8125142	0,9752353	0,8801441	0,8800651	0,9971257	0,8604812	0,5753110	0,3700797	0,4982712	0,2196576	0,2913596	0,6400116	0,4513931	0,0095969	0,1436321	0,6411906	0,2159790	0,7406726	0,3934571	0,2959538	0,9715471	0,7945816	0,2006660
100	0,4876608	0,1942196	0,4595058	0,6475845	0,8056408	0,8868206	0,8291059	0,6199723	0,4894298	0,7830053	0,9737170	0,8738323	0,8987133	0,9970993	0,8636816	0,5736419	0,3700785	0,5341444	0,1634786	0,2913576	0,6511374	0,4513903	0,0095969	0,1436299	0,6460643	0,1944315	0,7369813	0,3648918	0,2739875	0,9735343	0,8178117	0,1646570
120	0,4876608	0,1942224	0,4595017	0,6476535	0,7946795	0,8848486	0,8291056	0,6135923	0,5111830	0,7583239	0,9720995	0,8684312	0,9104482	0,9970642	0,8651210	0,5720555	0,3700778	0,5578053	0,1275698	0,2913563	0,6575310	0,4513886	0,0095969	0,1436291	0,6492300	0,1805136	0,7333848	0,3393500	0,2527379	0,9744867	0,8371017	0,1448412
140	0,4876607	0,1942247	0,4594984	0,6477117	0,7847258	0,8838440	0,8291053	0,6098125	0,5288962	0,7390868	0,9704631	0,8640176	0,9176197	0,9970225	0,8656266	0,5706222	0,3700774	0,5734115	0,1046176	0,2913554	0,6612052	0,4513874	0,0095969	0,1436286	0,6512861	0,1715262	0,7301308	0,3178002	0,2334490	0,9748465	0,8522318	0,1339326
160	0,4876606	0,1942265	0,4594956	0,6477607	0,7760115	0,8833323	0,8291052	0,6075731	0,5425547	0,7247342	0,9688640	0,8604829	0,9218054	0,9969768	0,8656668	0,5693633	0,3700771	0,5837049	0,0899469	0,2913547	0,6633165	0,4513867	0,0095969	0,1436283	0,6526216	0,1657232	0,7273343	0,3002658	0,2166783	0,9748866	0,8636539	0,1279253
