"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF

0	0,4876561	0,1941666	0,4596072	0,6465838	0,8422232	1,0000000	0,8290495	0,8187820	0,4033070	0,8929994	0,9778617	0,8979931	0,6338826	0,9971467	0,7869661	0,5791237	0,3701289	0,0468588	0,9967518	0,2914211	0,4263378	0,4514490	0,0095971	0,1556087	0,5772832	0,5034301	0,7482456	0,4656674	0,3431871	0,9347662	0,7258404	0,9956473
20	0,4876563	0,1941799	0,4595825	0,6468099	0,8421822	0,9844940	0,8290648	0,7895997	0,4035712	0,8925172	0,9779496	0,8978976	0,6515931	0,9971491	0,7950711	0,5791210	0,3701140	0,0869659	0,9086502	0,2914018	0,4669926	0,4514289	0,0095970	0,1523382	0,5821978	0,4775659	0,7482511	0,4652263	0,3431229	0,9381846	0,7265126	0,8796229
40	0,4876572	0,1941905	0,4595632	0,6470004	0,8407371	0,9578492	0,8290762	0,7403506	0,4065511	0,8879074	0,9778894	0,8967294	0,6888508	0,9971503	0,8105945	0,5789053	0,3701028	0,1686385	0,7413192	0,2913877	0,5293370	0,4514146	0,0095970	0,1488233	0,5925987	0,4252111	0,7477763	0,4604440	0,3405974	0,9450746	0,7324677	0,6803762
60	0,4876581	0,1941990	0,4595479	0,6471609	0,8366824	0,9338989	0,8290845	0,6967568	0,4147678	0,8758650	0,9775565	0,8937935	0,7313735	0,9971488	0,8261203	0,5783013	0,3700947	0,2573226	0,5729504	0,2913775	0,5793786	0,4514047	0,0095970	0,1466333	0,6042388	0,3687577	0,7464076	0,4480490	0,3333590	0,9524207	0,7464969	0,5014185
80	0,4876589	0,1942059	0,4595356	0,6472962	0,8299030	0,9159540	0,8290905	0,6644270	0,4285572	0,8566095	0,9769023	0,8893011	0,7719217	0,9971427	0,8388740	0,5773002	0,3700890	0,3377668	0,4313587	0,2913702	0,6133191	0,4513980	0,0095969	0,1453572	0,6151089	0,3179334	0,7440961	0,4284819	0,3209766	0,9588552	0,7665935	0,3674485
100	0,4876596	0,1942114	0,4595258	0,6474103	0,8210738	0,9036327	0,8290948	0,6423400	0,4464588	0,8328213	0,9759479	0,8839246	0,8072994	0,9971299	0,8483166	0,5760077	0,3700850	0,4046654	0,3220621	0,2913651	0,6347135	0,4513936	0,0095969	0,1446221	0,6244118	0,2760034	0,7410793	0,4044399	0,3045317	0,9639281	0,7890494	0,2755471
120	0,4876600	0,1942158	0,4595179	0,6475065	0,8111420	0,8955957	0,8290978	0,6279314	0,4663010	0,8077600	0,9747523	0,8783541	0,8365306	0,9971094	0,8548361	0,5745642	0,3700822	0,4575157	0,2418052	0,2913615	0,6476973	0,4513907	0,0095969	0,1441994	0,6319736	0,2431551	0,7377077	0,3789895	0,2857501	0,9676523	0,8107521	0,2156590
140	0,4876603	0,1942194	0,4595115	0,6475877	0,8009774	0,8905271	0,8290999	0,6187981	0,4860623	0,7840147	0,9733880	0,8730861	0,8597806	0,9970812	0,8590939	0,5730930	0,3700804	0,4978759	0,1847552	0,2913590	0,6554099	0,4513888	0,0095969	0,1439565	0,6379146	0,2182879	0,7343111	0,3545219	0,2663197	0,9702358	0,8298612	0,1779270
160	0,4876604	0,1942222	0,4595063	0,6476562	0,7912211	0,8874057	0,8291014	0,6131179	0,5042880	0,7631150	0,9719251	0,8683898	0,8777363	0,9970464	0,8617338	0,5716810	0,3700791	0,5279651	0,1451083	0,2913572	0,6599336	0,4513876	0,0095969	0,1438168	0,6424710	0,1999154	0,7311318	0,3324872	0,2475542	0,9719367	0,8456479	0,1547133
180	0,4876605	0,1942245	0,4595021	0,6477139	0,7822676	0,8855170	0,8291024	0,6096312	0,5201593	0,7456643	0,9704245	0,8643581	0,8912631	0,9970067	0,8632789	0,5703788	0,3700782	0,5499980	0,1180068	0,2913560	0,6625666	0,4513867	0,0095969	0,1437365	0,6459030	0,1865858	0,7283115	0,3135338	0,2303172	0,9729955	0,8581068	0,1406812
200	0,4876605	0,1942264	0,4594986	0,6477626	0,7743086	0,8843895	0,8291031	0,6075107	0,5333817	0,7316455	0,9689357	0,8609760	0,9012252	0,9969640	0,8641162	0,5692092	0,3700776	0,5659093	0,0997104	0,2913551	0,6640918	0,4513862	0,0095969	0,1436903	0,6484523	0,1770501	0,7259082	0,2977642	0,2150750	0,9736091	0,8676101	0,1323134
220	0,4876605	0,1942278	0,4594958	0,6478037	0,7673929	0,8837237	0,8291036	0,6062297	0,5440188	0,7207044	0,9674967	0,8581751	0,9084002	0,9969205	0,8645147	0,5681765	0,3700772	0,5772733	0,0874771	0,2913545	0,6649727	0,4513858	0,0095969	0,1436637	0,6503251	0,1703045	0,7239217	0,2849665	0,2019935	0,9739272	0,8746722	0,1273765
240	0,4876604	0,1942290	0,4594936	0,6478383	0,7614808	0,8833338	0,8291040	0,6054596	0,5523380	0,7123514	0,9661351	0,8558701	0,9134473	0,9968777	0,8646530	0,5672753	0,3700769	0,5853168	0,0793598	0,2913541	0,6654804	0,4513855	0,0095969	0,1436483	0,6516885	0,1655761	0,7223177	0,2747798	0,1910353	0,9740578	0,8798137	0,1244888
260	0,4876604	0,1942300	0,4594918	0,6478674	0,7564849	0,8831072	0,8291042	0,6049984	0,5586957	0,7060825	0,9648693	0,8539770	0,9169029	0,9968369	0,8646455	0,5664946	0,3700767	0,5909677	0,0740066	0,2913538	0,6657728	0,4513852	0,0095969	0,1436395	0,6526736	0,1622866	0,7210457	0,2667966	0,1820388	0,9740761	0,8834958	0,1228118
280	0,4876604	0,1942307	0,4594903	0,6478920	0,7522976	0,8829762	0,8291044	0,6047229	0,5634617	0,7014407	0,9637101	0,8524219	0,9191912	0,9967991	0,8645632	0,5658222	0,3700766	0,5949127	0,0704937	0,2913535	0,6659410	0,4513851	0,0095969	0,1436344	0,6533810	0,1600127	0,7200511	0,2606211	0,1747781	0,9740321	0,8860977	0,1218435
300	0,4876604	0,1942313	0,4594892	0,6479127	0,7488081	0,8829009	0,8291046	0,6045586	0,5669771	0,6980406	0,9626622	0,8511428	0,9206394	0,9967648	0,8644480	0,5652453	0,3700764	0,5976522	0,0681979	0,2913533	0,6660377	0,4513849	0,0095969	0,1436314	0,6538861	0,1584494	0,7192819	0,2558966	0,1690039	0,9739581	0,8879163	0,1212873
320	0,4876604	0,1942318	0,4594882	0,6479302	0,7459115	0,8828578	0,8291047	0,6044609	0,5695345	0,6955717	0,9617255	0,8500889	0,9214952	0,9967341	0,8643241	0,5647523	0,3700763	0,5995456	0,0667026	0,2913532	0,6660932	0,4513848	0,0095969	0,1436297	0,6542451	0,1573796	0,7186922	0,2523172	0,1644706	0,9738740	0,8891757	0,1209690
340	0,4876604	0,1942322	0,4594875	0,6479449	0,7435135	0,8828332	0,8291048	0,6044027	0,5713729	0,6937916	0,9608966	0,8492194	0,9219427	0,9967072	0,8642043	0,5643322	0,3700763	0,6008491	0,0657313	0,2913531	0,6661252	0,4513848	0,0095969	0,1436287	0,6544993	0,1566506	0,7182432	0,2496287	0,1609515	0,9737911	0,8900411	0,1207877
360	0,4876604	0,1942325	0,4594869	0,6479573	0,7415319	0,8828192	0,8291048	0,6043682	0,5726808	0,6925156	0,9601692	0,8485012	0,9221166	0,9966838	0,8640950	0,5639754	0,3700762	0,6017433	0,0651020	0,2913530	0,6661435	0,4513847	0,0095969	0,1436282	0,6546786	0,1561555	0,7179031	0,2476249	0,1582471	0,9737155	0,8906319	0,1206846
380	0,4876604	0,1942328	0,4594864	0,6479678	0,7398961	0,8828113	0,8291049	0,6043477	0,5736031	0,6916055	0,9595359	0,8479075	0,9221136	0,9966637	0,8639986	0,5636733	0,3700762	0,6023548	0,0646950	0,2913530	0,6661541	0,4513847	0,0095969	0,1436278	0,6548047	0,1558204	0,7176466	0,2461419	0,1561874	0,9736499	0,8910330	0,1206262
400	0,4876604	0,1942330	0,4594861	0,6479766	0,7385468	0,8828068	0,8291049	0,6043356	0,5742482	0,6909588	0,9589881	0,8474165	0,9220021	0,9966465	0,8639153	0,5634181	0,3700762	0,6027718	0,0644323	0,2913530	0,6661601	0,4513846	0,0095969	0,1436276	0,6548931	0,1555942	0,7174538	0,2450512	0,1546311	0,9735947	0,8913040	0,1205932
420	0,4876604	0,1942331	0,4594858	0,6479840	0,7374343	0,8828042	0,8291049	0,6043283	0,5746963	0,6905010	0,9585170	0,8470104	0,9218293	0,9966319	0,8638444	0,5632031	0,3700761	0,6030555	0,0642629	0,2913529	0,6661636	0,4513846	0,0095969	0,1436275	0,6549550	0,1554419	0,7173093	0,2442536	0,1534637	0,9735496	0,8914863	0,1205745
440	0,4876604	0,1942333	0,4594855	0,6479903	0,7365172	0,8828028	0,8291049	0,6043241	0,5750056	0,6901777	0,9581140	0,8466745	0,9216272	0,9966196	0,8637847	0,5630225	0,3700761	0,6032480	0,0641538	0,2913529	0,6661656	0,4513846	0,0095969	0,1436274	0,6549981	0,1553396	0,7172012	0,2436734	0,1525937	0,9735133	0,8916085	0,1205640
460	0,4876604	0,1942334	0,4594853	0,6479956	0,7357613	0,8828020	0,8291049	0,6043215	0,5752179	0,6899499	0,9577709	0,8463967	0,9214168	0,9966093	0,8637346	0,5628711	0,3700761	0,6033785	0,0640836	0,2913529	0,6661667	0,4513846	0,0095969	0,1436274	0,6550282	0,1552710	0,7171205	0,2432532	0,1519491	0,9734846	0,8916902	0,1205581
480	0,4876604	0,1942334	0,4594852	0,6480000	0,7351382	0,8828016	0,8291049	0,6043200	0,5753629	0,6897898	0,9574798	0,8461669	0,9212113	0,9966007	0,8636928	0,5627445	0,3700761	0,6034666	0,0640386	0,2913529	0,6661674	0,4513846	0,0095969	0,1436274	0,6550491	0,1552251	0,7170603	0,2429503	0,1514741	0,9734621	0,8917446	0,1205548
500	0,4876604	0,1942335	0,4594850	0,6480038	0,7346246	0,8828013	0,8291050	0,6043191	0,5754615	0,6896775	0,9572337	0,8459770	0,9210186	0,9965935	0,8636581	0,5626387	0,3700761	0,6035262	0,0640096	0,2913529	0,6661677	0,4513846	0,0095969	0,1436274	0,6550636	0,1551945	0,7170155	0,2427327	0,1511257	0,9734448	0,8917808	0,1205529
520	0,4876604	0,1942336	0,4594849	0,6480069	0,7342012	0,8828012	0,8291050	0,6043186	0,5755282	0,6895987	0,9570264	0,8458200	0,9208427	0,9965875	0,8636293	0,5625505	0,3700761	0,6035663	0,0639910	0,2913529	0,6661680	0,4513846	0,0095969	0,1436273	0,6550736	0,1551740	0,7169821	0,2425770	0,1508714	0,9734315	0,8918049	0,1205519
540	0,4876604	0,1942336	0,4594849	0,6480096	0,7338522	0,8828011	0,8291050	0,6043183	0,5755732	0,6895436	0,9568522	0,8456903	0,9206854	0,9965825	0,8636055	0,5624771	0,3700761	0,6035933	0,0639791	0,2913529	0,6661681	0,4513846	0,0095969	0,1436273	0,6550806	0,1551604	0,7169573	0,2424658	0,1506864	0,9734214	0,8918208	0,1205513
560	0,4876604	0,1942336	0,4594848	0,6480119	0,7335644	0,8828010	0,8291050	0,6043181	0,5756035	0,6895051	0,9567061	0,8455832	0,9205468	0,9965784	0,8635858	0,5624161	0,3700761	0,6036115	0,0639715	0,2913529	0,6661682	0,4513846	0,0095969	0,1436273	0,6550854	0,1551514	0,7169388	0,2423867	0,1505524	0,9734138	0,8918313	0,1205510
580	0,4876604	0,1942337	0,4594847	0,6480138	0,7335852	0,8983071	0,8291050	0,6335085	0,5750767	0,6906224	0,9566132	0,8457105	0,8999123	0,9965751	0,8548127	0,5624001	0,3700761	0,5635156	0,1520680	0,2913529	0,6254950	0,4513846	0,0095969	0,1468879	0,6500690	0,1810524	0,7170425	0,2428872	0,1507433	0,9674560	0,8913758	0,2360825
600	0,4876604	0,1942337	0,4594847	0,6480154	0,7357537	0,9249518	0,8291050	0,6827630	0,5701431	0,7001849	0,9567924	0,8474365	0,8561544	0,9965736	0,8381670	0,5626769	0,3700761	0,4818505	0,3193957	0,2913529	0,5631378	0,4513846	0,0095969	0,1503957	0,6395915	0,2334603	0,7180387	0,2479061	0,1533842	0,9561444	0,8870899	0,4346585
