"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF

0	0,3508960	0,1517793	0,3682201	0,4821342	0,6066810	0,7043204	0,6176556	0,4977313	0,3936966	0,5738569	0,7815923	0,5208411	0,6228901	0,7215200	0,5263696	0,3649626	0,1948005	0,0278184	0,6829840	0,1845125	0,3112038	0,2927589	0,0096825	0,0870144	0,4512129	0,3752919	0,5640967	0,3570158	0,1688057	0,8215146	0,4706047	0,7603134
20	0,3853393	0,1432707	0,2912152	0,4313269	0,5017620	0,6115801	0,5956606	0,5512275	0,3710107	0,5596821	0,7374297	0,6088514	0,4558516	0,7568548	0,7069763	0,3712115	0,2510340	0,0739559	0,5332010	0,2640978	0,3461640	0,3446874	0,0146101	0,1427292	0,4088996	0,3447384	0,5558374	0,3098990	0,2266371	0,6004129	0,4975438	0,6906164
40	0,3216488	0,1218414	0,2912469	0,6125511	0,5052865	0,6887140	0,5103042	0,4898834	0,3117299	0,5328458	0,8102851	0,5200123	0,5095003	0,7981525	0,4102756	0,4712594	0,2263270	0,1553262	0,5387824	0,2947825	0,3741522	0,3362736	0,0149776	0,0666380	0,3425411	0,3800639	0,4790342	0,4002128	0,1835332	0,6600154	0,5161956	0,4481819
60	0,3320470	0,1333127	0,2973888	0,3883551	0,6536487	0,7969855	0,5977055	0,5023638	0,3180313	0,5376174	0,7079138	0,6106385	0,4580000	0,6769491	0,5397960	0,4207514	0,2805418	0,1334383	0,4029849	0,2083898	0,4569587	0,3410653	0,0069334	0,1343126	0,4554484	0,2554970	0,5006236	0,2936075	0,1761977	0,7084373	0,5696727	0,3479194
80	0,3813122	0,1256489	0,3264116	0,4760263	0,5705675	0,6165843	0,5427600	0,4891269	0,2837027	0,5408289	0,6982815	0,4670352	0,4152007	0,7555750	0,5319468	0,4174629	0,2767993	0,3445633	0,3144384	0,2370325	0,4689873	0,3884023	0,0198926	0,0574741	0,4182898	0,2195643	0,5197674	0,2087052	0,1851803	0,7116956	0,5572647	0,2674645
100	0,3952265	0,1708488	0,3932074	0,5254103	0,6208703	0,5755047	0,5829851	0,4799965	0,3040750	0,5093195	0,8779543	0,6246094	0,4588249	0,7798041	0,5325515	0,3905031	0,2219320	0,4301566	0,2125113	0,2592458	0,3935280	0,3331727	0,0065500	0,0772578	0,5022663	0,2170265	0,5495610	0,2137726	0,1616585	0,7057779	0,6236537	0,2014693
120	0,3714784	0,1337475	0,3687123	0,3860327	0,5408425	0,7607624	0,5276854	0,4481540	0,3200638	0,6115635	0,6743980	0,6758961	0,5676230	0,6960672	0,6261779	0,4082412	0,3029179	0,3867144	0,1906601	0,2412041	0,5503286	0,3579938	0,0053653	0,1143517	0,4974976	0,1866011	0,5674070	0,2003466	0,2192783	0,7241954	0,5823345	0,1742820
140	0,2714990	0,1712415	0,3785472	0,5168095	0,6842453	0,7728247	0,6200537	0,5319766	0,3049141	0,7183149	0,7063473	0,7261949	0,5984038	0,6680800	0,5583695	0,4208605	0,3472574	0,3282031	0,0898323	0,2529561	0,5230540	0,3026326	0,0181599	0,1104094	0,4713408	0,2163871	0,5211671	0,1941087	0,2349573	0,6766914	0,5725188	0,1601663
160	0,4884407	0,1613346	0,2938901	0,5013924	0,5150888	0,6339098	0,6939763	0,4738569	0,3547090	0,6194426	0,5977270	0,4993827	0,6039082	0,8087283	0,5376442	0,4766700	0,3377381	0,4227403	0,1051046	0,2711325	0,4499171	0,2899015	0,0284729	0,0894296	0,6144236	0,1456684	0,4506767	0,3111024	0,1590754	0,5699065	0,6447549	0,1116546
