"Time"	betI	arcA	lldR	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	hdeA	yhiD	hdeB	rutF	rutE	rutA	rutG	rutD	rutB	rutC	gadC	cadA	gadB	fadL	cadB	sra	wza	wcaA	wzb	wzc	osmB	nemA	lldP	wcaB	betA	betB	lldD	rprA	bdm	betT	gadY	treB	hdeD	slp	treC	dctR	yjbE	yjbF

0	0,2879887	0,5932266	0,3253167	0,3005202	0,6546325	0,4707223	0,1921407	0,2317114	0,3403362	0,5313635	0,7401363	0,7563995	0,7560070	0,0185177	0,7234234	0,7164029	0,7337712	0,1795157	0,5593990	0,5127168	0,6721406	0,4616348	0,3379136	0,2093391	0,0255148	0,2467708	0,5234156	0,0166150	0,4446242	0,6795123	0,6836573	0,3530825	0,5516036	0,7203036	0,6022112	0,7752387	0,2474402	0,1244196	0,6337674	0,1231403	0,4169753	0,6647330	0,5842819	0,2583338	0,6008011	0,5169764	0,6532383	0,7053189	0,2464932	0,5547956	0,1427272	0,2206281	0,2561585	0,5990011	0,4259803	0,1848759	0,4138498	0,3863586	0,6490984	0,3405676	0,1732571	0,4276848	0,7432546	0,5841326
20	0,1956847	0,7562447	0,3162414	0,2648827	0,7194424	0,3462357	0,1969874	0,3349748	0,3732341	0,6546389	0,6134388	0,6820888	0,6813867	0,0336407	0,6049130	0,6864325	0,6821208	0,1859338	0,4595668	0,4008599	0,6959968	0,5991399	0,2915813	0,2069487	0,0251064	0,3018176	0,4115261	0,0394314	0,4630783	0,5754327	0,6561800	0,5820074	0,5537537	0,6312928	0,6045548	0,7276279	0,2970580	0,1585955	0,7439393	0,2057670	0,6184950	0,6008619	0,4030082	0,2326614	0,6527639	0,5423126	0,6094933	0,7856682	0,2674290	0,4745983	0,1220103	0,1999335	0,2504336	0,5403489	0,4567016	0,1054265	0,4884032	0,3036526	0,6506052	0,2890680	0,1479802	0,2927565	0,7414626	0,5868019
40	0,1231517	0,5727367	0,2421448	0,2487137	0,7452135	0,3892467	0,2066616	0,3597525	0,3076495	0,5417778	0,6378399	0,7360314	0,8005111	0,0455730	0,6136945	0,7730119	0,6627158	0,1688719	0,5575147	0,4803477	0,8028287	0,5088242	0,3923712	0,2218257	0,0415413	0,4687141	0,5345268	0,0395685	0,5009271	0,5046407	0,6125634	0,4325739	0,5693049	0,6796105	0,6093954	0,6784513	0,3044149	0,1355947	0,7442813	0,1791216	0,5558707	0,5960905	0,4605235	0,1760314	0,6565670	0,5401100	0,7130003	0,7689962	0,3366314	0,4437751	0,1524785	0,2402053	0,3262377	0,7233933	0,4614148	0,1508754	0,5513706	0,3978431	0,6280012	0,3235222	0,2047359	0,2820181	0,6332039	0,5676697
60	0,0745323	0,6730372	0,2462423	0,2982876	0,7351097	0,4187371	0,1606585	0,4055457	0,3457381	0,5282656	0,7055360	0,6953161	0,7462130	0,0586863	0,5603615	0,5590803	0,8245569	0,2018437	0,5456809	0,4210131	0,7351184	0,6360354	0,3309972	0,1999835	0,0286092	0,4162388	0,5547858	0,0296275	0,4658806	0,5373077	0,7357408	0,4849994	0,5535894	0,7149895	0,6781154	0,6865727	0,2799793	0,2102779	0,7004315	0,2099864	0,5592326	0,7036789	0,4101079	0,2420526	0,6784624	0,4565433	0,5533248	0,7012642	0,3120751	0,4383691	0,1317070	0,2923791	0,2496969	0,7377154	0,5556910	0,1353992	0,5786137	0,4653657	0,5895667	0,3514916	0,1974653	0,2983716	0,6261572	0,6267811
80	0,0353562	0,6760661	0,2338839	0,2600996	0,6151090	0,4049053	0,2418531	0,3233395	0,5239128	0,5762416	0,6617654	0,5589366	0,7546604	0,0119141	0,5947826	0,5788155	0,7504143	0,2205054	0,5170623	0,4004652	0,7722466	0,5148620	0,3461518	0,2482926	0,0198507	0,5525886	0,6159026	0,0355939	0,5628892	0,5057325	0,7349240	0,5481094	0,5483577	0,7583408	0,5800314	0,6211046	0,2797637	0,1886396	0,5910984	0,1913024	0,5577773	0,6086272	0,4690828	0,1988838	0,6108961	0,4951148	0,7062345	0,6981977	0,3272235	0,4146864	0,1028041	0,2898277	0,2024080	0,6804261	0,4646448	0,1788287	0,4376425	0,3576638	0,6732813	0,3535810	0,1396435	0,3724450	0,7275688	0,6636744
100	0,0285480	0,6599957	0,2282793	0,3835205	0,6305738	0,4482924	0,2409929	0,4056141	0,5109089	0,5407178	0,6580143	0,7125331	0,7252906	0,0366867	0,5021964	0,6261353	0,6485462	0,1730894	0,5334785	0,4201152	0,8044355	0,5660530	0,3645308	0,2214467	0,0330181	0,5285674	0,5600775	0,0248034	0,5545515	0,4726922	0,6426059	0,6432179	0,6648588	0,6441492	0,6757159	0,6938178	0,2570989	0,1694559	0,6502560	0,1805497	0,5405395	0,5902332	0,4182669	0,2352872	0,6834727	0,5252701	0,5675610	0,7353895	0,3089398	0,3939393	0,1714894	0,2591925	0,2298201	0,6740976	0,4288548	0,2949019	0,5780119	0,4190619	0,5394260	0,4474251	0,1370765	0,2758099	0,7730220	0,5585155
120	0,0210986	0,6094555	0,3112330	0,3771881	0,8040040	0,3482498	0,1983829	0,4195779	0,4515357	0,5175432	0,5718178	0,8670282	0,7415699	0,0490630	0,5011505	0,7359904	0,7844049	0,1887112	0,5170511	0,4540913	0,6598920	0,4677946	0,4653504	0,2522887	0,0283065	0,3647723	0,5400385	0,0447307	0,6356154	0,6042141	0,6006512	0,5908625	0,5224409	0,7395233	0,6589660	0,8300184	0,2893434	0,1639724	0,6418443	0,1261941	0,5466209	0,6201906	0,4098905	0,2351506	0,7216996	0,6197856	0,6187713	0,6823282	0,3307684	0,4050590	0,1474891	0,2987011	0,1938643	0,6105861	0,3961690	0,2393933	0,5104538	0,3419893	0,6471867	0,3309644	0,1512545	0,2860670	0,5761799	0,5247303
140	0,0205733	0,6591358	0,3715371	0,4242355	0,7554276	0,4826354	0,1718561	0,4059805	0,4263657	0,4980812	0,8165403	0,6368253	0,6561664	0,0534630	0,5295859	0,5434756	0,7111513	0,1564834	0,4091443	0,3973915	0,7246183	0,4820603	0,4064086	0,2483000	0,0033169	0,5211253	0,6084357	0,0305286	0,5075327	0,5565836	0,6038415	0,6741852	0,4969069	0,6141527	0,6116716	0,6143446	0,2623079	0,1889230	0,6840479	0,1834079	0,6135723	0,7579277	0,3570857	0,2599564	0,5616800	0,5642076	0,6843686	0,7601871	0,2672078	0,2683624	0,1997984	0,3094204	0,2213177	0,5794594	0,4339994	0,3369076	0,5973724	0,3532308	0,7017448	0,4326885	0,1175769	0,3231685	0,6691720	0,6764436
160	0,0037663	0,6077137	0,2592646	0,2346015	0,7378821	0,3997723	0,2500359	0,4412939	0,4629059	0,5961783	0,6882901	0,6263273	0,7316602	0,0518299	0,6816779	0,6091219	0,6137967	0,1389482	0,4476257	0,4048167	0,6054959	0,6243197	0,3982839	0,1967956	0,0115051	0,3671662	0,5861671	0,0331633	0,6129204	0,6410117	0,7352762	0,5695693	0,5153316	0,5898399	0,5358808	0,8283324	0,2851908	0,1630485	0,6553600	0,1598953	0,6093412	0,6390547	0,2978790	0,2237336	0,6511400	0,6275939	0,8376183	0,7502667	0,3624391	0,3781787	0,1152090	0,2716958	0,2237421	0,7211995	0,4695880	0,3835126	0,5475156	0,4123272	0,6109669	0,4841871	0,1400707	0,3188158	0,7246733	0,6404059
