"Time"	betI	arcA	lldR	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	hdeA	yhiD	hdeB	rutF	rutE	rutA	rutG	rutD	rutB	rutC	gadC	cadA	gadB	fadL	cadB	sra	wza	wcaA	wzb	wzc	osmB	nemA	lldP	wcaB	betA	betB	lldD	rprA	bdm	betT	gadY	treB	hdeD	slp	treC	dctR	yjbE	yjbF

0	0,3738037	0,9441950	0,4386502	0,4557254	0,9664546	0,6889895	0,3675985	0,3674476	0,4776448	0,7107381	1,0263289	1,0901045	1,0379202	0,0346725	0,9723886	1,0043660	0,9782000	0,2791118	0,7640165	0,6215676	0,9584861	0,7281002	0,5151013	0,2900038	0,0438420	0,4133254	0,7183503	0,0301379	0,7489168	0,8614765	0,9159783	0,4287596	0,7765034	0,8489928	0,8472541	1,0241275	0,3885040	0,2136961	0,8944776	0,2262844	0,6171117	0,8605127	0,7094461	0,4577859	0,9909862	0,7800028	0,9591860	1,0608339	0,4059500	0,7277496	0,2190533	0,3496852	0,4222483	0,8692386	0,6904622	0,2036340	0,6087188	0,6253016	0,8590881	0,5378047	0,1916869	0,4536970	1,0686957	0,8620701
20	0,2635772	1,0075363	0,4596992	0,4066008	1,0769393	0,6221365	0,2787595	0,4934489	0,5734037	0,8654339	0,9370936	0,9954082	1,0254726	0,0627789	0,8641526	0,9167157	1,0064182	0,3103267	0,6986099	0,6373341	1,0290903	0,7679413	0,5141778	0,3180270	0,0395240	0,4683869	0,6707381	0,0479391	0,7389093	0,7321144	0,9810262	0,6324957	0,7594958	0,8681400	0,8498880	1,0274810	0,4417388	0,2199217	0,9594942	0,2640696	0,8365542	0,8998028	0,6401200	0,3003433	0,9048949	0,7879843	0,9993213	1,0274476	0,4243303	0,6396684	0,1906887	0,2773028	0,3522800	0,9242753	0,6279121	0,1857353	0,6414656	0,5189301	0,8742659	0,4848988	0,2366979	0,3931613	1,0630839	0,9876919
40	0,1763931	0,9399138	0,4502756	0,4174294	1,0494219	0,6290160	0,2733947	0,4939464	0,5550164	0,8471596	0,9708035	0,9719981	1,0503108	0,0592842	0,8351818	0,9778673	1,0038950	0,2892582	0,7496954	0,5710822	1,0699170	0,7847752	0,5307664	0,2979383	0,0276775	0,5912010	0,6983640	0,0441979	0,7215359	0,6941281	0,9990266	0,7295811	0,8144826	0,9789549	0,8886221	1,0278190	0,4370707	0,2164478	0,9662044	0,2709063	0,9224552	0,9063706	0,6656171	0,2990523	0,9128398	0,7984905	0,9414356	1,0210931	0,4100670	0,6047248	0,1799114	0,2954396	0,3684040	0,9488497	0,5815457	0,1802471	0,7229730	0,5438931	0,8830944	0,4823685	0,2278275	0,4130287	0,9537416	0,9247570
60	0,1014853	0,9396599	0,4453014	0,3966384	0,9924897	0,6331374	0,2460523	0,5243825	0,6403812	0,8395763	0,9678710	0,9701174	1,0343086	0,0434725	0,8654579	0,9334166	1,0276150	0,2523000	0,7211329	0,5515837	1,0867954	0,7750127	0,5372745	0,3382513	0,0307548	0,6156276	0,6787431	0,0508796	0,7099883	0,8179348	0,9762181	0,7466868	0,7952720	1,0038828	0,9569342	0,9561309	0,4493631	0,2526501	0,9804813	0,2532045	0,8588023	0,9141395	0,6304567	0,2947502	1,0070759	0,7407738	0,9152779	0,9517672	0,3940372	0,6150842	0,2204764	0,3861390	0,3067130	0,9884509	0,5675083	0,2248843	0,7885719	0,5691360	0,8363474	0,4850971	0,2404581	0,4011411	0,9564826	0,7990853
80	0,0596385	0,9889431	0,4507442	0,4188885	1,0163776	0,6704174	0,2807820	0,5117984	0,6840195	0,8664299	0,9805889	0,9420823	1,0371005	0,0343222	0,8550229	0,8889504	1,0184788	0,2718692	0,7159653	0,5818515	0,9428872	0,8329329	0,5555466	0,3130668	0,0268408	0,6520907	0,7203065	0,0476429	0,7715380	0,8000680	0,9598723	0,7747251	0,8149238	0,9837834	0,9126733	0,9865602	0,4494585	0,2726714	0,9341907	0,2799774	0,8638442	0,9028333	0,6582630	0,2800511	0,9985867	0,7907593	0,9732336	0,9929052	0,4286180	0,6290403	0,1768880	0,4247278	0,3403550	0,9927393	0,5984814	0,2890730	0,7824433	0,5580327	0,8259019	0,4669636	0,1875514	0,4110790	1,0320097	0,8702153
100	0,0426488	1,0100374	0,4409974	0,4376241	1,0189641	0,6093142	0,2731289	0,5677425	0,6940018	0,8451639	0,9248112	0,9762431	0,9796004	0,0381959	0,7498547	0,9045060	1,0621544	0,2487623	0,6741943	0,6269585	0,9795751	0,7963032	0,5826988	0,2968488	0,0259385	0,6998111	0,8317010	0,0281988	0,7901182	0,7126845	0,9430927	0,8693004	0,8270232	0,9888400	0,9466280	0,9582196	0,4061810	0,2320539	0,9087445	0,2407736	0,8582090	0,9249786	0,6285063	0,2802899	0,9767373	0,8036667	0,9615364	0,9959728	0,4769877	0,5955818	0,2099090	0,3953920	0,2942153	0,9946189	0,6115139	0,3282430	0,8036224	0,5321521	0,7882917	0,5626630	0,1661732	0,4261248	0,9911889	0,8035029
120	0,0300278	0,9670887	0,4463521	0,4765664	1,0578721	0,5168450	0,2941010	0,6241003	0,6178686	0,8747510	0,9531797	1,0594160	1,0379021	0,0441623	0,7756790	0,8964256	1,0338722	0,2491042	0,6472154	0,5850840	0,9159880	0,7872785	0,6179058	0,2985875	0,0235937	0,5984184	0,7836333	0,0340720	0,8281866	0,7467066	0,8834411	0,8449659	0,8118452	1,0373401	0,9174008	0,9699384	0,3888940	0,2162003	0,9586414	0,2647708	0,8760905	0,8647514	0,5782630	0,2922103	0,9374765	0,8628724	1,0071334	0,9952728	0,4830449	0,5468069	0,1900002	0,4502238	0,3356200	0,9925791	0,5899097	0,3951594	0,8073860	0,5233200	0,8030178	0,5530935	0,1781508	0,4519528	0,9763983	0,8138759
140	0,0192744	0,9426030	0,4853857	0,4708479	1,0437851	0,5559851	0,3010782	0,6416553	0,6706661	0,8835865	0,9470100	0,9212949	1,0182864	0,0553084	0,7752591	0,8620081	1,0456175	0,2488833	0,6614522	0,5440454	0,9562669	0,8076768	0,5995059	0,3010088	0,0184435	0,6401059	0,7409633	0,0410265	0,8062542	0,7695706	0,9090250	0,8645838	0,7513663	0,9684716	0,8473623	1,0084034	0,3931350	0,2262113	0,9000922	0,2424618	0,9124234	0,8670128	0,5693862	0,3122146	0,9360819	0,8299784	0,9993243	1,0527702	0,4710073	0,4935051	0,2051146	0,4208817	0,3440239	0,9899724	0,5857488	0,4869548	0,7772744	0,5394891	0,8680630	0,5857475	0,1750461	0,4535287	1,0088052	0,8557321
160	0,0090797	0,9443232	0,4906127	0,3998846	1,0470399	0,5939534	0,3367811	0,6539343	0,7411737	0,8923632	0,9176070	0,9303110	0,9712353	0,0406681	0,8109543	0,8493279	1,0452975	0,2614476	0,6761094	0,5575558	0,8937498	0,8750906	0,5731502	0,2912865	0,0181388	0,6153920	0,7959387	0,0416855	0,8145437	0,8836051	0,9303520	0,8379250	0,7200651	0,9655272	0,8583162	1,0287066	0,4018564	0,2241491	0,8958049	0,2400787	0,7699254	0,8308240	0,5240779	0,3182763	0,9496164	0,8335040	1,0084682	1,0237725	0,4416589	0,5221053	0,1499560	0,3623168	0,3360506	0,9714967	0,5696858	0,5233528	0,9129055	0,5195514	0,8527453	0,5939767	0,2335822	0,4511865	0,9854262	0,8371022
180	0,0095605	0,9268902	0,4978654	0,4021712	1,0196484	0,6490588	0,2976030	0,6192661	0,6490943	0,9319941	0,9357058	0,9806915	0,9862702	0,0465031	0,7955875	0,9277737	1,0294248	0,2696153	0,5918461	0,5851825	0,9497169	0,8040351	0,5249637	0,2770651	0,0215232	0,6330350	0,7002940	0,0352798	0,8387011	0,8341853	0,9108681	0,8363036	0,6683676	0,9435426	0,8655406	0,9763191	0,3572977	0,2021432	0,9614059	0,2147218	0,8559841	0,8354806	0,4871959	0,2760111	0,9613106	0,8497784	1,0004038	1,0164303	0,4814172	0,5665422	0,1681869	0,3948342	0,2958161	0,9820115	0,5621536	0,5965084	0,9685582	0,5665437	0,9214178	0,6016214	0,2578661	0,4893567	0,9687094	0,8331780
200	0,0040785	0,9385861	0,5093413	0,4344444	1,0098130	0,6229152	0,2968379	0,6059095	0,6673944	0,9875462	0,8960583	0,9877607	1,0311902	0,0400930	0,8541527	0,9645108	1,0628803	0,2730407	0,6840692	0,6024407	0,9617382	0,8743824	0,4993348	0,2661286	0,0275473	0,7322713	0,8251498	0,0461657	0,7973771	0,7851735	0,8650893	0,7705542	0,6576452	0,9042255	0,8897740	0,9228652	0,3730240	0,2299542	0,9385563	0,2290305	0,8589149	0,7757523	0,5110515	0,2738151	0,9674342	0,7777055	0,9631588	0,9734721	0,5303872	0,5831114	0,1931184	0,3665415	0,2557069	0,9823725	0,5749653	0,7323081	0,9995841	0,4998347	0,9194074	0,5790063	0,2458098	0,4238891	0,9596776	0,8774970
220	0,0032960	0,9657629	0,4915573	0,4344703	0,9975640	0,6246222	0,3002319	0,6007641	0,6443798	0,9573179	0,9382048	0,9603434	1,0334495	0,0406783	0,8718063	0,9463996	1,0582068	0,2652689	0,6700661	0,6076250	0,9673004	0,9014435	0,5018207	0,2495793	0,0305985	0,7345822	0,7991971	0,0404299	0,7709581	0,8562973	0,8639713	0,7849071	0,6892560	0,9327056	0,8776593	0,9512039	0,4030329	0,2188778	0,9313361	0,2375464	0,7908336	0,8519814	0,6069914	0,3074665	0,9142585	0,7949829	0,9770525	0,9474112	0,5326990	0,6303235	0,1855629	0,3491915	0,2327900	0,9846655	0,5720208	0,8116298	0,8770117	0,5072473	0,9784761	0,5775089	0,2493500	0,4485802	0,9276671	0,9134240
240	0,0011951	1,0609276	0,4933075	0,4647923	0,9404791	0,6100395	0,2382965	0,5804452	0,6448049	0,8724410	0,9216452	0,9483131	1,0651478	0,0270888	0,9003035	0,9418667	1,0154844	0,2752107	0,6673345	0,5990265	1,0116896	0,8333314	0,5324805	0,2699407	0,0207772	0,6807404	0,8029491	0,0571175	0,7999000	0,8479858	0,8373100	0,8080439	0,7493789	0,9303767	0,8206068	0,8843780	0,4029490	0,2080534	0,9649575	0,2377195	0,7586786	0,8224973	0,6004085	0,3523346	0,9386169	0,7851803	0,9994489	0,8751335	0,5078739	0,6570047	0,1943553	0,3924986	0,2117238	0,9926112	0,5533842	0,7703075	0,9607163	0,5854905	0,9234784	0,6036891	0,2347192	0,4530497	0,9467768	0,9143356
260	0,0008964	1,0538594	0,4505309	0,4348696	1,0323761	0,5895217	0,2761272	0,5758835	0,6710536	0,8470662	0,9426149	1,0201418	1,0394230	0,0380132	0,9489476	0,9360253	1,0402005	0,2459274	0,7157222	0,5821083	0,9703312	0,8172257	0,5241888	0,2945955	0,0257439	0,7038728	0,8019161	0,0580247	0,7775527	0,8813291	0,8793332	0,8573507	0,7370833	0,9093183	0,8697968	0,8586668	0,4339941	0,1828400	1,0202000	0,2266519	0,8348298	0,8703408	0,6462010	0,3563162	0,9204404	0,7859553	0,9866573	0,9339199	0,5424339	0,5994870	0,2117523	0,3795157	0,1542009	0,9768849	0,5803180	0,8779546	0,9237486	0,6100153	0,9403991	0,6513606	0,2037949	0,4589899	0,9760273	0,8838515
280	0,0011641	1,0191667	0,4405229	0,4738270	1,0189907	0,6423007	0,2878352	0,5451076	0,6968856	0,9047493	0,9563596	0,9865974	1,0491377	0,0343431	0,8914363	0,9864863	0,9734677	0,2476777	0,6338469	0,5457328	1,0540661	0,8322805	0,5378917	0,3036773	0,0255841	0,6616559	0,8246157	0,0453570	0,7945495	0,8921748	0,8971213	0,8302263	0,7874431	0,9270926	0,8726981	0,8878185	0,4004492	0,2040036	1,0027482	0,2536078	0,8032640	0,8518956	0,6433186	0,3393065	0,9429508	0,7909540	0,9877758	1,0049527	0,5867937	0,6651658	0,1834198	0,4168776	0,1856465	0,9793236	0,5983633	0,8594145	1,0397262	0,5901762	0,9054590	0,6468095	0,2242877	0,5267152	1,0170177	0,9070923
300	0,0000422	0,9417749	0,4578547	0,4535573	0,9651459	0,6102851	0,2956853	0,6190733	0,6688463	0,9088241	0,9863609	1,0027575	1,0752214	0,0431078	0,8721610	0,9521294	1,0314371	0,2428700	0,6642606	0,5545902	0,9771307	0,8928200	0,5257514	0,3195742	0,0286014	0,6481758	0,8356302	0,0404707	0,7472871	0,9131241	0,8798817	0,8305989	0,8101840	0,9841904	0,8586335	0,9736198	0,4567923	0,1793615	1,0081083	0,2372211	0,7994019	0,8971927	0,6782916	0,3432246	0,9385686	0,9059849	1,0033155	1,0559116	0,5894604	0,6551039	0,2321887	0,4246147	0,1938623	1,0397048	0,6311281	0,8920583	0,9638894	0,6427649	0,9358415	0,6229762	0,2289561	0,5501721	1,0307223	0,9425201
320	0,0004220	0,9501361	0,4279520	0,4072035	0,9730481	0,6476150	0,3194562	0,6256197	0,6543543	0,8836694	0,9567070	1,0040011	1,1005128	0,0437126	0,8590503	1,0194585	1,0261438	0,2700262	0,6242429	0,5074538	1,0511193	0,9292245	0,5072696	0,2873258	0,0297523	0,6679687	0,8316482	0,0306070	0,8562302	0,8963805	0,8933905	0,8672654	0,8195843	0,9590396	0,9073995	0,9735940	0,4237872	0,2327066	0,9616514	0,2493618	0,7742076	0,8305203	0,7053098	0,3506961	0,8941396	0,8824386	0,9897302	1,0314045	0,6421270	0,6372603	0,6357926	0,3827706	0,2046289	1,0604828	0,6508989	1,0012698	0,8831811	0,6090181	0,8862535	0,6176406	0,2242452	0,5096788	1,0448483	0,9436695
