"Time"	betI	arcA	lldR	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	hdeA	yhiD	hdeB	rutF	rutE	rutA	rutG	rutD	rutB	rutC	gadC	cadA	gadB	fadL	cadB	sra	wza	wcaA	wzb	wzc	osmB	nemA	lldP	wcaB	betA	betB	lldD	rprA	bdm	betT	gadY	treB	hdeD	slp	treC	dctR	yjbE	yjbF

0	0,3435149	1,0020503	0,4039462	0,4381513	1,0328799	0,7595280	0,4475193	0,4037216	0,5625771	0,6841970	0,9626644	1,0049025	1,0294798	0,0366558	0,9303150	0,9458469	0,9493850	0,2819234	0,7231751	0,6266410	0,9758287	0,7384100	0,4884692	0,3151381	0,0295173	0,3452936	0,7257870	0,0363489	0,7468764	0,8122612	0,9521016	0,4383255	0,7509273	0,9018199	0,8596514	1,0417761	0,3778303	0,2343605	0,9380256	0,1955904	0,5983145	0,8220942	0,6762431	0,4546391	1,0506033	0,8416806	1,0371196	1,0545076	0,4283873	0,7284388	0,1924991	0,3087231	0,3823862	0,8946992	0,6380845	0,2112303	0,6472173	0,6778534	0,8844998	0,5092021	0,2147586	0,4795467	1,1181340	0,8928144
20	0,3397260	0,9877337	0,4103174	0,4680108	0,9684977	0,6361253	0,3924355	0,4285560	0,6755549	0,8205278	0,9423807	0,9586860	0,9670838	0,0490287	0,8755464	1,0089355	0,9557808	0,2982244	0,6994146	0,6156719	1,0012712	0,6968892	0,4640262	0,2835979	0,0402185	0,3977546	0,7170079	0,0509353	0,7736588	0,7995190	1,0161111	0,5326618	0,7864866	0,8922707	0,8380459	1,0114181	0,4413973	0,1936953	0,9521383	0,2252435	0,6165389	0,7384362	0,6826650	0,3526896	0,9511731	0,7779032	0,9939919	1,1836734	0,4669310	0,6811578	0,1723384	0,2952416	0,3767852	0,9271842	0,6105199	0,2308817	0,5858238	0,6054357	0,8758016	0,4248801	0,1832247	0,4934602	1,0365571	0,9840294
40	0,2522672	0,9980153	0,3963897	0,4251456	1,0293045	0,5754753	0,3428729	0,4186617	0,5912434	0,8509169	0,9145479	1,0163914	1,0522631	0,0687469	0,7938597	0,9022185	0,9676535	0,2784225	0,6785399	0,6201749	1,0323771	0,7624078	0,4602094	0,2699485	0,0393159	0,4501030	0,6702409	0,0510399	0,7681245	0,7585022	1,0846450	0,5448727	0,7453051	0,9187920	0,7925008	0,9466772	0,4786874	0,2204045	0,9924127	0,2216964	0,7143338	0,7990290	0,6368762	0,3641148	0,9352546	0,7886932	0,9649078	1,1554220	0,4610922	0,6812893	0,1647810	0,3105074	0,4272500	0,9202424	0,5945732	0,2010920	0,6368064	0,5271180	0,8953678	0,4288112	0,2116327	0,4371879	0,9824565	1,0244552
60	0,1929853	0,9855474	0,4642455	0,4338305	0,9448506	0,6351478	0,2904234	0,3942340	0,5640283	0,8359820	0,9131267	1,0122839	1,0799806	0,0535514	0,8688276	0,9608620	1,0287029	0,2584806	0,7185245	0,6351847	1,0463049	0,7413847	0,4651971	0,2914433	0,0378183	0,5042453	0,6556764	0,0551222	0,6783035	0,7392479	1,1380526	0,6412207	0,7736630	0,9520535	0,8791270	1,0183441	0,4596004	0,1778734	1,1102475	0,2430079	0,7686280	0,8204762	0,6502353	0,3242774	0,9573580	0,7347253	0,9222711	1,0730425	0,4437043	0,6177951	0,1558621	0,3358245	0,3686512	0,9674458	0,5366184	0,2064182	0,7040863	0,4926016	0,8080116	0,4311182	0,2214714	0,4175381	0,9785365	0,9743316
80	0,1529956	0,9300521	0,4689229	0,4470191	0,9556924	0,6328506	0,2737211	0,4383790	0,6419880	0,8718291	0,9143277	0,9250432	1,0600885	0,0565684	0,8571113	0,9386759	0,9553782	0,3054958	0,7179596	0,6499644	1,0150348	0,7745134	0,5349650	0,3345020	0,0437244	0,5876618	0,6271452	0,0569846	0,7012114	0,7387828	1,0507430	0,6467882	0,7734073	0,9984046	0,9155853	0,9644883	0,4650159	0,1978427	1,0266241	0,2488695	0,7841176	0,9227854	0,6345618	0,3115551	0,9938202	0,7276253	0,9313443	1,0038735	0,4007058	0,5628145	0,1719229	0,3323725	0,3122388	0,9742667	0,5883029	0,2281553	0,7237417	0,5325664	0,8783401	0,4191112	0,2375784	0,4123161	0,9673253	0,9067272
100	0,0963324	0,9514568	0,4482971	0,4494824	0,9964875	0,6846772	0,2850361	0,4730322	0,6395438	0,8266474	0,9242142	0,8653991	0,9398986	0,0259691	0,8204138	0,9048055	0,9770351	0,2939346	0,7077059	0,5834850	0,9568780	0,7674017	0,5553777	0,2988364	0,0365087	0,6670300	0,6640128	0,0470701	0,7491701	0,7306731	1,0035740	0,7094236	0,7847311	1,0227535	0,8609232	0,9940666	0,4639475	0,1802251	0,9279918	0,2389709	0,8285870	0,8757815	0,7117490	0,2662243	1,0112006	0,7668726	0,9213610	1,0019316	0,3915798	0,6593702	0,1790453	0,3335544	0,2749867	1,0243481	0,5587334	0,2777167	0,7512706	0,5741310	0,8570616	0,4485496	0,1969698	0,4015358	0,9474409	0,8410217
120	0,0758635	0,8679990	0,4258410	0,4857453	0,9785400	0,6083392	0,2973241	0,5170741	0,6457919	0,8670935	0,8996438	0,9442856	0,9747733	0,0448033	0,8085726	0,8502971	1,0153579	0,3015517	0,6999345	0,6464440	0,9529696	0,8262378	0,5606335	0,2877043	0,0341516	0,7163487	0,6847037	0,0511816	0,7222718	0,7598171	0,9036984	0,8036332	0,8432785	1,0178307	0,8156764	0,9888543	0,4393490	0,1885114	0,9336608	0,2587916	0,8641391	0,8310908	0,6440833	0,2572528	1,0532816	0,7357123	0,9610688	1,0269259	0,3966248	0,6526068	0,1797100	0,3458635	0,2847235	0,9976590	0,5549911	0,3258195	0,7971632	0,5224323	0,8499185	0,4835563	0,1848382	0,4332709	0,9960309	0,8630078
140	0,0569804	0,9314789	0,4389371	0,4020855	1,0000132	0,5381948	0,2441039	0,5046139	0,6989273	0,8915500	0,9172713	0,9718034	0,9363801	0,0488252	0,7380489	0,9064008	0,9538067	0,2590270	0,7024497	0,5698193	0,9418142	0,8529353	0,5277681	0,2941271	0,0336313	0,6747477	0,7618946	0,0480227	0,7415707	0,7989341	0,8774277	0,8072826	0,8236694	0,9583737	0,8994476	0,9585348	0,3820622	0,2061017	0,8098794	0,2695482	0,9055255	0,8794153	0,6051092	0,3077835	0,9904130	0,7656718	0,9909870	1,0217809	0,3975962	0,5160775	0,1661739	0,3545273	0,3350721	0,9441734	0,6258772	0,3909693	0,8266179	0,5283161	0,8403289	0,5154627	0,1918765	0,4089308	1,0226102	0,8450858
160	0,0499607	0,9416599	0,4406985	0,4114344	1,0911032	0,5328718	0,3025588	0,5395312	0,6453048	0,8782293	0,8979028	1,0085880	0,9181173	0,0446532	0,7557354	0,9393345	0,9811369	0,2669786	0,6682359	0,5232572	0,8660685	0,8603353	0,5354185	0,3037279	0,0235105	0,6749689	0,7548893	0,0518982	0,7812786	0,8199142	0,9090303	0,8053568	0,7491071	0,9214956	0,8770467	0,9569685	0,3697081	0,2315193	0,8682912	0,2614334	0,8671816	0,8942769	0,5721092	0,3285054	0,9480663	0,7923789	1,0017446	1,0066876	0,4535063	0,5308811	0,1843326	0,3849078	0,3046766	0,9079642	0,6232197	0,4531574	0,8337301	0,5742663	0,8590442	0,5261684	0,1831165	0,4637537	1,0010375	0,8422362
180	0,0267912	0,9314591	0,4755918	0,4057051	1,0048852	0,5132575	0,3345539	0,5807125	0,7066043	0,8742922	0,9023466	0,9528221	1,0501447	0,0506672	0,8088620	0,8655728	0,9753269	0,3256444	0,6618621	0,5429511	0,8858638	0,8331980	0,5477964	0,2981706	0,0183327	0,6286411	0,7909254	0,0496224	0,7950698	0,8140225	0,8872068	0,7779791	0,6998576	0,9054642	0,9218421	1,0122023	0,3769237	0,2451446	0,8312076	0,2537140	0,8316118	0,9136034	0,5296963	0,3328905	0,9849126	0,7897139	0,9659720	0,9597432	0,4579678	0,5503902	0,1911926	0,4256703	0,3639230	0,9211126	0,5925631	0,5436874	0,8299104	0,5429718	0,8585282	0,5436363	0,2083890	0,4821007	0,9615666	0,8401891
200	0,0137780	1,0129093	0,4909802	0,4052527	1,0033888	0,5514112	0,2982290	0,5294846	0,6515217	0,8825175	0,7882962	0,9825665	1,0220935	0,0430553	0,7872408	0,9433410	0,9985706	0,3017652	0,6269298	0,5768496	0,8969163	0,8181958	0,5416352	0,2709260	0,0173045	0,6591768	0,8326174	0,0422949	0,7723821	0,8195777	0,8386894	0,7450039	0,6507134	0,9185489	0,8854194	0,9781978	0,3687101	0,2170289	0,8484021	0,2401484	0,8635036	0,8736705	0,5174012	0,3166194	0,9376428	0,8575639	0,9802316	1,0087019	0,4758068	0,5475228	0,1820883	0,4496011	0,3352652	0,9330072	0,6239414	0,6181343	0,8912985	0,5021145	0,8527420	0,6229301	0,2461332	0,4438011	0,9811162	0,9062018
220	0,0072121	0,9995855	0,5116106	0,3938586	1,0281894	0,5391406	0,2648357	0,5138299	0,6997261	0,9508338	0,8382181	1,0079100	1,1010593	0,0477093	0,9085196	0,9502675	1,0181529	0,2884013	0,6712997	0,5732998	0,8832874	0,8799226	0,4948361	0,3119281	0,0159125	0,6618234	0,8428976	0,0287659	0,7313617	0,8836236	0,8900733	0,7862515	0,6576709	0,9914235	0,8549922	1,0369566	0,4561266	0,2117563	0,8311209	0,2703806	0,8752279	0,8611498	0,5384992	0,3414285	0,8598285	0,7893618	1,0114041	1,0507984	0,4730626	0,5909948	0,1594996	0,3756865	0,2886273	0,9855104	0,6447884	0,6642036	0,9284421	0,5386643	0,8893755	0,5944817	0,2951718	0,4399382	1,0461881	0,9022968
240	0,0025803	1,0720630	0,5661955	0,4162296	0,9870933	0,5783626	0,2845536	0,5480771	0,7166950	0,9672482	0,8650969	0,9721591	0,9987613	0,0349274	0,9036685	0,9168275	1,0148083	0,3033355	0,6795358	0,6003064	0,8997490	0,8810660	0,4908808	0,2604980	0,0147075	0,6634330	0,8787076	0,0345523	0,7083776	0,9149467	0,8387322	0,7724997	0,7046846	0,9331865	0,8647216	0,9143780	0,3911781	0,2092875	0,8765441	0,2577409	0,8080379	0,8622281	0,5996649	0,3303444	0,8682142	0,8255431	0,9857205	0,9502780	0,5074218	0,6419727	0,1707428	0,3750364	0,2533957	0,9753819	0,6310836	0,7202253	0,9702620	0,5619984	0,9914738	0,5913747	0,3001331	0,4978101	0,9185521	0,9645105
260	0,0011980	1,0951133	0,5380070	0,4773711	1,0008348	0,5438437	0,2905642	0,5840094	0,6828662	0,9331848	0,8715294	0,9397535	1,0251826	0,0276105	0,9048994	0,9829064	1,0458861	0,2748694	0,6802078	0,5950042	0,9300249	0,9069005	0,5105096	0,2594625	0,0120333	0,7269253	0,8749484	0,0336518	0,7122773	0,8795963	0,8718323	0,8061407	0,7552999	0,8960429	0,9052227	0,8623282	0,4448189	0,1984831	0,9293225	0,2629853	0,7888616	0,9037715	0,6192583	0,3345403	0,9127283	0,8782901	1,0071179	0,9639879	0,4775987	0,6069936	0,1949342	0,3205884	0,2398971	1,0530718	0,6020248	0,8067010	0,9801905	0,5354212	0,9583979	0,6078338	0,2677649	0,4997795	0,9738549	0,9676967
280	0,0018588	1,0211703	0,5363458	0,4479707	1,0167786	0,5913508	0,2564867	0,5661389	0,7282867	0,8740210	0,9396902	0,9541020	1,0721345	0,0370513	0,8708614	0,9893450	1,0312166	0,2585439	0,7075070	0,6163851	0,9904504	0,8135754	0,5400404	0,2885776	0,0137767	0,6782585	0,8376764	0,0400465	0,7486542	0,8501286	0,8228713	0,7710573	0,8095396	0,9292241	0,8910401	0,9305527	0,4479213	0,2145199	0,9823925	0,2370730	0,8096459	0,8738533	0,6411333	0,3590549	0,9262453	0,8121219	0,9741484	0,9852070	0,4883859	0,5946719	0,2029995	0,2969962	0,1734189	1,0617658	0,5378805	0,8760384	1,0196445	0,5830970	0,9406843	0,6500886	0,2418460	0,4978630	1,0105847	1,0009087
