"Time"	betI	arcA	lldR	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	hdeA	yhiD	hdeB	rutF	rutE	rutA	rutG	rutD	rutB	rutC	gadC	cadA	gadB	fadL	cadB	sra	wza	wcaA	wzb	wzc	osmB	nemA	lldP	wcaB	betA	betB	lldD	rprA	bdm	betT	gadY	treB	hdeD	slp	treC	dctR	yjbE	yjbF

0	0,3621494	1,0000000	0,4430656	0,4450638	0,9957623	0,6873164	0,3837428	0,4221335	0,6068965	0,7264759	0,9699461	0,9949475	0,9999766	0,0325791	1,0000000	0,9987144	1,0000000	0,2548686	0,6871866	0,6011427	0,9754513	0,7372592	0,4993609	0,2890323	0,0280230	0,4182888	0,6753165	0,0447273	0,7813587	0,8128395	0,9398919	0,4658254	0,7532200	0,8841035	0,8899434	0,9688093	0,4168521	0,1915406	0,9193080	0,2233158	0,6187239	0,8707957	0,7020467	0,4301546	0,9882196	0,8266718	0,9986134	0,9821357	0,4630152	0,6763608	0,1898806	0,2919137	0,3464504	0,9036826	0,6374350	0,1836531	0,6084308	0,5797493	0,8616400	0,5042180	0,2165350	0,4399913	0,9987828	0,9075117
20	0,2356809	1,0000000	0,4430656	0,4450937	0,9958133	0,6111534	0,3149300	0,4780061	0,6111230	0,7866641	0,9699471	0,9949475	0,9999765	0,0327142	0,9337168	0,9991071	1,0000000	0,2548685	0,6871866	0,6011428	0,9817555	0,7707045	0,4993599	0,2890319	0,0280189	0,4983197	0,6774299	0,0446424	0,7811560	0,8128631	0,9401246	0,6745509	0,7535633	0,9029229	0,8905561	0,9691387	0,4168562	0,1922035	0,9191847	0,2233158	0,7329379	0,8701849	0,7009516	0,4101131	0,9881841	0,8266187	0,9992105	0,9824185	0,4630136	0,6745884	0,1898850	0,2946125	0,3214707	0,9414655	0,6368733	0,1852645	0,7112386	0,5797492	0,8623855	0,5054980	0,2165350	0,4407039	0,9987790	0,9075110
40	0,1533776	1,0000000	0,4430657	0,4451178	0,9960322	0,5748925	0,2762787	0,5166244	0,6293539	0,8288505	0,9699478	0,9949476	0,9999764	0,0332833	0,8947091	0,9993562	1,0000000	0,2548685	0,6871866	0,6011428	0,9855341	0,7938226	0,4993697	0,2890306	0,0280204	0,5522257	0,6866453	0,0442770	0,7802448	0,8129565	0,9411324	0,7675699	0,7551735	0,9171493	0,8923824	0,9706367	0,4164081	0,1949861	0,9184195	0,2233158	0,7851103	0,8674154	0,6959362	0,3919093	0,9880220	0,8263632	0,9995361	0,9836611	0,4630125	0,6675650	0,1899067	0,3061180	0,3148495	0,9642071	0,6342114	0,1943085	0,7752637	0,5797492	0,8654013	0,5116790	0,2165349	0,4439747	0,9987594	0,9075072
60	0,0998161	1,0000000	0,4430657	0,4451371	0,9963757	0,5616871	0,2591845	0,5440146	0,6558567	0,8589178	0,9699482	0,9949476	0,9999761	0,0341600	0,8717532	0,9995144	1,0000000	0,2548684	0,6871866	0,6011428	0,9878828	0,8099773	0,4994138	0,2890302	0,0280323	0,5912532	0,7019609	0,0437144	0,7790254	0,8130804	0,9426460	0,8108224	0,7578680	0,9287654	0,8954635	0,9730404	0,4153968	0,1995977	0,9169152	0,2233158	0,8089781	0,8627767	0,6874701	0,3737378	0,9877472	0,8259082	0,9997118	0,9855661	0,4630117	0,6574580	0,1899519	0,3232636	0,3130944	0,9778657	0,6295798	0,2152307	0,8156760	0,5797492	0,8705721	0,5228548	0,2165349	0,4496158	0,9987250	0,9075004
80	0,0649593	1,0000000	0,4430658	0,4451527	0,9967487	0,5598184	0,2556929	0,5638812	0,6809885	0,8805943	0,9699486	0,9949476	0,9999759	0,0351157	0,8582436	0,9996147	1,0000000	0,2548684	0,6871866	0,6011428	0,9894031	0,8213000	0,4995135	0,2890327	0,0280581	0,6205509	0,7201029	0,0431049	0,7781536	0,8131922	0,9442212	0,8321298	0,7609894	0,9382944	0,8992417	0,9757020	0,4139229	0,2050707	0,9148393	0,2233158	0,8199477	0,8572794	0,6773606	0,3564793	0,9874166	0,8253332	0,9998053	0,9875867	0,4630112	0,6471395	0,1900299	0,3404684	0,3126292	0,9860498	0,6238492	0,2518523	0,8415848	0,5797492	0,8769370	0,5372293	0,2165349	0,4566317	0,9986822	0,9074918
100	0,0422751	1,0000000	0,4430658	0,4451652	0,9970806	0,5623343	0,2592366	0,5782796	0,6991344	0,8963396	0,9699488	0,9949477	0,9999756	0,0359897	0,8502933	0,9996784	1,0000000	0,2548683	0,6871866	0,6011428	0,9904295	0,8292335	0,4996757	0,2890387	0,0280982	0,6427394	0,7383276	0,0425441	0,7780598	0,8132758	0,9456046	0,8432128	0,7639903	0,9458428	0,9030696	0,9781505	0,4121551	0,2105854	0,9124248	0,2233158	0,8250429	0,8518214	0,6672258	0,3412115	0,9870832	0,8247242	0,9998543	0,9893757	0,4630108	0,6382539	0,1901568	0,3544100	0,3125059	0,9909423	0,6178655	0,3071033	0,8584885	0,5797492	0,8835752	0,5528792	0,2165348	0,4640887	0,9986377	0,9074827
120	0,0275127	1,0000000	0,4430658	0,4451752	0,9973386	0,5657167	0,2651407	0,5883398	0,7090002	0,9078339	0,9699489	0,9949477	0,9999754	0,0367080	0,8456145	0,9997188	1,0000000	0,2548683	0,6871866	0,6011428	0,9911506	0,8347859	0,4998928	0,2890478	0,0281502	0,6594564	0,7549771	0,0420713	0,7788511	0,8133317	0,9467122	0,8491254	0,7665647	0,9515380	0,9064623	0,9801646	0,4102620	0,2156403	0,9098858	0,2233158	0,8274568	0,8469608	0,6580826	0,3285141	0,9867817	0,8241467	0,9998794	0,9907948	0,4630105	0,6313401	0,1903604	0,3643153	0,3124732	0,9938605	0,6122184	0,3811657	0,8697258	0,5797492	0,8898592	0,5683256	0,2165348	0,4713131	0,9985961	0,9074742
140	0,0179056	1,0000000	0,4430658	0,4451833	0,9975185	0,5685331	0,2706913	0,5948630	0,7120118	0,9162518	0,9699490	0,9949477	0,9999753	0,0372571	0,8428611	0,9997444	1,0000000	0,2548683	0,6871866	0,6011428	0,9916742	0,8386681	0,5001471	0,2890587	0,0282099	0,6719317	0,7692895	0,0416929	0,7803924	0,8133661	0,9475481	0,8522104	0,7686038	0,9556183	0,9091729	0,9816962	0,4083896	0,2200041	0,9073924	0,2233158	0,8286363	0,8429396	0,6503915	0,3184611	0,9865285	0,8236387	0,9998919	0,9918336	0,4630103	0,6263075	0,1906866	0,3707783	0,3124645	0,9955978	0,6072320	0,4697178	0,8773368	0,5797492	0,8954502	0,5826030	0,2165348	0,4778796	0,9985599	0,9074669
160	0,0116535	1,0000000	0,4430658	0,4451898	0,9976322	0,5704352	0,2747536	0,5986151	0,7107511	0,9224274	0,9699491	0,9949477	0,9999752	0,0376559	0,8412407	0,9997607	1,0000000	0,2548683	0,6871866	0,6011428	0,9920630	0,8413805	0,5004172	0,2890703	0,0282726	0,6811619	0,7810812	0,0414004	0,7824308	0,8133855	0,9481514	0,8536901	0,7701221	0,9583934	0,9111606	0,9827897	0,4066531	0,2236224	0,9050671	0,2233158	0,8292368	0,8397840	0,6442337	0,3108026	0,9863270	0,8232153	0,9998979	0,9925443	0,4630102	0,6228106	0,1912101	0,3747622	0,3124622	0,9966303	0,6030285	0,5644093	0,8825793	0,5797492	0,9002192	0,5951719	0,2165348	0,4835566	0,9985300	0,9074610
