"Time"	betI	arcA	lldR	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	hdeA	yhiD	hdeB	rutF	rutE	rutA	rutG	rutD	rutB	rutC	gadC	cadA	gadB	fadL	cadB	sra	wza	wcaA	wzb	wzc	osmB	nemA	lldP	wcaB	betA	betB	lldD	rprA	bdm	betT	gadY	treB	hdeD	slp	treC	dctR	yjbE	yjbF

0	0,3051219	0,6841680	0,3183692	0,2926072	0,7228120	0,5448858	0,2971744	0,2743935	0,4258703	0,5550990	0,6727274	0,7283384	0,6921946	0,0181041	0,8022197	0,6102929	0,6516709	0,2192173	0,5009697	0,4580881	0,6057405	0,5991866	0,3307316	0,1749010	0,0199845	0,2482692	0,5060298	0,0228840	0,6689262	0,5639580	0,6467241	0,2872714	0,6154051	0,6320288	0,6387394	0,7444230	0,3059071	0,1178416	0,6467872	0,1221942	0,4080387	0,5355898	0,4099219	0,3077178	0,7595438	0,5741350	0,7300249	0,6740105	0,3148618	0,5585183	0,1771456	0,2300748	0,4006398	0,6359678	0,4746609	0,1819481	0,4137263	0,4693584	0,5515786	0,3982192	0,2045557	0,3672995	0,7408826	0,6375968
20	0,2229407	0,6751440	0,2389999	0,3417555	0,7614410	0,6020555	0,2931164	0,3121126	0,4452247	0,6670524	0,6951401	0,5971840	0,6414201	0,0223485	0,5618077	0,6268563	0,7806898	0,1737999	0,5285454	0,4194655	0,6937910	0,4185632	0,3199727	0,1497807	0,0255708	0,2430962	0,5422868	0,0459869	0,5970917	0,4603394	0,6750094	0,3804596	0,5453919	0,5706880	0,5325587	0,6185468	0,3182864	0,1073360	0,7274918	0,1651745	0,4561694	0,5236919	0,4387164	0,2281137	0,6580874	0,4417623	0,6794888	0,8405535	0,3470540	0,3925828	0,0991042	0,1688659	0,2040350	0,6081919	0,4301080	0,1047422	0,4289796	0,4956564	0,6198539	0,2595214	0,1520750	0,3112565	0,8302206	0,7325752
40	0,2346092	0,6590195	0,1766972	0,2759004	0,8675400	0,3609146	0,2090461	0,2816007	0,4444375	0,6756592	0,6356741	0,7322782	0,7883842	0,0272459	0,6973385	0,5634716	0,6188579	0,2067859	0,3990803	0,4251467	0,6773035	0,5494732	0,4158348	0,1456421	0,0243467	0,2807658	0,4591046	0,0403540	0,5194592	0,5636644	0,7932657	0,3647126	0,5011823	0,5590569	0,5433331	0,6906834	0,4035016	0,1240702	0,6921666	0,1648082	0,5072684	0,5641121	0,5138136	0,3374489	0,6593948	0,4775904	0,7414949	0,7891165	0,2878526	0,4948292	0,1012971	0,2236584	0,2450685	0,6116715	0,3495373	0,1658637	0,4505580	0,3474926	0,5450376	0,2172966	0,1457480	0,3350899	0,6229651	0,7002523
60	0,1185740	0,7388125	0,3038171	0,3037050	0,8048760	0,5087997	0,2425985	0,2898382	0,3860742	0,5548953	0,7417500	0,6461470	0,8208484	0,0341082	0,6166933	0,7902973	0,7128661	0,1992748	0,4777192	0,4705593	0,7533780	0,5228025	0,3121988	0,2329781	0,0464713	0,3985952	0,3808236	0,0321423	0,4886319	0,4454474	0,8044551	0,4469050	0,5756890	0,6759955	0,6529409	0,7186096	0,2779869	0,1163537	0,7903095	0,1237923	0,5111039	0,5318275	0,3868732	0,2054066	0,7343048	0,5499950	0,5948836	0,7983960	0,3463788	0,5104017	0,1194191	0,1928794	0,2717485	0,6932070	0,3955369	0,1538905	0,5180095	0,3307249	0,6009556	0,2604718	0,1524561	0,3225530	0,7348590	0,7061801
80	0,1105897	0,6223040	0,3078298	0,2881314	0,6053931	0,4786025	0,2277597	0,3197470	0,4182484	0,6152394	0,6844358	0,5474319	0,7898878	0,0545402	0,5350793	0,6534825	0,5479947	0,2126202	0,5085534	0,5081191	0,6654170	0,5874003	0,4104680	0,2375983	0,0264358	0,4683238	0,4603834	0,0440615	0,5179841	0,4803193	0,7438128	0,4623651	0,5556721	0,6772279	0,7927699	0,6964158	0,3130332	0,1340490	0,6999829	0,1372050	0,4788006	0,7036516	0,4037264	0,1969428	0,7415718	0,5229199	0,5083855	0,7632464	0,2970619	0,3596243	0,1190707	0,2113788	0,2318890	0,7605374	0,4635212	0,2207987	0,4987315	0,4216195	0,5863952	0,2704370	0,1933159	0,2569519	0,5548537	0,5843882
100	0,0584384	0,6065463	0,2691996	0,2872648	0,6923561	0,4731292	0,2136590	0,3686404	0,4127977	0,5507469	0,6207972	0,6714382	0,5313797	0,0248195	0,5073123	0,5829615	0,6366249	0,2909178	0,4214750	0,3678491	0,6340092	0,5048825	0,4988134	0,1623110	0,0526046	0,5010209	0,4090898	0,0287998	0,4680023	0,5010661	0,7768141	0,4583157	0,5316584	0,6582636	0,5815217	0,6643028	0,3108268	0,0952741	0,6280520	0,1778657	0,5214141	0,5656920	0,3692525	0,2057401	0,7823304	0,6727160	0,6910996	0,7252879	0,2663610	0,4512121	0,1480945	0,3225449	0,1785023	0,7012014	0,3795890	0,1991723	0,4914972	0,3899945	0,5448583	0,2803620	0,2046864	0,2681176	0,6792267	0,5146599
120	0,0529058	0,5790193	0,2755730	0,3916794	0,6343559	0,4845853	0,1815334	0,3811962	0,4106032	0,6676620	0,6725958	0,5833241	0,7186292	0,0353467	0,5981900	0,5630665	0,6633967	0,1864699	0,5717026	0,5344107	0,6797059	0,5743877	0,3930274	0,1715821	0,0202244	0,4998116	0,5381849	0,0404273	0,4939158	0,5408461	0,6149466	0,4876069	0,5920266	0,6745996	0,6192493	0,6498109	0,3799260	0,1367293	0,7287009	0,1714884	0,5604889	0,6415540	0,4146424	0,2075166	0,7929700	0,4621867	0,7111393	0,6156374	0,3058493	0,5181565	0,1471954	0,3324616	0,1877064	0,7604436	0,3902733	0,2396499	0,5858734	0,3610493	0,5447759	0,3565037	0,1213038	0,3712119	0,6854439	0,6767505
140	0,0554787	0,6226307	0,3006295	0,2962994	0,7100714	0,3444491	0,1835326	0,4536542	0,4742002	0,7372634	0,6986305	0,6264078	0,6000518	0,0252491	0,4624142	0,8247828	0,6439381	0,1793789	0,5201706	0,4236637	0,6582664	0,6113854	0,3740750	0,2142613	0,0172841	0,4438661	0,4924267	0,0404613	0,5796056	0,6701966	0,5362323	0,5058493	0,5735438	0,6731051	0,6099809	0,6198137	0,2964356	0,1345216	0,5324122	0,1738278	0,6026996	0,6203907	0,4286215	0,1851064	0,6786751	0,4531271	0,6580100	0,6755018	0,2188160	0,3487023	0,1193089	0,2520165	0,2583602	0,6499666	0,4615373	0,2673161	0,5563537	0,3340083	0,5921103	0,3456121	0,1684672	0,2539635	0,6615744	0,5821108
160	0,0215994	0,6925870	0,3893532	0,2368987	0,7931444	0,3661000	0,2211778	0,3838532	0,4909710	0,6369267	0,7463923	0,7271781	0,5616602	0,0334720	0,4438027	0,7448875	0,6480276	0,1872854	0,5329418	0,3472728	0,6874038	0,5712694	0,3464478	0,1868202	0,0202394	0,4424181	0,5549743	0,0455213	0,5912798	0,5268447	0,5685230	0,6019030	0,4556340	0,6260501	0,5456322	0,6696710	0,2915758	0,2118202	0,5465937	0,1422479	0,7576841	0,5024321	0,4578456	0,2306513	0,6283663	0,6026017	0,7077238	0,6104142	0,2510312	0,2890801	0,1237687	0,2622030	0,2146913	0,5801072	0,3652041	0,2748598	0,5626638	0,3194018	0,5500872	0,4148126	0,1212920	0,2764725	0,6705124	0,5516677
