"Time"	bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF

0	0,1828135	0,7460981	0,0843080	0,0325659	0,6235965	0,5479473	0,0906540	0,8620632	0,0439125	0,0399953	0,0877838	0,0193183	0,0577779	0,0046146	0,7432547	0,1569033	0,3562556	0,8038555	0,3472558	0,1514587	0,3386146	0,0148507	0,0350589	0,1905817	0,7670608	0,5447534	0,0894253	0,8231408	0,1169535	0,1326284	0,1383300	0,3599755	0,0183153	0,0488578	0,0096019	0,0059599	0,0332498	0,1236418	0,5228088	0,1057530	0,4328183	0,1516917	0,0041308	0,0243468	0,0583004	0,5991915	0,0975040	0,4812277	0,6499372	0,5816274	0,3666834	0,0115710	0,0030366	0,0101994	0,0154268	0,0417393	0,0276538	0,5540949	0,0111792	0,0555114	0,0540402	0,0662489	0,0169543	0,0575796
20	0,2194035	0,7568905	0,0717500	0,0496659	0,6047393	0,6033074	0,0540274	0,5347126	0,0439252	0,0179120	0,0435993	0,0343222	0,0365086	0,0071609	0,7694331	0,0595826	0,2856759	0,6940080	0,4349701	0,1040719	0,3962737	0,0248798	0,0301821	0,3775017	0,8160932	0,6079223	0,0490277	0,4972614	0,0667337	0,1452168	0,1197026	0,4968479	0,0107838	0,3385042	0,0099809	0,0026875	0,0639949	0,1534798	0,5655400	0,3046575	0,4522512	0,1815241	0,0004571	0,0329311	0,0408683	0,6013209	0,1506829	0,4186982	0,6603512	0,6186113	0,4444095	0,0090022	0,0048974	0,0384549	0,0143785	0,0171845	0,0605862	0,6422134	0,0188249	0,0365188	0,0581912	0,1073169	0,0181104	0,0583819
40	0,1074154	0,7225466	0,0585395	0,0376435	0,6209723	0,5790394	0,0154560	0,5284417	0,0434490	0,0446952	0,0371723	0,0275323	0,0667270	0,0025548	0,7025827	0,0888684	0,1882892	0,6477822	0,3309767	0,1090587	0,4205086	0,0189913	0,0316040	0,4196296	0,7690155	0,6316756	0,0457317	0,4944876	0,0705988	0,1967810	0,1451290	0,4086250	0,0148803	0,4313263	0,0190137	0,0044841	0,0405738	0,0862055	0,5613972	0,4530414	0,3826245	0,1378707	0,0002412	0,0332224	0,0640981	0,7254151	0,1131769	0,5040915	0,5243084	0,5617250	0,3555739	0,0076729	0,0046255	0,0101686	0,0206889	0,0027900	0,0537000	0,7186929	0,0022522	0,0652488	0,0698506	0,1122731	0,0161502	0,0679392
60	0,1017753	0,7424919	0,0608083	0,0245874	0,7345296	0,6213056	0,0060953	0,4683238	0,0476511	0,0398797	0,0395790	0,0396866	0,0229587	0,0021062	0,7450766	0,1137330	0,1390440	0,6439216	0,2986438	0,0836736	0,4032744	0,0086849	0,0361767	0,4591378	0,7341722	0,5545986	0,0540398	0,5922171	0,0339412	0,1554282	0,1611535	0,2898796	0,0028962	0,5219313	0,0184789	0,0036439	0,0303219	0,1136546	0,7292217	0,3505205	0,4720441	0,1344585	0,0000481	0,0124315	0,0569569	0,6512902	0,2103667	0,4506598	0,5954663	0,6917131	0,2688859	0,0121469	0,0038061	0,0162336	0,0083060	0,0157383	0,0167725	0,5513305	0,0123849	0,0430376	0,0294018	0,1327880	0,0230677	0,0457794
80	0,0681688	0,6947381	0,0311525	0,0235944	0,7437759	0,5236383	0,0101467	0,5790380	0,0391799	0,0234780	0,0483017	0,0515369	0,0266046	0,0014656	0,6822430	0,1959364	0,1674653	0,6113001	0,2932612	0,1241683	0,3589233	0,0075497	0,0110401	0,4964121	0,7094038	0,5169406	0,0590440	0,6676693	0,0290450	0,2291438	0,1633578	0,4053400	0,0039215	0,6617951	0,0116744	0,0032802	0,0148978	0,0864506	0,6509169	0,5071099	0,3898700	0,0760176	0,0002121	0,0187929	0,0448297	0,7154926	0,1961398	0,2782742	0,6357813	0,7440722	0,1839242	0,0099077	0,0067535	0,0065284	0,0386610	0,0133074	0,0184393	0,7377943	0,0130453	0,0228716	0,0287668	0,0529594	0,0144443	0,0445283
100	0,0745568	0,7193426	0,0687647	0,0420464	0,6227009	0,6947823	0,0095108	0,4915061	0,0467872	0,0511065	0,0736213	0,0476495	0,0398851	0,0025774	0,7720436	0,2212348	0,1363675	0,7592670	0,3525506	0,0936949	0,3560772	0,0089601	0,0218458	0,4512933	0,5591558	0,5020665	0,0750739	0,5790943	0,0728739	0,1588856	0,1922512	0,3306337	0,0033662	0,7283643	0,0355104	0,0159277	0,0134123	0,0840631	0,7074447	0,4068711	0,4199633	0,0640695	0,0000164	0,0107238	0,0464199	0,5958308	0,2152192	0,2656391	0,7256842	0,8137686	0,2350108	0,0081728	0,0086741	0,0035085	0,0072655	0,0123584	0,0356204	0,7717084	0,0102296	0,0219450	0,0445671	0,0496358	0,0330275	0,0327061
120	0,0450780	0,7805076	0,0649075	0,0321361	0,7437434	0,6934744	0,0108086	0,6181043	0,0522387	0,0351177	0,0606210	0,0672437	0,0109384	0,0025022	0,7893203	0,1923683	0,1421488	0,7430957	0,3501244	0,0927279	0,3468373	0,0131268	0,0093925	0,4993949	0,7657960	0,4842125	0,0645299	0,6349656	0,0764023	0,1566066	0,1206828	0,4045069	0,0024854	0,7990150	0,0304388	0,0050134	0,0351915	0,0554574	0,6113695	0,4586524	0,4715682	0,0929478	0,0000024	0,0222935	0,0392065	0,6656615	0,1881245	0,2209938	0,6157154	0,6805436	0,1727176	0,0068324	0,0010969	0,0074158	0,0055043	0,0062548	0,0387062	0,8007005	0,0045112	0,0199292	0,0525250	0,0713758	0,0198719	0,0224875
140	0,0551678	0,8240672	0,0693393	0,0485299	0,7387651	0,6598180	0,0088550	0,5288691	0,0261007	0,0240943	0,0486776	0,1041805	0,0143823	0,0070610	0,6530613	0,2051534	0,1564114	0,7321577	0,2686408	0,0708199	0,3122107	0,0141971	0,0198816	0,4909236	0,5593828	0,5863713	0,1196177	0,6245171	0,0865230	0,2004493	0,1681075	0,3520255	0,0022537	0,7607899	0,0195517	0,0077156	0,0291889	0,0856868	0,6510151	0,4112462	0,4340729	0,0828514	0,0001543	0,0220431	0,0276713	0,7631027	0,2063257	0,1479972	0,6251811	0,6861366	0,1389231	0,0192022	0,0071019	0,0060964	0,0186947	0,0038490	0,0496933	0,8304946	0,0256141	0,0181666	0,0365138	0,0875874	0,0203176	0,0398725
160	0,0832967	0,6959958	0,0746437	0,0436453	0,7639208	0,6032752	0,0162347	0,5601614	0,0887310	0,0498376	0,0586885	0,1079534	0,0068341	0,0080457	0,6440620	0,2598232	0,1038719	0,7359529	0,2952936	0,1338928	0,2887772	0,0099169	0,0277653	0,4876994	0,7579413	0,5069074	0,1004884	0,5315186	0,0597806	0,1585397	0,1079608	0,3176108	0,0007730	0,6430985	0,0139628	0,0068401	0,0338091	0,0567643	0,8805729	0,3830395	0,4510966	0,0992608	0,0000880	0,0178091	0,0395273	0,6711312	0,2161749	0,1218508	0,6788189	0,6035654	0,1126625	0,0261697	0,0055077	0,0034168	0,0209182	0,0096738	0,0479792	0,7220001	0,0263427	0,0124379	0,0690617	0,0790834	0,0318830	0,0413069
