"Time"	bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF

0	0,2650700	1,1022277	0,1445595	0,0468707	1,0212755	0,7298837	0,1305419	1,0291179	0,0907480	0,0417970	0,0600847	0,0333433	0,0774165	0,0060788	1,0928545	0,1452526	0,4870935	1,0756523	0,5325604	0,1585727	0,5435388	0,0121189	0,0277976	0,3908696	1,0517120	0,8436989	0,1189600	0,9560674	0,1212135	0,1200840	0,2160798	0,5312264	0,0204046	0,0402785	0,0164046	0,0184591	0,0483795	0,1808876	0,7933482	0,1878675	0,7721601	0,1835599	0,0023631	0,0200586	0,0690590	0,9119101	0,1387228	0,6514939	0,8442299	0,8921068	0,5470995	0,0255167	0,0047887	0,0149787	0,0273646	0,0217298	0,0521495	0,8513623	0,0201400	0,0621512	0,0812169	0,1611389	0,0300542	0,0699567
20	0,2660736	0,9863641	0,1134211	0,0509029	0,9444673	0,8288867	0,0671994	0,8621501	0,0524983	0,0273913	0,0623469	0,0548726	0,0687911	0,0037272	1,0255941	0,1484277	0,3484504	0,9422630	0,5483728	0,1517251	0,5672618	0,0157167	0,0359809	0,5235577	1,0632820	0,8904804	0,0960231	0,8125009	0,0990761	0,2033685	0,2017585	0,6167275	0,0141344	0,4068820	0,0185070	0,0077787	0,0594052	0,1891248	0,8251558	0,4668512	0,5946127	0,2429411	0,0008367	0,0485351	0,0550283	0,9136105	0,1898347	0,7149839	0,8923290	0,8817057	0,5459421	0,0215579	0,0063468	0,0272265	0,0278390	0,0144501	0,0641832	0,9781093	0,0161901	0,0697933	0,0909734	0,1364450	0,0271862	0,0751238
40	0,1887189	0,9966844	0,1005545	0,0472715	0,9021755	0,8331940	0,0307332	0,7592418	0,0461709	0,0438329	0,0658502	0,0406914	0,0608374	0,0055867	0,9987205	0,1860721	0,2658430	0,9330462	0,5392991	0,1512718	0,5539776	0,0131253	0,0351464	0,5847086	1,0466095	0,8446557	0,0888753	0,8179034	0,0801536	0,2389493	0,1862005	0,6034178	0,0101954	0,6118655	0,0182668	0,0074863	0,0413800	0,1622317	0,8922634	0,5490730	0,5967839	0,2199883	0,0002683	0,0328316	0,0675950	0,9815341	0,2193639	0,6672587	0,8782740	0,8732396	0,5207051	0,0117438	0,0107533	0,0264034	0,0205329	0,0058656	0,0480896	1,0082975	0,0051291	0,0606097	0,0766732	0,1262407	0,0249745	0,0727807
60	0,1411654	1,0285752	0,0897555	0,0287450	0,9859245	0,8562400	0,0149407	0,7930868	0,0605835	0,0537362	0,0569516	0,0487456	0,0467754	0,0019725	1,0877169	0,2031954	0,2229556	1,0078379	0,5008474	0,1501342	0,4968658	0,0117041	0,0284584	0,6544572	0,9920506	0,8138041	0,0904280	0,8905113	0,0835607	0,2608913	0,2039563	0,6029013	0,0079278	0,7812269	0,0297730	0,0098856	0,0303850	0,1547097	0,9401912	0,5679429	0,6888213	0,1741106	0,0000443	0,0256962	0,0819876	0,9807119	0,2669257	0,5836833	0,8709206	0,9145656	0,4359764	0,0167955	0,0082749	0,0154315	0,0185068	0,0173844	0,0363067	0,9571848	0,0137103	0,0464105	0,0389359	0,1145766	0,0295809	0,0613555
80	0,1222937	0,9812296	0,0953176	0,0323581	0,9977093	0,8648419	0,0166013	0,8042243	0,0665478	0,0551049	0,0631310	0,0713299	0,0359879	0,0043156	1,0781264	0,2402694	0,2172424	0,9580568	0,4591822	0,1367354	0,5242300	0,0135460	0,0207969	0,6755537	0,9688407	0,7887016	0,0774752	0,9008841	0,0777864	0,2430173	0,2147460	0,5726133	0,0094915	0,9275168	0,0214424	0,0065119	0,0366216	0,1241011	0,9862058	0,5910181	0,6456607	0,1352010	0,0000955	0,0252504	0,0822692	0,9781556	0,2920830	0,4675764	0,9552465	1,0043948	0,3439703	0,0201270	0,0117699	0,0129762	0,0259793	0,0189862	0,0452191	1,0038737	0,0134061	0,0436999	0,0538632	0,1077726	0,0291896	0,0780857
100	0,0870814	0,9298107	0,0917023	0,0558461	1,0594433	0,8549380	0,0107565	0,7776283	0,0641979	0,0553916	0,0885411	0,0791119	0,0325992	0,0060294	0,9891588	0,2740287	0,2119896	0,9333921	0,4900845	0,1320412	0,4882679	0,0174116	0,0254481	0,7021404	0,9437442	0,8143793	0,1043898	0,8468754	0,1063868	0,2725486	0,2356998	0,5351210	0,0052726	0,9702248	0,0302502	0,0057105	0,0264394	0,1166656	1,0346174	0,6612920	0,6968401	0,1241481	0,0000413	0,0192972	0,0635116	0,9346477	0,3079429	0,3987519	0,9027583	1,0637890	0,2997490	0,0189089	0,0081046	0,0088145	0,0156159	0,0162795	0,0525747	1,0467660	0,0143710	0,0331393	0,0586302	0,0927544	0,0352528	0,0556141
120	0,0991963	1,1257101	0,0832271	0,0537795	1,0866880	0,9011260	0,0138895	0,7698961	0,0815483	0,0539648	0,0827460	0,0932410	0,0201030	0,0072608	0,9763672	0,3139444	0,1897113	0,9475934	0,5032621	0,1169067	0,5498195	0,0158387	0,0257545	0,6623431	0,9072426	0,8608706	0,0961974	0,8769800	0,0894197	0,2582309	0,2150155	0,5441410	0,0048771	0,9886500	0,0236286	0,0044944	0,0498843	0,0695754	1,0117791	0,6510133	0,7062441	0,1430982	0,0000171	0,0246791	0,0493884	0,9898365	0,3078494	0,3542067	0,9265801	0,9928478	0,2297990	0,0164407	0,0029548	0,0096725	0,0173710	0,0107144	0,0647860	1,0566591	0,0123918	0,0257794	0,0781971	0,1217400	0,0301957	0,0455778
140	0,1065457	1,0811113	0,0736770	0,0483438	1,0365248	0,9049895	0,0072050	0,7458437	0,0837698	0,0615531	0,0698096	0,1352596	0,0222004	0,0093884	1,0052736	0,3220041	0,1824727	1,0415447	0,4690448	0,1314016	0,5491323	0,0110447	0,0163934	0,7083457	0,9492143	0,8557865	0,0923281	0,8446490	0,1119532	0,2524928	0,2626010	0,5954106	0,0051688	0,9648535	0,0198208	0,0084680	0,0506436	0,0788906	1,0167488	0,5497249	0,7115715	0,1255305	0,0000536	0,0258600	0,0465063	0,9893660	0,3269055	0,2724338	0,9705863	0,9903307	0,2139410	0,0204288	0,0101046	0,0087220	0,0245605	0,0086044	0,0664578	1,0930756	0,0114609	0,0187398	0,0597556	0,1272316	0,0291576	0,0642055
160	0,0903592	1,0577961	0,1013683	0,0452886	0,9834319	0,9572537	0,0145996	0,7784230	0,0861983	0,0743004	0,0833099	0,2051113	0,0128854	0,0134597	1,0296740	0,3403323	0,2101453	1,0761943	0,5044561	0,1343981	0,5252215	0,0147076	0,0176957	0,7382279	0,9749894	0,7098408	0,1276736	0,8358340	0,1021059	0,2444342	0,2414856	0,5747267	0,0025335	0,9089333	0,0155725	0,0097785	0,0494409	0,0926832	1,0773751	0,5995614	0,7615470	0,1418788	0,0000633	0,0283853	0,0608061	0,9953088	0,3339739	0,2136582	0,9074269	0,9117070	0,1810522	0,0174556	0,0123772	0,0040775	0,0220714	0,0098648	0,0600903	1,1004817	0,0167946	0,0160504	0,0734258	0,1205328	0,0320152	0,0539692
