"Time"	bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF

0	0,2606247	1,0317469	0,1411666	0,0604025	0,9522026	0,7291859	0,0925947	1,0366507	0,0613149	0,0430085	0,0591442	0,0435271	0,0698338	0,0018148	1,0303574	0,1522986	0,5121000	1,0295907	0,5689452	0,1061761	0,5480168	0,0146608	0,0332992	0,3753278	1,0888257	0,7500317	0,1001449	0,8876237	0,0921303	0,0972315	0,2232058	0,5560678	0,0218230	0,0425619	0,0240718	0,0043216	0,0302999	0,1667821	0,8252966	0,1985212	0,7696937	0,2085705	0,0044644	0,0273644	0,0803746	0,8649337	0,1293391	0,7863172	0,8901357	0,9257839	0,5765242	0,0187724	0,0046436	0,0338705	0,0125284	0,0336997	0,0448572	0,8965548	0,0088282	0,0671070	0,1175089	0,1689833	0,0397641	0,0952532
20	0,3037550	1,0240722	0,0938115	0,0536618	0,9723859	0,8120321	0,0914392	0,9516602	0,0539388	0,0113214	0,0464251	0,0497111	0,1059310	0,0044907	1,0317011	0,1437577	0,3966903	0,8628774	0,5528192	0,1270427	0,5263887	0,0220420	0,0401588	0,4142931	1,0555864	0,8700476	0,0679027	0,9259912	0,0938470	0,1273483	0,1936210	0,5084935	0,0245836	0,0970246	0,0132828	0,0098840	0,0456323	0,1655375	0,7791353	0,2589116	0,5888146	0,2421563	0,0015426	0,0504612	0,0529741	0,9569066	0,1345980	0,6905887	0,8211922	0,8837023	0,5686204	0,0245797	0,0072972	0,0337912	0,0312951	0,0187119	0,0634031	0,8218607	0,0203805	0,0613398	0,1022285	0,1761645	0,0285356	0,0893303
40	0,2825851	0,9557726	0,0940831	0,0477458	0,9165877	0,7979544	0,0841501	0,9139724	0,0512160	0,0269052	0,0503914	0,0467317	0,1022143	0,0042139	1,0730578	0,1630690	0,3525303	0,8895183	0,5421575	0,1254008	0,5647380	0,0094585	0,0312674	0,4390109	1,0561640	0,8892661	0,0707361	0,8463149	0,1056199	0,1626109	0,1919143	0,5779578	0,0208307	0,2308629	0,0061978	0,0099057	0,0481071	0,1845220	0,8729154	0,4229006	0,6448042	0,2692179	0,0000571	0,0527151	0,0665964	0,9513243	0,1679444	0,7211665	0,8106387	0,9116338	0,5280534	0,0190089	0,0019031	0,0268806	0,0166029	0,0184536	0,0658460	0,8265564	0,0243003	0,0494622	0,1042729	0,1676567	0,0372969	0,0605464
60	0,2688531	0,9760115	0,0851797	0,0483604	1,0359842	0,8700053	0,0484323	0,8300242	0,0560286	0,0303401	0,0450218	0,0375727	0,0887757	0,0032177	1,0421819	0,1706587	0,3045748	0,9739841	0,4896436	0,1184177	0,5112025	0,0118750	0,0274548	0,5116843	1,0190190	0,8351638	0,0663629	0,8761619	0,1040216	0,2022229	0,1737550	0,5771004	0,0090839	0,3452629	0,0182791	0,0105155	0,0407708	0,1721480	0,8663994	0,4883455	0,5902267	0,2378057	0,0004073	0,0610054	0,0838693	1,0327630	0,2172077	0,6964887	0,7934042	0,9802860	0,4912300	0,0186803	0,0040020	0,0159626	0,0138146	0,0195516	0,0391442	0,9314565	0,0238771	0,0557871	0,0831065	0,1528897	0,0375140	0,0527976
80	0,2423074	0,9785942	0,0707559	0,0248544	1,0085668	0,8546530	0,0418015	0,7723378	0,0616472	0,0355875	0,0376768	0,0487536	0,1076566	0,0027056	1,1058061	0,1864950	0,2979859	1,0498252	0,4952640	0,1152730	0,5215046	0,0135561	0,0211458	0,5546951	1,0022884	0,7893142	0,0777332	0,8898955	0,0911824	0,2322821	0,1990440	0,5714602	0,0072017	0,4626744	0,0195756	0,0226859	0,0377473	0,1373276	0,9679570	0,5527583	0,6310271	0,2027083	0,0000804	0,0637647	0,0565754	0,9936041	0,2674225	0,5862129	0,8244027	1,0320462	0,4269214	0,0216860	0,0040875	0,0110674	0,0219781	0,0145548	0,0451726	1,0393096	0,0128315	0,0289429	0,0709889	0,1434842	0,0361525	0,0660657
100	0,1994294	0,9509501	0,0840298	0,0357876	1,0343639	0,8924152	0,0263753	0,7866228	0,0684051	0,0648888	0,0379055	0,0530613	0,0961444	0,0069715	1,0996364	0,2031076	0,2511858	0,9706051	0,4684957	0,1225642	0,5084384	0,0106588	0,0447474	0,5976355	1,0039567	0,7614979	0,0884676	0,9359404	0,0879202	0,2533823	0,2096648	0,5856041	0,0039358	0,6274730	0,0243510	0,0115624	0,0431114	0,1580928	0,9757568	0,5395097	0,6563913	0,1740200	0,0001207	0,0420530	0,0655152	0,8973342	0,2901429	0,5443491	0,9162034	0,9851968	0,3983063	0,0191996	0,0041679	0,0121494	0,0213219	0,0142131	0,0508708	0,9752420	0,0129225	0,0215303	0,0622787	0,1087441	0,0294099	0,0585046
120	0,1535526	1,0258147	0,0773387	0,0406954	1,0824337	0,9067213	0,0340972	0,7642153	0,0595944	0,0628262	0,0536221	0,0826260	0,0842860	0,0117245	1,0009246	0,2485051	0,2499883	0,8932107	0,5281301	0,1196271	0,5608352	0,0133443	0,0261422	0,5974872	0,9756493	0,7584967	0,0910650	0,8786340	0,0873682	0,2547500	0,2343767	0,5723167	0,0022207	0,7600974	0,0305063	0,0075407	0,0450984	0,1296576	0,9816553	0,6439215	0,6794900	0,1555908	0,0000764	0,0369076	0,0689957	0,9296292	0,2642202	0,4807658	0,9162038	1,0110934	0,3671589	0,0128564	0,0118846	0,0115320	0,0185978	0,0100740	0,0497424	0,9705384	0,0117721	0,0317861	0,0642882	0,1252751	0,0315493	0,0311111
140	0,1551288	1,0646824	0,0999077	0,0423909	1,0139470	0,8907927	0,0211007	0,7503474	0,0818658	0,0707372	0,0545096	0,0832395	0,0758223	0,0077726	0,9730190	0,2682984	0,2317677	0,9626037	0,4983057	0,1234822	0,5099020	0,0071672	0,0175124	0,6005002	0,9340128	0,7940043	0,0757836	0,9296993	0,0928810	0,2674120	0,2013824	0,5298032	0,0020145	0,8558504	0,0153345	0,0127798	0,0390990	0,0921508	1,0490693	0,5774865	0,6651588	0,1500707	0,0001062	0,0400504	0,0527203	0,9263585	0,3068091	0,4485357	0,9475563	1,0131082	0,2536836	0,0185433	0,0071810	0,0098890	0,0221488	0,0093805	0,0753133	1,0529276	0,0080557	0,0303805	0,0702132	0,1218221	0,0333058	0,0433816
160	0,1414908	1,1040768	0,1079035	0,0651805	1,0155559	0,8875714	0,0190329	0,7836234	0,0783459	0,0756501	0,0571351	0,1217846	0,0654399	0,0078702	1,0430290	0,3109727	0,2003505	1,0236178	0,5035214	0,1059883	0,5026453	0,0186277	0,0265531	0,6685841	0,9086874	0,8021953	0,0839935	0,8615420	0,1102337	0,2470323	0,2086132	0,5248404	0,0014021	0,8958205	0,0125832	0,0051560	0,0354823	0,0821734	1,0738719	0,5220928	0,6823359	0,1376976	0,0000000	0,0436528	0,0480108	0,9798891	0,3602322	0,3626978	0,9508671	0,9148610	0,2182451	0,0135379	0,0157885	0,0042841	0,0308429	0,0116438	0,0664232	1,0961707	0,0091039	0,0112836	0,0692854	0,1123237	0,0490093	0,0724891
