"Time"	bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF

0	0,3118505	1,0000000	0,0910796	0,0451200	1,0000000	0,7688767	0,1236377	1,0000000	0,0770265	0,0472324	0,0855469	0,0364194	0,0655454	0,0040182	0,9958900	0,1598906	0,4463134	0,9734224	0,5681990	0,1209664	0,4958707	0,0103634	0,0230037	0,3633190	0,9998689	0,8401457	0,0983360	0,8675991	0,1059359	0,1058099	0,2285053	0,5665678	0,0360174	0,0403152	0,0234265	0,0075406	0,0504110	0,1845156	0,7925532	0,3170112	0,6874051	0,2591557	0,0000901	0,0437184	0,0623136	0,9471730	0,1486503	0,7055453	0,9009379	0,8900606	0,6687027	0,0211350	0,0116062	0,0325379	0,0205074	0,0122683	0,0544692	0,9016702	0,0139509	0,0823153	0,1312371	0,1298810	0,0297620	0,0717784
20	0,2253962	1,0000000	0,0910778	0,0451200	1,0000000	0,7688001	0,0733134	0,9307937	0,0770306	0,0472324	0,0855512	0,0364519	0,0509197	0,0040182	0,9959953	0,1635311	0,3253295	0,9753910	0,5184233	0,1209664	0,4957885	0,0103626	0,0230037	0,4995096	0,9998690	0,8398413	0,0983269	0,8674637	0,1063552	0,1846740	0,2285051	0,5665675	0,0354610	0,3837748	0,0234265	0,0075198	0,0503885	0,1826736	0,8792354	0,5111835	0,6873504	0,2560948	0,0000875	0,0436943	0,0623056	0,9471472	0,2085149	0,7021251	0,9008929	0,8900039	0,6650784	0,0211290	0,0114409	0,0321726	0,0205064	0,0122682	0,0544651	0,9361108	0,0138923	0,0807333	0,1268347	0,1298789	0,0297619	0,0717770
40	0,1699428	1,0000000	0,0910765	0,0451200	1,0000000	0,7688057	0,0442256	0,8850744	0,0770476	0,0472324	0,0855550	0,0371837	0,0405677	0,0040182	0,9963529	0,1820735	0,2552957	0,9819294	0,4922313	0,1209664	0,4960820	0,0103589	0,0230037	0,5895370	0,9998691	0,8370494	0,0982763	0,8670081	0,1083157	0,2217794	0,2285007	0,5665673	0,0330457	0,5887451	0,0234263	0,0074423	0,0502998	0,1742542	0,9296186	0,5930141	0,6873063	0,2421509	0,0000782	0,0435973	0,0622725	0,9471264	0,2487199	0,6843334	0,9008563	0,8899582	0,6428186	0,0211041	0,0107588	0,0303152	0,0205024	0,0122682	0,0544495	0,9580434	0,0136854	0,0738422	0,1113314	0,1298716	0,0297618	0,0717716
60	0,1343739	1,0000000	0,0910754	0,0451200	1,0000000	0,7695449	0,0274247	0,8548712	0,0770764	0,0472324	0,0855583	0,0409420	0,0332405	0,0040182	0,9966591	0,2160987	0,2175531	0,9888765	0,4833783	0,1209664	0,4987141	0,0103527	0,0230037	0,6490486	0,9998692	0,8274046	0,0981670	0,8669148	0,1116233	0,2392382	0,2284866	0,5665671	0,0293529	0,7109685	0,0234262	0,0073379	0,0501820	0,1599649	0,9589035	0,6162437	0,6872774	0,2196215	0,0000667	0,0434704	0,0622257	0,9471139	0,2743361	0,6460026	0,9008300	0,8899285	0,5893317	0,0210681	0,0097899	0,0268314	0,0204974	0,0122682	0,0544336	0,9715141	0,0134503	0,0631473	0,0941616	0,1298633	0,0297617	0,0717669
80	0,1115594	1,0000000	0,0910746	0,0451200	1,0000000	0,7734658	0,0177320	0,8349183	0,0771106	0,0472324	0,0855612	0,0521940	0,0280543	0,0040182	0,9966065	0,2566997	0,1996244	0,9937515	0,4843246	0,1209664	0,5047376	0,0103472	0,0230037	0,6883879	0,9998692	0,8064145	0,0980029	0,8679597	0,1153805	0,2474555	0,2284679	0,5665673	0,0254371	0,7839145	0,0234260	0,0072370	0,0500742	0,1427028	0,9759258	0,6168004	0,6873104	0,1946287	0,0000568	0,0433597	0,0621800	0,9471386	0,2897246	0,5837993	0,9008378	0,8899653	0,5074215	0,0210320	0,0088437	0,0224146	0,0204930	0,0122682	0,0544250	0,9790034	0,0132707	0,0516612	0,0818283	0,1298570	0,0297616	0,0717655
100	0,0969258	1,0000000	0,0910740	0,0451200	1,0000000	0,7855562	0,0121494	0,8217369	0,0771434	0,0472324	0,0855637	0,0765834	0,0243836	0,0040182	0,9960130	0,2942925	0,1932056	0,9965619	0,4890761	0,1209664	0,5130156	0,0103483	0,0230037	0,7143912	0,9998692	0,7735651	0,0978372	0,8701483	0,1187548	0,2513309	0,2284712	0,5665686	0,0219534	0,8275012	0,0234258	0,0071537	0,0499904	0,1251508	0,9858231	0,6120175	0,6875862	0,1716509	0,0000494	0,0432825	0,0621424	0,9473100	0,2982869	0,4992681	0,9009749	0,8902624	0,4174089	0,0210016	0,0080711	0,0179353	0,0204899	0,0122682	0,0544247	0,9823974	0,0131559	0,0414491	0,0746036	0,1298527	0,0297614	0,0717676
120	0,0875395	1,0000000	0,0910735	0,0451200	1,0000000	0,8095187	0,0089395	0,8130290	0,0771678	0,0472324	0,0855659	0,1162673	0,0217854	0,0040182	0,9948263	0,3241736	0,1928727	0,9980335	0,4940321	0,1209664	0,5216871	0,0103697	0,0230037	0,7315759	0,9998692	0,7351018	0,0979068	0,8728210	0,1214273	0,2531841	0,2285839	0,5665731	0,0191377	0,8535669	0,0234257	0,0070906	0,0499301	0,1091063	0,9915852	0,6076499	0,6885210	0,1526233	0,0000440	0,0432378	0,0621143	0,9478692	0,3025098	0,4017208	0,9014635	0,8912538	0,3370334	0,0209782	0,0074983	0,0139720	0,0204880	0,0122682	0,0544308	0,9835098	0,0130887	0,0333505	0,0707768	0,1298500	0,0297613	0,0717722
140	0,0815190	1,0000000	0,0910730	0,0451200	1,0000000	0,8404835	0,0070941	0,8072763	0,0771783	0,0472324	0,0855678	0,1665091	0,0199464	0,0040182	0,9931257	0,3458476	0,1952459	0,9987729	0,4976399	0,1209664	0,5294893	0,0104497	0,0230037	0,7429267	0,9998692	0,7005631	0,0990404	0,8752348	0,1237268	0,2541476	0,2291886	0,5665829	0,0169845	0,8691623	0,0234256	0,0070454	0,0498881	0,0954749	0,9949518	0,6047382	0,6906414	0,1377880	0,0000402	0,0432178	0,0620943	0,9490862	0,3041191	0,3056093	0,9025884	0,8934445	0,2722805	0,0209610	0,0070962	0,0107393	0,0204869	0,0122682	0,0544407	0,9836822	0,0130509	0,0273922	0,0688479	0,1298484	0,0297613	0,0717782
160	0,0776573	1,0000000	0,0910725	0,0451200	1,0000000	0,8696532	0,0060303	0,8034760	0,0771737	0,0472324	0,0855695	0,2192191	0,0186448	0,0040182	0,9910801	0,3606952	0,1983849	0,9991402	0,4996467	0,1209664	0,5359146	0,0106794	0,0230037	0,7504167	0,9998690	0,6767572	0,1034531	0,8770113	0,1265450	0,2548383	0,2319782	0,5665985	0,0153909	0,8784955	0,0234256	0,0070141	0,0498594	0,0844971	0,9969307	0,6030119	0,6941611	0,1266198	0,0000376	0,0432127	0,0620804	0,9509974	0,3042574	0,2232519	0,9044726	0,8969449	0,2223838	0,0209488	0,0068228	0,0082241	0,0204863	0,0122682	0,0544513	0,9835734	0,0130300	0,0232279	0,0678987	0,1298473	0,0297612	0,0717843
