"Time"	bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF

0	0,3118506	1,0000000	0,0910898	0,0451200	1,0000000	0,7691209	0,1236421	1,0000000	0,0770246	0,0472324	0,0855282	0,0364211	0,0655454	0,0040182	0,9958900	0,1598906	0,4463134	0,9734224	0,5681990	0,1209664	0,4958708	0,0103635	0,0230037	0,3633211	0,9998667	0,8401464	0,0983368	0,8676025	0,1059392	0,1058099	0,2285055	0,5665691	0,0361082	0,0403377	0,0234271	0,0075405	0,0504120	0,1845205	0,7925559	0,3170260	0,6876572	0,2592631	0,0000904	0,0437331	0,0623137	0,9472793	0,1486545	0,7055529	0,9010805	0,8901755	0,6687414	0,0211416	0,0116065	0,0325515	0,0205074	0,0122693	0,0544682	0,9016707	0,0139532	0,0823182	0,1312517	0,1298812	0,0297622	0,0717779
20	0,2944537	1,0000000	0,0910857	0,0451200	1,0000000	0,7689967	0,1131797	0,9849104	0,0770258	0,0472324	0,0855348	0,0364224	0,0630011	0,0040182	0,9959027	0,1605238	0,4237888	0,9737051	0,5569243	0,1209664	0,4958568	0,0103634	0,0230037	0,3851024	0,9998673	0,8401084	0,0983354	0,8675839	0,1059711	0,1223066	0,2285054	0,5665687	0,0360313	0,0947113	0,0234269	0,0075374	0,0504091	0,1842932	0,8219604	0,3832466	0,6875572	0,2589014	0,0000899	0,0437256	0,0623122	0,9472341	0,1655783	0,7051392	0,9010104	0,8900976	0,6682265	0,0211392	0,0115657	0,0324958	0,0205072	0,0122690	0,0544681	0,9150404	0,0139465	0,0820214	0,1307514	0,1298809	0,0297621	0,0717780
40	0,2590273	1,0000000	0,0910825	0,0451200	1,0000000	0,7689055	0,0928896	0,9543809	0,0770305	0,0472324	0,0855406	0,0365073	0,0574443	0,0040182	0,9960074	0,1669241	0,3787944	0,9759038	0,5357808	0,1209664	0,4958519	0,0103622	0,0230037	0,4320537	0,9998678	0,8394900	0,0983234	0,8674406	0,1063115	0,1519019	0,2285047	0,5665683	0,0355242	0,2075194	0,0234267	0,0075115	0,0503858	0,1820860	0,8708537	0,4819127	0,6874754	0,2556431	0,0000866	0,0436990	0,0622997	0,9471973	0,1977703	0,7007765	0,9009527	0,8900342	0,6623202	0,0211328	0,0112344	0,0319749	0,0205053	0,0122688	0,0544635	0,9368284	0,0138953	0,0793822	0,1265943	0,1298790	0,0297619	0,0717758
60	0,2205645	1,0000000	0,0910801	0,0451200	1,0000000	0,7689826	0,0720101	0,9214635	0,0770421	0,0472324	0,0855457	0,0371683	0,0509230	0,0040182	0,9962095	0,1846994	0,3316679	0,9802412	0,5165657	0,1209664	0,4964994	0,0103592	0,0230037	0,4863809	0,9998682	0,8364878	0,0982847	0,8672191	0,1072888	0,1800166	0,2285008	0,5665680	0,0342180	0,3328380	0,0234266	0,0074538	0,0503313	0,1760944	0,9134168	0,5512901	0,6874093	0,2468851	0,0000798	0,0436412	0,0622714	0,9471678	0,2297329	0,6869486	0,9009059	0,8899841	0,6416787	0,0211189	0,0105319	0,0304677	0,0205016	0,0122686	0,0544537	0,9554553	0,0137847	0,0730533	0,1177578	0,1298750	0,0297618	0,0717719
80	0,1856851	1,0000000	0,0910782	0,0451200	1,0000000	0,7699604	0,0540653	0,8918122	0,0770613	0,0472324	0,0855502	0,0397596	0,0445236	0,0040182	0,9963851	0,2136000	0,2912610	0,9852526	0,5036644	0,1209664	0,4989264	0,0103547	0,0230037	0,5389570	0,9998685	0,8280428	0,0982071	0,8672808	0,1089722	0,2024677	0,2284919	0,5665678	0,0321417	0,4494904	0,0234264	0,0073748	0,0502549	0,1660985	0,9444473	0,5873695	0,6873654	0,2326961	0,0000712	0,0435620	0,0622330	0,9471504	0,2557346	0,6585133	0,9008737	0,8899602	0,5987937	0,0210984	0,0096458	0,0278423	0,0204973	0,0122685	0,0544429	0,9685500	0,0136420	0,0639330	0,1067958	0,1298698	0,0297617	0,0717685
100	0,1566918	1,0000000	0,0910768	0,0451200	1,0000000	0,7739311	0,0399231	0,8673221	0,0770859	0,0472324	0,0855541	0,0467959	0,0387650	0,0040182	0,9963661	0,2481639	0,2602874	0,9896892	0,4970982	0,1209664	0,5036511	0,0103511	0,0230037	0,5856340	0,9998687	0,8112528	0,0980926	0,8679973	0,1111688	0,2190271	0,2284825	0,5665678	0,0295743	0,5493447	0,0234262	0,0072899	0,0501717	0,1531021	0,9652826	0,6019909	0,6873863	0,2150252	0,0000626	0,0434780	0,0621930	0,9471729	0,2746641	0,6119439	0,9008824	0,8900319	0,5355799	0,0210741	0,0087846	0,0243925	0,0204934	0,0122684	0,0544350	0,9765263	0,0134989	0,0538384	0,0963646	0,1298646	0,0297616	0,0717674
120	0,1338005	1,0000000	0,0910757	0,0451200	1,0000000	0,7842054	0,0293325	0,8481040	0,0771121	0,0472324	0,0855575	0,0613089	0,0338421	0,0040182	0,9960053	0,2821202	0,2384202	0,9930713	0,4950513	0,1209664	0,5101740	0,0103540	0,0230037	0,6250183	0,9998689	0,7858534	0,0979937	0,8694343	0,1135808	0,2307218	0,2284942	0,5665686	0,0268370	0,6307851	0,0234261	0,0072109	0,0500929	0,1385887	0,9786414	0,6060508	0,6876069	0,1962157	0,0000551	0,0434024	0,0621572	0,9473200	0,2873403	0,5473197	0,9010149	0,8904045	0,4623073	0,0210491	0,0080636	0,0206032	0,0204904	0,0122684	0,0544319	0,9807004	0,0133739	0,0443271	0,0877829	0,1298601	0,0297615	0,0717688
140	0,1163323	1,0000000	0,0910748	0,0451200	1,0000000	0,8023689	0,0216627	0,8335234	0,0771350	0,0472324	0,0855605	0,0850042	0,0297739	0,0040182	0,9952194	0,3114008	0,2240540	0,9954289	0,4954665	0,1209664	0,5174970	0,0103777	0,0230037	0,6571532	0,9998690	0,7554032	0,0981361	0,8713289	0,1159956	0,2387813	0,2286156	0,5665712	0,0241828	0,6951764	0,0234259	0,0071438	0,0500247	0,1239700	0,9869692	0,6059628	0,6882920	0,1781217	0,0000490	0,0433421	0,0621280	0,9477477	0,2951770	0,4696244	0,9014326	0,8914421	0,3896467	0,0210255	0,0075132	0,0169100	0,0204884	0,0122683	0,0544336	0,9825557	0,0132733	0,0362815	0,0812988	0,1298563	0,0297614	0,0717726
160	0,1033214	1,0000000	0,0910740	0,0451200	1,0000000	0,8258843	0,0162366	0,8227226	0,0771503	0,0472324	0,0855631	0,1170400	0,0264923	0,0040182	0,9940074	0,3344962	0,2152719	0,9969832	0,4967805	0,1209664	0,5246995	0,0104600	0,0230037	0,6827569	0,9998690	0,7255746	0,0992345	0,8732982	0,1184279	0,2442916	0,2292439	0,5665767	0,0217696	0,7450135	0,0234258	0,0070904	0,0499688	0,1103074	0,9920715	0,6047203	0,6897525	0,1618698	0,0000442	0,0432985	0,0621056	0,9486148	0,2995753	0,3873342	0,9023196	0,8934846	0,3242718	0,0210047	0,0071165	0,0135920	0,0204872	0,0122683	0,0544391	0,9832301	0,0131966	0,0299757	0,0766494	0,1298534	0,0297613	0,0717777
