"Time"	bolA	ompR	csgD	rstA	rcsB	rcsA	flhD	hdfR	flhC	qseB	lrhA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtE	mdtF	csgF	csgE	csgG	hdeA	hdeB	yhiD	gadA	gadB	gadC	sra	flgH	fliM	ppdA	flgM	fliT	fliF	osmB	fliK	wcaB	ygdB	gltJ	flgA	flgE	wzb	fliJ	flgG	wzc	wcaA	fliQ	fliE	fliG	recC	flgC	fliO	flgD	ygbK	fliR	fliN	yhjH	fliP	gltI	flgF

0	0,1971772	0,7206760	0,0952578	0,0365583	0,7495391	0,5146081	0,0603105	0,7030969	0,0711232	0,0326856	0,0432073	0,0279822	0,0306992	0,0009221	0,6774888	0,1098314	0,2890523	0,6964302	0,3963102	0,0736887	0,3419162	0,0142712	0,0148227	0,2651402	0,7864806	0,4932566	0,0647955	0,5207871	0,0485294	0,0771583	0,2094375	0,3992162	0,0272423	0,0190458	0,0119801	0,0022592	0,0210869	0,0811751	0,5979980	0,1285382	0,5384681	0,1399632	0,0027278	0,0429734	0,0774186	0,5360899	0,0710083	0,5019723	0,6261051	0,6318996	0,3897902	0,0213940	0,0030960	0,0141283	0,0135101	0,0172995	0,0367446	0,5116425	0,0026126	0,0325398	0,0519188	0,1261986	0,0244701	0,0610074
20	0,2162472	0,7335085	0,0599332	0,0416665	0,6227639	0,6124402	0,0448646	0,7463328	0,0285064	0,0125329	0,0221540	0,0287441	0,0676974	0,0016907	0,6770802	0,0661343	0,3378597	0,6194901	0,3653727	0,1039318	0,4534641	0,0227933	0,0419121	0,3121063	0,8503227	0,5795147	0,0453115	0,5814225	0,0355017	0,0766964	0,1398432	0,3304392	0,0145043	0,0545058	0,0102708	0,0029660	0,0303742	0,1178462	0,5312078	0,1891296	0,4521554	0,2085728	0,0012681	0,0350366	0,0234493	0,6765226	0,1245596	0,4968966	0,5376518	0,6451086	0,4194956	0,0119723	0,0050479	0,0300422	0,0195509	0,0113173	0,0330734	0,5807732	0,0097911	0,0360130	0,0904550	0,1127943	0,0237051	0,0655376
40	0,1608606	0,7702644	0,0973481	0,0244034	0,6137668	0,4656632	0,0975005	0,6578584	0,0345786	0,0218417	0,0216709	0,0417188	0,0769787	0,0043917	0,7360417	0,0913740	0,2269992	0,7616365	0,4453693	0,0833238	0,3305692	0,0080140	0,0410116	0,3089342	0,7778756	0,6160157	0,0663529	0,5260429	0,0718705	0,1024782	0,1623096	0,3166623	0,0257756	0,1399601	0,0042960	0,0073164	0,0176526	0,1702143	0,6550746	0,2402826	0,4631219	0,1819175	0,0000682	0,0503950	0,0521875	0,6358903	0,1257357	0,4947924	0,5652860	0,6370963	0,3178765	0,0110881	0,0018441	0,0173221	0,0089523	0,0164131	0,0572670	0,5784510	0,0323640	0,0678889	0,0712053	0,1104075	0,0175442	0,0323434
60	0,2036233	0,7096345	0,0757920	0,0739504	0,8225245	0,6261714	0,0645069	0,5498862	0,0405676	0,0163574	0,0317265	0,0261874	0,0476068	0,0014399	0,7495344	0,1111339	0,1901826	0,6134134	0,3370560	0,0818997	0,2939409	0,0087031	0,0098380	0,3963271	0,7751898	0,5734207	0,0326784	0,5298776	0,0891189	0,1650856	0,1076983	0,4353132	0,0047560	0,2402714	0,0338698	0,0084739	0,0242374	0,1465483	0,5872649	0,3336325	0,3401920	0,2389210	0,0001838	0,0297265	0,0851602	0,5930036	0,1478165	0,5591710	0,6372003	0,6899162	0,4194531	0,0147078	0,0059795	0,0104635	0,0062912	0,0135600	0,0290673	0,5500874	0,0152247	0,0320151	0,0755330	0,0906483	0,0219016	0,0386449
80	0,1773959	0,6995508	0,0630277	0,0253486	0,7784133	0,6193887	0,0253692	0,6361777	0,0436676	0,0271111	0,0275082	0,0178438	0,1223926	0,0012467	0,7488580	0,1107756	0,2499182	0,7583150	0,3021664	0,1121431	0,3806543	0,0158461	0,0160305	0,3727283	0,6513107	0,5487211	0,0626150	0,6202135	0,0401559	0,1411655	0,1280899	0,3181855	0,0084270	0,2950753	0,0156454	0,0228504	0,0086634	0,0732519	0,7808808	0,3239024	0,5389712	0,1541078	0,0000404	0,0390417	0,0551932	0,6676974	0,1526479	0,3911006	0,6198074	0,8087888	0,2819696	0,0246628	0,0026543	0,0033988	0,0094473	0,0120813	0,0274994	0,7299101	0,0029811	0,0503805	0,0301078	0,0611897	0,0261909	0,0544660
100	0,1773178	0,6209513	0,0323046	0,0292694	0,6901865	0,6395841	0,0170002	0,5021790	0,0326764	0,0432985	0,0312967	0,0534746	0,0867688	0,0029999	0,8106052	0,1616502	0,2177832	0,6752934	0,2816475	0,0673129	0,3360887	0,0114974	0,0286584	0,3651813	0,6287427	0,6402623	0,0429810	0,7674759	0,1035883	0,2027964	0,1390138	0,3689339	0,0064796	0,4028609	0,0179801	0,0107821	0,0221580	0,1232671	0,7001811	0,3638548	0,4789999	0,1617619	0,0000880	0,0144811	0,0494685	0,7402628	0,1753105	0,4135764	0,4924776	0,6324260	0,3529375	0,0123870	0,0018543	0,0061009	0,0173219	0,0097901	0,0323191	0,7283134	0,0080950	0,0170155	0,0363011	0,0984739	0,0280466	0,0380841
120	0,0914282	0,7199491	0,0483997	0,0199216	0,7019589	0,6347697	0,0182295	0,6098260	0,0207177	0,0419872	0,0374193	0,0576689	0,0645161	0,0202598	0,7720204	0,1821520	0,1967377	0,5801343	0,3282847	0,0671839	0,3588039	0,0111302	0,0335167	0,3689487	0,6758518	0,4936427	0,0678977	0,6462912	0,0367358	0,1809613	0,1375609	0,3548429	0,0009989	0,6776073	0,0186468	0,0059878	0,0384736	0,0964853	0,6571121	0,4567781	0,5203573	0,1274272	0,0001787	0,0249888	0,0450440	0,5757460	0,1403843	0,4545895	0,6543556	0,7806692	0,2240354	0,0095227	0,0047528	0,0196165	0,0182147	0,0094569	0,0454834	0,6425048	0,0127542	0,0315468	0,0525751	0,1147969	0,0220713	0,0447683
140	0,0873116	0,8047785	0,0826618	0,0488465	0,6571538	0,7652398	0,0227738	0,4133237	0,0505985	0,0653219	0,0669994	0,0947705	0,0562679	0,0304963	0,7334271	0,1919799	0,1831243	0,7704724	0,3428861	0,0671357	0,4131851	0,0017471	0,0118808	0,4618808	0,6098449	0,6107087	0,0486699	0,6646830	0,0594492	0,2249880	0,1577366	0,3595839	0,0017807	0,6495009	0,0118791	0,0095186	0,0458246	0,0623485	0,7608031	0,4930448	0,5173109	0,0948021	0,0001852	0,0258047	0,0266685	0,6086364	0,2809115	0,2771743	0,7009658	0,7037810	0,2231937	0,0133859	0,0060380	0,0038004	0,0196047	0,0314669	0,0480908	0,8257504	0,0076403	0,0157002	0,0664253	0,0889297	0,0521107	0,0210555
160	0,0933919	0,8275290	0,0621765	0,0530432	0,7604973	0,6390144	0,0147386	0,5902191	0,0508519	0,0471865	0,0558834	0,1079392	0,0622882	0,0082574	0,7400614	0,2040017	0,1168864	0,6842803	0,2999483	0,0436347	0,3101929	0,0117727	0,0146303	0,3518335	0,5896580	0,4580971	0,0581900	0,4839688	0,0657011	0,1295370	0,1440647	0,4182709	0,0014914	0,5824316	0,0129745	0,0115470	0,0092273	0,0973793	0,8064304	0,2964620	0,5755148	0,0743602	0,0000000	0,0322865	0,0625620	0,8759470	0,2516081	0,2579924	0,7298584	0,5955144	0,1375757	0,0029554	0,0059254	0,0048810	0,0281133	0,0084833	0,0658656	0,8337112	0,0060223	0,0077321	0,0577043	0,0757351	0,0235139	0,0621852
