Time	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16	Gene17	Gene18	Gene19	Gene20	Gene21	Gene22	Gene23	Gene24	Gene25	Gene26	Gene27	Gene28	Gene29	Gene30	Gene31	Gene32	Gene33	Gene34	Gene35	Gene36	Gene37	Gene38	Gene39	Gene40	Gene41	Gene42	Gene43	Gene44	Gene45	Gene46	Gene47	Gene48	Gene49	Gene50	Gene51	Gene52	Gene53	Gene54	Gene55	Gene56	Gene57	Gene58	Gene59	Gene60	Gene61	Gene62	Gene63	Gene64
0	0.3204846	0.7054184	0.0894085	0.6664296	0.0193794	0.0653298	0.4305973	0.1984593	0.0172691	0.4873333	0.3453226	0.6230326	0.4255024	0.0037973	0.3674308	0.2021675	0.0736281	0.6709019	0.0191467	0.0822025	0.5641187	0.187948	0.6187512	0.0174916	0.3241681	0.1570638	0.1256707	0.4125198	0.4123317	0.5416282	0.0626214	0.237811	0.4760976	0.0841655	0.1114937	0.3612566	0.0066268	0.0045949	0.4899384	0.0003401	0.7158676	0.0226968	0.4577429	0.7609324	0.098161	0.3024452	0.648024	0.6257498	0.7206273	0.3721393	0.265302	0.5415942	0.5961546	0.0024098	0.0052501	0.2394804	0.0891768	0.0458368	0.0985449	0.135234	0.0383338	0.496121	0.0286417	0.5318974
20	0.2518937	0.7392421	0.0782899	0.74884	0.0184025	0.3097484	0.5080532	0.260529	0.1069333	0.3662513	0.412883	0.5792265	0.5526318	0.0016324	0.2525527	0.1330067	0.1988859	0.5276018	0.0090687	0.0992362	0.5480952	0.1923109	0.630387	0.0221357	0.4275553	0.1988744	0.1017879	0.3646362	0.3361061	0.5015876	0.100253	0.224438	0.4441604	0.1531636	0.136725	0.4394389	0.255045	0.0014074	0.4553228	0.0050787	0.6994342	0.0176347	0.3344265	0.4762807	0.0844418	0.113907	0.6469823	0.6460237	0.587229	0.3623836	0.3084007	0.4236652	0.5501252	0.0139579	0.161703	0.1797671	0.0736562	0.0619082	0.2000398	0.2179548	0.0729136	0.3425666	0.030058	0.5147242
40	0.1901047	0.7676357	0.0925639	0.5651887	0.0201276	0.5032887	0.5172501	0.2177802	0.1775065	0.4851844	0.4304372	0.637806	0.6581821	0.016694	0.3421946	0.0941637	0.3639868	0.4072435	0.0389711	0.0745265	0.5755928	0.2916155	0.51336	0.0264244	0.3820826	0.1580741	0.0933226	0.4235595	0.3272547	0.6566098	0.1269428	0.2060671	0.482297	0.0787787	0.1525958	0.3979318	0.4244081	0.0045598	0.3874899	0.0036743	0.6665597	0.0337476	0.3463425	0.2680388	0.1240007	0.1283646	0.6121724	0.5275901	0.6874157	0.3542397	0.3496332	0.3798383	0.5302701	0.0058859	0.3405051	0.1390271	0.0881573	0.1005117	0.2968544	0.2212941	0.0632065	0.4155976	0.045778	0.3142853
60	0.2066227	0.6616477	0.0371445	0.6391769	0.024681	0.5909541	0.5830629	0.1374059	0.2575016	0.4608933	0.4365779	0.6137744	0.7066233	0.0013967	0.3008803	0.1006956	0.4362698	0.4610196	0.0259895	0.0681654	0.5421055	0.1667696	0.6169888	0.055924	0.2875093	0.1589612	0.1564044	0.4702216	0.3608944	0.6905792	0.2016415	0.3024766	0.3763713	0.0508443	0.1715387	0.5252086	0.5264973	0.0029896	0.382001	0.0103224	0.7060718	0.0500056	0.3306327	0.2504338	0.099912	0.0935316	0.5548946	0.5888881	0.6639137	0.3979778	0.3930498	0.4218658	0.4635816	0.0113635	0.3503732	0.1610154	0.1041044	0.0957104	0.4472482	0.2191216	0.0604925	0.4133161	0.0645586	0.4824771
80	0.2348376	0.7567366	0.0401674	0.7587931	0.0274905	0.5317668	0.5967813	0.1320952	0.205756	0.421788	0.4446031	0.7411618	0.6612241	0.0026949	0.2822619	0.1249056	0.3650147	0.4079956	0.0094078	0.0597469	0.5192502	0.2220718	0.5378049	0.0914434	0.3396216	0.1175826	0.0961016	0.4009678	0.533436	0.7576124	0.2251644	0.2809044	0.401947	0.0644224	0.1888645	0.4797344	0.453198	0.0089882	0.3257043	0.0131438	0.6406923	0.0846271	0.3685555	0.1887418	0.1453087	0.2016574	0.5704302	0.6683627	0.6755728	0.3828604	0.4408818	0.4529606	0.4870506	0.0043083	0.4577418	0.0764918	0.0916254	0.0976205	0.3946787	0.2585482	0.0704361	0.4780409	0.1360657	0.4969197
100	0.1920169	0.7329123	0.0366539	0.7402657	0.0180298	0.6288673	0.492134	0.1235398	0.2190316	0.4265566	0.4779816	0.666455	0.6995669	0.008787	0.3673374	0.1802727	0.4526898	0.5254967	0.0153705	0.0702408	0.6293334	0.2548988	0.5667331	0.1882821	0.3365746	0.1542889	0.0805509	0.4543304	0.459249	0.645903	0.2501172	0.3046112	0.4067948	0.0630492	0.1230404	0.6059225	0.4825185	0.0119361	0.3260597	0.0078392	0.5798787	0.0669197	0.3515542	0.1066511	0.239391	0.2316677	0.6727046	0.7081512	0.8546394	0.2077964	0.4034512	0.4308683	0.5108123	0.0034718	0.4148641	0.126352	0.0833551	0.1172751	0.4273699	0.2426656	0.0832217	0.4189361	0.111313	0.5121916
120	0.2128796	0.6741813	0.0265442	0.6693737	0.0141783	0.7139896	0.5412715	0.112045	0.2635792	0.3973835	0.3349086	0.6167582	0.585484	0.0019481	0.3202841	0.1413462	0.3494411	0.3949379	0.0143104	0.0577201	0.60638	0.2347374	0.5793676	0.1524071	0.3624833	0.1311176	0.1223798	0.5309207	0.4699242	0.707874	0.1973275	0.2979998	0.4508849	0.0593662	0.1867844	0.5447563	0.4868748	0.0075929	0.3358358	0.0074848	0.809698	0.076735	0.3537318	0.1105291	0.1983905	0.2751045	0.5655419	0.6658449	0.6603171	0.2118142	0.3523792	0.502653	0.4529921	0.0032995	0.463622	0.0743395	0.1006122	0.0871994	0.5042562	0.2268	0.0491435	0.3943316	0.1880576	0.5047959
140	0.1548165	0.6693608	0.0404477	0.6627031	0.0288519	0.5229067	0.5095687	0.1438974	0.3683681	0.3808437	0.3970796	0.6625249	0.6183297	0.0058881	0.4540252	0.1294767	0.3860174	0.4623556	0.0170263	0.0684983	0.5831079	0.2526775	0.6932456	0.2200975	0.3328218	0.2834808	0.1419356	0.5613337	0.5865518	0.7079781	0.2685909	0.2600829	0.4301342	0.0671427	0.1322989	0.7210119	0.4639132	0.0227612	0.214814	0.0080971	0.734284	0.1195951	0.3614325	0.0821467	0.1566112	0.1493149	0.6914582	0.5270228	0.6799183	0.1323252	0.5245118	0.510091	0.4556674	0.0013316	0.4757549	0.0791747	0.0699046	0.1191883	0.5188732	0.2260889	0.0572565	0.5288265	0.2051013	0.4334634
160	0.2264475	0.7607066	0.0593844	0.7477413	0.0200567	0.8329378	0.5583896	0.1867825	0.3850732	0.4537546	0.4641505	0.7226714	0.530947	0.0122374	0.3259826	0.1001667	0.445747	0.4593537	0.0225067	0.0681823	0.6036533	0.2701902	0.8028697	0.2073166	0.329111	0.2868525	0.1535701	0.5859474	0.5109965	0.7252913	0.2264178	0.3216573	0.3539977	0.0821017	0.0850148	0.729999	0.4994951	0.0076064	0.196921	0.0197761	0.7617111	0.1085909	0.4598743	0.0482019	0.1791668	0.1221316	0.6599434	0.6424895	0.5461811	0.159691	0.5211971	0.5044669	0.4397052	0.0134097	0.4106884	0.1000917	0.0323487	0.0905269	0.4308371	0.2565677	0.0876123	0.4726285	0.1822191	0.4362012
180	0.2326359	0.8974251	0.0294594	0.605596	0.0097268	0.7133386	0.6118905	0.1467391	0.3320859	0.4942497	0.4389584	0.7836747	0.5376415	0.0138208	0.3614993	0.1026831	0.4327648	0.4017087	0.0371265	0.0901816	0.6698362	0.2390047	0.6797265	0.2124329	0.2420306	0.2726333	0.1143861	0.5781986	0.6441075	0.7284827	0.2254072	0.4007512	0.3602726	0.0789699	0.1604224	0.6128143	0.4549271	0.009185	0.2026644	0.0148854	0.7136638	0.0863462	0.277773	0.0383895	0.190195	0.1865732	0.5741833	0.5862984	0.6981809	0.1500885	0.4497427	0.5770409	0.4036821	0.0025664	0.5087311	0.0991083	0.082897	0.058458	0.4698223	0.1556476	0.0841405	0.5481032	0.1486071	0.4871117
