"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV

0	0,3633795	1,0260623	0,1055890	0,8846538	0,0329460	0,0876920	0,6879254	0,2550701	0,0294469	0,6132497	0,5502609	0,8445834	0,5547583	0,0034831	0,5766090	0,3072918	0,0964778	0,9651034	0,0145752	0,1411746	0,8362937	0,2968111	0,8353773	0,0184867	0,4961352	0,1772625	0,1741367	0,5666414	0,6301260	0,7073350	0,1154372	0,3440314	0,6825205	0,1002925	0,2000820	0,6238210	0,0090578	0,0071973	0,7714769	0,0010165	1,0641650	0,0253127	0,5589742	1,0651136	0,1517328	0,3407005	0,8633017	0,9010732	0,9781860	0,4672929	0,4713882	0,7385262	0,9021530	0,0026807	0,0149380	0,3719636	0,1208755	0,0613922	0,1610915	0,2758997	0,0726234	0,6496589	0,0520533	0,7582986
20	0,2823707	0,9874225	0,0837613	0,9344520	0,0315285	0,4145029	0,7549860	0,2815735	0,1463044	0,5704659	0,5492004	0,9009380	0,8355663	0,0040198	0,4521178	0,1990118	0,3222601	0,7476360	0,0251337	0,1038673	0,7184438	0,2622660	0,9098335	0,0241146	0,4415671	0,2285661	0,1568686	0,5670496	0,5815158	0,7126924	0,1269193	0,3544495	0,5920713	0,1026517	0,2060058	0,6651204	0,3576700	0,0084037	0,6734420	0,0076751	1,0621903	0,0387120	0,4580848	0,6568847	0,1483998	0,1815447	0,8596274	0,8450298	0,9052228	0,5155868	0,4897162	0,6982338	0,7451977	0,0103635	0,2264735	0,2886440	0,1300892	0,1081290	0,3824899	0,3249540	0,0963693	0,5707249	0,0480746	0,6318103
40	0,2718000	0,9958021	0,0725183	0,8823025	0,0355824	0,6109958	0,7251888	0,2342468	0,2165513	0,5982319	0,5559815	0,9148839	0,8999297	0,0052486	0,4581101	0,1431526	0,4346238	0,7306638	0,0226096	0,1046300	0,7329291	0,2766819	0,8831143	0,0347721	0,4556625	0,2116009	0,1466246	0,6057631	0,5720507	0,8077426	0,1828254	0,3123270	0,6294442	0,0938326	0,2044265	0,6324078	0,5543918	0,0057926	0,5998301	0,0082457	1,0026387	0,0525717	0,4806151	0,4741491	0,1597945	0,2026378	0,8279869	0,7645070	0,8579472	0,5178504	0,5463668	0,6716444	0,7500352	0,0083717	0,3967199	0,2236793	0,1309317	0,1402380	0,4810355	0,3000562	0,0802932	0,5708353	0,0750994	0,6107194
60	0,2857860	0,9738205	0,0596212	0,8588746	0,0314782	0,7407900	0,7873927	0,2164372	0,2774505	0,6188297	0,5610859	0,9442591	0,9380388	0,0035957	0,4406174	0,1694654	0,5685509	0,6960260	0,0190912	0,1109225	0,7682154	0,2855469	0,8591201	0,0784631	0,4798822	0,2288522	0,1637921	0,6080325	0,5829220	0,9568970	0,2731260	0,3824977	0,5580165	0,0895800	0,2156690	0,6597243	0,5947109	0,0052512	0,5457417	0,0087349	0,9868356	0,0627274	0,4706207	0,3228510	0,2048347	0,2282488	0,7903308	0,9250383	0,9202161	0,5060748	0,5741245	0,6392241	0,7064736	0,0116561	0,4585106	0,2143007	0,1390546	0,1258663	0,5383471	0,2986945	0,0838877	0,5710164	0,1145181	0,6967942
80	0,3323428	1,0248911	0,0640716	0,8707183	0,0267981	0,8138410	0,7739229	0,1879137	0,2832271	0,6361890	0,5861358	0,9233118	0,9833039	0,0073045	0,4362647	0,1443617	0,5907859	0,6738813	0,0157453	0,0997213	0,8221550	0,3427494	0,8899788	0,1349533	0,4245856	0,1993207	0,1382185	0,6490892	0,6853913	0,9921281	0,3171995	0,3868458	0,5228458	0,0949037	0,2279738	0,6760777	0,5559457	0,0094635	0,5242926	0,0150470	1,0253390	0,0721922	0,4864786	0,2283890	0,2018890	0,2467593	0,8383892	0,9628162	0,9505025	0,4432080	0,6198388	0,6709282	0,7035949	0,0115001	0,5432497	0,1569614	0,1491689	0,1147864	0,6077568	0,2774105	0,0946470	0,5580591	0,1578926	0,7350746
100	0,3185050	0,9944621	0,0499962	0,9645181	0,0264612	0,9236551	0,7814559	0,1903838	0,3458807	0,5894839	0,5874532	0,9657557	0,9000047	0,0083888	0,4809523	0,1565931	0,5890642	0,5887513	0,0263114	0,0785353	0,7636410	0,3477137	0,8860433	0,2059591	0,4094603	0,2058912	0,1577269	0,6182968	0,7369479	0,9764627	0,2929489	0,4120995	0,5483144	0,1191806	0,2202839	0,7568143	0,5777724	0,0174397	0,4224412	0,0137638	1,0609635	0,0860098	0,4906163	0,1733298	0,2393405	0,2796941	0,8347925	0,9476975	0,9292193	0,3136665	0,6199577	0,6787275	0,6899734	0,0070053	0,6211763	0,1742860	0,1328579	0,1231669	0,5928570	0,2807738	0,1009173	0,6039600	0,1958471	0,7235958
120	0,3093460	0,9740433	0,0436824	0,9361908	0,0337070	0,9667160	0,7810820	0,1809900	0,3961734	0,5503086	0,5369535	0,9242677	0,8257347	0,0066599	0,4934066	0,1579666	0,6014868	0,6020400	0,0206886	0,0780881	0,7921265	0,3702342	0,9164143	0,2313148	0,4248415	0,2581988	0,1738778	0,7582700	0,7731789	0,9589381	0,3291418	0,4224071	0,5890982	0,0802001	0,2408259	0,8368073	0,6029104	0,0095851	0,4263608	0,0131585	1,0653733	0,1278016	0,5601176	0,1511213	0,2358383	0,3059202	0,8235954	0,9537455	0,9458057	0,2568748	0,5854076	0,7052866	0,6526642	0,0062032	0,6366607	0,1114958	0,1237051	0,1670927	0,6555074	0,2955366	0,0877196	0,5856679	0,2445841	0,7411017
140	0,2762005	1,0077510	0,0465577	0,9274802	0,0255786	0,9038837	0,7149488	0,1910809	0,4732730	0,5666782	0,5860138	0,8711811	0,8435342	0,0131210	0,5050239	0,1472234	0,6121741	0,6718583	0,0329874	0,0917351	0,8450903	0,3719502	0,9625803	0,3090029	0,4700171	0,3240241	0,1928879	0,7935301	0,7820272	1,0467186	0,4008549	0,4163795	0,6048783	0,0754133	0,2035569	0,8699854	0,5802524	0,0111565	0,3774937	0,0090965	1,0480815	0,1649343	0,5465235	0,0973277	0,2250001	0,3073262	0,8799935	0,9036182	0,9981867	0,2048115	0,6332815	0,7427738	0,6306387	0,0026105	0,6925153	0,1165332	0,1189180	0,1502054	0,7049878	0,3127655	0,1048034	0,6630036	0,2855238	0,6791132
160	0,2838193	1,0627760	0,0532014	0,9053287	0,0219713	1,0119833	0,6878481	0,2113061	0,5148182	0,6395265	0,6227064	0,9225178	0,8475380	0,0135054	0,5194093	0,1204420	0,5476216	0,6272471	0,0225180	0,0993900	0,8619778	0,4106089	0,9743610	0,2920443	0,4369274	0,3536681	0,2095523	0,7630780	0,7946545	1,0059530	0,3527427	0,4280796	0,5965694	0,1021005	0,1852741	0,9219955	0,6728669	0,0120658	0,3462001	0,0124131	1,1004505	0,1720546	0,5598753	0,0720557	0,2535899	0,2705739	0,8491585	0,9707718	0,9891383	0,1992308	0,6615576	0,7375181	0,6395959	0,0120142	0,6481705	0,1388966	0,1048708	0,1306694	0,7167822	0,3257279	0,1112617	0,6824792	0,2688828	0,6602374
180	0,3369902	1,0211008	0,0383753	0,9293899	0,0167586	0,9901335	0,7400249	0,2105387	0,4799955	0,6640100	0,6681098	1,0028304	0,8446422	0,0102694	0,5260258	0,1171608	0,6178061	0,6310334	0,0273051	0,1091581	0,8642422	0,3951396	0,9221498	0,3316839	0,4220081	0,3356446	0,2241655	0,7664364	0,8267065	1,0322181	0,3553361	0,4911378	0,5697846	0,1051696	0,1959725	0,8680284	0,6914931	0,0122841	0,3379600	0,0103101	1,0276767	0,1168378	0,5174788	0,0593723	0,2600402	0,3158106	0,8491476	0,9256018	0,9937705	0,1500471	0,5961268	0,7808146	0,6202429	0,0077112	0,7233012	0,1621784	0,1277206	0,1264864	0,6828295	0,2831117	0,1326646	0,7349617	0,2621420	0,6972063
200	0,2797202	1,0781965	0,0471488	0,9172910	0,0233116	1,0371366	0,7571264	0,1836977	0,5272187	0,6135311	0,7906950	1,0124162	0,7872042	0,0045849	0,4413990	0,0997886	0,6167151	0,6104861	0,0239548	0,1192913	0,8823373	0,3941521	0,9044749	0,4199088	0,4988403	0,3527485	0,2128720	0,7371377	0,8825302	1,0236729	0,3288536	0,5055137	0,5579493	0,0919948	0,1732600	0,8851043	0,6291789	0,0108428	0,3517307	0,0108206	1,0702173	0,1233935	0,5594884	0,0393123	0,2888794	0,3133522	0,8325878	0,9162134	0,9694548	0,1916925	0,5618421	0,8020785	0,5736135	0,0083770	0,6957069	0,1500734	0,1343688	0,1567206	0,6759574	0,2190022	0,1038432	0,7337043	0,2617422	0,7077319
220	0,3148997	1,0752464	0,0386026	0,9444226	0,0217729	1,0187108	0,7848134	0,2044383	0,5284960	0,5926211	0,8494224	1,0248541	0,7499858	0,0026462	0,4415260	0,1088357	0,5999370	0,5646605	0,0208887	0,1176438	0,9126672	0,4268464	0,9542570	0,3833824	0,4906367	0,3298953	0,1923316	0,7846343	0,9035510	0,9627254	0,3743754	0,5591413	0,5150642	0,1060475	0,1739956	0,8530439	0,6256137	0,0130772	0,3524337	0,0081711	1,0142800	0,1047938	0,5296655	0,0380441	0,3479832	0,2943483	0,8962731	0,9423354	0,9342415	0,2687988	0,6340277	0,7382382	0,5624844	0,0053979	0,7032186	0,1486642	0,1258364	0,1536311	0,6900325	0,1806923	0,0800953	0,6983761	0,2515133	0,6446771
