"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV

0	0,3487222	0,9968804	0,1205747	0,8984512	0,0213468	0,0851646	0,7745071	0,2985892	0,0353727	0,5870825	0,5623564	0,9087818	0,7857989	0,0162028	0,5987198	0,3141963	0,1066544	0,9556707	0,0264168	0,1232680	0,7448182	0,3437999	0,8971324	0,0316446	0,5336225	0,2418201	0,1917882	0,5688978	0,5378842	0,7182525	0,1174629	0,3648354	0,5992383	0,0865851	0,2129354	0,5767554	0,0021941	0,0104152	0,7482457	0,0048346	1,0845363	0,0343902	0,6066643	0,9995913	0,1575391	0,2991178	0,8314785	0,9928034	0,9855230	0,4273441	0,4877743	0,7629248	0,9842481	0,0016806	0,0174032	0,3877545	0,1287887	0,0691156	0,1735760	0,2575952	0,0758782	0,6312056	0,0504702	0,8587362
20	0,3176220	0,9848192	0,1324584	0,9052871	0,0208877	0,1126896	0,7112883	0,3020058	0,0633497	0,6040834	0,5515963	0,8122733	0,6726791	0,0005851	0,5741709	0,2586036	0,1667942	0,9589153	0,0222961	0,0895669	0,7709869	0,2503120	0,8831128	0,0337636	0,4884907	0,1914458	0,1373659	0,6115932	0,5518828	0,6571797	0,1089017	0,3848717	0,6465759	0,0766096	0,1961042	0,6044360	0,0637271	0,0090706	0,6710403	0,0057163	1,0619088	0,0415459	0,4345774	0,7606147	0,1504601	0,1635360	0,8298508	0,8945307	0,8364743	0,4626336	0,5070891	0,7587407	0,7911006	0,0123822	0,0655627	0,3428060	0,1327605	0,0802185	0,1793063	0,3138573	0,1175348	0,5518651	0,0614452	0,6778431
40	0,2992646	1,0448059	0,1249225	0,8781071	0,0217842	0,3109231	0,7435546	0,3132537	0,0812819	0,5354378	0,5389741	0,8099941	0,7178767	0,0020548	0,4278572	0,2291342	0,2692504	0,9423924	0,0154521	0,0930226	0,7190901	0,2718522	0,8471543	0,0262869	0,4709414	0,1874190	0,1658068	0,5670281	0,5680913	0,7519320	0,1309298	0,3932202	0,6244430	0,0916384	0,1885929	0,6283890	0,1940020	0,0092320	0,6406546	0,0068292	1,0133827	0,0367497	0,4142462	0,6580846	0,1389099	0,1795906	0,8496626	0,8632755	0,9016565	0,5084487	0,4885331	0,6849237	0,8192501	0,0107095	0,1591035	0,2946410	0,1122556	0,0974023	0,2542942	0,2930919	0,1088969	0,5683520	0,0602688	0,6718218
60	0,2853564	1,1390081	0,1339597	0,8677145	0,0258384	0,4717504	0,7763263	0,2697460	0,1446831	0,5928135	0,5844895	0,8533119	0,7895404	0,0009577	0,4645945	0,1814305	0,3919368	0,8910065	0,0197232	0,1031493	0,7622475	0,2703523	0,8767737	0,0370328	0,4916749	0,2191700	0,1554570	0,5661316	0,5972536	0,7763894	0,1768251	0,3794003	0,6520298	0,1115070	0,2198995	0,6056938	0,3138053	0,0098748	0,6236659	0,0095605	1,0342104	0,0539657	0,4106148	0,5583269	0,1598572	0,2157944	0,8069430	0,8696528	0,8986684	0,4828600	0,5263321	0,6966439	0,7954844	0,0069397	0,2578041	0,2703898	0,0925378	0,1156918	0,3259752	0,3118200	0,1057430	0,6074898	0,0734348	0,6334421
80	0,2863921	1,1707756	0,1160435	0,8799123	0,0188221	0,6031544	0,7660223	0,2625233	0,1922806	0,5982721	0,6037156	0,8516759	0,8216278	0,0035283	0,4288385	0,1898302	0,4578647	0,8514153	0,0127252	0,1169578	0,7682254	0,3198416	0,8672688	0,0734519	0,4473860	0,2059786	0,1731746	0,6067011	0,5517404	0,8492633	0,2726989	0,3509476	0,6281849	0,1239831	0,1870918	0,6166699	0,4208054	0,0119864	0,5451606	0,0103802	1,0677891	0,0823813	0,4296258	0,4666085	0,1711615	0,2284569	0,7976550	0,8353515	0,9127168	0,4916474	0,5797754	0,6628285	0,8169098	0,0119046	0,3539697	0,2632978	0,1206672	0,1262871	0,4631946	0,3191254	0,1287628	0,6053920	0,0615347	0,6890430
100	0,3035961	1,1050001	0,0879079	0,8734616	0,0263608	0,7086032	0,6643971	0,2261418	0,2484934	0,5998175	0,5889821	0,8912265	0,9012769	0,0022533	0,4065323	0,1672422	0,5089989	0,7427434	0,0101495	0,1231708	0,8014475	0,2839000	0,8250958	0,1334973	0,4174929	0,2220017	0,1889911	0,6464752	0,6579308	0,8661993	0,3075490	0,3719399	0,6036525	0,1165741	0,2110729	0,6603546	0,4811382	0,0131597	0,5215356	0,0163459	1,0300532	0,0891022	0,4409750	0,3757557	0,2086757	0,2221976	0,7802104	0,8441193	0,9392723	0,4483522	0,5510592	0,7131764	0,7674610	0,0065667	0,4197280	0,1690185	0,1585379	0,1452018	0,4855428	0,2894641	0,1356493	0,5941460	0,0942635	0,6574403
120	0,3161045	1,0555869	0,0468347	0,8831927	0,0406716	0,7662658	0,7081931	0,2011561	0,2722469	0,5763844	0,5683449	0,8718540	0,9271462	0,0025098	0,4828543	0,1560028	0,4885639	0,7037566	0,0133427	0,1140131	0,8304580	0,3105291	0,8414549	0,1962180	0,4335725	0,1823810	0,1720418	0,6570901	0,7682957	0,8787676	0,3081521	0,3617487	0,6458900	0,1141258	0,2714245	0,6749595	0,5021369	0,0119082	0,4566225	0,0194368	1,0975220	0,1080102	0,4836776	0,3217554	0,2369777	0,2271167	0,7645510	0,9160185	0,9450391	0,3914386	0,6289721	0,6479963	0,7442982	0,0057216	0,5139057	0,1621277	0,1235085	0,1547265	0,5019280	0,2881123	0,1403626	0,5686190	0,1394464	0,6677458
140	0,2970110	0,9937526	0,0558755	0,8666479	0,0280663	0,8100242	0,6632837	0,1934024	0,3003678	0,5569661	0,5755437	0,8813963	0,9015852	0,0031159	0,4081422	0,1662320	0,5089789	0,7344581	0,0293405	0,1033542	0,8083380	0,3338739	0,8754009	0,2055648	0,4076400	0,2076413	0,2074610	0,7863898	0,8062196	0,8903119	0,3049745	0,3919301	0,5895370	0,0687823	0,2361522	0,7713816	0,5840653	0,0164637	0,4254146	0,0178870	1,0317488	0,1342935	0,4854823	0,2410486	0,2351903	0,2587569	0,7924413	0,9689413	0,9592998	0,3503937	0,6123497	0,6510746	0,7423080	0,0037083	0,5747868	0,1319749	0,1211917	0,1377063	0,4902421	0,2667038	0,1198199	0,6455231	0,1932568	0,6995033
160	0,2859655	0,9908537	0,0409029	0,8845858	0,0282259	0,8935463	0,6163847	0,1788098	0,3389997	0,5483513	0,6217526	0,9378123	0,8720908	0,0063052	0,4922947	0,1254057	0,5425827	0,7120353	0,0317964	0,1118746	0,8070445	0,3535832	0,8732923	0,2673256	0,4398292	0,2044941	0,1885805	0,7801063	0,8348914	0,8916192	0,3727338	0,4122639	0,5920824	0,0981666	0,1937580	0,8214639	0,5944855	0,0171656	0,3861643	0,0167114	1,0266334	0,1472459	0,4784581	0,1940785	0,2486917	0,2522070	0,9146007	1,0013609	0,9975195	0,2631438	0,7140680	0,7140635	0,7493801	0,0061724	0,6176171	0,1265306	0,1228707	0,1394534	0,5884237	0,2840265	0,1154798	0,6293482	0,2171955	0,6287087
