"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV

0	0,2796566	1,0000000	0,1245017	0,9132448	0,0210753	0,0573948	0,7341199	0,2676794	0,0345666	0,5838784	0,6350912	0,9460210	0,8900466	0,0011741	0,6036382	0,2822814	0,1104836	0,9778389	0,0177184	0,1155449	0,7298942	0,3230848	0,9181606	0,0203544	0,4765373	0,2366149	0,1838111	0,5926332	0,5692633	0,6572377	0,1254353	0,3970976	0,5239482	0,0982865	0,1786968	0,5524361	0,0082893	0,0058159	0,7188490	0,0024119	0,9806308	0,0306849	0,5523087	0,9335381	0,1592682	0,3510732	0,8680498	0,9017977	0,9652883	0,3762999	0,4725224	0,7344312	0,9694965	0,0040875	0,0223367	0,4150483	0,1348630	0,0558301	0,1211435	0,2042171	0,0882832	0,6789730	0,0484721	0,7719322
20	0,2796524	1,0000000	0,0960857	0,9133051	0,0210753	0,3859213	0,7341207	0,2536065	0,1560202	0,5852293	0,6351385	0,9460294	0,8920867	0,0012273	0,5138344	0,1771050	0,2935672	0,8497686	0,0177184	0,1155452	0,7332311	0,3508880	0,9287036	0,0208044	0,4765467	0,2366333	0,1838104	0,5805532	0,5715163	0,7955239	0,1325378	0,3571018	0,5240154	0,0983130	0,1794349	0,6195676	0,3384432	0,0058834	0,6123210	0,0024083	0,9805557	0,0310018	0,5523692	0,6422331	0,1634141	0,3512239	0,8680887	0,9018137	0,9658954	0,3739961	0,4791909	0,7344343	0,8657966	0,0040875	0,2603575	0,2963305	0,1348630	0,0929685	0,3206340	0,2041471	0,0882839	0,6790462	0,0504280	0,7374541
40	0,2797473	1,0000000	0,0784424	0,9133526	0,0210753	0,5931188	0,7341211	0,2435006	0,2352026	0,5881759	0,6351659	0,9460353	0,8986139	0,0014670	0,4755989	0,1301684	0,4115328	0,7672155	0,0177185	0,1155455	0,7580102	0,3682772	0,9533624	0,0257059	0,4765537	0,2366475	0,1838099	0,5880274	0,5850526	0,8702822	0,1619149	0,3516436	0,5246344	0,0984068	0,1833636	0,6658603	0,4942040	0,0062339	0,5463573	0,0024018	0,9801026	0,0331245	0,5525434	0,4425284	0,1827637	0,3515391	0,8681581	0,9018251	0,9685330	0,3639770	0,5054235	0,7344370	0,7943184	0,0040875	0,4164373	0,2278760	0,1348630	0,1073849	0,4549673	0,2040919	0,0882844	0,6791030	0,0612524	0,7150038
60	0,2801736	1,0000000	0,0674839	0,9133662	0,0210753	0,7248410	0,7341193	0,2360874	0,2932355	0,5904798	0,6350858	0,9460294	0,9048686	0,0018386	0,4644413	0,1178223	0,4875412	0,7138419	0,0177185	0,1155458	0,8018673	0,3796040	0,9720776	0,0448736	0,4765517	0,2366479	0,1838094	0,6093616	0,6143650	0,9117592	0,2043060	0,3660165	0,5266629	0,0984866	0,1905688	0,7056039	0,5677925	0,0068828	0,5012979	0,0023864	0,9791914	0,0387409	0,5530159	0,3056203	0,2153928	0,3523368	0,8683211	0,9018165	0,9725762	0,3482987	0,5411495	0,7344392	0,7450434	0,0040875	0,5187852	0,1883949	0,1348630	0,1129810	0,5454297	0,2040756	0,0882849	0,6791109	0,0836493	0,7003757
80	0,2811152	1,0000000	0,0606634	0,9132785	0,0210753	0,8107589	0,7341103	0,2305551	0,3471108	0,5919676	0,6346739	0,9459856	0,9071840	0,0022013	0,4634240	0,1197791	0,5365154	0,6791511	0,0177185	0,1155460	0,8415855	0,3874508	0,9831738	0,0854972	0,4765206	0,2366056	0,1838088	0,6359427	0,6547806	0,9355535	0,2471117	0,3881138	0,5307541	0,0985290	0,1985088	0,7456606	0,6028491	0,0077094	0,4677455	0,0023612	0,9778837	0,0486948	0,5537712	0,2117624	0,2509119	0,3536600	0,8685876	0,9017436	0,9769482	0,3304959	0,5743160	0,7344412	0,7110506	0,0040875	0,5858988	0,1655899	0,1348630	0,1151533	0,6063655	0,2041754	0,0882853	0,6789671	0,1152351	0,6908089
100	0,2825519	1,0000000	0,0563891	0,9129775	0,0210753	0,8685088	0,7340872	0,2263604	0,4028180	0,5928992	0,6336444	0,9458659	0,9051307	0,0024710	0,4647570	0,1244524	0,5680708	0,6564042	0,0177185	0,1155462	0,8707691	0,3931271	0,9893340	0,1424016	0,4764297	0,2364745	0,1838083	0,6621785	0,6979069	0,9496808	0,2838838	0,4105889	0,5370590	0,0985479	0,2055265	0,7829705	0,6201416	0,0085868	0,4412833	0,0023319	0,9762913	0,0624865	0,5545826	0,1474173	0,2799976	0,3551915	0,8688981	0,9015405	0,9809562	0,3130368	0,5998383	0,7344428	0,6875511	0,0040875	0,6299080	0,1523455	0,1348631	0,1159966	0,6474469	0,2045187	0,0882856	0,6785064	0,1512541	0,6844793
120	0,2842942	1,0000000	0,0536672	0,9123450	0,0210753	0,9078271	0,7340455	0,2231256	0,4566714	0,5935168	0,6318074	0,9456382	0,9002207	0,0026425	0,4659207	0,1278940	0,5884028	0,6412909	0,0177185	0,1155464	0,8909367	0,3972052	0,9926908	0,2037601	0,4762504	0,2362104	0,1838081	0,6854071	0,7375586	0,9583353	0,3129492	0,4300837	0,5453103	0,0985552	0,2111713	0,8139813	0,6296968	0,0094333	0,4197964	0,0023070	0,9745335	0,0787445	0,5551807	0,1033043	0,2995721	0,3564745	0,8691666	0,9011493	0,9843095	0,2972193	0,6176208	0,7344442	0,6712322	0,0040875	0,6587665	0,1445453	0,1348631	0,1163239	0,6751943	0,2052380	0,0882859	0,6775626	0,1872347	0,6801843
140	0,2861098	1,0000000	0,0518828	0,9113015	0,0210753	0,9345690	0,7339854	0,2205847	0,5033734	0,5939825	0,6291676	0,9452912	0,8943123	0,0027447	0,4665235	0,1297074	0,6015032	0,6310703	0,0177185	0,1155465	0,9045703	0,3999490	0,9945147	0,2602523	0,4759698	0,2357899	0,1838092	0,7047523	0,7709378	0,9637819	0,3348948	0,4456344	0,5548396	0,0985573	0,2155184	0,8378877	0,6364400	0,0102103	0,4021699	0,0022931	0,9727160	0,0959383	0,5553906	0,0730610	0,3110863	0,3571501	0,8693237	0,9005471	0,9869646	0,2835344	0,6294188	0,7344453	0,6598111	0,0040875	0,6776902	0,1398206	0,1348631	0,1164510	0,6939969	0,2064185	0,0882862	0,6760388	0,2201677	0,6771451
160	0,2878170	1,0000000	0,0506621	0,9098317	0,0210753	0,9526694	0,7339122	0,2185514	0,5405402	0,5943857	0,6259083	0,9448383	0,8887114	0,0028070	0,4667474	0,1304556	0,6099442	0,6240098	0,0177185	0,1155466	0,9136992	0,4015569	0,9955072	0,3075186	0,4755946	0,2352193	0,1838125	0,7202507	0,7975574	0,9672869	0,3510383	0,4574278	0,5647629	0,0985573	0,2187966	0,8555376	0,6426922	0,0109051	0,3876996	0,0022932	0,9709221	0,1128083	0,5551723	0,0523258	0,3172624	0,3570688	0,8693357	0,8997536	0,9889951	0,2720113	0,6371116	0,7344463	0,6517255	0,0040875	0,6900993	0,1368246	0,1348632	0,1165003	0,7068015	0,2080691	0,0882864	0,6739408	0,2485493	0,6748744
180	0,2893147	1,0000000	0,0497834	0,9079840	0,0210753	0,9648688	0,7338337	0,2168972	0,5685196	0,5947652	0,6223051	0,9443109	0,8840238	0,0028487	0,4667989	0,1306818	0,6153829	0,6190185	0,0177185	0,1155467	0,9197831	0,4022480	0,9960464	0,3447632	0,4751479	0,2345295	0,1838186	0,7323389	0,8180653	0,9695830	0,3627359	0,4660793	0,5742991	0,0985564	0,2212458	0,8682735	0,6492838	0,0115167	0,3758523	0,0023070	0,9692117	0,1284924	0,5545907	0,0381088	0,3203822	0,3562759	0,8692040	0,8988208	0,9905140	0,2624553	0,6421328	0,7344471	0,6459148	0,0040875	0,6982364	0,1348054	0,1348632	0,1165195	0,7155801	0,2101266	0,0882866	0,6713665	0,2719786	0,6730807
200	0,2905696	1,0000000	0,0491183	0,9058521	0,0210753	0,9730683	0,7337571	0,2155340	0,5888918	0,5951302	0,6186361	0,9437471	0,8803650	0,0028803	0,4667948	0,1307076	0,6188872	0,6154087	0,0177185	0,1155468	0,9238275	0,4022597	0,9963357	0,3729751	0,4746604	0,2337648	0,1838279	0,7415824	0,8335058	0,9711078	0,3711370	0,4722785	0,5829478	0,0985553	0,2230690	0,8773678	0,6561985	0,0120489	0,3661814	0,0023321	0,9676230	0,1424954	0,5537627	0,0283603	0,3219126	0,3549374	0,8689536	0,8978147	0,9916349	0,2545903	0,6454394	0,7344479	0,6416654	0,0040875	0,7035722	0,1333516	0,1348633	0,1165269	0,7216489	0,2124794	0,0882867	0,6684702	0,2907148	0,6715979
220	0,2915915	1,0000000	0,0485937	0,9035502	0,0210753	0,9785714	0,7336876	0,2144008	0,6034409	0,5954764	0,6151234	0,9431827	0,8776091	0,0029065	0,4667823	0,1306798	0,6211451	0,6127435	0,0177185	0,1155469	0,9265125	0,4018185	0,9964858	0,3937682	0,4741626	0,2329717	0,1838400	0,7485418	0,8449475	0,9721302	0,3771382	0,4766416	0,5904830	0,0985541	0,2244232	0,8838425	0,6630571	0,0125068	0,3583025	0,0023648	0,9661766	0,1546069	0,5528114	0,0216753	0,3226669	0,3532606	0,8686207	0,8967993	0,9924564	0,2481346	0,6476376	0,7344485	0,6384994	0,0040875	0,7070712	0,1322420	0,1348633	0,1165298	0,7258852	0,2149970	0,0882868	0,6654218	0,3053402	0,6703357
240	0,2924107	1,0000000	0,0481680	0,9011920	0,0210753	0,9822630	0,7336279	0,2134543	0,6137194	0,5957961	0,6119123	0,9426459	0,8755559	0,0029289	0,4667738	0,1306503	0,6226000	0,6107409	0,0177185	0,1155469	0,9282937	0,4011152	0,9965578	0,4087900	0,4736800	0,2321901	0,1838544	0,7537151	0,8533294	0,9728200	0,3814101	0,4796678	0,5968685	0,0985530	0,2254253	0,8884596	0,6694466	0,0128963	0,3518872	0,0024016	0,9648803	0,1648188	0,5518389	0,0170906	0,3230535	0,3514381	0,8682422	0,8958257	0,9930575	0,2428343	0,6491086	0,7344490	0,6360976	0,0040875	0,7093655	0,1313588	0,1348633	0,1165309	0,7288741	0,2175543	0,0882870	0,6623761	0,3165429	0,6692463
260	0,2930633	1,0000000	0,0478170	0,8988749	0,0210753	0,9847399	0,7335784	0,2126622	0,6209406	0,5960829	0,6090765	0,9421550	0,8740152	0,0029484	0,4667700	0,1306310	0,6235374	0,6092149	0,0177186	0,1155470	0,9294750	0,4002939	0,9965862	0,4194759	0,4732304	0,2314502	0,1838700	0,7575189	0,8594171	0,9732866	0,3844434	0,4817389	0,6021751	0,0985519	0,2261618	0,8917666	0,6750810	0,0132240	0,3466604	0,0024394	0,9637330	0,1732524	0,5509161	0,0139460	0,3232647	0,3496198	0,8678497	0,8949289	0,9934983	0,2384750	0,6500962	0,7344494	0,6342456	0,0040875	0,7108701	0,1306376	0,1348634	0,1165313	0,7310067	0,2200470	0,0882870	0,6594555	0,3249950	0,6683029
280	0,2935830	1,0000000	0,0475253	0,8966738	0,0210753	0,9864028	0,7335385	0,2119995	0,6260028	0,5963335	0,6066351	0,9417195	0,8728359	0,0029651	0,4667688	0,1306206	0,6241414	0,6080395	0,0177186	0,1155470	0,9302582	0,3994532	0,9965905	0,4269815	0,4728246	0,2307714	0,1838860	0,7602882	0,8638088	0,9736023	0,3865924	0,4831379	0,6065238	0,0985509	0,2266978	0,8941496	0,6798334	0,0134967	0,3423956	0,0024761	0,9627276	0,1801015	0,5500839	0,0117890	0,3233880	0,3479067	0,8674669	0,8941282	0,9938236	0,2348817	0,6507596	0,7344498	0,6327977	0,0040875	0,7118566	0,1300414	0,1348634	0,1165315	0,7325459	0,2223980	0,0882871	0,6567448	0,3312935	0,6674888
