"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV

0	0,2796980	1,0000000	0,1244773	0,9128385	0,0210753	0,0573948	0,7341175	0,2675815	0,0345864	0,5840653	0,6348880	0,9459876	0,8897024	0,0011762	0,6036382	0,2822814	0,1104836	0,9777981	0,0177184	0,1155434	0,7298716	0,3228090	0,9181275	0,0203544	0,4765140	0,2365368	0,1838134	0,5926007	0,5692563	0,6572338	0,1254356	0,3970561	0,5239512	0,0982872	0,1784835	0,5523530	0,0082897	0,0058194	0,7182706	0,0024198	0,9805863	0,0306866	0,5520717	0,9334578	0,1592682	0,3508569	0,8678683	0,9017384	0,9653261	0,3759830	0,4725224	0,7344232	0,9693435	0,0040875	0,0223367	0,4149945	0,1348630	0,0558301	0,1214434	0,2046039	0,0882806	0,6786587	0,0484721	0,7718768
20	0,2796822	1,0000000	0,1159730	0,9129704	0,0210753	0,1316052	0,7341187	0,2650606	0,0598706	0,5841598	0,6349692	0,9460016	0,8900482	0,0011808	0,5640475	0,2474717	0,1445724	0,9536592	0,0177184	0,1155440	0,7304043	0,3296738	0,9197884	0,0204180	0,4765273	0,2365685	0,1838124	0,5893697	0,5696062	0,6801202	0,1264505	0,3874355	0,5239568	0,0982903	0,1787442	0,5667250	0,0798997	0,0058272	0,6978171	0,0024151	0,9805963	0,0307318	0,5521642	0,8773339	0,1597735	0,3510333	0,8679364	0,9017643	0,9653955	0,3758139	0,4736197	0,7344275	0,9515414	0,0040875	0,0656443	0,3780950	0,1348630	0,0674400	0,1505892	0,2044675	0,0882816	0,6787850	0,0486913	0,7633553
40	0,2796836	1,0000000	0,1006963	0,9130789	0,0210753	0,2775990	0,7341196	0,2595295	0,1111342	0,5850888	0,6350356	0,9460132	0,8918736	0,0012328	0,5124696	0,1936178	0,2152715	0,9037089	0,0177185	0,1155445	0,7378090	0,3427014	0,9298980	0,0215949	0,4765383	0,2365947	0,1838115	0,5868413	0,5736350	0,7254209	0,1356089	0,3737718	0,5240815	0,0983195	0,1801521	0,5961377	0,2073282	0,0059271	0,6564926	0,0024104	0,9804984	0,0313102	0,5522609	0,7587484	0,1647833	0,3512342	0,8679983	0,9017856	0,9662047	0,3729379	0,4829328	0,7344312	0,9129429	0,0040875	0,1565208	0,3147401	0,1348630	0,0845611	0,2149048	0,2043548	0,0882825	0,6788895	0,0511778	0,7467498
60	0,2797719	1,0000000	0,0862348	0,9131647	0,0210753	0,4303545	0,7341200	0,2530093	0,1677956	0,5866255	0,6350724	0,9460208	0,8954101	0,0013732	0,4820541	0,1549159	0,2936190	0,8484742	0,0177185	0,1155449	0,7608420	0,3560536	0,9453806	0,0280383	0,4765456	0,2366144	0,1838108	0,5916760	0,5866930	0,7736144	0,1575077	0,3678370	0,5246753	0,0983742	0,1840449	0,6301309	0,3271894	0,0062172	0,6110096	0,0024026	0,9801620	0,0334818	0,5524362	0,6246329	0,1785156	0,3516528	0,8680783	0,9018000	0,9682334	0,3655208	0,5038447	0,7344344	0,8680830	0,0040875	0,2585428	0,2577749	0,1348630	0,0975885	0,2911727	0,2042659	0,0882833	0,6789696	0,0591376	0,7295922
80	0,2800706	1,0000000	0,0747740	0,9132150	0,0210753	0,5644948	0,7341180	0,2465417	0,2237714	0,5882716	0,6350130	0,9460170	0,8992105	0,0015915	0,4694280	0,1353570	0,3661678	0,7973821	0,0177185	0,1155453	0,7941067	0,3677125	0,9603476	0,0465339	0,4765421	0,2366202	0,1838101	0,6045430	0,6111342	0,8169649	0,1890006	0,3716294	0,5262674	0,0984306	0,1900852	0,6663231	0,4219200	0,0067184	0,5679057	0,0023885	0,9795110	0,0384212	0,5527708	0,4978642	0,2006689	0,3524782	0,8682056	0,9017944	0,9712898	0,3539348	0,5317435	0,7344370	0,8245005	0,0040875	0,3542585	0,2149935	0,1348630	0,1058735	0,3668405	0,2042173	0,0882839	0,6789992	0,0744989	0,7147692
100	0,2806883	1,0000000	0,0664083	0,9131931	0,0210753	0,6734670	0,7341102	0,2406189	0,2793507	0,5897502	0,6347191	0,9459846	0,9016757	0,0018420	0,4658651	0,1284402	0,4277623	0,7539737	0,0177185	0,1155456	0,8276634	0,3772661	0,9722602	0,0807704	0,4765117	0,2365931	0,1838095	0,6229848	0,6445122	0,8531380	0,2241901	0,3827018	0,5293264	0,0984756	0,1969199	0,7035501	0,4911618	0,0073829	0,5293625	0,0023676	0,9785361	0,0467902	0,5532693	0,3879960	0,2269134	0,3536867	0,8683901	0,9017386	0,9748681	0,3396875	0,5602209	0,7344393	0,7856664	0,0040875	0,4365928	0,1854660	0,1348630	0,1107226	0,4357317	0,2042540	0,0882845	0,6789118	0,0969952	0,7029922
120	0,2816539	1,0000000	0,0605644	0,9130373	0,0210753	0,7583342	0,7340920	0,2354287	0,3347925	0,5909729	0,6340140	0,9458993	0,9020128	0,0020810	0,4656124	0,1274212	0,4774416	0,7188451	0,0177185	0,1155458	0,8562220	0,3848335	0,9808351	0,1278227	0,4764313	0,2365041	0,1838090	0,6439589	0,6819191	0,8821175	0,2582042	0,3976002	0,5341044	0,0985070	0,2034339	0,7396073	0,5398774	0,0081380	0,4958093	0,0023436	0,9772786	0,0584412	0,5538433	0,2975359	0,2522537	0,3550224	0,8686118	0,9015896	0,9784830	0,3244144	0,5850453	0,7344412	0,7527727	0,0040875	0,5038729	0,1660122	0,1348631	0,1134310	0,4953686	0,2044502	0,0882850	0,6786035	0,1246734	0,6940449
140	0,2829091	1,0000000	0,0565708	0,9126743	0,0210753	0,8226275	0,7340599	0,2309964	0,3883868	0,5919521	0,6327521	0,9457377	0,9003206	0,0022848	0,4660915	0,1282821	0,5161752	0,6912643	0,0177185	0,1155460	0,8784279	0,3906411	0,9866528	0,1808423	0,4762790	0,2363224	0,1838088	0,6650019	0,7187689	0,9047683	0,2882267	0,4134534	0,5405596	0,0985273	0,2090626	0,7723470	0,5737617	0,0089179	0,4670241	0,0023219	0,9758078	0,0725804	0,5543568	0,2255382	0,2735271	0,3561357	0,8688307	0,9013054	0,9818046	0,3094018	0,6046471	0,7344428	0,7258065	0,0040875	0,5570171	0,1535131	0,1348631	0,1149002	0,5453234	0,2048916	0,0882854	0,6779595	0,1549172	0,6873947
160	0,2843428	1,0000000	0,0538564	0,9120386	0,0210753	0,8703435	0,7340131	0,2272673	0,4376433	0,5927384	0,6308768	0,9454860	0,8972129	0,0024476	0,4664890	0,1293038	0,5456568	0,6700248	0,0177185	0,1155462	0,8948026	0,3949106	0,9904522	0,2331373	0,4760420	0,2360255	0,1838096	0,6845108	0,7520443	0,9221897	0,3131754	0,4283936	0,5483459	0,0985396	0,2136489	0,8004984	0,5976769	0,0096763	0,4425690	0,0023076	0,9742030	0,0881256	0,5546855	0,1695976	0,2897405	0,3567400	0,8690031	0,9008598	0,9846654	0,2954741	0,6191799	0,7344442	0,7041827	0,0040875	0,5979955	0,1455530	0,1348631	0,1156819	0,5862216	0,2056511	0,0882857	0,6768908	0,1852761	0,6824759
