"Time"	hns	cspA	bolA	bglJ	leuO	cadC	stpA	nhaR	gutM	srlR	appY	caiF	gadW	gadX	rutR	nemR	gadE	rcsA	ydeO	evgA	mdtF	mdtE	cadA	cadB	bglG	bglB	bglF	yhiD	hdeA	hdeB	gadA	hdeD	gutQ	srlD	srlB	srlE	srlA	gadB	osmC	gadC	nhaA	fliC	gadY	yjjQ	nemA	dctR	slp	yjjP	ampC	pgaC	gmr	yegR	proW	leuA	leuL	hchA	ybaS	leuC	cspD	mukE	evgS	yciE	gnd	proV

0	0,1911233	0,5925915	0,0912467	0,7253112	0,0243180	0,0506859	0,5420108	0,2083219	0,0261029	0,4381013	0,3892133	0,6971161	0,5837248	0,0067974	0,4682276	0,2064174	0,0926339	0,6737199	0,0133669	0,0740161	0,5434838	0,2501817	0,6674780	0,0267483	0,3907922	0,1798347	0,1224744	0,3919337	0,3044273	0,5303964	0,0735235	0,2664462	0,3999434	0,0675500	0,1362996	0,4153165	0,0008161	0,0104713	0,5195661	0,0039269	0,7219253	0,0263952	0,4607091	0,7081273	0,0916701	0,2492637	0,5753410	0,6657153	0,7296032	0,2492764	0,3194162	0,5367900	0,6756365	0,0001724	0,0037801	0,2861311	0,0671350	0,0740884	0,1496186	0,1943609	0,0707390	0,4095710	0,0295856	0,6376607
20	0,2035685	0,5908409	0,1301083	0,6435242	0,0253187	0,0763354	0,5397425	0,2409704	0,0543217	0,4096879	0,3306902	0,5183730	0,4649033	0,0005871	0,4932256	0,1947526	0,1291794	0,7157861	0,0317036	0,0675779	0,6756348	0,1437891	0,6331468	0,0130955	0,2658930	0,1207207	0,1012527	0,4767791	0,3783221	0,5384689	0,0650757	0,3033402	0,4812150	0,0646555	0,1159168	0,3555074	0,0496702	0,0047760	0,5021530	0,0108051	0,7387694	0,0260664	0,3028899	0,5792165	0,1037129	0,0940331	0,5907667	0,6348719	0,5152854	0,3750791	0,3498006	0,6644123	0,5787049	0,0058907	0,0332109	0,2127708	0,0869236	0,0460579	0,1928420	0,2267894	0,0647225	0,4529256	0,0694684	0,5320936
40	0,1655010	0,7382958	0,0773669	0,7234770	0,0151340	0,1693943	0,6012170	0,1969253	0,0608936	0,3428715	0,4111633	0,5865141	0,5328557	0,0021881	0,3037616	0,1729137	0,1948889	0,7658797	0,0131736	0,0844668	0,5575130	0,2378740	0,6029462	0,0220742	0,3437508	0,1232618	0,1134169	0,4827805	0,3738822	0,5173359	0,0773804	0,3023514	0,4905850	0,0409892	0,1169033	0,4209802	0,1383981	0,0081085	0,4137737	0,0028427	0,7922432	0,0409231	0,3613372	0,4548861	0,1165825	0,1226543	0,5390838	0,5733075	0,6888538	0,3661501	0,2936455	0,4269930	0,5117594	0,0052144	0,1273126	0,2724081	0,0878021	0,0923648	0,1547275	0,2026031	0,0567777	0,2819076	0,0421355	0,5117664
60	0,2116244	0,7548743	0,0943905	0,6590005	0,0228625	0,3164528	0,6536217	0,1948225	0,1304817	0,3900407	0,4377299	0,5499993	0,5518069	0,0008570	0,3425313	0,1234896	0,3009158	0,5503235	0,0211109	0,0833974	0,5960084	0,1898920	0,6664942	0,0283876	0,3155785	0,1768885	0,1165249	0,4059641	0,3981142	0,5896334	0,1424215	0,2412676	0,4844619	0,0517686	0,1639470	0,5115183	0,2343429	0,0054719	0,5042297	0,0041835	0,7304258	0,0275489	0,3470911	0,3795469	0,0830461	0,1808125	0,5414090	0,6423319	0,5626744	0,3109267	0,3462518	0,4552191	0,4408261	0,0073796	0,2019385	0,1418834	0,0926521	0,0665955	0,2229190	0,1932995	0,0817072	0,4430537	0,0536100	0,5366639
80	0,2158033	0,7587326	0,0629817	0,5595832	0,0115149	0,4343620	0,4934885	0,2348545	0,1157289	0,3941419	0,4476094	0,5847057	0,5450479	0,0044358	0,3237808	0,1497595	0,2939033	0,6477259	0,0151106	0,1026424	0,5732101	0,1634723	0,6318536	0,0412966	0,3512021	0,1627081	0,1521785	0,4558860	0,4389664	0,5763490	0,1793501	0,3391421	0,4449779	0,0771902	0,0974485	0,4978869	0,3043726	0,0067677	0,3644648	0,0051010	0,7941558	0,0626017	0,3595831	0,3127368	0,1271997	0,1319716	0,5711038	0,5662776	0,6181171	0,3393148	0,5316764	0,4727800	0,6256992	0,0111958	0,2806451	0,1852979	0,1039271	0,1407604	0,2823340	0,2114045	0,1090430	0,4357371	0,0515911	0,4661973
100	0,2314523	0,8226387	0,0812629	0,6936991	0,0147024	0,4924929	0,4323497	0,1347882	0,1987218	0,4745934	0,4099859	0,6148211	0,6252046	0,0017524	0,3600948	0,0960379	0,3820096	0,4929892	0,0038581	0,0713525	0,4824455	0,2230862	0,5710165	0,1123100	0,2902470	0,1454483	0,1386476	0,4814211	0,4874890	0,6175949	0,2236209	0,2255067	0,3667345	0,0898021	0,1473442	0,4134236	0,3100934	0,0101662	0,3851633	0,0190300	0,7014127	0,0572712	0,3583730	0,2449141	0,1601263	0,1813642	0,5057818	0,6536124	0,6867060	0,3602031	0,4244048	0,4063935	0,5904401	0,0064659	0,2377916	0,1050189	0,1347032	0,0945301	0,3969679	0,1665506	0,1032611	0,4993597	0,0813829	0,4977969
120	0,2211891	0,7709982	0,0415707	0,7304570	0,0183538	0,6026791	0,5364176	0,1374515	0,2058503	0,4456645	0,3531173	0,6080659	0,7411803	0,0012192	0,2919531	0,1093364	0,3781365	0,5016256	0,0125667	0,1039232	0,4608509	0,1800783	0,5448562	0,0981216	0,3397898	0,1057163	0,1831351	0,4275302	0,5667963	0,6034986	0,2344873	0,2367621	0,5912252	0,0781340	0,2090176	0,5260124	0,2804068	0,0119430	0,3372589	0,0091880	0,8175219	0,0880968	0,3882560	0,2562824	0,2414881	0,1174982	0,6397520	0,5961456	0,8298651	0,2355763	0,4492911	0,4065680	0,5712359	0,0025219	0,3925205	0,1088422	0,0982922	0,0861166	0,3560068	0,2016677	0,1070632	0,4397766	0,1333791	0,4675426
140	0,1836507	0,6852523	0,0362158	0,6157895	0,0188420	0,6713282	0,4707197	0,1516168	0,2103936	0,4639408	0,4004094	0,6533079	0,5653581	0,0060545	0,3048040	0,1169711	0,3446785	0,5703639	0,0203012	0,1433329	0,5584060	0,2900104	0,5554790	0,1154187	0,3407875	0,1408451	0,1309443	0,5544202	0,6786646	0,5635350	0,2189728	0,2692680	0,4559508	0,0418933	0,1445581	0,5689457	0,4743659	0,0160208	0,3721459	0,0207909	0,7581504	0,1379314	0,4221319	0,1760969	0,1565372	0,1875829	0,6145175	0,7063601	0,6800507	0,2369182	0,4417224	0,5130416	0,4667314	0,0019697	0,4125365	0,1069307	0,1188883	0,1085059	0,3122539	0,1960512	0,0944472	0,4446602	0,1160948	0,4435710
160	0,2191110	0,6852622	0,0396433	0,6552050	0,0090055	0,6003418	0,4150627	0,0911824	0,2658673	0,3495453	0,4151977	0,6775503	0,6896352	0,0039935	0,3536988	0,1001397	0,4010419	0,4249899	0,0193014	0,0907139	0,6142014	0,3039075	0,6780974	0,1623922	0,3801671	0,1420645	0,1392244	0,5087036	0,5566437	0,6631755	0,2577162	0,2747699	0,3494421	0,0621395	0,1040354	0,5304066	0,4161974	0,0127098	0,2428973	0,0054519	0,6609965	0,1518850	0,3843652	0,1355275	0,2338491	0,1462498	0,5781738	0,6983372	0,7179318	0,1587674	0,4754271	0,4741124	0,5620809	0,0022343	0,3621648	0,0819313	0,0936617	0,0778539	0,3527872	0,1979697	0,1148006	0,4832828	0,1942522	0,4439080
