"Time"	glrR	glmY	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	rstA	rcsB	rcsA	fhlA	hyfR	gadE	ydeO	evgA	csgE	csgG	csgF	sra	yjbE	yjbF	yjbG	yjbH	tdcB	tdcC	mdtF	tdcF	tdcE	mdtE	tdcD	tdcG	ompF	osmB	wzb	rprA	wzc	wcaB	wza	wcaA	bdm	hyfA	sgbE	yiaO	yiaK	hyfI	hyfJ	ftsZ	focB	hyfG	yiaL	yiaN	hyfE	hyfB	sgbU	ftsA	hyfD	hyfC	lyxK	sgbH

0	0,6982251	0,1580206	0,4453271	0,4457843	0,3048041	0,7384333	0,3900957	0,8174554	0,5488294	0,1775036	0,4293990	0,5463553	0,6922897	0,8135506	0,5010730	0,7242336	0,6976215	0,6661123	0,4476867	0,8150694	0,2704347	0,1731371	0,2165302	0,1125181	0,6338887	0,7367393	0,7175787	0,6387571	0,6052424	0,3834875	0,7637662	0,4508630	0,4312809	0,6541871	0,6206281	0,3962784	0,2228492	0,2718867	0,4383118	0,7323306	0,5284900	0,6621098	0,5806094	0,1419623	0,4523419	0,5928366	0,6568124	0,3771667	0,2914299	0,6535575	0,7833993	0,4707734	0,5308631	0,6633597	0,0825802	0,5961681	0,6285789	0,5432414	0,2721428	0,6355172	0,5416505	0,5903569	0,4729481	0,6032693
20	0,5950269	0,2110316	0,4176823	0,3477595	0,1854830	0,6099908	0,4643845	0,6989847	0,4243211	0,1939556	0,4276143	0,6280405	0,6472438	0,6846897	0,3860395	0,7425792	0,5862632	0,6274751	0,3542635	0,8705717	0,2237155	0,2382579	0,2391800	0,0754296	0,5256882	0,6856320	0,7078055	0,6198697	0,5732322	0,4659315	0,6826663	0,5779243	0,5077256	0,5175110	0,7629452	0,4945714	0,0802757	0,2272578	0,4832082	0,7680135	0,4779622	0,7124704	0,5306609	0,1313567	0,5754423	0,7061851	0,6872853	0,2930637	0,2578856	0,5948179	0,6256471	0,6250653	0,5008545	0,6095940	0,1160099	0,6069667	0,6214209	0,6051482	0,2440890	0,6218502	0,5008795	0,6841754	0,5160065	0,6881813
40	0,6933751	0,0962712	0,4574579	0,2859290	0,1520763	0,6597245	0,4053664	0,7061283	0,5522925	0,2299002	0,3409230	0,6175839	0,4376759	0,6027193	0,4183273	0,6827203	0,7185769	0,7350190	0,4920484	0,7338112	0,2403595	0,2264675	0,2032404	0,0578108	0,5701331	0,9030346	0,6708650	0,7576458	0,5061057	0,4215036	0,5682943	0,7538543	0,5369850	0,5472487	0,6408958	0,3600542	0,1254558	0,2177603	0,3851980	0,7589043	0,5395170	0,5498396	0,5883516	0,1846689	0,6817321	0,7298442	0,6646694	0,1845499	0,2397832	0,7665268	0,4729338	0,5214420	0,3900127	0,5996260	0,1579259	0,5858571	0,4953075	0,6029705	0,2737744	0,6224810	0,5305201	0,7262494	0,4462758	0,6144649
60	0,6038049	0,1121752	0,5362981	0,2826810	0,1047822	0,7034386	0,4296420	0,7614002	0,4089314	0,2493710	0,3185290	0,7571752	0,4088854	0,6335136	0,4413512	0,6543392	0,5342137	0,7560623	0,5401764	0,6570229	0,2713763	0,2798553	0,1509661	0,0601396	0,5365343	0,8540450	0,6613206	0,8959400	0,5656954	0,3704149	0,6596838	0,7110039	0,4398738	0,5265932	0,6012794	0,3208007	0,1253637	0,2735932	0,4657669	0,7878005	0,4765635	0,7915674	0,5106433	0,1907053	0,7195502	0,7027203	0,6278629	0,2624132	0,2173394	0,7436946	0,6123482	0,6536990	0,4942633	0,5423687	0,2119958	0,5904842	0,6239310	0,5396427	0,1984708	0,7450217	0,5101131	0,6105836	0,4405646	0,6757975
80	0,7257944	0,1183530	0,4440506	0,4223560	0,0816446	0,7785495	0,4018718	0,7358004	0,5393138	0,1706792	0,4712072	0,5396458	0,4180205	0,5734875	0,4222876	0,7042165	0,4887322	0,5945634	0,4119265	0,6389856	0,3155714	0,2356919	0,2341876	0,0504561	0,6721568	0,6452023	0,7289750	0,8398114	0,6115629	0,4070660	0,6142693	0,6326432	0,6530899	0,5910105	0,5156492	0,4611783	0,0873583	0,1948940	0,4630772	0,7740204	0,4574206	0,6731217	0,5558963	0,1749019	0,5969587	0,6669788	0,7101374	0,2676396	0,2529571	0,7051804	0,6504978	0,6003158	0,5903734	0,6620687	0,1865973	0,5242970	0,7530861	0,6351773	0,2188864	0,8077984	0,5577425	0,6963617	0,4166255	0,6228836
100	0,6930570	0,1278582	0,4110326	0,2676103	0,0603022	0,7078260	0,4851797	0,7250130	0,5661751	0,1671755	0,4807970	0,7014653	0,2413924	0,5298002	0,3624716	0,7447862	0,7301837	0,6924747	0,4102846	0,7719164	0,4487765	0,3433556	0,2299942	0,0922931	0,6222406	0,7235200	0,6420261	0,7207441	0,5385985	0,4092900	0,6724749	0,7631648	0,5122103	0,6180730	0,5767573	0,3992373	0,1346646	0,1817128	0,3880162	0,7794640	0,5439324	0,7814026	0,4830847	0,1692711	0,6212841	0,5255744	0,7005639	0,2642534	0,2548199	0,7551695	0,5964138	0,6263264	0,7466512	0,5571089	0,1715497	0,5310120	0,6071432	0,6396796	0,2547072	0,7002150	0,5179050	0,7976006	0,4303379	0,5665687
120	0,5971232	0,1284145	0,4698537	0,3372019	0,0374044	0,7195254	0,6106918	0,7143662	0,5597735	0,2192824	0,4616384	0,5983720	0,2782947	0,5385783	0,3884033	0,6856736	0,6481810	0,6295213	0,5773637	0,7328966	0,4477062	0,4201051	0,1611494	0,0379019	0,4804394	0,6818032	0,7358670	0,6082504	0,5877103	0,5174004	0,7020806	0,6502323	0,5522010	0,6658463	0,6646831	0,3678893	0,1711295	0,2366049	0,5035191	0,7739463	0,4302936	0,7950088	0,5000605	0,1040612	0,6097560	0,7097496	0,5583912	0,2863385	0,2359996	0,7247948	0,6198963	0,5958170	0,6047982	0,6581259	0,1734063	0,4879072	0,6014489	0,7165375	0,2520272	0,6632997	0,5589596	0,7235675	0,4448861	0,6457370
140	0,5749385	0,1185582	0,4157846	0,3076153	0,0398587	0,7190069	0,5308757	0,7346965	0,4403846	0,1517016	0,3855794	0,6548989	0,3081346	0,5515757	0,2991301	0,5992362	0,6395095	0,5845000	0,6314285	0,6094194	0,6060071	0,4853162	0,2752611	0,0679421	0,5454480	0,6988653	0,5867887	0,7305755	0,5279101	0,5259689	0,6557538	0,6289250	0,5117039	0,5738201	0,5461798	0,3860063	0,1733516	0,1823292	0,2549352	0,7104155	0,5130972	0,7467128	0,4683481	0,1143573	0,6383423	0,7803903	0,6033997	0,2936009	0,2699624	0,7891251	0,6022451	0,6054389	0,4967007	0,6410041	0,1880128	0,5441953	0,5254906	0,7591036	0,2156486	0,6210650	0,6182774	0,7023678	0,3096650	0,5649060
160	0,5534059	0,1082703	0,4970656	0,4254844	0,0315744	0,6505949	0,4685790	0,6923854	0,4507166	0,1903937	0,3572154	0,6745887	0,3318723	0,6238326	0,3361089	0,6222265	0,6838705	0,7640086	0,5994664	0,5600622	0,4621797	0,3488113	0,3238125	0,1084995	0,6553792	0,6948000	0,7369351	0,6070090	0,6242693	0,3921298	0,7416393	0,7006366	0,4909845	0,6304397	0,6650316	0,3699915	0,2159321	0,1365946	0,3567476	0,7552299	0,5144327	0,6596544	0,5060056	0,1275464	0,6125083	0,6399230	0,6218732	0,2718030	0,2318276	0,7223268	0,5633773	0,5359290	0,5065290	0,6255547	0,2278921	0,5224954	0,7180822	0,7893108	0,2442281	0,7981169	0,4957578	0,7228744	0,3898757	0,6391672
