"Time"	glrR	glmY	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	rstA	rcsB	rcsA	fhlA	hyfR	gadE	ydeO	evgA	csgE	csgG	csgF	sra	yjbE	yjbF	yjbG	yjbH	tdcB	tdcC	mdtF	tdcF	tdcE	mdtE	tdcD	tdcG	ompF	osmB	wzb	rprA	wzc	wcaB	wza	wcaA	bdm	hyfA	sgbE	yiaO	yiaK	hyfI	hyfJ	ftsZ	focB	hyfG	yiaL	yiaN	hyfE	hyfB	sgbU	ftsA	hyfD	hyfC	lyxK	sgbH

0	1,0303277	0,2171065	0,6279023	0,6754665	0,3824024	1,0483646	0,5520505	1,0230125	0,6580745	0,3137705	0,5543616	0,8867926	1,0665001	1,0215351	0,6581751	1,0346679	0,9989167	0,7963304	0,6195250	1,0253304	0,3692827	0,2948839	0,2615450	0,1472485	0,9187078	1,0087048	1,0825930	1,0888459	0,8261436	0,6505811	1,0107728	0,7360351	0,7337996	0,8865514	0,9461560	0,5391828	0,2446227	0,3019701	0,7546915	0,9567008	0,6358240	0,9332006	0,8185155	0,1880967	0,7531191	0,9422849	0,8692823	0,4732935	0,4385810	0,9147250	0,8505877	0,6213147	0,6891389	0,9622113	0,1219604	0,9372652	0,8433247	0,7629267	0,3838271	1,0410066	0,7847151	0,9817337	0,7144863	0,8781495
20	0,9601184	0,2244113	0,6288055	0,5134632	0,2710916	0,9625207	0,6206578	0,9446470	0,6412543	0,3093221	0,5281846	0,9337676	0,8022162	0,9726937	0,6046244	0,9559477	0,8026034	0,9080859	0,6281197	1,0093816	0,3358412	0,3322850	0,2563752	0,1009040	0,8102778	1,0019423	1,0415657	1,0035094	0,8096739	0,6006231	0,9635489	0,8442742	0,7366216	0,7274146	0,9309414	0,5833891	0,1616327	0,3659846	0,6073084	1,0508139	0,7202981	0,9088585	0,7275951	0,2687498	0,8332033	0,9695158	0,9423286	0,3724208	0,3676132	0,9298184	0,7100860	0,7233064	0,5718231	0,9812617	0,2000235	0,8033538	0,9136300	0,8346671	0,3434595	0,9578636	0,6525686	0,9380852	0,7017365	0,8990269
40	0,9058738	0,1804622	0,6659442	0,4779701	0,2123714	0,9919804	0,5821141	0,9734401	0,6838320	0,3039276	0,4872948	0,9255331	0,6371248	0,8707225	0,5578281	0,9030963	0,8826804	0,9465447	0,6837526	0,9947992	0,4028661	0,3775602	0,2769521	0,0847410	0,8224012	1,0727278	0,9984949	1,0494875	0,7961118	0,5706442	0,9641336	0,9750405	0,7670738	0,7800541	0,9587559	0,5781249	0,1693063	0,3370296	0,5586532	1,0228545	0,7446886	0,9763628	0,7761800	0,2970594	0,9193216	0,9732639	0,8833380	0,3050044	0,3369177	0,9505857	0,7618018	0,7924159	0,5691273	0,9486023	0,2462498	0,8212034	0,8339629	0,9191849	0,3434371	1,0066744	0,6728028	0,9504139	0,6769092	0,8935446
60	0,8219529	0,1578918	0,6352485	0,4469717	0,1474582	1,0068569	0,5802589	0,9568105	0,6901745	0,3078663	0,5430991	1,0068673	0,5699862	0,8550409	0,5433700	1,0111346	0,8842223	0,9722434	0,6418812	1,0353289	0,4306008	0,4162699	0,2722242	0,0710237	0,7494073	1,0240275	0,9912546	1,0852709	0,7485997	0,5589274	0,9254837	1,0400107	0,7355269	0,7992772	0,8162946	0,5253946	0,1825061	0,3309508	0,5796671	1,0808172	0,7062303	1,0202407	0,7094358	0,2814004	0,9358362	0,9598187	0,9006928	0,3304094	0,3454792	0,8900436	0,7603316	0,8354622	0,5933866	0,9346284	0,2878724	0,7581146	0,8757394	0,8897841	0,3368775	0,9598920	0,6747619	0,9675693	0,6539255	0,8577181
80	0,8989522	0,1706399	0,5974522	0,4709601	0,1004605	0,9865757	0,5809893	1,0470731	0,7093587	0,2756976	0,5941736	0,9756054	0,5316490	0,8779524	0,5350328	1,0409095	0,8534576	0,9727264	0,7048389	1,0039146	0,4937430	0,4420991	0,2819494	0,0758454	0,8365326	1,0146715	0,9868623	1,0788506	0,7788654	0,5779575	0,9757394	0,9956313	0,7396656	0,7886404	0,7993522	0,5383652	0,1265550	0,2739839	0,5784223	1,0562217	0,6710500	1,0130940	0,6990300	0,2542878	0,8904216	0,9066011	0,8653016	0,3886477	0,3625519	0,9459893	0,8264433	0,8634515	0,6816910	0,9313461	0,2964032	0,7188419	0,9272346	0,9405967	0,3579964	1,0230597	0,7649509	0,9555113	0,6328556	0,8081606
100	0,8371096	0,1852524	0,6569700	0,4458005	0,0816038	0,9965539	0,6272954	1,0252251	0,6816421	0,2785506	0,5813604	0,8945208	0,4194514	0,7890654	0,5070685	1,0111017	0,9027339	0,9620166	0,7538633	1,0100125	0,5939849	0,5454467	0,3232852	0,0916308	0,8927793	0,9621057	0,9909108	0,9894984	0,8505196	0,6375575	0,9970153	1,0309059	0,6922068	0,8250942	0,8329706	0,5633464	0,1348591	0,2809347	0,5275578	1,0134765	0,7633685	0,9941321	0,6819357	0,2288842	0,8437894	0,9110572	0,8092372	0,3701552	0,3681417	1,0113526	0,9182290	0,8341976	0,7909040	0,8984935	0,3001228	0,8256033	0,9403946	0,9535315	0,3255243	0,9899877	0,7522744	0,9464685	0,5964368	0,7821215
120	0,7837845	0,1948897	0,5936886	0,4818662	0,0582205	0,9883870	0,6607357	1,0273069	0,6715346	0,2696410	0,5753152	0,8935100	0,4600689	0,7741994	0,5163507	0,9597912	0,9091934	1,0449922	0,7949977	1,0093414	0,6074602	0,5794121	0,3187917	0,0949690	0,7896161	0,9387936	1,0451995	1,0386349	0,8448199	0,6437129	1,0524394	1,0235606	0,7141186	0,8637357	0,8828876	0,5801418	0,2015881	0,2698611	0,5410609	0,9768792	0,6873918	0,9965422	0,6599743	0,2082183	0,8750617	0,9597417	0,8670006	0,3566839	0,3574211	1,0142584	0,9651664	0,8025954	0,8991914	0,9113202	0,3008552	0,7750241	0,8992123	0,9364751	0,3563663	1,0004916	0,8098658	0,9727726	0,6265341	0,8464562
140	0,8621219	0,2082913	0,6426502	0,4988837	0,0425610	0,9978688	0,6102766	1,0466792	0,6443383	0,2307594	0,5796152	0,9163280	0,4088606	0,7813737	0,5098445	0,9552824	0,9361839	0,9667088	0,8691631	1,0018701	0,6213928	0,5789034	0,3505376	0,1098182	0,7527579	0,9368275	1,0208996	1,0386013	0,8384083	0,6381343	0,9649405	0,9953085	0,7287895	0,8530546	0,9083199	0,5802319	0,2145429	0,2367141	0,5080009	1,0430925	0,7481207	0,9813719	0,6562211	0,1815229	0,9049003	1,0091150	0,9061886	0,4140975	0,3556054	1,0744117	0,8889395	0,7680201	0,7507126	0,9520626	0,3299826	0,7485648	0,9107411	1,0265783	0,2959898	0,9972687	0,7350228	1,0060849	0,5574453	0,8434982
160	0,8200884	0,1577326	0,6752571	0,5330724	0,0399409	0,9395526	0,6315298	0,9878819	0,6322662	0,2179523	0,5683837	0,8849325	0,4124887	0,8275568	0,4875284	0,9025716	0,9819210	0,9660241	0,8665123	0,9826099	0,6516810	0,5621201	0,4120952	0,1144637	0,8439002	0,9602572	1,0139547	1,0203690	0,8730328	0,6522419	0,9701653	1,0172502	0,7337453	0,8649769	0,9282808	0,5957218	0,2606900	0,1759961	0,4169931	1,1076549	0,6953016	0,9731897	0,6111097	0,1621585	0,9225429	0,9281977	0,8907193	0,4176786	0,3778301	0,9829524	0,8478583	0,7188333	0,7789318	0,9237888	0,3300143	0,7566192	0,9205264	1,0516929	0,2979825	1,0513885	0,7183923	1,0861957	0,5874032	0,8356575
