"Time"	glrR	glmY	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	rstA	rcsB	rcsA	fhlA	hyfR	gadE	ydeO	evgA	csgE	csgG	csgF	sra	yjbE	yjbF	yjbG	yjbH	tdcB	tdcC	mdtF	tdcF	tdcE	mdtE	tdcD	tdcG	ompF	osmB	wzb	rprA	wzc	wcaB	wza	wcaA	bdm	hyfA	sgbE	yiaO	yiaK	hyfI	hyfJ	ftsZ	focB	hyfG	yiaL	yiaN	hyfE	hyfB	sgbU	ftsA	hyfD	hyfC	lyxK	sgbH

0	1,0000000	0,2089870	0,6086472	0,6214969	0,3589734	0,9979823	0,5677917	1,0000000	0,6359414	0,2696396	0,5811539	0,8367078	1,0000000	1,0000000	0,5486218	0,9787672	0,8735308	0,7984867	0,6283155	0,9999953	0,3096874	0,2820506	0,2956826	0,1271815	0,8277139	0,9958318	0,9899983	0,9974983	0,8355069	0,6451537	0,9998349	0,7111745	0,7195198	0,7643808	0,9056750	0,5690510	0,2110469	0,2179963	0,6142588	0,9990320	0,6997789	0,9577995	0,7320410	0,1806616	0,6638559	0,9417989	0,8924203	0,4074240	0,3848596	0,9240191	0,8059686	0,5112919	0,6863903	0,9411444	0,1098473	0,8461621	0,8898286	0,7445083	0,3514834	0,9959802	0,7085057	0,9499980	0,7707834	0,8460638
20	0,8795914	0,2082114	0,6086472	0,5092374	0,2478269	0,9979824	0,5677927	1,0000000	0,6359414	0,2696395	0,5811565	0,8349888	0,7455181	0,9146196	0,5468420	0,9787673	0,8735582	0,8696510	0,6739507	0,9935144	0,3159354	0,3575493	0,2974709	0,1268081	0,8272229	0,9974233	0,9905135	0,9982171	0,8355079	0,6451538	0,9998390	0,8232887	0,7384142	0,7656134	0,9056763	0,5690525	0,1948272	0,2179545	0,6121280	0,9990261	0,6991127	0,9575263	0,7312377	0,1806396	0,7611403	0,9418181	0,8924203	0,4074240	0,3848596	0,9540957	0,8059995	0,6032253	0,6864656	0,9639940	0,1950733	0,8461621	0,8898330	0,8529828	0,3514834	0,9959404	0,7085498	0,9593096	0,6959652	0,8460638
40	0,8152282	0,2047251	0,6086472	0,4606623	0,1712747	0,9979825	0,5677935	1,0000000	0,6359414	0,2696394	0,5811584	0,8352740	0,5969250	0,8592785	0,5384178	0,9787673	0,8735792	0,9155440	0,7045655	0,9898815	0,3457596	0,4141003	0,3062597	0,1250022	0,8248849	0,9983932	0,9908306	0,9987170	0,8355087	0,6451539	0,9998553	0,8916313	0,7509263	0,7712627	0,9056774	0,5690537	0,1871200	0,2173966	0,6019153	0,9989827	0,6962388	0,9561176	0,7272162	0,1802797	0,8297273	0,9418329	0,8924203	0,4074240	0,3848596	0,9719263	0,8060232	0,6633387	0,6865231	0,9778489	0,2393546	0,8461621	0,8898362	0,9009534	0,3514834	0,9957430	0,7085835	0,9644639	0,6514791	0,8460638
60	0,7808235	0,1989378	0,6086472	0,4526772	0,1185999	0,9979826	0,5677941	1,0000000	0,6359414	0,2696394	0,5811598	0,8374805	0,5101607	0,8234080	0,5236343	0,9787673	0,8735953	0,9451530	0,7250359	0,9878451	0,3971449	0,4601064	0,3227629	0,1217201	0,8206438	0,9989802	0,9910040	0,9990625	0,8355093	0,6451539	0,9998778	0,9332916	0,7592120	0,7807398	0,9056782	0,5690546	0,1889317	0,2157088	0,5837228	0,9988861	0,6912907	0,9533160	0,7195599	0,1790540	0,8780230	0,9418442	0,8924203	0,4074240	0,3848596	0,9824969	0,8060412	0,7011769	0,6865670	0,9862499	0,2623620	0,8461621	0,8898388	0,9221685	0,3514834	0,9953712	0,7086093	0,9673176	0,6250282	0,8460638
80	0,7624328	0,1921543	0,6086472	0,4628630	0,0823764	0,9979826	0,5677946	1,0000000	0,6359414	0,2696393	0,5811608	0,8410061	0,4594986	0,8001578	0,5052185	0,9787674	0,8736076	0,9642621	0,7386838	0,9867036	0,4562703	0,4972894	0,3452327	0,1174165	0,8150257	0,9993320	0,9910720	0,9992993	0,8355097	0,6451540	0,9998999	0,9586869	0,7646990	0,7919437	0,9056788	0,5690552	0,2033304	0,2123149	0,5606663	0,9987240	0,6847985	0,9491270	0,7088224	0,1764485	0,9119781	0,9418528	0,8924203	0,4074240	0,3848596	0,9887637	0,8060550	0,7236539	0,6866006	0,9913440	0,2743160	0,8461621	0,8898407	0,9315519	0,3514834	0,9948699	0,7086289	0,9688981	0,6093008	0,8460638
100	0,7526022	0,1854918	0,6086472	0,4768763	0,0574596	0,9979826	0,5677950	1,0000000	0,6359414	0,2696393	0,5811615	0,8451956	0,4299168	0,7850876	0,4859134	0,9787674	0,8736169	0,9765975	0,7477600	0,9860637	0,5112105	0,5263965	0,3712270	0,1126122	0,8086564	0,9995397	0,9910604	0,9994597	0,8355101	0,6451540	0,9999186	0,9741673	0,7683325	0,8031132	0,9056792	0,5690558	0,2304314	0,2069432	0,5360161	0,9984821	0,6773149	0,9436083	0,6957548	0,1722376	0,9358012	0,9418594	0,8924203	0,4074240	0,3848596	0,9924788	0,8060655	0,7356615	0,6866262	0,9944328	0,2805270	0,8461621	0,8898421	0,9357028	0,3514834	0,9943029	0,7086440	0,9697739	0,5999494	0,8460638
120	0,7473473	0,1796048	0,6086472	0,4884097	0,0403017	0,9979826	0,5677952	1,0000000	0,6359414	0,2696393	0,5811620	0,8495250	0,4126438	0,7753196	0,4676764	0,9787674	0,8736241	0,9845617	0,7537822	0,9857050	0,5566588	0,5485385	0,3984883	0,1077255	0,8021050	0,9996601	0,9909865	0,9995666	0,8355103	0,6451540	0,9999332	0,9836039	0,7707387	0,8132151	0,9056796	0,5690562	0,2647522	0,1997087	0,5121784	0,9981434	0,6693591	0,9368411	0,6810351	0,1665540	0,9524695	0,9418645	0,8924203	0,4074240	0,3848596	0,9946813	0,8060735	0,7406422	0,6866458	0,9963057	0,2837541	0,8461621	0,8898433	0,9375396	0,3514834	0,9937301	0,7086555	0,9702594	0,5943892	0,8460638
140	0,7445384	0,1747479	0,6086472	0,4959743	0,0284698	0,9979826	0,5677954	1,0000000	0,6359414	0,2696393	0,5811623	0,8536463	0,4025581	0,7689882	0,4516005	0,9787674	0,8736296	0,9897045	0,7577698	0,9855039	0,5919466	0,5650806	0,4253506	0,1030309	0,7958195	0,9997280	0,9908623	0,9996361	0,8355105	0,6451540	0,9999441	0,9893562	0,7723321	0,8218092	0,9056798	0,5690565	0,2992377	0,1910290	0,4905614	0,9976902	0,6613772	0,9289474	0,6652041	0,1597949	0,9640902	0,9418684	0,8924203	0,4074240	0,3848596	0,9959871	0,8060797	0,7410227	0,6866607	0,9974413	0,2854308	0,8461621	0,8898441	0,9383528	0,3514834	0,9931963	0,7086643	0,9705288	0,5910832	0,8460638
160	0,7430369	0,1709237	0,6086472	0,5001314	0,0203004	0,9979826	0,5677956	1,0000000	0,6359414	0,2696392	0,5811626	0,8573656	0,3966689	0,7648844	0,4381050	0,9787674	0,8736338	0,9930258	0,7604052	0,9853912	0,6184215	0,5773408	0,4507748	0,0986801	0,7901044	0,9997648	0,9906973	0,9996795	0,8355107	0,6451541	0,9999522	0,9928628	0,7733873	0,8288255	0,9056800	0,5690567	0,3292830	0,1814761	0,4717893	0,9971076	0,6537188	0,9201095	0,6487032	0,1524706	0,9721553	0,9418713	0,8924203	0,4074240	0,3848596	0,9967612	0,8060844	0,7385182	0,6866722	0,9981300	0,2863020	0,8461621	0,8898448	0,9387131	0,3514834	0,9927277	0,7086710	0,9706785	0,5891174	0,8460638
