"Time"	glrR	glmY	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	rstA	rcsB	rcsA	fhlA	hyfR	gadE	ydeO	evgA	csgE	csgG	csgF	sra	yjbE	yjbF	yjbG	yjbH	tdcB	tdcC	mdtF	tdcF	tdcE	mdtE	tdcD	tdcG	ompF	osmB	wzb	rprA	wzc	wcaB	wza	wcaA	bdm	hyfA	sgbE	yiaO	yiaK	hyfI	hyfJ	ftsZ	focB	hyfG	yiaL	yiaN	hyfE	hyfB	sgbU	ftsA	hyfD	hyfC	lyxK	sgbH

0	1,0000000	0,2089871	0,6086472	0,6214960	0,3589738	0,9979821	0,5677862	1,0000000	0,6359414	0,2696430	0,5811238	0,8370137	1,0000000	1,0000000	0,5485768	0,9787658	0,8734015	0,7984759	0,6283135	0,9999949	0,3097473	0,2828262	0,2959622	0,1271592	0,8276880	0,9958303	0,9899903	0,9974937	0,8355058	0,6451458	0,9998339	0,7111605	0,7195015	0,7641857	0,9056715	0,5690049	0,2109712	0,2176280	0,6141677	0,9990026	0,6997322	0,9576282	0,7312417	0,1803894	0,6631325	0,9417643	0,8924203	0,4074219	0,3848596	0,9239477	0,8058389	0,5110633	0,6856507	0,9410757	0,1098473	0,8461621	0,8898087	0,7441025	0,3514834	0,9959231	0,7083380	0,9498494	0,7707834	0,8460638
20	0,9596360	0,2088956	0,6086472	0,5977309	0,3262854	0,9979823	0,5677886	1,0000000	0,6359414	0,2696420	0,5811345	0,8365283	0,9014525	0,9765940	0,5484319	0,9787663	0,8734594	0,8159281	0,6409623	0,9987926	0,3105198	0,2934178	0,2960485	0,1271130	0,8276302	0,9962324	0,9901004	0,9976855	0,8355070	0,6451479	0,9998348	0,7322845	0,7227644	0,7643580	0,9056737	0,5690168	0,2081350	0,2177558	0,6139789	0,9990135	0,6996703	0,9576582	0,7313991	0,1804779	0,6846463	0,9417916	0,8924203	0,4074225	0,3848596	0,9299197	0,8059007	0,5370877	0,6858979	0,9456094	0,1310149	0,8461621	0,8898178	0,7632388	0,3514834	0,9959344	0,7084216	0,9519566	0,7559293	0,8460638
40	0,8944830	0,2080076	0,6086472	0,5550734	0,2645209	0,9979824	0,5677904	1,0000000	0,6359414	0,2696412	0,5811423	0,8359740	0,7470210	0,9325115	0,5467971	0,9787667	0,8735036	0,8498285	0,6650608	0,9964295	0,3185176	0,3178234	0,2979087	0,1265484	0,8269447	0,9969890	0,9903169	0,9980593	0,8355080	0,6451495	0,9998394	0,7750289	0,7297017	0,7655351	0,9056754	0,5690261	0,2026045	0,2177443	0,6117187	0,9990108	0,6989349	0,9574086	0,7308544	0,1804837	0,7289667	0,9418125	0,8924203	0,4074229	0,3848596	0,9417185	0,8059477	0,5858336	0,6860876	0,9546430	0,1686139	0,8461621	0,8898247	0,7980563	0,3514834	0,9959140	0,7084855	0,9558491	0,7264940	0,8460638
60	0,8398027	0,2056196	0,6086472	0,5188480	0,2023806	0,9979825	0,5677917	1,0000000	0,6359414	0,2696406	0,5811480	0,8360968	0,6201602	0,8885145	0,5420578	0,9787669	0,8735375	0,8847925	0,6894322	0,9939562	0,3406713	0,3490046	0,3035692	0,1249793	0,8250291	0,9977407	0,9905404	0,9984499	0,8355088	0,6451507	0,9998501	0,8211491	0,7376132	0,7687424	0,9056766	0,5690332	0,1978844	0,2173515	0,6051841	0,9989817	0,6969355	0,9565440	0,7288122	0,1802367	0,7781687	0,9418286	0,8924203	0,4074232	0,3848596	0,9541457	0,8059837	0,6337908	0,6862331	0,9642519	0,2037039	0,8461621	0,8898300	0,8320535	0,3514834	0,9958267	0,7085344	0,9597078	0,6954680	0,8460638
80	0,8015290	0,2016903	0,6086472	0,4968090	0,1498146	0,9979825	0,5677928	1,0000000	0,6359414	0,2696402	0,5811522	0,8372295	0,5321937	0,8517682	0,5336505	0,9787671	0,8735633	0,9149247	0,7100666	0,9917888	0,3770643	0,3827931	0,3140839	0,1222917	0,8217017	0,9983624	0,9907244	0,9987912	0,8355093	0,6451516	0,9998653	0,8627416	0,7451566	0,7741931	0,9056776	0,5690388	0,1971332	0,2162045	0,5936422	0,9989134	0,6934689	0,9548104	0,7247522	0,1794437	0,8238933	0,9418409	0,8924203	0,4074234	0,3848596	0,9650865	0,8060111	0,6725834	0,6863446	0,9727943	0,2310313	0,8461621	0,8898340	0,8602153	0,3514834	0,9956508	0,7085717	0,9629092	0,6681430	0,8460638
100	0,7769492	0,1966705	0,6086472	0,4873520	0,1087506	0,9979826	0,5677936	1,0000000	0,6359414	0,2696399	0,5811552	0,8393549	0,4755694	0,8235604	0,5220367	0,9787672	0,8735831	0,9387490	0,7261272	0,9900427	0,4221504	0,4163456	0,3293910	0,1186732	0,8171333	0,9988317	0,9908502	0,9990649	0,8355098	0,6451522	0,9998825	0,8971500	0,7517522	0,7814273	0,9056783	0,5690430	0,2031475	0,2139108	0,5777612	0,9987928	0,6886205	0,9520491	0,7184897	0,1777851	0,8628914	0,9418503	0,8924203	0,4074236	0,3848596	0,9739233	0,8060320	0,7006070	0,6864301	0,9797594	0,2505483	0,8461621	0,8898370	0,8819341	0,3514834	0,9953844	0,7086002	0,9653475	0,6460687	0,8460638
120	0,7619330	0,1911709	0,6086472	0,4859296	0,0780472	0,9979826	0,5677942	1,0000000	0,6359414	0,2696397	0,5811574	0,8422517	0,4405144	0,8029348	0,5082460	0,9787673	0,8735983	0,9566581	0,7380357	0,9887028	0,4692450	0,4477860	0,3486328	0,1144482	0,8116893	0,9991666	0,9909136	0,9992730	0,8355101	0,6451527	0,9998994	0,9242071	0,7572315	0,7897063	0,9056789	0,5690463	0,2169639	0,2101924	0,5589585	0,9986058	0,6826491	0,9481753	0,7100912	0,1750345	0,8945062	0,9418575	0,8924203	0,4074237	0,3848596	0,9807084	0,8060479	0,7189679	0,6864956	0,9851564	0,2637988	0,8461621	0,8898394	0,8980778	0,3514834	0,9950417	0,7086220	0,9671141	0,6291186	0,8460638
140	0,7530508	0,1857324	0,6086472	0,4883905	0,0556867	0,9979826	0,5677946	1,0000000	0,6359414	0,2696396	0,5811590	0,8456246	0,4192915	0,7883165	0,4934463	0,9787673	0,8736098	0,9696828	0,7465942	0,9877061	0,5133682	0,4760481	0,3705760	0,1099478	0,8057981	0,9993960	0,9909172	0,9994251	0,8355104	0,6451531	0,9999146	0,9447866	0,7616320	0,7983026	0,9056793	0,5690489	0,2372319	0,2049681	0,5388046	0,9983370	0,6758991	0,9431646	0,6997721	0,1711319	0,9192849	0,9418630	0,8924203	0,4074238	0,3848596	0,9857480	0,8060601	0,7296085	0,6865457	0,9892005	0,2725019	0,8461621	0,8898411	0,9098322	0,3514834	0,9946463	0,7086387	0,9683527	0,6165295	0,8460638
160	0,7479133	0,1807304	0,6086472	0,4919954	0,0396702	0,9979826	0,5677950	1,0000000	0,6359414	0,2696395	0,5811602	0,8491903	0,4066137	0,7781748	0,4786699	0,9787673	0,8736187	0,9789380	0,7526145	0,9869805	0,5518318	0,5006903	0,3939571	0,1054415	0,7998620	0,9995481	0,9908663	0,9995328	0,8355105	0,6451533	0,9999276	0,9600763	0,7650823	0,8066419	0,9056796	0,5690508	0,2612013	0,1983633	0,5186620	0,9979705	0,6687346	0,9370501	0,6878222	0,1661894	0,9382393	0,9418672	0,8924203	0,4074238	0,3848596	0,9894048	0,8060694	0,7345046	0,6865841	0,9921599	0,2780871	0,8461621	0,8898425	0,9182877	0,3514834	0,9942247	0,7086515	0,9692015	0,6073961	0,8460638
180	0,7449895	0,1763692	0,6086472	0,4953198	0,0283213	0,9979826	0,5677953	1,0000000	0,6359414	0,2696394	0,5811610	0,8527196	0,3991029	0,7712455	0,4646903	0,9787674	0,8736254	0,9854032	0,7567840	0,9864601	0,5837546	0,5216966	0,4176810	0,1011188	0,7942040	0,9996461	0,9907675	0,9996064	0,8355107	0,6451535	0,9999383	0,9712405	0,7677396	0,8143382	0,9056799	0,5690524	0,2860508	0,1906647	0,4995374	0,9974921	0,6614928	0,9299247	0,6745661	0,1604482	0,9524703	0,9418705	0,8924203	0,4074239	0,3848596	0,9920128	0,8060765	0,7353660	0,6866135	0,9942877	0,2816108	0,8461621	0,8898435	0,9243260	0,3514834	0,9938012	0,7086612	0,9697736	0,6008836	0,8460638
200	0,7433458	0,1727183	0,6086472	0,4978305	0,0203377	0,9979826	0,5677955	1,0000000	0,6359414	0,2696394	0,5811617	0,8560503	0,3946764	0,7665645	0,4520024	0,9787674	0,8736306	0,9898610	0,7596385	0,9860912	0,6093689	0,5393048	0,4408938	0,0970972	0,7890472	0,9997076	0,9906282	0,9996549	0,8355108	0,6451537	0,9999467	0,9792846	0,7697579	0,8211764	0,9056801	0,5690535	0,3096392	0,1822500	0,4820715	0,9968922	0,6544568	0,9219418	0,6603505	0,1542158	0,9629949	0,9418730	0,8924203	0,4074239	0,3848596	0,9938485	0,8060820	0,7335614	0,6866360	0,9957972	0,2838053	0,8461621	0,8898443	0,9286189	0,3514834	0,9933950	0,7086686	0,9701543	0,5963013	0,8460638
220	0,7424302	0,1697572	0,6086472	0,4994838	0,0147496	0,9979826	0,5677956	1,0000000	0,6359414	0,2696393	0,5811621	0,8590828	0,3920763	0,7634292	0,4408590	0,9787674	0,8736345	0,9929034	0,7615751	0,9858320	0,6294589	0,5538799	0,4629785	0,0934408	0,7845159	0,9997449	0,9904564	0,9996851	0,8355109	0,6451538	0,9999532	0,9850203	0,7712741	0,8270736	0,9056802	0,5690544	0,3306785	0,1735183	0,4665949	0,9961687	0,6478426	0,9133085	0,6455379	0,1478064	0,9706792	0,9418748	0,8924203	0,4074239	0,3848596	0,9951272	0,8060861	0,7301336	0,6866532	0,9968565	0,2851580	0,8461621	0,8898449	0,9316627	0,3514834	0,9930196	0,7086743	0,9704052	0,5931106	0,8460638
240	0,7419241	0,1674152	0,6086472	0,5004452	0,0108522	0,9979827	0,5677957	1,0000000	0,6359414	0,2696393	0,5811624	0,8617681	0,3905521	0,7613430	0,4313278	0,9787674	0,8736376	0,9949629	0,7628799	0,9856509	0,6449916	0,5658298	0,4835214	0,0901765	0,7806524	0,9997668	0,9902604	0,9997024	0,8355110	0,6451539	0,9999581	0,9890756	0,7724030	0,8320388	0,9056803	0,5690551	0,3486033	0,1648358	0,4532059	0,9953290	0,6417971	0,9042704	0,6304979	0,1414980	0,9762263	0,9418763	0,8924203	0,4074240	0,3848596	0,9960106	0,8060893	0,7258466	0,6866664	0,9975936	0,2859852	0,8461621	0,8898454	0,9338172	0,3514834	0,9926826	0,7086787	0,9705692	0,5909074	0,8460638
260	0,7416459	0,1656002	0,6086472	0,5009284	0,0081411	0,9979827	0,5677958	1,0000000	0,6359414	0,2696393	0,5811626	0,8640939	0,3896600	0,7599619	0,4233505	0,9787674	0,8736399	0,9963478	0,7637538	0,9855252	0,6569094	0,5755559	0,5022718	0,0873076	0,7774387	0,9997790	0,9900487	0,9997108	0,8355110	0,6451539	0,9999618	0,9919232	0,7732372	0,8361374	0,9056804	0,5690556	0,3633521	0,1565026	0,4418453	0,9943905	0,6364041	0,8950907	0,6155914	0,1355091	0,9801889	0,9418774	0,8924203	0,4074240	0,3848596	0,9966167	0,8060917	0,7212386	0,6866765	0,9981028	0,2864877	0,8461621	0,8898458	0,9353405	0,3514834	0,9923873	0,7086820	0,9706758	0,5893966	0,8460638
280	0,7414937	0,1642167	0,6086472	0,5011207	0,0062592	0,9979827	0,5677959	1,0000000	0,6359414	0,2696393	0,5811628	0,8660730	0,3891382	0,7590514	0,4167933	0,9787674	0,8736416	0,9972740	0,7643364	0,9854382	0,6660325	0,5834272	0,5191063	0,0848213	0,7748191	0,9997853	0,9898296	0,9997133	0,8355110	0,6451540	0,9999645	0,9939112	0,7738499	0,8394654	0,9056805	0,5690561	0,3751626	0,1487389	0,4323583	0,9933793	0,6316938	0,8860260	0,6011493	0,1299914	0,9829911	0,9418783	0,8924203	0,4074240	0,3848596	0,9970303	0,8060935	0,7166714	0,6866842	0,9984525	0,2867913	0,8461621	0,8898460	0,9364169	0,3514834	0,9921336	0,7086845	0,9707447	0,5883665	0,8460638
300	0,7414107	0,1631765	0,6086472	0,5011582	0,0049551	0,9979827	0,5677959	1,0000000	0,6359414	0,2696392	0,5811629	0,8677326	0,3888332	0,7584530	0,4114842	0,9787674	0,8736430	0,9978906	0,7647233	0,9853782	0,6730280	0,5897684	0,5339997	0,0826948	0,7727189	0,9997881	0,9896108	0,9997121	0,8355111	0,6451540	0,9999665	0,9952926	0,7742974	0,8421300	0,9056805	0,5690564	0,3844181	0,1416860	0,4245404	0,9923269	0,6276556	0,8773059	0,5874542	0,1250342	0,9849530	0,9418789	0,8924203	0,4074240	0,3848596	0,9973111	0,8060950	0,7123728	0,6866901	0,9986915	0,2869739	0,8461621	0,8898462	0,9371771	0,3514834	0,9919192	0,7086865	0,9707891	0,5876675	0,8460638
320	0,7413657	0,1624032	0,6086472	0,5011274	0,0040525	0,9979827	0,5677960	1,0000000	0,6359414	0,2696392	0,5811630	0,8691077	0,3886550	0,7580608	0,4072406	0,9787674	0,8736440	0,9982995	0,7649793	0,9853369	0,6784159	0,5948580	0,5470002	0,0808985	0,7710574	0,9997890	0,9893988	0,9997086	0,8355111	0,6451540	0,9999679	0,9962484	0,7746227	0,8442378	0,9056806	0,5690566	0,3915452	0,1354153	0,4181698	0,9912669	0,6242499	0,8691167	0,5747254	0,1206743	0,9863126	0,9418794	0,8924203	0,4074240	0,3848596	0,9975010	0,8060960	0,7084724	0,6866946	0,9988540	0,2870833	0,8461621	0,8898464	0,9377140	0,3514834	0,9917403	0,7086880	0,9708177	0,5871950	0,8460638
340	0,7413412	0,1618340	0,6086472	0,5010769	0,0034287	0,9979827	0,5677960	1,0000000	0,6359414	0,2696392	0,5811631	0,8702355	0,3885509	0,7578043	0,4038858	0,9787674	0,8736448	0,9985698	0,7651481	0,9853086	0,6825899	0,5989304	0,5582094	0,0793991	0,7697572	0,9997889	0,9891987	0,9997040	0,8355111	0,6451540	0,9999690	0,9969076	0,7748584	0,8458879	0,9056806	0,5690568	0,3969551	0,1299429	0,4130278	0,9902310	0,6214190	0,8615942	0,5631134	0,1169089	0,9872444	0,9418798	0,8924203	0,4074240	0,3848596	0,9976291	0,8060969	0,7050296	0,6866980	0,9989643	0,2871486	0,8461621	0,8898465	0,9380930	0,3514834	0,9915929	0,7086891	0,9708359	0,5868768	0,8460638
360	0,7413280	0,1614183	0,6086472	0,5010299	0,0029978	0,9979827	0,5677960	1,0000000	0,6359414	0,2696392	0,5811631	0,8711527	0,3884901	0,7576367	0,4012585	0,9787674	0,8736454	0,9987480	0,7652592	0,9852892	0,6858432	0,6021799	0,5677647	0,0781615	0,7687485	0,9997882	0,9890145	0,9996990	0,8355111	0,6451541	0,9999697	0,9973608	0,7750284	0,8471678	0,9056806	0,5690569	0,4010125	0,1252436	0,4089117	0,9892463	0,6190960	0,8548221	0,5527009	0,1137075	0,9878753	0,9418801	0,8924203	0,4074240	0,3848596	0,9977151	0,8060975	0,7020567	0,6867007	0,9990387	0,2871875	0,8461621	0,8898466	0,9383606	0,3514834	0,9914725	0,7086900	0,9708476	0,5866632	0,8460638
380	0,7413209	0,1611169	0,6086472	0,5009946	0,0027005	0,9979827	0,5677961	1,0000000	0,6359414	0,2696392	0,5811632	0,8718932	0,3884546	0,7575275	0,3992180	0,9787674	0,8736459	0,9988652	0,7653321	0,9852759	0,6883927	0,6047665	0,5758245	0,0771508	0,7679714	0,9997874	0,9888484	0,9996939	0,8355111	0,6451541	0,9999702	0,9976715	0,7751508	0,8481526	0,9056806	0,5690571	0,4040252	0,1212648	0,4056404	0,9883335	0,6172116	0,8488362	0,5435100	0,1110223	0,9882967	0,9418803	0,8924203	0,4074240	0,3848596	0,9977728	0,8060980	0,6995349	0,6867027	0,9990889	0,2872106	0,8461621	0,8898467	0,9385495	0,3514834	0,9913749	0,7086906	0,9708551	0,5865200	0,8460638
400	0,7413171	0,1608996	0,6086472	0,5009715	0,0024955	0,9979827	0,5677961	1,0000000	0,6359414	0,2696392	0,5811632	0,8724874	0,3884339	0,7574563	0,3976445	0,9787674	0,8736462	0,9989421	0,7653798	0,9852668	0,6903992	0,6068210	0,5825566	0,0763335	0,7673760	0,9997866	0,9887014	0,9996892	0,8355111	0,6451541	0,9999706	0,9978841	0,7752386	0,8489048	0,9056806	0,5690571	0,4062431	0,1179379	0,4030568	0,9875066	0,6156985	0,8436326	0,5355136	0,1087968	0,9885736	0,9418805	0,8924203	0,4074240	0,3848596	0,9978114	0,8060983	0,6974278	0,6867042	0,9991227	0,2872244	0,8461621	0,8898467	0,9386829	0,3514834	0,9912965	0,7086911	0,9708598	0,5864244	0,8460638
420	0,7413150	0,1607437	0,6086472	0,5009583	0,0023542	0,9979827	0,5677961	1,0000000	0,6359414	0,2696392	0,5811632	0,8729615	0,3884217	0,7574100	0,3964387	0,9787674	0,8736465	0,9989925	0,7654110	0,9852606	0,6919826	0,6084492	0,5881287	0,0756787	0,7669220	0,9997858	0,9885737	0,9996850	0,8355111	0,6451541	0,9999708	0,9980293	0,7753014	0,8494757	0,9056807	0,5690572	0,4078640	0,1151866	0,4010278	0,9867726	0,6144946	0,8391766	0,5286470	0,1069716	0,9887519	0,9418806	0,8924203	0,4074240	0,3848596	0,9978372	0,8060986	0,6956894	0,6867054	0,9991453	0,2872325	0,8461621	0,8898468	0,9387770	0,3514834	0,9912338	0,7086915	0,9708629	0,5863606	0,8460638
440	0,7413139	0,1606324	0,6086472	0,5009517	0,0022567	0,9979827	0,5677961	1,0000000	0,6359414	0,2696392	0,5811632	0,8733381	0,3884147	0,7573798	0,3955199	0,9787674	0,8736467	0,9990254	0,7654313	0,9852564	0,6932337	0,6097372	0,5927020	0,0751585	0,7665770	0,9997851	0,9884643	0,9996812	0,8355111	0,6451541	0,9999710	0,9981283	0,7753463	0,8499065	0,9056807	0,5690573	0,4090413	0,1129339	0,3994423	0,9861329	0,6135447	0,8354125	0,5228205	0,1054886	0,9888638	0,9418807	0,8924203	0,4074240	0,3848596	0,9978544	0,8060988	0,6942713	0,6867063	0,9991604	0,2872373	0,8461621	0,8898468	0,9388435	0,3514834	0,9911839	0,7086918	0,9708648	0,5863181	0,8460638
460	0,7413133	0,1605533	0,6086472	0,5009493	0,0021896	0,9979827	0,5677961	1,0000000	0,6359414	0,2696392	0,5811632	0,8736361	0,3884105	0,7573603	0,3948232	0,9787674	0,8736469	0,9990469	0,7654445	0,9852535	0,6942221	0,6107540	0,5964261	0,0747485	0,7663157	0,9997845	0,9883719	0,9996780	0,8355112	0,6451541	0,9999711	0,9981956	0,7753782	0,8502298	0,9056807	0,5690573	0,4098917	0,1111056	0,3982090	0,9855847	0,6128006	0,8322718	0,5179297	0,1042938	0,9889317	0,9418808	0,8924203	0,4074240	0,3848596	0,9978658	0,8060990	0,6931256	0,6867070	0,9991706	0,2872401	0,8461621	0,8898468	0,9388904	0,3514834	0,9911445	0,7086920	0,9708661	0,5862899	0,8460638
480	0,7413130	0,1604972	0,6086472	0,5009489	0,0021433	0,9979827	0,5677961	1,0000000	0,6359414	0,2696392	0,5811632	0,8738709	0,3884081	0,7573475	0,3942973	0,9787674	0,8736470	0,9990610	0,7654531	0,9852515	0,6950020	0,6115553	0,5994367	0,0744277	0,7661184	0,9997841	0,9882949	0,9996753	0,8355112	0,6451541	0,9999712	0,9982414	0,7754010	0,8504713	0,9056807	0,5690573	0,4105031	0,1096337	0,3972536	0,9851217	0,6122217	0,8296804	0,5138646	0,1033382	0,9889708	0,9418808	0,8924203	0,4074240	0,3848596	0,9978734	0,8060991	0,6922079	0,6867075	0,9991773	0,2872418	0,8461621	0,8898468	0,9389235	0,3514834	0,9911133	0,7086922	0,9708668	0,5862712	0,8460638
500	0,7413128	0,1604575	0,6086472	0,5009494	0,0021114	0,9979827	0,5677961	1,0000000	0,6359414	0,2696392	0,5811632	0,8740554	0,3884067	0,7573393	0,3939018	0,9787674	0,8736471	0,9990701	0,7654586	0,9852502	0,6956161	0,6121854	0,6018540	0,0741784	0,7659697	0,9997837	0,9882314	0,9996731	0,8355112	0,6451541	0,9999713	0,9982725	0,7754171	0,8506509	0,9056807	0,5690573	0,4109409	0,1084573	0,3965162	0,9847358	0,6117740	0,8275638	0,5105158	0,1025793	0,9889914	0,9418809	0,8924203	0,4074240	0,3848596	0,9978785	0,8060992	0,6914786	0,6867079	0,9991818	0,2872428	0,8461621	0,8898468	0,9389468	0,3514834	0,9910889	0,7086923	0,9708674	0,5862587	0,8460638
