"Time"	glrR	glmY	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	rstA	rcsB	rcsA	fhlA	hyfR	gadE	ydeO	evgA	csgE	csgG	csgF	sra	yjbE	yjbF	yjbG	yjbH	tdcB	tdcC	mdtF	tdcF	tdcE	mdtE	tdcD	tdcG	ompF	osmB	wzb	rprA	wzc	wcaB	wza	wcaA	bdm	hyfA	sgbE	yiaO	yiaK	hyfI	hyfJ	ftsZ	focB	hyfG	yiaL	yiaN	hyfE	hyfB	sgbU	ftsA	hyfD	hyfC	lyxK	sgbH

0	0,6112358	0,1546557	0,3942088	0,4920822	0,2687884	0,7663054	0,4291057	0,8010693	0,4845870	0,1834044	0,3449150	0,5614402	0,7147512	0,9083449	0,4273813	0,7612884	0,6074896	0,5665705	0,5029719	0,8953483	0,2518003	0,1786883	0,2188258	0,0838621	0,6887125	0,7120651	0,6841934	0,6030787	0,5472719	0,3682476	0,8209904	0,4823023	0,4641412	0,5382381	0,6665797	0,4130551	0,1555870	0,1986731	0,4343728	0,6019860	0,5138324	0,7350362	0,4621749	0,1003872	0,5886778	0,7574345	0,6098582	0,3016275	0,2467178	0,6693304	0,7124380	0,4659810	0,4987096	0,6858488	0,0639152	0,5430780	0,5525528	0,5254264	0,1847677	0,7486380	0,4944958	0,6354831	0,4743267	0,6054405
20	0,6916415	0,1395843	0,3874264	0,3092188	0,2588423	0,8172171	0,3982221	0,7468142	0,5030177	0,2281032	0,4019647	0,7189895	0,6802395	0,7187014	0,5168001	0,5553563	0,4982025	0,5521468	0,4693786	0,6667592	0,2737500	0,1993430	0,1860784	0,0612089	0,6880622	0,6668253	0,8031882	0,7576726	0,5966601	0,3981891	0,7416286	0,5069039	0,4822848	0,6681659	0,6743030	0,3535170	0,0600799	0,2101103	0,4476115	0,8009585	0,5447838	0,6614816	0,5658873	0,1665175	0,4978714	0,6072577	0,5387415	0,2896008	0,3125116	0,6985469	0,5233195	0,4209118	0,4586069	0,7131129	0,0860067	0,5777951	0,6521676	0,5339289	0,2049177	0,6254011	0,4295978	0,7011085	0,6437319	0,6129835
40	0,6786624	0,1301325	0,4313958	0,4492614	0,2377355	0,7789492	0,3788783	0,6274642	0,4539844	0,2012543	0,3764052	0,6144798	0,5198487	0,6116439	0,4857052	0,7764515	0,5621239	0,5202653	0,4344914	0,7121024	0,1776142	0,1742943	0,1829958	0,0789007	0,5531729	0,7328873	0,7710037	0,7472814	0,6064352	0,5247041	0,5925755	0,6129817	0,5949027	0,6119297	0,8008615	0,3760385	0,1334309	0,2521396	0,4260152	0,6526253	0,5985206	0,7563327	0,5256492	0,2144150	0,5659182	0,5521041	0,6758650	0,2575663	0,2335192	0,7102817	0,5570283	0,5755406	0,4604314	0,7656282	0,1447787	0,5034849	0,5131692	0,7194429	0,2348109	0,6613373	0,5122230	0,5991393	0,5492072	0,7540724
60	0,5627300	0,1050703	0,5053139	0,3404326	0,2000297	0,6561720	0,4655603	0,7397913	0,4180394	0,2270011	0,2759256	0,6290519	0,3927791	0,6388501	0,4124498	0,6445139	0,7032290	0,7416683	0,4908497	0,7708790	0,2946882	0,2068077	0,2073937	0,0492645	0,5193520	0,6421505	0,6184870	0,6964477	0,6274710	0,4422201	0,7810288	0,7102187	0,6852970	0,4665862	0,7070758	0,4365407	0,1549586	0,1704884	0,4997374	0,7455167	0,4263798	0,6886353	0,4818258	0,2161782	0,5637073	0,6886859	0,6862259	0,2476921	0,2910075	0,6711353	0,5411803	0,5082436	0,3995146	0,6963378	0,1496853	0,5870397	0,5492411	0,6400379	0,1822969	0,6761785	0,5194317	0,5808581	0,4826609	0,6140723
80	0,5903692	0,1219279	0,3697158	0,2859419	0,1526534	0,7404807	0,4000983	0,6180353	0,5031634	0,2082868	0,3525842	0,6605901	0,4973470	0,5980247	0,3178135	0,7739568	0,6377530	0,6863355	0,5635905	0,7996589	0,2429235	0,2136470	0,2070315	0,0424383	0,5324803	0,6737293	0,6089842	0,6768776	0,5843194	0,4335889	0,7228173	0,5955324	0,5797777	0,5154164	0,6034616	0,3082707	0,1358471	0,1796828	0,3123401	0,7517358	0,4635009	0,6882781	0,5229976	0,2116463	0,6061433	0,6071652	0,6720536	0,2640585	0,2657641	0,7988502	0,6391321	0,5402491	0,4484115	0,8064511	0,1821031	0,5196173	0,6158524	0,6938398	0,3468423	0,6978400	0,3959131	0,6196734	0,4265360	0,4949081
100	0,6820011	0,1414471	0,4815514	0,3288276	0,1747526	0,7210490	0,3739615	0,7709612	0,4696769	0,1997088	0,3631128	0,6949005	0,3918784	0,5045057	0,3408526	0,7741669	0,5926894	0,6835530	0,4815311	0,8373170	0,3482832	0,2870586	0,2026017	0,0560766	0,5178294	0,7407546	0,7185969	0,7136595	0,5212007	0,4323917	0,6497282	0,6512278	0,4605811	0,6039716	0,5097282	0,3639925	0,1412689	0,1994296	0,3774141	0,7167733	0,4141529	0,7764629	0,5777243	0,1628419	0,6955273	0,7075392	0,6830694	0,3949954	0,2140344	0,6028288	0,5563713	0,5117026	0,4402274	0,7530557	0,2423613	0,6222131	0,5299421	0,6752271	0,3123462	0,7108074	0,5179494	0,5889759	0,4638687	0,6812500
120	0,5432910	0,1226952	0,4596061	0,3090097	0,0841041	0,5223693	0,3560434	0,5971149	0,4165177	0,1748935	0,3697509	0,5954947	0,2567052	0,6551868	0,3454170	0,8019696	0,5754248	0,7073716	0,5495302	0,7367296	0,3532947	0,2601125	0,1878938	0,0340226	0,7114358	0,5828465	0,7165339	0,7593568	0,5514414	0,4348119	0,8638453	0,7147365	0,4830342	0,5648434	0,6268762	0,3370528	0,0990794	0,2075719	0,3633169	0,6417112	0,6375140	0,7345730	0,5031941	0,2115582	0,5576015	0,7539930	0,7209261	0,3720574	0,2791286	0,6722761	0,5750700	0,5384801	0,6083331	0,5350053	0,1900121	0,5352027	0,6421731	0,7321838	0,2078284	0,7007403	0,6286850	0,6104579	0,4992676	0,4884577
140	0,5655143	0,1196187	0,4797562	0,2856070	0,0905426	0,5841925	0,4366855	0,7287230	0,4750368	0,2216044	0,4129054	0,5262062	0,3078384	0,5926765	0,3403542	0,8403797	0,7008601	0,8033717	0,5561760	0,7336580	0,4344063	0,3233029	0,2047588	0,1064162	0,4480051	0,6819308	0,7371516	0,6414906	0,5641072	0,3533019	0,7693542	0,7517857	0,4781082	0,6072804	0,5642124	0,3260643	0,1030298	0,1811930	0,2912171	0,8513492	0,5479039	0,7796760	0,5138443	0,1481196	0,5630363	0,6801333	0,6628368	0,2551536	0,2979205	0,6688602	0,6384627	0,6244593	0,5307734	0,6732818	0,1682601	0,5654139	0,6135805	0,6763059	0,2396571	0,6803471	0,5377254	0,6889778	0,4614768	0,6077481
160	0,5710911	0,1555975	0,4094741	0,3282245	0,0318104	0,7250407	0,4089611	0,9097181	0,3950711	0,2489024	0,4284501	0,5510784	0,2815642	0,6313589	0,3541065	0,6800112	0,5740634	0,7291995	0,5955322	0,6842851	0,3788961	0,3343982	0,2335987	0,0529384	0,5692153	0,7039295	0,6777543	0,6945037	0,5739388	0,3817806	0,7192683	0,7732271	0,5832261	0,5522221	0,6096695	0,4093664	0,1431764	0,2135538	0,3460268	0,8200840	0,5195315	0,8340495	0,5321151	0,1324543	0,5588997	0,7119813	0,7003443	0,2795022	0,1894087	0,8743272	0,5806713	0,5811035	0,5762013	0,5688879	0,2289376	0,4726576	0,6123269	0,7214099	0,2617955	0,5830537	0,5296011	0,7242723	0,4537472	0,5317171
