"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI

0	0,8757247	0,1812257	0,0025449	0,2877100	0,7361329	0,7348495	0,7009540	0,2802396	0,4061942	0,4979874	0,7316905	0,1892893	0,0110218	0,7146860	0,0039191	0,4755947	0,5707838	0,2022560	0,0865829	0,5138429	0,0756384	0,4145059	0,0654468	0,3401490	0,4412002	0,3132814	0,0106854	0,1940269	0,2089276	0,0258537	0,0133889	0,2362344	0,5536660	0,4271049	0,2157388	0,6300561	0,5993858	0,8069410	0,6027638	0,6185701	0,6971315	0,7391554	0,0134456	0,2396579	0,7981413	0,1052789	0,0256493	0,0659795	0,2379399	0,0629064	0,0870992	0,3622170	0,4927694	0,0332787	0,1205659	0,8620981	0,7206606	0,3023175	0,0746705	0,0465698	0,0100558	0,1460745	0,2797259	0,5675769
20	0,6429708	0,3146141	0,0029332	0,2675742	0,7223119	0,5383413	0,6370114	0,1991938	0,2928973	0,4575718	0,8250434	0,2274375	0,0651180	0,7392353	0,0007468	0,3322135	0,6823459	0,2165973	0,0586320	0,5812784	0,0978432	0,6888880	0,0687905	0,3960790	0,4985153	0,2597790	0,0104857	0,2452029	0,1414528	0,1701196	0,3481169	0,4548398	0,4324616	0,3126629	0,2835482	0,6295272	0,5787676	0,5082902	0,4961987	0,6818570	0,6466569	0,5585731	0,0078840	0,2986921	0,7437738	0,5397035	0,0294713	0,0999067	0,2379553	0,0271962	0,0517093	0,4471168	0,5825461	0,0517567	0,1451966	0,7954634	0,7160433	0,3059597	0,0641666	0,2582115	0,0177358	0,1789801	0,3452982	0,5364384
40	0,6673253	0,2405589	0,0015338	0,2867324	0,8093134	0,4643049	0,7935326	0,2632331	0,2515756	0,4547276	0,7182874	0,5243559	0,1657415	0,7803935	0,0005972	0,2556694	0,6495296	0,2159720	0,0693353	0,4912556	0,0763490	0,7060989	0,0829450	0,4511831	0,4824039	0,2469987	0,0303713	0,1431603	0,0552624	0,3145513	0,3615328	0,5877965	0,6205934	0,3186131	0,3074261	0,6688142	0,6053268	0,4163204	0,5589081	0,6770044	0,8522416	0,7292885	0,0025305	0,3433137	0,6287628	0,5692083	0,0598791	0,1252010	0,2017998	0,0512425	0,0638554	0,4708512	0,6175278	0,0378340	0,1197324	0,7134465	0,6506591	0,2924661	0,0385663	0,3726628	0,0239138	0,4017736	0,2554299	0,5544268
60	0,6385862	0,3262490	0,0007081	0,3320419	0,6490656	0,3908887	0,6626421	0,2190083	0,3236809	0,4999295	0,6773051	0,5118264	0,1340585	0,7243751	0,0020602	0,1259525	0,5923022	0,2597490	0,1061270	0,4218844	0,0912955	0,5638000	0,1089746	0,4101921	0,4683287	0,2126359	0,0126153	0,2160820	0,0914930	0,2187090	0,4259503	0,4983802	0,4435117	0,2959263	0,3063206	0,6192941	0,6971950	0,4628936	0,5175985	0,6418778	0,8179152	0,6257368	0,0029322	0,3969069	0,6316910	0,5857320	0,0338566	0,2025568	0,2498752	0,0212312	0,0466080	0,4404872	0,5452085	0,0304904	0,1293305	0,6288265	0,6193781	0,2975387	0,0508186	0,6031883	0,0061730	0,6341622	0,2995846	0,5454848
80	0,6741251	0,3475197	0,0016095	0,3198816	0,7672503	0,4119531	0,5381580	0,2409467	0,3398536	0,4417793	0,8244098	0,6327559	0,3053852	0,9535550	0,0013761	0,1839546	0,6332495	0,1894485	0,0896086	0,4631195	0,1625095	0,5595472	0,0898461	0,4335621	0,4679804	0,2129711	0,0067841	0,2038503	0,1706423	0,2787646	0,6400816	0,5578562	0,4019886	0,3007109	0,2997905	0,7329743	0,5540103	0,3778847	0,4486372	0,7119076	0,6671191	0,7339989	0,0002725	0,2921905	0,7320605	0,5722284	0,0523610	0,1773243	0,1979383	0,0281138	0,0812634	0,4398566	0,5257180	0,0214037	0,1408157	0,7358334	0,6609606	0,2825425	0,0648938	0,5468688	0,0022902	0,7059415	0,3303504	0,5153330
100	0,7740885	0,2275349	0,0001951	0,3121956	0,7212351	0,4300876	0,6636078	0,2268735	0,3638621	0,3734088	0,7949086	0,6432040	0,2817801	0,6067995	0,0005048	0,1343543	0,7198851	0,1548699	0,0692563	0,3335433	0,2858561	0,6840047	0,0925218	0,4066819	0,5125545	0,2093133	0,0073817	0,1670633	0,1701942	0,2536418	0,5897743	0,5305716	0,4708413	0,3764055	0,1964145	0,7881870	0,5379801	0,3346841	0,4443244	0,7165164	0,6824025	0,7304615	0,0003521	0,4260379	0,6349738	0,5131736	0,0272639	0,2560141	0,2488846	0,0482225	0,1240703	0,4322399	0,5491356	0,0345532	0,1613436	0,7277701	0,5789962	0,2745283	0,0658064	0,6002260	0,0089004	0,7487218	0,3929419	0,5124788
120	0,7048568	0,2412718	0,0000000	0,3373218	0,6718863	0,3747673	0,7061355	0,2722568	0,3487198	0,5132690	0,7782738	0,7348390	0,3080091	0,8139719	0,0081965	0,0712909	0,8021311	0,1979688	0,0892587	0,2914932	0,3582471	0,6730968	0,0965397	0,2918001	0,3993939	0,2667964	0,0084111	0,1758315	0,2114297	0,3417241	0,7341848	0,6948171	0,4292381	0,2910375	0,2659882	0,6737916	0,6376562	0,3580958	0,3991623	0,5531522	0,6873009	0,6867173	0,0005716	0,5152016	0,6870959	0,5939108	0,0339506	0,2576726	0,2916845	0,1911971	0,0922416	0,5352562	0,5957641	0,0464983	0,1488197	0,6895351	0,5417410	0,2830212	0,0481587	0,7211238	0,0113971	0,9065894	0,3800277	0,4170801
140	0,7453055	0,2711548	0,0001932	0,4046769	0,6809904	0,2607783	0,5532656	0,2282903	0,2286011	0,4919189	0,7729715	0,6340323	0,4365312	0,6508969	0,0003479	0,0897563	0,8229834	0,1915465	0,0942922	0,3413839	0,3722776	0,8788900	0,1574847	0,2854891	0,5313423	0,2566134	0,0161049	0,2100740	0,2142006	0,3166931	0,6695933	0,6238391	0,4871113	0,3580271	0,2767716	0,8419483	0,5029706	0,3548476	0,4160718	0,7443559	0,6723845	0,6615482	0,0000436	0,4769232	0,7299308	0,4865443	0,0539386	0,1961000	0,3724047	0,3262412	0,0914346	0,4049036	0,4633519	0,0596369	0,1548371	0,7606414	0,6322806	0,3012701	0,0631210	0,7531721	0,0099285	0,7717896	0,3071733	0,6405678
160	0,7010858	0,2953954	0,0004251	0,2865280	0,8902557	0,3390696	0,5790603	0,2584279	0,2910575	0,5035723	0,8783828	0,7309040	0,4995539	0,8162174	0,0007044	0,0986089	0,7339607	0,1777544	0,0976038	0,2907983	0,5776722	0,7582207	0,2078979	0,3378221	0,5102920	0,2925765	0,0187799	0,1840191	0,1716225	0,3486324	0,7215798	0,6341541	0,5190697	0,3425277	0,2376080	0,6934882	0,5233753	0,2464066	0,3376331	0,6749630	0,6279843	0,6294784	0,0003526	0,5385920	0,6432230	0,6607944	0,0465011	0,2841812	0,3744954	0,3649960	0,0835003	0,5274484	0,3803643	0,0802381	0,1952273	0,7708050	0,6873508	0,2638727	0,0566771	0,6178569	0,0072796	0,7474318	0,4363582	0,5373812
