"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI

0	0,9716452	0,3025454	0,0040537	0,3986738	0,9667460	1,0174548	0,9852349	0,3666967	0,4519475	0,5981259	0,9426168	0,3234985	0,0138957	1,0521199	0,0097254	0,6190900	0,8756461	0,2886703	0,1046700	0,8508154	0,1111655	0,6495628	0,0851411	0,5032772	0,5947870	0,3634932	0,0172926	0,2829420	0,3174460	0,0356543	0,0269006	0,3840786	0,5920906	0,4536408	0,3009043	0,8444837	0,9021631	1,0125827	0,6867369	0,8895299	1,0946676	0,9200968	0,0146899	0,3159224	1,0630725	0,1531689	0,0398710	0,1134354	0,3024041	0,0716194	0,0919495	0,5369476	0,8852398	0,0430024	0,2231348	1,0285015	0,8540684	0,4236699	0,0964822	0,0693726	0,0097652	0,1240595	0,4228956	0,7311283
20	0,9218979	0,3613206	0,0016121	0,4028780	0,9941011	0,7538167	0,8448911	0,3526782	0,4409907	0,5486381	0,9994774	0,3465764	0,1047568	0,9690525	0,0032693	0,4048193	0,7750441	0,3210373	0,0868991	0,7247254	0,1318714	0,9239844	0,0822267	0,6034820	0,5549371	0,2961268	0,0224830	0,2868943	0,1925847	0,2124975	0,3701910	0,6326571	0,5777553	0,4044550	0,3107733	0,8487106	0,8125143	0,7669942	0,6810367	0,9730044	0,9481170	0,8719179	0,0223661	0,4352088	0,9696605	0,7531016	0,0439609	0,1776739	0,2907610	0,0401174	0,0858600	0,5950305	0,7986564	0,0526521	0,2157491	0,9857022	0,8900136	0,4303280	0,0919122	0,3016323	0,0149383	0,2784776	0,4062152	0,7314115
40	0,9366917	0,3657575	0,0013643	0,4121462	1,0588428	0,6870842	0,9265246	0,3197727	0,3820916	0,5896323	0,9632034	0,6638931	0,1878906	0,9915265	0,0021157	0,2661075	0,8153030	0,3340122	0,0889558	0,6848631	0,1231686	0,8562760	0,1237869	0,5514999	0,6264431	0,2987065	0,0198680	0,3003140	0,1347375	0,3688876	0,5881105	0,7784103	0,6231378	0,3813321	0,3219000	0,8737027	0,7783015	0,6079258	0,6750339	0,8383887	0,9658203	0,9281037	0,0073968	0,4307827	0,9439537	0,7599684	0,0531388	0,2238069	0,3103173	0,0366993	0,0798063	0,6085540	0,8101212	0,0339246	0,1986130	0,9348989	0,9798390	0,4054531	0,0699429	0,5203186	0,0150376	0,6879906	0,4136708	0,7192072
60	0,9571885	0,4395615	0,0006899	0,4161545	1,0222099	0,5864951	0,9449190	0,3364248	0,3929491	0,5766239	0,9861012	0,7631518	0,2289842	1,0271362	0,0029239	0,1736845	0,8050071	0,3016074	0,0993614	0,6154495	0,1706891	0,8920240	0,1207516	0,5315915	0,6090642	0,3092597	0,0220321	0,2970143	0,1202557	0,3609259	0,7039237	0,7844115	0,6166718	0,3645173	0,3357779	0,9314431	0,8163481	0,5397790	0,6973257	0,8386271	0,9860747	0,9309152	0,0010339	0,4568728	0,9557811	0,7731152	0,0422541	0,2353319	0,3415514	0,0386829	0,0854938	0,6363829	0,8123810	0,0381276	0,1917703	0,9169397	0,9958250	0,3949392	0,0794889	0,6509575	0,0079061	0,9451778	0,3940230	0,7130710
80	1,0084139	0,4321822	0,0008118	0,4232655	1,0436790	0,5867148	0,9359123	0,3490827	0,4314659	0,5872139	0,9607125	0,9162141	0,2845730	1,1134192	0,0044521	0,1606059	0,8522918	0,2719498	0,1110188	0,5786811	0,2421603	0,8750970	0,1411185	0,4775783	0,6447346	0,3193272	0,0175049	0,3126377	0,1467888	0,4172679	0,7968528	0,8385285	0,6167855	0,4284822	0,3139281	1,0439116	0,8147598	0,4800914	0,6807109	0,8862485	0,9797372	0,9807960	0,0006950	0,4437039	0,9878620	0,8344080	0,0453120	0,2947682	0,3279220	0,0482425	0,0766152	0,6614806	0,8231060	0,0300930	0,1792193	0,9298032	0,9483895	0,4475075	0,0972111	0,7426446	0,0041954	1,0342178	0,4332411	0,7189708
100	1,0072818	0,3943343	0,0009603	0,4344076	1,0234565	0,5087018	0,8761488	0,3121230	0,4290919	0,6457814	0,9910201	0,9256359	0,3915573	1,0447697	0,0006914	0,1553875	0,8955565	0,2445895	0,1161652	0,5222776	0,4038282	0,9306502	0,1494350	0,5041388	0,6284131	0,2747082	0,0170966	0,2720197	0,1930662	0,4290114	0,8421094	0,8566000	0,6503454	0,4332760	0,3093751	1,0578677	0,8328188	0,4315019	0,6133801	0,9076788	0,9773654	0,9920998	0,0004831	0,5531615	1,0245210	0,8088692	0,0338759	0,2735054	0,3694293	0,0905486	0,0978389	0,6937257	0,7060516	0,0485829	0,1784280	0,9752231	0,9038394	0,4043387	0,0855717	0,8204125	0,0091383	1,0541424	0,4885267	0,6970890
120	0,9749456	0,3825921	0,0000000	0,4561465	0,9496196	0,4992313	0,8641912	0,3304754	0,4269393	0,6685739	1,0224301	0,9617765	0,5014935	1,0716564	0,0056525	0,1325804	1,0542881	0,2747151	0,1217077	0,4890539	0,5056956	0,9671337	0,1551307	0,5247961	0,6349881	0,3510784	0,0164454	0,2822441	0,2090796	0,4678477	0,8733150	0,9070042	0,6237102	0,4394474	0,3303200	1,0339131	0,8254625	0,4101363	0,5808636	0,8899098	0,9429119	0,9881855	0,0004458	0,6065861	1,0442242	0,7761119	0,0486293	0,3076451	0,4118263	0,2536159	0,1196665	0,7492694	0,6873474	0,0677698	0,1837497	0,9757526	0,8758483	0,4045684	0,0827530	0,8473397	0,0116578	1,0734334	0,5064394	0,6499119
140	1,0359093	0,3494587	0,0003689	0,4850746	0,9847059	0,4583774	0,8342159	0,3462254	0,3547451	0,6190822	1,0035453	0,9401574	0,5949916	1,0185251	0,0011960	0,1489788	1,1311083	0,2416076	0,1143081	0,4334083	0,6103553	0,9220170	0,1761641	0,4988580	0,6944370	0,3602543	0,0188127	0,2638143	0,2396801	0,4564470	0,9023437	0,8617346	0,6631063	0,4662759	0,3675087	1,0387284	0,7245804	0,3968097	0,5513015	0,9793983	0,9576524	0,9033772	0,0001605	0,6132866	0,9758999	0,8090874	0,0626512	0,2878748	0,4578429	0,3520445	0,1227076	0,6816845	0,6516807	0,0555991	0,1936276	0,9960899	0,9021197	0,3398943	0,0743167	0,8788772	0,0091464	1,0444204	0,5456128	0,6492132
160	0,9952077	0,3792216	0,0008743	0,4570906	0,9338719	0,4980537	0,8339104	0,3152893	0,3360447	0,5893534	1,0165662	0,9720096	0,7254897	0,9847669	0,0019805	0,1355947	1,0719212	0,2628159	0,1080230	0,3877462	0,7443694	0,9731765	0,2142123	0,4949156	0,6983944	0,3142978	0,0245156	0,2812119	0,2326045	0,4330174	0,9248258	0,9075539	0,6479687	0,4520692	0,3587215	0,9708176	0,7065140	0,4143775	0,5155538	0,9652146	0,8816203	0,8609368	0,0007151	0,7292598	0,9581021	0,8468472	0,0596775	0,3268613	0,4648984	0,5255581	0,1471792	0,7368473	0,6389494	0,0500379	0,2212710	0,9345178	0,9114289	0,3169432	0,0883670	0,9043719	0,0087548	1,0043065	0,6135794	0,6702607
