"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI

0	1,0479391	0,3268174	0,0039622	0,4146840	0,9525670	0,9620891	0,9069126	0,3945959	0,4648351	0,6398952	0,9302796	0,2896332	0,0080559	1,0427639	0,0040806	0,5994070	0,7676065	0,2782807	0,1377052	0,8043794	0,1394429	0,6010271	0,0568561	0,4682966	0,6063048	0,3862545	0,0371380	0,2849221	0,2889258	0,0405798	0,0269686	0,3890209	0,6366754	0,4629121	0,2917499	0,8064766	0,8913487	0,9649417	0,7072187	0,9554502	1,0576496	0,9470542	0,0102598	0,3441913	0,9827604	0,1726778	0,0445547	0,1423352	0,2523765	0,0646949	0,0779903	0,4671426	0,9506062	0,0492022	0,2126670	1,0454521	0,9078128	0,4196142	0,0990882	0,0693673	0,0115987	0,1647084	0,5038985	0,7896547
20	0,9687648	0,3568568	0,0068473	0,4632359	1,0525214	0,7476598	0,9672912	0,3561084	0,4059752	0,6476605	0,9765258	0,2778625	0,0149063	0,9813006	0,0136919	0,6310561	0,8221964	0,2618376	0,1186092	0,7926355	0,1230879	0,7711702	0,1180208	0,5945680	0,5259983	0,3168677	0,0183946	0,3144495	0,2999567	0,0961347	0,1059245	0,4852372	0,5581525	0,3724756	0,3369745	0,8271114	0,8555857	0,8630098	0,6625991	1,0132186	1,0790736	0,9079726	0,0208411	0,3172229	0,9612413	0,6391494	0,0543553	0,1355616	0,3179260	0,0482513	0,0982946	0,4815599	0,9441100	0,0471660	0,2330193	0,9703448	0,9150473	0,4253343	0,0827454	0,1485504	0,0244588	0,2062774	0,3792829	0,8900137
40	0,9624165	0,3798684	0,0081945	0,4689572	1,0433104	0,7845489	1,0045300	0,3172879	0,4436696	0,6382766	1,0059377	0,3022447	0,0755943	0,9922003	0,0059432	0,4889851	0,7757406	0,2450529	0,1035495	0,8520429	0,1173794	0,7926605	0,1047832	0,6084808	0,5605236	0,3123559	0,0173793	0,3220824	0,2815147	0,1585297	0,2342146	0,5575490	0,6267017	0,3512548	0,3213112	0,8552991	0,8486496	0,6555385	0,6944251	0,9747432	1,0117174	0,9195403	0,0235958	0,3657529	0,9111998	0,7183892	0,0543360	0,1859252	0,3153870	0,0466077	0,1054710	0,4685744	0,8763390	0,0373587	0,2183306	1,0338320	0,9018813	0,4361157	0,0768198	0,2504160	0,0213275	0,3328819	0,3891944	0,8725332
60	1,0015929	0,3662981	0,0087587	0,4223842	0,9949891	0,6808707	0,9837695	0,3498495	0,3853037	0,6797969	0,9316416	0,4472903	0,1210692	0,9769869	0,0072586	0,3592208	0,7866745	0,2772993	0,1095084	0,7673508	0,1773817	0,8031809	0,1110910	0,5924051	0,6041861	0,3133443	0,0209626	0,2760391	0,2516650	0,2420901	0,3673177	0,6519470	0,6259493	0,3584597	0,3122515	0,8938042	0,8541963	0,6508969	0,7154709	0,8717673	0,9561310	0,9168031	0,0099669	0,4172632	0,9286055	0,7286733	0,0476690	0,1997113	0,3444721	0,0556682	0,0883391	0,5126999	0,8037102	0,0393183	0,1976939	0,9878625	1,0526756	0,3961303	0,0782044	0,4907434	0,0116045	0,4392261	0,4342149	0,7680797
80	1,0181873	0,3831659	0,0070318	0,3913033	1,0129238	0,6938588	1,0057198	0,3686416	0,4116084	0,6092448	1,0010503	0,5937639	0,1537999	1,0573449	0,0106419	0,2510819	0,7755007	0,3180105	0,1112728	0,7299325	0,2258845	0,8267334	0,1154394	0,5661666	0,6112586	0,3072955	0,0228182	0,2905177	0,2130806	0,3251317	0,4253022	0,7492160	0,6141922	0,4521347	0,3422441	0,8889975	0,8787145	0,5272913	0,6937251	0,8979365	0,9336524	0,9104905	0,0032830	0,3949210	0,9894331	0,7726926	0,0519487	0,2540645	0,3445172	0,0470110	0,0886587	0,5572125	0,7861584	0,0426552	0,2197053	0,9740396	1,0934531	0,3904668	0,0898815	0,5525091	0,0157273	0,6014398	0,4066230	0,6717197
100	1,0514963	0,4021971	0,0070181	0,3923021	1,0600045	0,6154795	0,9589269	0,3513540	0,4155884	0,6167578	0,9261290	0,7366916	0,2538758	1,0021303	0,0112088	0,2205621	0,7786109	0,2850795	0,1253962	0,6613099	0,3211326	0,8611041	0,1369624	0,5170410	0,6026755	0,2936861	0,0187299	0,3163876	0,2170787	0,3422965	0,6070390	0,7459031	0,6555052	0,5275355	0,3705751	0,8908949	0,9443683	0,4839505	0,6567449	0,8986106	0,9591094	0,9106320	0,0034770	0,5068989	0,9637542	0,8390415	0,0450037	0,2539926	0,3544118	0,0447038	0,0880290	0,5205059	0,7863413	0,0378400	0,1977894	0,9374312	0,9938174	0,3782423	0,0880322	0,6144882	0,0148314	0,7338806	0,4471781	0,7392539
120	1,0433842	0,3622847	0,0012625	0,4084436	1,0440812	0,6013022	0,9425597	0,3367145	0,4711380	0,6714053	0,9782856	0,8106430	0,3441770	1,0504946	0,0028050	0,2069425	0,8748820	0,2612253	0,1413077	0,6085417	0,4163159	0,8907390	0,1451156	0,5334463	0,6376323	0,3039954	0,0185712	0,3583355	0,1953349	0,3694298	0,7122070	0,7981885	0,6755785	0,4829993	0,3386499	0,9066371	0,9146924	0,3951632	0,6270297	0,9155998	0,9323646	0,9192643	0,0021333	0,5172502	0,9774054	0,7747071	0,0368807	0,2345046	0,3922728	0,0998575	0,0918160	0,6012500	0,8017432	0,0339542	0,2144837	1,0481871	0,9859015	0,3882944	0,0950049	0,7685607	0,0132491	0,8886671	0,4317689	0,6940009
140	0,9588279	0,3371055	0,0003734	0,4264222	1,0446649	0,5789744	0,9295470	0,3256820	0,4073622	0,6821436	0,9332954	0,9012860	0,4000070	1,0669013	0,0057024	0,1765799	0,8875329	0,2753691	0,1360711	0,5210533	0,5391946	0,9798370	0,1586143	0,5051628	0,6484005	0,3698005	0,0226036	0,2664355	0,2116324	0,4133588	0,7943329	0,8768692	0,6103438	0,4982530	0,3364891	0,9297643	0,8442774	0,4189721	0,5792637	0,9074512	0,9054259	0,9309581	0,0016112	0,6093168	0,9760833	0,7473224	0,0447903	0,2799230	0,4303903	0,1740144	0,0948583	0,6111770	0,7088736	0,0369446	0,1819663	0,9811861	0,9670046	0,3802701	0,0804253	0,8112129	0,0122969	1,0414158	0,4401152	0,6622334
160	0,9455948	0,3541183	0,0019495	0,4559281	0,9877406	0,5477528	0,9288312	0,3636995	0,3820158	0,6505797	1,0082844	0,9321517	0,4862200	0,9545857	0,0031839	0,1644321	0,8978375	0,2784855	0,1363190	0,4746849	0,6273135	0,9947363	0,1660584	0,5019522	0,6857178	0,2986248	0,0143824	0,2711165	0,2191496	0,4244744	0,8743652	0,9393238	0,5897403	0,4427877	0,3448363	0,9837741	0,7885349	0,4251466	0,5761537	0,9486602	0,8470027	0,9274573	0,0012883	0,6671105	0,9570708	0,7980429	0,0425641	0,2605856	0,4236905	0,2502360	0,1063860	0,6059917	0,6602028	0,0327265	0,1927139	1,0178867	0,8897525	0,3768596	0,0957489	0,8418779	0,0150713	0,9572097	0,5601609	0,6087002
