"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI

0	1,0000000	0,3710371	0,0043719	0,4192602	0,9999952	0,9422551	0,9248250	0,3976197	0,4055967	0,6303153	0,9497456	0,2792101	0,0055424	0,9999987	0,0030574	0,6473422	0,8379081	0,2765016	0,1097707	0,8814639	0,1418934	0,6130739	0,0741539	0,5072625	0,5674566	0,3242572	0,0188962	0,2619941	0,2701045	0,0378193	0,0209856	0,3807265	0,6215043	0,4367270	0,3087801	0,7702010	0,8636032	0,9797135	0,6949868	0,9669585	0,9984689	0,9219931	0,0148944	0,2944431	0,9893952	0,0739463	0,0329052	0,0869085	0,2504634	0,0546182	0,0820537	0,5054169	0,8862119	0,0393244	0,2368768	0,9684840	0,8271258	0,4593932	0,0783327	0,0644687	0,0153046	0,1184519	0,3894847	0,7734075
20	1,0000000	0,3710371	0,0029230	0,4192602	0,9999950	0,7955429	0,9313006	0,3942443	0,4055844	0,6303153	0,9497509	0,4274835	0,1342750	0,9999988	0,0030658	0,3877825	0,8430678	0,2765016	0,1097707	0,7889738	0,1434220	0,6453677	0,0744080	0,5073085	0,6125050	0,3242572	0,0188962	0,2619910	0,1775062	0,1891925	0,2977401	0,5940606	0,6215046	0,4367273	0,3087803	0,8574085	0,8625690	0,7906819	0,6938106	0,9667744	0,9984474	0,9237091	0,0088547	0,3004185	0,9892519	0,4658739	0,0329057	0,1682032	0,2538779	0,0546949	0,0670759	0,5125931	0,8818531	0,0393327	0,2012474	0,9684844	0,8725957	0,4579625	0,0783327	0,3276017	0,0153046	0,4722266	0,3915095	0,7705750
40	1,0000000	0,3710371	0,0019611	0,4192602	0,9999940	0,6956845	0,9319306	0,3808162	0,4050277	0,6303153	0,9501525	0,6637273	0,2303351	0,9999990	0,0031114	0,2597325	0,8647072	0,2765016	0,1097707	0,7198479	0,1651900	0,6917749	0,0820421	0,5075299	0,6420375	0,3242572	0,0188962	0,2620151	0,1306927	0,2914921	0,4948205	0,7310646	0,6215048	0,4367285	0,3087835	0,9114866	0,8571559	0,6598510	0,6877263	0,9659208	0,9983404	0,9205917	0,0052678	0,3302481	0,9884843	0,6571033	0,0329396	0,2149018	0,2702567	0,0576258	0,0604793	0,5431603	0,8622473	0,0393776	0,1802027	0,9684825	0,8984989	0,4503239	0,0783327	0,5142016	0,0153046	0,7987655	0,4026054	0,7591913
60	1,0000000	0,3710371	0,0013226	0,4192602	0,9999916	0,6281556	0,9273198	0,3626177	0,4037727	0,6303153	0,9536622	0,8119933	0,3260547	0,9999992	0,0032110	0,1999411	0,8953519	0,2765017	0,1097714	0,6643645	0,2325946	0,7575846	0,0988950	0,5079391	0,6614586	0,3242572	0,0188962	0,2621473	0,1200518	0,3606273	0,6351639	0,8190489	0,6215049	0,4367487	0,3088523	0,9450158	0,8467841	0,5690582	0,6764694	0,9644447	0,9981356	0,9122166	0,0031400	0,3864888	0,9869272	0,7504507	0,0333059	0,2417272	0,3001315	0,0774144	0,0617408	0,5909008	0,8277416	0,0394761	0,1710376	0,9684673	0,9132961	0,4359833	0,0783327	0,6492962	0,0153046	0,9247635	0,4243998	0,7418874
80	1,0000000	0,3710371	0,0008986	0,4192602	0,9999877	0,5827572	0,9188388	0,3467055	0,4018329	0,6303153	0,9628863	0,8941823	0,4521360	0,9999995	0,0033706	0,1721567	0,9244333	0,2765017	0,1097755	0,6167460	0,3385925	0,8208727	0,1232291	0,5084851	0,6743112	0,3242572	0,0188962	0,2625189	0,1374713	0,4073498	0,7351043	0,8755528	0,6215051	0,4368740	0,3092763	0,9658014	0,8322246	0,5059422	0,6614130	0,9626328	0,9978633	0,8996740	0,0018805	0,4597922	0,9845560	0,7961109	0,0351793	0,2571368	0,3389626	0,1406021	0,0698019	0,6433875	0,7836332	0,0396339	0,1704826	0,9684247	0,9219616	0,4165720	0,0783327	0,7478764	0,0153045	0,9719393	0,4554099	0,7226981
100	1,0000000	0,3710371	0,0006172	0,4192602	0,9999821	0,5524010	0,9080908	0,3361266	0,3993540	0,6303153	0,9739740	0,9389612	0,5829184	0,9999996	0,0035857	0,1589241	0,9473930	0,2765017	0,1097867	0,5736565	0,4554871	0,8719730	0,1512267	0,5090985	0,6829213	0,3242572	0,0188962	0,2632396	0,1704913	0,4389257	0,8062731	0,9118397	0,6215053	0,4372327	0,3104632	0,9786853	0,8144512	0,4620405	0,6440605	0,9607730	0,9975791	0,8847191	0,0011379	0,5369908	0,9813507	0,8186006	0,0420844	0,2659890	0,3810114	0,2671792	0,0830397	0,6915365	0,7366015	0,0398459	0,1754310	0,9683429	0,9274606	0,3939549	0,0783327	0,8195880	0,0153045	0,9895400	0,4932867	0,7045185
120	1,0000000	0,3710371	0,0004304	0,4192602	0,9999753	0,5321929	0,8965892	0,3300572	0,3965754	0,6303153	0,9827247	0,9633321	0,6911080	0,9999997	0,0038395	0,1524641	0,9639829	0,2765017	0,1098052	0,5333083	0,5637465	0,9099978	0,1790981	0,5097137	0,6887780	0,3242572	0,0188962	0,2642954	0,2062600	0,4602658	0,8569533	0,9351433	0,6215055	0,4378552	0,3124603	0,9866705	0,7942637	0,4315105	0,6255784	0,9590631	0,9973284	0,8691447	0,0007030	0,6078122	0,9772450	0,8298972	0,0606113	0,2710744	0,4214237	0,4305193	0,0994102	0,7311328	0,6924751	0,0400963	0,1833122	0,9682166	0,9313441	0,3696128	0,0783327	0,8713127	0,0153045	0,9960994	0,5357274	0,6889206
140	1,0000000	0,3710371	0,0003063	0,4192602	0,9999678	0,5187812	0,8855200	0,3264979	0,3937601	0,6303153	0,9885753	0,9766358	0,7734196	0,9999998	0,0041079	0,1492599	0,9754494	0,2765017	0,1098275	0,4948909	0,6552405	0,9369604	0,2043366	0,5102812	0,6928106	0,3242572	0,0188962	0,2655644	0,2372621	0,4746888	0,8930433	0,9501090	0,6215057	0,4386512	0,3149207	0,9916191	0,7722162	0,4102923	0,6067459	0,9576003	0,9971276	0,8543557	0,0004506	0,6671432	0,9721002	0,8358436	0,0964531	0,2739964	0,4571194	0,5828362	0,1168593	0,7614867	0,6548411	0,0403634	0,1922475	0,9680474	0,9342660	0,3445516	0,0783327	0,9083197	0,0153045	0,9985431	0,5807818	0,6764404
160	1,0000000	0,3710371	0,0002240	0,4192602	0,9999603	0,5098966	0,8756392	0,3241432	0,3911273	0,6303153	0,9922598	0,9839696	0,8343908	0,9999999	0,0043665	0,1476579	0,9831901	0,2765017	0,1098497	0,4582185	0,7284971	0,9555794	0,2258042	0,5107719	0,6956060	0,3242572	0,0188962	0,2668972	0,2612308	0,4844374	0,9187435	0,9597200	0,6215060	0,4394979	0,3174283	0,9946857	0,7486789	0,3955569	0,5880538	0,9564097	0,9969739	0,8412187	0,0003058	0,7139424	0,9656916	0,8392717	0,1489407	0,2756756	0,4867587	0,7013553	0,1337228	0,7837004	0,6249445	0,0406256	0,2010258	0,9678439	0,9364873	0,3194069	0,0783327	0,9346557	0,0153045	0,9994539	0,6268541	0,6669558
