"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI

0	1,0000000	0,3710372	0,0043720	0,4192602	0,9999952	0,9422549	0,9248240	0,3976196	0,4055967	0,6303153	0,9497455	0,2792100	0,0055424	0,9999986	0,0030582	0,6473422	0,8379081	0,2765019	0,1097706	0,8810936	0,1418965	0,6130917	0,0741607	0,5072620	0,5674563	0,3242572	0,0188962	0,2620029	0,2701080	0,0378755	0,0209857	0,3807261	0,6215030	0,4367258	0,3087669	0,7701873	0,8633864	0,9796697	0,6943793	0,9669584	0,9984676	0,9219858	0,0148944	0,2944455	0,9893645	0,0739964	0,0329052	0,0869087	0,2504652	0,0546182	0,0820541	0,5054193	0,8862107	0,0393377	0,2368801	0,9684838	0,8271211	0,4587411	0,0783327	0,0644687	0,0153068	0,1184519	0,3901056	0,7734074
20	1,0000000	0,3710372	0,0038896	0,4192602	0,9999952	0,8955533	0,9263350	0,3968494	0,4056123	0,6303153	0,9497462	0,2962427	0,0351904	0,9999987	0,0030587	0,5847389	0,8383734	0,2765018	0,1097706	0,8587207	0,1421347	0,6219326	0,0740582	0,5072678	0,5827514	0,3242572	0,0188962	0,2619960	0,2551170	0,0660535	0,0795801	0,4307388	0,6215037	0,4367265	0,3087709	0,7842835	0,8633507	0,9118829	0,6944601	0,9669316	0,9984659	0,9223858	0,0134577	0,2952479	0,9893602	0,2002575	0,0329053	0,1042944	0,2508742	0,0546236	0,0766161	0,5062248	0,8857343	0,0393348	0,2262931	0,9684839	0,8360753	0,4588289	0,0783327	0,1300401	0,0153061	0,1640690	0,3900856	0,7729781
40	1,0000000	0,3710372	0,0030332	0,4192602	0,9999949	0,8101881	0,9285385	0,3906508	0,4054279	0,6303153	0,9498235	0,3801262	0,0970787	0,9999988	0,0030674	0,4740990	0,8428440	0,2765017	0,1097706	0,8123864	0,1488691	0,6447579	0,0753406	0,5073248	0,6095327	0,3242572	0,0188962	0,2619986	0,2253750	0,1256626	0,2027841	0,5289288	0,6215042	0,4367271	0,3087739	0,8138496	0,8619672	0,7930066	0,6934982	0,9666721	0,9984431	0,9224229	0,0107359	0,3035047	0,9891797	0,4001462	0,0329089	0,1377042	0,2550213	0,0550015	0,0684053	0,5137989	0,8811120	0,0393396	0,2073202	0,9684839	0,8535566	0,4573635	0,0783327	0,2618683	0,0153056	0,3272440	0,3927127	0,7692731
60	1,0000000	0,3710371	0,0022260	0,4192602	0,9999940	0,7273458	0,9290287	0,3776562	0,4047627	0,6303153	0,9508869	0,4978720	0,1711984	0,9999990	0,0030968	0,3730055	0,8542028	0,2765017	0,1097708	0,7597851	0,1806167	0,6850862	0,0805547	0,5074883	0,6344280	0,3242572	0,0188962	0,2620479	0,1963677	0,1931536	0,3415671	0,6313291	0,6215045	0,4367316	0,3087837	0,8470766	0,8577537	0,6813997	0,6902892	0,9659751	0,9983739	0,9205234	0,0080099	0,3274627	0,9886039	0,5639843	0,0329688	0,1717342	0,2668751	0,0589394	0,0638211	0,5334272	0,8682231	0,0393627	0,1907578	0,9684807	0,8717034	0,4525843	0,0783327	0,4045190	0,0153053	0,5041077	0,4010848	0,7603490
80	1,0000000	0,3710371	0,0015838	0,4192602	0,9999921	0,6597487	0,9267304	0,3619152	0,4034792	0,6303153	0,9551892	0,6132389	0,2606560	0,9999992	0,0031587	0,2964137	0,8712908	0,2765017	0,1097718	0,7079370	0,2495225	0,7378167	0,0913037	0,5077805	0,6540065	0,3242572	0,0188962	0,2622279	0,1769368	0,2570112	0,4723787	0,7205174	0,6215047	0,4367684	0,3088562	0,8783303	0,8499767	0,5920759	0,6841958	0,9648252	0,9982453	0,9157754	0,0057332	0,3698161	0,9874717	0,6757564	0,0333608	0,2006823	0,2878192	0,0761399	0,0650163	0,5645195	0,8456452	0,0394148	0,1804393	0,9684670	0,8874966	0,4436209	0,0783327	0,5348461	0,0153051	0,6490310	0,4169198	0,7469360
100	1,0000000	0,3710371	0,0011101	0,4192602	0,9999889	0,6088311	0,9215592	0,3480129	0,4015824	0,6303153	0,9631398	0,7110970	0,3673116	0,9999994	0,0032614	0,2430718	0,8910472	0,2765017	0,1097758	0,6590248	0,3466027	0,7925296	0,1075817	0,5081900	0,6683536	0,3242572	0,0188962	0,2626502	0,1705308	0,3124043	0,5855691	0,7917437	0,6215050	0,4369122	0,3091457	0,9053256	0,8385995	0,5251997	0,6751888	0,9633509	0,9980644	0,9080459	0,0039924	0,4268778	0,9856789	0,7456404	0,0350628	0,2232661	0,3165891	0,1222691	0,0720709	0,6027200	0,8146753	0,0395037	0,1766660	0,9684332	0,9002385	0,4305164	0,0783327	0,6447970	0,0153049	0,7566045	0,4404182	0,7310276
120	1,0000000	0,3710371	0,0007745	0,4192602	0,9999843	0,5721602	0,9140647	0,3380052	0,3992018	0,6303153	0,9722042	0,7882497	0,4791688	0,9999995	0,0034071	0,2075601	0,9107305	0,2765017	0,1097848	0,6132684	0,4534979	0,8419118	0,1280072	0,5086826	0,6785347	0,3242572	0,0188962	0,2633834	0,1758848	0,3580469	0,6787274	0,8457916	0,6215052	0,4372418	0,3098339	0,9275101	0,8239743	0,4767564	0,6636268	0,9617326	0,9978538	0,8978331	0,0027299	0,4913898	0,9831457	0,7872389	0,0405578	0,2400117	0,3503169	0,2061470	0,0839090	0,6429240	0,7784164	0,0396320	0,1781714	0,9683702	0,9102043	0,4138655	0,0783327	0,7332631	0,0153048	0,8329927	0,4707497	0,7146901
140	1,0000000	0,3710371	0,0005423	0,4192602	0,9999785	0,5464741	0,9051017	0,3315327	0,3965475	0,6303153	0,9801379	0,8465231	0,5837596	0,9999997	0,0035904	0,1845584	0,9286356	0,2765017	0,1097989	0,5702763	0,5554275	0,8826799	0,1505833	0,5092147	0,6856630	0,3242572	0,0188962	0,2644019	0,1891991	0,3943975	0,7529320	0,8854473	0,6215054	0,4377745	0,3109944	0,9451597	0,8065840	0,4422859	0,6500383	0,9601326	0,9976385	0,8859939	0,0018469	0,5560096	0,9797825	0,8113330	0,0537809	0,2520211	0,3857236	0,3177792	0,0988610	0,6810916	0,7405332	0,0397965	0,1832270	0,9682718	0,9179230	0,3944743	0,0783327	0,8021869	0,0153047	0,8860569	0,5065665	0,6994836
160	1,0000000	0,3710371	0,0003840	0,4192602	0,9999720	0,5288064	0,8955637	0,3274059	0,3938497	0,6303153	0,9861624	0,8893533	0,6744748	0,9999998	0,0037998	0,1699311	0,9439851	0,2765017	0,1098167	0,5296333	0,6443328	0,9143774	0,1733996	0,5097450	0,6906303	0,3242572	0,0188962	0,2656065	0,2064599	0,4226559	0,8107019	0,9138593	0,6215056	0,4384601	0,3125573	0,9588876	0,7868961	0,4180073	0,6349766	0,9586640	0,9974368	0,8734702	0,0012454	0,6153816	0,9754629	0,8251639	0,0781885	0,2604342	0,4199858	0,4378131	0,1151478	0,7147926	0,7042038	0,0399886	0,1902193	0,9681368	0,9238837	0,3731458	0,0783327	0,8546534	0,0153046	0,9224996	0,5463592	0,6863129
