"Time"	dicA	ydfD	dicB	alaS	tdh	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	rcsA	csgD	mdtE	mdtF	hdeA	hdeB	yhiD	gadA	gadB	gadC	nemA	gadY	hdeD	slp	dctR	cadA	cadB	osmC	csgG	csgF	csgE	gltD	gltB	gltF	livK	livM	iraP	asnB	yfdX	lon	lysU	ydeP	livH	sdaA	kbl	livJ	livF	malZ	gnd	adrA	ybaT	yegR	ybaS	yneN	pepD	yojI

0	0,7634431	0,2611220	0,0119229	0,2627307	0,5263121	0,8102534	0,6456045	0,2161855	0,3134954	0,4497033	0,7553924	0,2486275	0,0097135	0,7322462	0,0014313	0,4227961	0,5649217	0,2355086	0,0840905	0,5761182	0,0940283	0,4568382	0,0513310	0,3506283	0,4224680	0,3973580	0,0461320	0,1897702	0,2025373	0,0147272	0,0526863	0,2473403	0,5212690	0,3467548	0,2014713	0,6055338	0,7200863	0,6334331	0,5643347	0,6025627	0,8720343	0,7993415	0,0085199	0,2370590	0,7049120	0,1271559	0,0132812	0,0980398	0,1540733	0,0453780	0,0780194	0,3733906	0,8461002	0,0319228	0,1192998	0,7249549	0,6341764	0,3396739	0,0848682	0,0691468	0,0235962	0,1104582	0,3229018	0,4720417
20	0,7604753	0,2177261	0,0055517	0,3550841	0,7833499	0,5432566	0,8531778	0,3012738	0,3271575	0,4492972	0,7483752	0,1816310	0,0109397	0,6835664	0,0119585	0,4232946	0,5977632	0,2188597	0,0838664	0,6087289	0,0754975	0,5099194	0,0840398	0,3717413	0,3952353	0,2538227	0,0344726	0,2831691	0,2016198	0,0616642	0,0781148	0,3425067	0,3836492	0,3085710	0,2901600	0,5161495	0,5445746	0,6967892	0,5020235	0,7298839	0,7497006	0,6441902	0,0096044	0,1925372	0,6851052	0,4116688	0,0487139	0,0898165	0,1825175	0,0424063	0,0628950	0,4495164	0,6498305	0,0535021	0,1708039	0,6790709	0,6462419	0,2936023	0,0726396	0,0761820	0,0266207	0,1936819	0,2324693	0,6859092
40	0,6760585	0,2351041	0,0080365	0,3695241	0,7659724	0,5468098	0,7050350	0,2335076	0,2776171	0,4993267	0,6727670	0,1931623	0,0737845	0,7083293	0,0022820	0,4069777	0,6243884	0,2013159	0,1306070	0,6215716	0,0531415	0,5818328	0,0903901	0,3592690	0,3292060	0,2279993	0,0083696	0,2161020	0,1859742	0,1059121	0,1579400	0,4746000	0,4601213	0,2456279	0,2248380	0,6156516	0,6476377	0,4832872	0,4737228	0,6936820	0,7325180	0,5846763	0,0134177	0,2420231	0,6336695	0,5838916	0,0346156	0,1010016	0,1860237	0,0173997	0,0549160	0,4294601	0,6458655	0,0157773	0,1525108	0,7880460	0,7078937	0,3286740	0,0674477	0,1706296	0,0246511	0,2892998	0,2348844	0,5555951
60	0,7034271	0,3367843	0,0158002	0,3460312	0,7844108	0,5292509	0,6869742	0,3294947	0,2669106	0,5203041	0,6546966	0,2966290	0,0640649	0,7003308	0,0044166	0,2322100	0,4847158	0,1907089	0,1142351	0,5556871	0,1145386	0,6482190	0,1081861	0,5257630	0,3984884	0,1960054	0,0234672	0,1891669	0,2089557	0,2222554	0,2627298	0,4795922	0,5046820	0,2201949	0,1795738	0,6600323	0,7416022	0,4830050	0,5401053	0,6803490	0,6689228	0,6439752	0,0091727	0,2690036	0,6860051	0,5457019	0,0175065	0,0812092	0,2438437	0,0507786	0,0487770	0,3675775	0,5969505	0,0234111	0,1209464	0,6726590	0,7265999	0,3057166	0,0447366	0,3943780	0,0047791	0,2933911	0,2981546	0,5103040
80	0,7021848	0,2970143	0,0019785	0,2461844	0,7533442	0,5089463	0,6962569	0,3311780	0,2106622	0,4488337	0,7405268	0,3645097	0,1527190	0,7372693	0,0154588	0,1808760	0,5629360	0,1900524	0,0966996	0,4947261	0,1382857	0,5653674	0,0800567	0,3961955	0,4751642	0,2554491	0,0214066	0,1917121	0,1670822	0,2964021	0,3351404	0,5575163	0,3961829	0,2764854	0,2750860	0,6035779	0,5791127	0,4035211	0,5331538	0,6339207	0,6404927	0,5994514	0,0016296	0,2427883	0,6466515	0,5209505	0,0545212	0,1947810	0,2512170	0,0217785	0,0629233	0,4708271	0,6671841	0,0299555	0,1373998	0,6350372	0,6664108	0,2769437	0,0954306	0,4900515	0,0222608	0,4532073	0,2733660	0,5008140
100	0,7469853	0,3737969	0,0121675	0,2149828	0,7260543	0,4550540	0,6168427	0,1870174	0,2871635	0,5290327	0,6373781	0,5384617	0,1698014	0,6933294	0,0048242	0,1917018	0,5225561	0,1649531	0,1106410	0,4547721	0,2020085	0,5122954	0,0809820	0,3058241	0,4364797	0,2418682	0,0228007	0,2509367	0,1455281	0,2396622	0,5035175	0,5941578	0,4228818	0,3822349	0,2783729	0,5378520	0,6905825	0,3222016	0,4991822	0,7074579	0,6070846	0,6446345	0,0016224	0,4348976	0,6371415	0,6440367	0,0206635	0,1823429	0,2055360	0,0488728	0,0558729	0,3734539	0,5976326	0,0159704	0,1248771	0,7297735	0,7082795	0,3049415	0,1139875	0,3898112	0,0200760	0,5691273	0,2913600	0,5634106
120	0,8128283	0,2286233	0,0004913	0,2563454	0,7487654	0,4969024	0,7257047	0,2073534	0,3639502	0,4794035	0,7221617	0,5101950	0,2794803	0,7376980	0,0001272	0,1419298	0,5078161	0,1541065	0,0817657	0,3790912	0,3317450	0,6929663	0,1102156	0,3111054	0,4709655	0,1908802	0,0097120	0,2894552	0,1079862	0,2435298	0,5254695	0,6091009	0,4201176	0,3291923	0,2521603	0,6780367	0,6148751	0,3285240	0,3921334	0,6603456	0,7689888	0,7690736	0,0015112	0,4424414	0,7435527	0,5844162	0,0262692	0,1819169	0,2853674	0,0608989	0,0924204	0,4722413	0,5917758	0,0395200	0,1366310	0,7776932	0,6408952	0,2791249	0,0747758	0,6102913	0,0168674	0,8179970	0,2896420	0,5248754
140	0,7267648	0,2325908	0,0000585	0,3183153	0,7374979	0,4698671	0,6935190	0,2518912	0,3350869	0,5142470	0,7847531	0,6709169	0,2705251	0,8286708	0,0055579	0,1936734	0,6735156	0,1602599	0,0776978	0,4422959	0,3375729	0,7169016	0,0775673	0,3815932	0,4701537	0,2766168	0,0137771	0,2120339	0,2169859	0,3016963	0,6359562	0,7113064	0,4463328	0,3584364	0,2385868	0,6549026	0,5799782	0,2901035	0,3445219	0,6923751	0,6582188	0,5938553	0,0012204	0,4334309	0,6720448	0,5941258	0,0245272	0,2077031	0,2874349	0,1117778	0,0728136	0,4985734	0,4686973	0,0367612	0,1335007	0,6115679	0,7092112	0,2277721	0,0716522	0,6060412	0,0074919	0,8148176	0,3080425	0,4252633
160	0,6544781	0,2477361	0,0027618	0,3111090	0,6845402	0,3927576	0,6485830	0,2937979	0,2352699	0,5701326	0,6258476	0,6356470	0,3271588	0,6755354	0,0018642	0,1422128	0,6244663	0,2249016	0,0898182	0,2941865	0,4567163	0,6743994	0,1467052	0,4405816	0,5041837	0,1738701	0,0134866	0,1990594	0,1683139	0,3226292	0,5601798	0,6041592	0,4072341	0,2543505	0,2807281	0,7252984	0,4492116	0,3736038	0,3628751	0,6441608	0,7075472	0,6414838	0,0006192	0,5055517	0,6982307	0,4842093	0,0299042	0,1501654	0,2954523	0,2170869	0,0647761	0,4776273	0,3895077	0,0271210	0,1734495	0,8068327	0,6035010	0,2209571	0,0549510	0,6407891	0,0199806	0,6367481	0,4451447	0,3867067
