"Time"	flhD	hdfR	qseB	lrhA	flhC	ompR	rcsB	rcsA	csgD	bolA	rstA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtF	mdtE	csgF	csgG	csgE	yhiD	hdeB	hdeA	gadA	gadB	gadC	sra	flgM	flgJ	fliR	rprA	wcaB	flhE	fliQ	fliM	fliH	flgE	flgN	wzc	flgH	fliK	gltI	yhjH	osmB	flhB	fliN	recC	flgD	flgI	fliG	fliF	fliT	fliD	bdm	flhA	ppdC	gadY	flgA	flgG

0	1,0062814	1,0169044	0,0422070	0,0669971	0,0144540	0,9886362	0,9618862	0,8988769	0,2706394	0,1567618	0,9106160	0,8278837	0,8382947	1,0519822	0,9188568	0,6935271	0,2916850	0,4290985	0,6683200	1,0789961	0,8771734	0,1300641	0,9299813	0,1839428	0,1800015	0,7079835	0,8261498	0,7877514	0,5657048	0,4368676	0,2944095	0,6749891	0,2630156	0,0825603	0,3915106	0,4336741	0,4533531	0,5488036	0,0181028	0,4696877	0,6499490	0,4572823	0,0900426	0,4091971	0,0575582	0,6474046	0,0652703	0,0156761	0,8254854	0,0313341	0,0792152	0,0071433	0,0618771	0,0478915	0,0210982	0,7676597	0,0080624	0,0474640	0,5728889	0,0414464	0,0075589	0,9081279	0,0300831	0,0281468
20	0,8759219	0,5966796	0,0519926	0,0547731	0,0194336	0,9263049	0,7745404	0,9343316	0,2810827	0,0909847	0,7491653	0,7573770	0,7782461	1,0040042	0,9289006	0,7035982	0,2510664	0,3348034	0,4914660	0,9441556	0,8997943	0,3744717	0,8970152	0,2082475	0,2551809	0,7240099	0,8592976	0,8768232	0,5615316	0,4067867	0,4409844	0,7182596	0,3137950	0,0947810	0,6338299	0,3668663	0,4177422	0,4961552	0,0130897	0,5212177	0,6737701	0,5346255	0,1186773	0,4395547	0,0341396	0,5889655	0,0488690	0,0422018	0,8253067	0,1871873	0,1002597	0,0045635	0,2550458	0,0758965	0,0150646	0,8904904	0,4431750	0,0703801	0,5447909	0,0653632	0,0045496	0,9049381	0,0201493	0,0409812
40	0,7986301	0,4507277	0,0504893	0,0533706	0,0281782	0,9924934	0,6710393	0,8536271	0,2657752	0,0569775	0,8032379	0,7995438	0,7902862	0,9846598	0,9520889	0,7137861	0,2780494	0,3219352	0,4177905	0,8994021	0,9552442	0,5702398	0,8637273	0,1987116	0,2339262	0,6274764	0,8144512	0,8302971	0,6653936	0,4239120	0,5428488	0,7192296	0,2841213	0,1048848	0,6947009	0,3705183	0,4660791	0,4847146	0,0102526	0,5069126	0,6864366	0,4675698	0,1256477	0,3834437	0,0453627	0,5578680	0,0535648	0,0455886	0,8177564	0,3379912	0,1299645	0,0045885	0,3809655	0,0744626	0,0308576	0,9052322	0,6686367	0,1016631	0,5773141	0,0532569	0,0061759	0,9120752	0,0234239	0,0433472
60	0,7136038	0,3520209	0,0372356	0,0571424	0,0249517	0,9692798	0,5837944	0,8080638	0,2833176	0,0426891	0,8003125	0,8035240	0,7969057	0,9440779	0,9306467	0,7420487	0,2761707	0,3332475	0,4441670	0,9480425	0,9412229	0,6916159	0,9015105	0,1721331	0,2622996	0,6161223	0,7944586	0,7783857	0,7374096	0,4230201	0,6151339	0,7003116	0,2905340	0,0685268	0,8479900	0,3358287	0,4109561	0,5256857	0,0159540	0,4747771	0,6922234	0,4795169	0,1191137	0,3420724	0,0600201	0,5635986	0,0572770	0,0579907	0,7815143	0,4116755	0,2207378	0,0034453	0,4494702	0,0709111	0,0424899	1,0056187	0,7381760	0,1408521	0,5190415	0,0468906	0,0055604	0,9710073	0,0176194	0,0378892
80	0,6752807	0,2912096	0,0267097	0,0416746	0,0712134	0,9375093	0,5722183	0,9265516	0,3438946	0,0300855	0,8767330	0,8101125	0,8473816	0,9834150	0,9522478	0,7369715	0,2856088	0,3374847	0,4203883	0,9690614	0,9766872	0,7305668	0,9276971	0,1615763	0,2957063	0,6882014	0,7474029	0,8088236	0,7893969	0,4937691	0,6437265	0,6801246	0,3164740	0,0712005	0,8893850	0,3009147	0,3979966	0,5283239	0,0183529	0,4118810	0,6447850	0,4574173	0,1135128	0,2957743	0,0627173	0,6157903	0,0518571	0,0487570	0,8046580	0,4462968	0,2591854	0,0095955	0,4930383	0,0552771	0,0536087	0,9558530	0,7864522	0,1423467	0,4999750	0,0620193	0,0069135	1,0428238	0,0141409	0,0383732
100	0,6287074	0,2654658	0,0295011	0,0555250	0,1081849	1,0757917	0,5530724	0,8747251	0,3345877	0,0197304	0,8252460	0,7772291	0,8450821	0,9927142	0,8914329	0,7540121	0,2720396	0,3716818	0,4269349	1,0030737	0,9252110	0,7699325	0,9418157	0,1642301	0,3352938	0,6702978	0,7427367	0,7755194	0,8309117	0,4752675	0,6442461	0,7240012	0,3215601	0,0665354	0,9180180	0,2833840	0,3759747	0,5134747	0,0116752	0,3626281	0,6124801	0,4185992	0,0895284	0,2603778	0,0641648	0,5705984	0,0486697	0,0327535	0,8915899	0,4798124	0,3045625	0,0052965	0,4873561	0,0614898	0,0734028	0,9581374	0,8392488	0,1798590	0,4264596	0,0465284	0,0055237	1,0165756	0,0156915	0,0416473
120	0,6790566	0,2565812	0,0377687	0,0638810	0,1902709	1,0445262	0,4599688	0,8338769	0,3496601	0,0164948	0,8001954	0,7269585	0,8702219	1,0017054	0,8759779	0,7615935	0,2615852	0,2928100	0,4413786	0,9568349	0,9518397	0,8440557	0,8872495	0,1947527	0,3580770	0,6575703	0,6944048	0,7209685	0,7525675	0,4767135	0,6760761	0,7159094	0,2947076	0,0878977	0,9859809	0,2703662	0,3919435	0,5361656	0,0153195	0,3704383	0,6237946	0,3621795	0,0977327	0,2138236	0,0616296	0,5770970	0,0470939	0,0438256	0,8491340	0,4232426	0,4457639	0,0139176	0,5189019	0,0505358	0,1251926	0,9902238	0,8351957	0,2692019	0,4565645	0,0409915	0,0063556	0,9691510	0,0253884	0,0417238
140	0,6735224	0,2977514	0,0422061	0,0636343	0,2662478	0,9640986	0,4556103	0,8509011	0,4266463	0,0098804	0,7979912	0,7450602	0,8713265	0,9666426	0,8796585	0,7777147	0,3269652	0,3180692	0,4764588	0,9516413	0,9758629	0,8333675	0,9762581	0,2087230	0,3385047	0,7096345	0,6657832	0,6742699	0,8155129	0,3990740	0,6203389	0,7448051	0,3866011	0,1076634	1,0864480	0,2717474	0,3651822	0,5318041	0,0345380	0,3627116	0,6060000	0,3601126	0,1277689	0,2204059	0,0578406	0,5474383	0,0746957	0,0821926	0,8248519	0,4708263	0,6424088	0,0667421	0,5104970	0,0747699	0,2996978	0,9769462	0,8589631	0,3747172	0,4562748	0,0546739	0,0103086	0,8751879	0,0164137	0,0660426
160	0,6585657	0,2875940	0,0453890	0,0545475	0,3321959	0,9509125	0,4117982	0,7782679	0,4395225	0,0059348	0,8260236	0,7379735	0,8285885	0,8678049	0,9243285	0,7829905	0,2986670	0,3531170	0,4529673	0,9838850	0,9318059	0,7829476	1,0070599	0,2023087	0,3841049	0,6352521	0,6411108	0,6922615	0,7741204	0,3673684	0,6358914	0,6744895	0,4647246	0,1126687	1,0781575	0,2803673	0,4044737	0,5198379	0,0584347	0,3219578	0,6154957	0,3667922	0,1267029	0,2216368	0,0697019	0,5670289	0,1566203	0,1118087	0,7790942	0,5105824	0,7543854	0,1558549	0,5022977	0,0915172	0,4167883	1,0058459	0,8543005	0,5071399	0,4515008	0,0444038	0,0262413	0,9074006	0,0567048	0,0793256
