"Time"	flhD	hdfR	qseB	lrhA	flhC	ompR	rcsB	rcsA	csgD	bolA	rstA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtF	mdtE	csgF	csgG	csgE	yhiD	hdeB	hdeA	gadA	gadB	gadC	sra	flgM	flgJ	fliR	rprA	wcaB	flhE	fliQ	fliM	fliH	flgE	flgN	wzc	flgH	fliK	gltI	yhjH	osmB	flhB	fliN	recC	flgD	flgI	fliG	fliF	fliT	fliD	bdm	flhA	ppdC	gadY	flgA	flgG

0	0,9892180	0,9342378	0,0200479	0,0682137	0,0105455	1,0693726	0,9242101	0,9308257	0,3302805	0,1413554	0,8568601	0,7806842	0,7945286	1,0266228	0,8359349	0,6978256	0,3498568	0,4543718	0,6601932	1,0310417	0,9150384	0,1835468	0,8978363	0,2230529	0,2133257	0,7513093	0,8280023	0,8140514	0,5570665	0,4640914	0,2584868	0,6993163	0,2491657	0,0624986	0,5291881	0,4447912	0,4675907	0,5299912	0,0185299	0,5075316	0,6674522	0,4916894	0,1379306	0,3970574	0,0797059	0,6042061	0,0628301	0,0296424	0,8546311	0,0301103	0,0965439	0,0073674	0,0570003	0,0761808	0,0209595	0,8132527	0,0218321	0,0597145	0,5777567	0,0249389	0,0055398	0,9222532	0,0293561	0,0278480
20	0,9581558	0,8359653	0,0428354	0,0627869	0,0139605	0,9416744	0,8707507	0,9254085	0,2724410	0,1196550	0,8714251	0,8089736	0,7736744	1,0191470	0,8975042	0,6849364	0,2620690	0,4479316	0,7220016	0,9089764	0,8930232	0,2588952	0,9633921	0,1978981	0,2369618	0,7639935	0,8625119	0,8108491	0,5261691	0,4066695	0,3315732	0,6773498	0,2746899	0,0570124	0,4538997	0,3358180	0,4305787	0,4996725	0,0216964	0,5161483	0,6627739	0,4568750	0,1569512	0,4174506	0,0420750	0,6135680	0,0258603	0,0232215	0,8669610	0,0793348	0,0895283	0,0032136	0,1420587	0,0523237	0,0249461	0,8571644	0,1538027	0,0577255	0,5993688	0,0479598	0,0115672	0,8767138	0,0225098	0,0414666
40	0,9082360	0,6329772	0,0348841	0,0477853	0,0202317	0,8889300	0,7884718	0,9100027	0,2452486	0,0946339	0,8239462	0,8710703	0,8370877	1,0218780	0,9579829	0,6561765	0,2647756	0,4002006	0,5764175	0,9646135	0,9630329	0,4540865	1,0269586	0,2075932	0,2060577	0,7283965	0,8802293	0,8004043	0,5700128	0,4210084	0,4304592	0,6991021	0,2851194	0,0837075	0,5519101	0,3310806	0,4431919	0,4835774	0,0197926	0,4895477	0,6873452	0,5198592	0,1197821	0,3943832	0,0465268	0,6099774	0,0456984	0,0315904	0,8030477	0,1916200	0,1027948	0,0040816	0,2659726	0,0778947	0,0224944	0,8705390	0,3521908	0,0718786	0,5702535	0,0684021	0,0105374	0,8678491	0,0097562	0,0254772
60	0,8627630	0,4799060	0,0363993	0,0426326	0,0255742	0,9305044	0,6891362	0,7987848	0,2561019	0,0646317	0,8001912	0,8266113	0,7965297	1,0209507	0,9493565	0,7210894	0,2749039	0,3509022	0,5277401	0,9340167	0,9220046	0,5289961	0,9778677	0,1924462	0,2515859	0,7078136	0,8377247	0,8296165	0,5548667	0,4220452	0,4649777	0,6808037	0,3005356	0,0634075	0,6282309	0,3328472	0,4018662	0,4920408	0,0106914	0,4973570	0,6420963	0,4882948	0,1026398	0,3744786	0,0518841	0,5773171	0,0628795	0,0497388	0,8070828	0,2798922	0,1373293	0,0078716	0,3439108	0,0618997	0,0296769	0,9783515	0,4832759	0,0923296	0,5712446	0,0483361	0,0075968	0,8601552	0,0178316	0,0359061
80	0,8254250	0,3848878	0,0421136	0,0551294	0,0284947	0,9186627	0,6116890	0,7875834	0,2580666	0,0501880	0,8181232	0,8733096	0,7478218	1,0067770	1,0473837	0,7975703	0,2880038	0,3653633	0,4970883	0,9407691	0,9513888	0,6114520	0,9395621	0,1799166	0,2484569	0,6615042	0,7929715	0,7822821	0,6638629	0,4641289	0,5059663	0,6666228	0,2707963	0,0520629	0,6684115	0,3299971	0,4395770	0,5113975	0,0169428	0,4960587	0,6790058	0,4947817	0,0962416	0,3585895	0,0615089	0,5935955	0,0559871	0,0458953	0,8643483	0,3892967	0,1666887	0,0065701	0,4460764	0,0533671	0,0431570	1,0256965	0,6222168	0,1199859	0,5178844	0,0495555	0,0119234	0,9300886	0,0241795	0,0280782
100	0,7736773	0,3396749	0,0527486	0,0531740	0,0435674	1,0064067	0,6242637	0,8101259	0,2447407	0,0282551	0,7612272	0,8628514	0,8429212	0,9221285	1,1005919	0,7844488	0,2665296	0,3879171	0,4569779	0,9810232	1,0070985	0,6681347	0,9561364	0,1660667	0,2658338	0,7116028	0,7978883	0,8014344	0,8312873	0,4557938	0,5734460	0,7110654	0,2610522	0,0686154	0,7112026	0,3500682	0,4429495	0,4901948	0,0091070	0,4585346	0,6894457	0,4882649	0,0908992	0,3231099	0,0687008	0,5783372	0,0532895	0,0446958	0,7949185	0,4308613	0,2038096	0,0023327	0,4517563	0,0582354	0,0513794	0,9671895	0,7141850	0,1680297	0,5033574	0,0435078	0,0041202	0,9149620	0,0229771	0,0358563
120	0,7221371	0,2805569	0,0556716	0,0438691	0,0744811	1,1018801	0,5833572	0,8862474	0,2492589	0,0189722	0,7243281	0,7675433	0,9071877	0,9811833	1,0017524	0,7733386	0,2766716	0,4005810	0,4404405	0,9912736	0,9632914	0,6934605	0,9694543	0,1524590	0,2925491	0,7193466	0,8088722	0,7200347	0,8470976	0,4382851	0,6307749	0,7444204	0,3132926	0,0713345	0,7834775	0,3336514	0,4230163	0,5212480	0,0108219	0,3992210	0,6591651	0,4087696	0,1016581	0,2769758	0,0687475	0,6161021	0,0534513	0,0426464	0,8010078	0,4218006	0,2627451	0,0025227	0,4881085	0,0669851	0,0722124	1,0958411	0,7900742	0,1876319	0,4460230	0,0382635	0,0013794	0,9066486	0,0129332	0,0414193
140	0,7438086	0,2710099	0,0436381	0,0530027	0,1385142	1,0375974	0,5807848	0,8170643	0,2979358	0,0128412	0,6965161	0,6880379	0,8584596	0,9424413	0,9696269	0,7146242	0,2708718	0,3735427	0,4720562	0,9617819	1,0170803	0,7306964	0,8887195	0,1627347	0,3006417	0,6983890	0,7389855	0,6436185	0,8276413	0,4725685	0,6266194	0,7472998	0,3399690	0,0876619	0,9239162	0,3288266	0,4355436	0,5123567	0,0216234	0,3930023	0,6012923	0,3966509	0,1426870	0,2360316	0,0701031	0,5978952	0,0452662	0,0480341	0,7777666	0,4209370	0,3441265	0,0122387	0,4598305	0,0499743	0,1228125	1,0287093	0,7987563	0,2495911	0,4750038	0,0439947	0,0000000	0,8715836	0,0133717	0,0387894
160	0,6899593	0,2756522	0,0543804	0,0609019	0,1819708	1,0289785	0,5268348	0,8136566	0,3383711	0,0167834	0,7844029	0,7173583	0,8549581	0,9002050	0,9441959	0,7142082	0,3107504	0,3395956	0,4716808	0,9457034	1,0356033	0,7967171	0,9617853	0,2109474	0,2955962	0,7449748	0,7476485	0,6620916	0,7897997	0,3788430	0,6400489	0,7096483	0,4204851	0,1035657	0,9510179	0,3577628	0,4251313	0,4962962	0,0229134	0,4028929	0,5521733	0,3949398	0,1583002	0,2710356	0,0319093	0,5975111	0,0928258	0,0671085	0,8192172	0,4408201	0,4892519	0,0494857	0,4627352	0,0712702	0,2304918	1,1050416	0,8816951	0,3381014	0,4616576	0,0487624	0,0048284	0,9368052	0,0186308	0,0355569
180	0,6687300	0,2843384	0,0506161	0,0537847	0,1951795	1,0034515	0,4943296	0,7777830	0,4204266	0,0111286	0,8342448	0,7859817	0,7911551	0,9633021	0,8746079	0,6939001	0,3010938	0,3263059	0,4449453	0,9226465	0,9564397	0,7534681	0,9363311	0,1985798	0,3522402	0,7109212	0,7683000	0,6582225	0,7707154	0,3939994	0,6057526	0,7136544	0,4250317	0,1295783	0,9950323	0,3228501	0,3788091	0,5110854	0,0588686	0,3677696	0,6314174	0,4092185	0,1558605	0,2318873	0,0607020	0,5985243	0,1412183	0,0881597	0,8749509	0,4956568	0,5770229	0,1225896	0,4811475	0,0701026	0,3204023	1,0034651	0,9219809	0,4158672	0,4576394	0,0521360	0,0105415	0,9075003	0,0376805	0,0554402
200	0,6943598	0,3307377	0,0466131	0,0434288	0,2522462	1,0497549	0,4727557	0,7785097	0,3977523	0,0036075	0,8560020	0,7902403	0,8308063	0,9881323	0,9082806	0,6158144	0,3063009	0,3223713	0,4189283	0,9175064	0,9245407	0,7699537	0,9591660	0,2267226	0,3669735	0,7036947	0,7910114	0,6450304	0,7559719	0,3907931	0,6050232	0,7075536	0,5236289	0,1262858	0,9782590	0,3174489	0,3756405	0,5200172	0,1195232	0,3588529	0,6784666	0,4019362	0,1177416	0,1493135	0,0557283	0,5993704	0,2241207	0,0967645	0,8562925	0,5627165	0,6901653	0,2638294	0,5156419	0,0649620	0,4322946	0,9882215	0,9125461	0,5462822	0,4180517	0,0512574	0,0195737	0,9280326	0,0660989	0,1048517
220	0,6781886	0,3191508	0,0455188	0,0454614	0,2927007	1,0814518	0,4468069	0,8558990	0,4263248	0,0054698	0,8554620	0,7491565	0,8646522	1,0086802	0,9008497	0,6421693	0,3101280	0,3635317	0,4379712	0,9448956	0,8701834	0,7465203	0,9534846	0,2158371	0,4214398	0,7014000	0,7148204	0,6433128	0,7159060	0,3710442	0,7020581	0,6457814	0,6130522	0,1481957	0,9738570	0,3179165	0,2975153	0,4704774	0,1621539	0,3508371	0,6867971	0,4053211	0,1136431	0,1561107	0,0650473	0,5811503	0,2843907	0,1589963	0,8517133	0,5968890	0,7780241	0,3239486	0,5524670	0,0731970	0,5542928	1,0196498	0,8366186	0,6142810	0,4033686	0,0664805	0,0430113	1,0065264	0,1305697	0,1569641
240	0,6715431	0,3431555	0,0381800	0,0374622	0,3183458	0,9481932	0,3968950	0,8387393	0,4234692	0,0110213	0,8569827	0,7501135	0,8972887	1,0003583	0,8745959	0,6885641	0,2584963	0,3980425	0,4295341	0,9732332	0,9680951	0,7860245	0,9562586	0,2500621	0,4122436	0,6876283	0,7088176	0,7840865	0,7611058	0,4043797	0,6601404	0,6092115	0,6391307	0,1646451	0,9744999	0,3226754	0,3262858	0,4882031	0,2068146	0,3455563	0,6659315	0,3623299	0,1478181	0,1467813	0,0537170	0,6063643	0,3208936	0,2029827	0,7617786	0,5736873	0,8241606	0,4640585	0,6324929	0,0810401	0,5963238	0,9385994	0,8526904	0,5985046	0,3765300	0,0451633	0,0563511	0,9945719	0,1834314	0,2189637
