"Time"	flhD	hdfR	qseB	lrhA	flhC	ompR	rcsB	rcsA	csgD	bolA	rstA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtF	mdtE	csgF	csgG	csgE	yhiD	hdeB	hdeA	gadA	gadB	gadC	sra	flgM	flgJ	fliR	rprA	wcaB	flhE	fliQ	fliM	fliH	flgE	flgN	wzc	flgH	fliK	gltI	yhjH	osmB	flhB	fliN	recC	flgD	flgI	fliG	fliF	fliT	fliD	bdm	flhA	ppdC	gadY	flgA	flgG

0	0,9885685	1,0000000	0,0365767	0,0456086	0,0114625	1,0000000	1,0000000	0,8903001	0,2665068	0,1349221	0,8179183	0,7708899	0,8114172	0,9985547	0,8949143	0,7274068	0,3093941	0,4340175	0,6509861	0,9842051	0,9067062	0,1579920	0,9092397	0,1861461	0,2043768	0,6794613	0,8629550	0,7923296	0,5209897	0,4361791	0,3048984	0,6539198	0,2973063	0,0946438	0,5516583	0,3886217	0,4840065	0,5256893	0,0137808	0,5056873	0,6712355	0,5091693	0,1301748	0,4340451	0,0573314	0,5910480	0,0531351	0,0311991	0,8336034	0,0398197	0,1071953	0,0044088	0,0674251	0,0739806	0,0210001	0,7768779	0,0088120	0,0653018	0,5666372	0,0392946	0,0038931	0,9656346	0,0142104	0,0308829
20	0,8727727	0,6458843	0,0365767	0,0456291	0,0114706	1,0000000	0,8330039	0,8892431	0,2670148	0,0906570	0,8179710	0,7708904	0,8114172	0,9985547	0,8949164	0,7279964	0,2710362	0,3524015	0,5220345	0,9866145	0,9067078	0,3759648	0,9097970	0,1861442	0,2066125	0,6793268	0,8068658	0,7900177	0,6249230	0,4361792	0,4527315	0,6687354	0,2967213	0,0946435	0,6538307	0,3883608	0,4836435	0,5249505	0,0137802	0,5030475	0,6712022	0,5074597	0,1301748	0,4317380	0,0573313	0,5903526	0,0531132	0,0311987	0,8335910	0,2000288	0,1065654	0,0044087	0,2801272	0,0739806	0,0208377	0,8833282	0,4187140	0,0652739	0,5660547	0,0392946	0,0038931	0,9656350	0,0142102	0,0308768
40	0,7975583	0,4686767	0,0365767	0,0456481	0,0115678	1,0000000	0,7139078	0,8841126	0,2698066	0,0611724	0,8182044	0,7708997	0,8114173	0,9985547	0,8949144	0,7300841	0,2636816	0,3294375	0,4591789	0,9882305	0,9067383	0,5201325	0,9124270	0,1861684	0,2176465	0,6787231	0,7815914	0,7802776	0,6924890	0,4361819	0,5534647	0,6788331	0,2938723	0,0946424	0,7048745	0,3868151	0,4814251	0,5210865	0,0137780	0,4907019	0,6710423	0,4990969	0,1301748	0,4196779	0,0573313	0,5866529	0,0530219	0,0311993	0,8334996	0,3100509	0,1037700	0,0044085	0,4010994	0,0739806	0,0201198	0,9359800	0,6317085	0,0651757	0,5628289	0,0392946	0,0038931	0,9656410	0,0142092	0,0308505
60	0,7492194	0,3799978	0,0365767	0,0456657	0,0122844	1,0000000	0,6289723	0,8748219	0,2761518	0,0415330	0,8186065	0,7709332	0,8114173	0,9985547	0,8948776	0,7325401	0,2721584	0,3363309	0,4350756	0,9893172	0,9068441	0,6154857	0,9171400	0,1862946	0,2384108	0,6777132	0,7700276	0,7659280	0,7365174	0,4361918	0,6222467	0,6850956	0,2886675	0,0946404	0,7285401	0,3831325	0,4757861	0,5132921	0,0137748	0,4691365	0,6707482	0,4837509	0,1301748	0,3956930	0,0573313	0,5789400	0,0528878	0,0312085	0,8332263	0,3856075	0,0993056	0,0044080	0,4699009	0,0739806	0,0189436	0,9613602	0,7423854	0,0650729	0,5557125	0,0392945	0,0038932	0,9656629	0,0142079	0,0308100
80	0,7184243	0,3356209	0,0365767	0,0456819	0,0167398	1,0000000	0,5683992	0,8629428	0,2871176	0,0284514	0,8191034	0,7709964	0,8114173	0,9985547	0,8947877	0,7345820	0,2793192	0,3493077	0,4300842	0,9900499	0,9070343	0,6785535	0,9233037	0,1866474	0,2662533	0,6765730	0,7645842	0,7514718	0,7652756	0,4362109	0,6693666	0,6881169	0,2819444	0,0946390	0,7403909	0,3768039	0,4652361	0,5020325	0,0137727	0,4424235	0,6703570	0,4637646	0,1301748	0,3620521	0,0573312	0,5673475	0,0527577	0,0312782	0,8326699	0,4374966	0,0953642	0,0044081	0,5090310	0,0739806	0,0177335	0,9729248	0,7998956	0,0657000	0,5442218	0,0392945	0,0038940	0,9657048	0,0142069	0,0307712
100	0,6987326	0,3134136	0,0365767	0,0456970	0,0360778	1,0000000	0,5252004	0,8503054	0,3034568	0,0197379	0,8196252	0,7710826	0,8114173	0,9985547	0,8946536	0,7360884	0,2806313	0,3585203	0,4326239	0,9905452	0,9072809	0,7202682	0,9302527	0,1873977	0,2972199	0,6755700	0,7619351	0,7394492	0,7840868	0,4362383	0,7017634	0,6882995	0,2749330	0,0946437	0,7589819	0,3677907	0,4488298	0,4884314	0,0137794	0,4147458	0,6699174	0,4419545	0,1301748	0,3232395	0,0573312	0,5528039	0,0526956	0,0317088	0,8317734	0,4731423	0,0992351	0,0044124	0,5312871	0,0739806	0,0176049	0,9775923	0,8297793	0,0712380	0,5285650	0,0392947	0,0038997	0,9657629	0,0142075	0,0307691
120	0,6860431	0,3023006	0,0365767	0,0457109	0,0836995	1,0000000	0,4943925	0,8383350	0,3251360	0,0139339	0,8201237	0,7711799	0,8114173	0,9985547	0,8944980	0,7371690	0,2791942	0,3631216	0,4369677	0,9908811	0,9075461	0,7478604	0,9374409	0,1887659	0,3275857	0,6748315	0,7606271	0,7305213	0,7963911	0,4362714	0,7241135	0,6859878	0,2701366	0,0946877	0,8076635	0,3565293	0,4267513	0,4738202	0,0138502	0,3890893	0,6694765	0,4206300	0,1301755	0,2839412	0,0573312	0,5366966	0,0529741	0,0337822	0,8305421	0,4976928	0,1393691	0,0044683	0,5439561	0,0739807	0,0233774	0,9792428	0,8453077	0,0967025	0,5096153	0,0392961	0,0039419	0,9658295	0,0142226	0,0309762
140	0,6778247	0,2967394	0,0365767	0,0457238	0,1503232	1,0000000	0,4724213	0,8278531	0,3510518	0,0100679	0,8205717	0,7712776	0,8114173	0,9985547	0,8943416	0,7379437	0,2780027	0,3648540	0,4407981	0,9911096	0,9078004	0,7661122	0,9444318	0,1910163	0,3548029	0,6743527	0,7600017	0,7243746	0,8044289	0,4363075	0,7395798	0,6815825	0,2758611	0,0949436	0,8726795	0,3437779	0,4004784	0,4593961	0,0144009	0,3670492	0,6690893	0,4013267	0,1301860	0,2476478	0,0573312	0,5205421	0,0552619	0,0409557	0,8290377	0,5149242	0,2680766	0,0053020	0,5512626	0,0739817	0,0533503	0,9812201	0,8533788	0,1656105	0,4887063	0,0393077	0,0042466	0,9658976	0,0144038	0,0323322
160	0,6724879	0,2939564	0,0365767	0,0457357	0,2147482	1,0000000	0,4567521	0,8191602	0,3792495	0,0074928	0,8209577	0,7713684	0,8114173	0,9985547	0,8941979	0,7384943	0,2777779	0,3651737	0,4434888	0,9912655	0,9080268	0,7781864	0,9508687	0,1944267	0,3776899	0,6740672	0,7597353	0,7203722	0,8096696	0,4363444	0,7503119	0,6755864	0,3090615	0,0959674	0,9236204	0,3304020	0,3723051	0,4461060	0,0173220	0,3491709	0,6689130	0,3850166	0,1302988	0,2162487	0,0573322	0,5060077	0,0658952	0,0580623	0,8273588	0,5280763	0,4588361	0,0134793	0,5560375	0,0739908	0,1359838	0,9856639	0,8575893	0,2761074	0,4673036	0,0393712	0,0058037	0,9659620	0,0158483	0,0380134
