"Time"	flhD	hdfR	qseB	lrhA	flhC	ompR	rcsB	rcsA	csgD	bolA	rstA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtF	mdtE	csgF	csgG	csgE	yhiD	hdeB	hdeA	gadA	gadB	gadC	sra	flgM	flgJ	fliR	rprA	wcaB	flhE	fliQ	fliM	fliH	flgE	flgN	wzc	flgH	fliK	gltI	yhjH	osmB	flhB	fliN	recC	flgD	flgI	fliG	fliF	fliT	fliD	bdm	flhA	ppdC	gadY	flgA	flgG

0	0,9886000	1,0000000	0,0365767	0,0455162	0,0114641	1,0000000	1,0000000	0,8903001	0,2665225	0,1349221	0,8179013	0,7708900	0,8114172	0,9985547	0,8949128	0,7274080	0,3093941	0,4340175	0,6509861	0,9841933	0,9067068	0,1579914	0,9092608	0,1861588	0,2043857	0,6794551	0,8629571	0,7923291	0,5209888	0,4361789	0,3049048	0,6539196	0,2973115	0,0946441	0,5519750	0,3886138	0,4840058	0,5256999	0,0137808	0,5057194	0,6712358	0,5091963	0,1301748	0,4340448	0,0573315	0,5910612	0,0531364	0,0312028	0,8336034	0,0398203	0,1073897	0,0044088	0,0674251	0,0739806	0,0210518	0,7768791	0,0088120	0,0653436	0,5666365	0,0392946	0,0038937	0,9656339	0,0142104	0,0308836
20	0,9629169	0,9045549	0,0365767	0,0455437	0,0114642	1,0000000	0,9619717	0,8901631	0,2665707	0,1192110	0,8179150	0,7708900	0,8114172	0,9985547	0,8949136	0,7274849	0,2965034	0,4178478	0,6196752	0,9845657	0,9067066	0,2192423	0,9093168	0,1861524	0,2046178	0,6794446	0,8517375	0,7916226	0,5448420	0,4361790	0,3366494	0,6574636	0,2971966	0,0946440	0,5729400	0,3885904	0,4839614	0,5256072	0,0137807	0,5054719	0,6712317	0,5090219	0,1301748	0,4336953	0,0573314	0,5909953	0,0531321	0,0312014	0,8335985	0,0858035	0,1072610	0,0044088	0,1251743	0,0739806	0,0210109	0,8252286	0,1241397	0,0653204	0,5665684	0,0392946	0,0038935	0,9656342	0,0142104	0,0308825
40	0,9115114	0,7416185	0,0365767	0,0455690	0,0114756	1,0000000	0,8833468	0,8887708	0,2671719	0,0920137	0,8179815	0,7708916	0,8114172	0,9985547	0,8949147	0,7281223	0,2796132	0,3911344	0,5642149	0,9853739	0,9067127	0,3346797	0,9099577	0,1861526	0,2070827	0,6793232	0,8317119	0,7861253	0,5921628	0,4361796	0,4019437	0,6645979	0,2961224	0,0946436	0,6118227	0,3882798	0,4834283	0,5246522	0,0137796	0,5030311	0,6711917	0,5072762	0,1301748	0,4300260	0,0573313	0,5903010	0,0530998	0,0312005	0,8335444	0,1732840	0,1065989	0,0044087	0,2285440	0,0739806	0,0208089	0,8896351	0,3210075	0,0652793	0,5658002	0,0392946	0,0038934	0,9656352	0,0142101	0,0308748
60	0,8568824	0,5961891	0,0365767	0,0455925	0,0115739	1,0000000	0,7963383	0,8848320	0,2691952	0,0669704	0,8181536	0,7709012	0,8114172	0,9985547	0,8949092	0,7294741	0,2734511	0,3716812	0,5151331	0,9863221	0,9067474	0,4501356	0,9117823	0,1861849	0,2144040	0,6789827	0,8126800	0,7748164	0,6421239	0,4361827	0,4737024	0,6720715	0,2932461	0,0946429	0,6493084	0,3871767	0,4814996	0,5217180	0,0137774	0,4960429	0,6710767	0,5021362	0,1301748	0,4191440	0,0573313	0,5880590	0,0530241	0,0312013	0,8333522	0,2619040	0,1048992	0,0044085	0,3257609	0,0739806	0,0202968	0,9334991	0,4965846	0,0652045	0,5632816	0,0392946	0,0038933	0,9656403	0,0142095	0,0308558
80	0,8085744	0,4879687	0,0365767	0,0456143	0,0122425	1,0000000	0,7157055	0,8780037	0,2736050	0,0474213	0,8184408	0,7709269	0,8114173	0,9985547	0,8948834	0,7311969	0,2751675	0,3623876	0,4809855	0,9872539	0,9068361	0,5469085	0,9150065	0,1863095	0,2278514	0,6784083	0,7973647	0,7608713	0,6862236	0,4361912	0,5396871	0,6782884	0,2885012	0,0946418	0,6793320	0,3847170	0,4770082	0,5161072	0,0137748	0,4837162	0,6708711	0,4928087	0,1301748	0,3992645	0,0573312	0,5835198	0,0529182	0,0312132	0,8329180	0,3373376	0,1022828	0,0044083	0,4019888	0,0739806	0,0194969	0,9582321	0,6270325	0,0652347	0,5580556	0,0392946	0,0038934	0,9656544	0,0142086	0,0308275
100	0,7694846	0,4141501	0,0365767	0,0456344	0,0157221	1,0000000	0,6470402	0,8688343	0,2813541	0,0332125	0,8188194	0,7709732	0,8114173	0,9985547	0,8948268	0,7329291	0,2779768	0,3598475	0,4606677	0,9880949	0,9069864	0,6215673	0,9195121	0,1866269	0,2470305	0,6776777	0,7859003	0,7476132	0,7219465	0,4362066	0,5954137	0,6825174	0,2824653	0,0946413	0,7035613	0,3804387	0,4687544	0,5077353	0,0137750	0,4667984	0,6705823	0,4796383	0,1301748	0,3712177	0,0573312	0,5763366	0,0528152	0,0312967	0,8321653	0,3965853	0,1002412	0,0044089	0,4567505	0,0739806	0,0187017	0,9706580	0,7158005	0,0664124	0,5494941	0,0392946	0,0038943	0,9656805	0,0142079	0,0308010
120	0,7394228	0,3663017	0,0365767	0,0456530	0,0274954	1,0000000	0,5913668	0,8583294	0,2931885	0,0232565	0,8192515	0,7710383	0,8114173	0,9985547	0,8947390	0,7344702	0,2789936	0,3603204	0,4501903	0,9888169	0,9071864	0,6765077	0,9249983	0,1872810	0,2703088	0,6769054	0,7776428	0,7368013	0,7494583	0,4362289	0,6402082	0,6844818	0,2763960	0,0946476	0,7310621	0,3741138	0,4558781	0,4970505	0,0137962	0,4468985	0,6702337	0,4636987	0,1301749	0,3377120	0,0573312	0,5666326	0,0528037	0,0317493	0,8310735	0,4410919	0,1052433	0,0044184	0,4941136	0,0739806	0,0191247	0,9762491	0,7731556	0,0734435	0,5374383	0,0392948	0,0039012	0,9657187	0,0142098	0,0308197
140	0,7170440	0,3363062	0,0365767	0,0456702	0,0523069	1,0000000	0,5476360	0,8475329	0,3093747	0,0164214	0,8196998	0,7711168	0,8114173	0,9985547	0,8946273	0,7357521	0,2787006	0,3615966	0,4456829	0,9894167	0,9074142	0,7157488	0,9310957	0,1884616	0,2955268	0,6761868	0,7718387	0,7288228	0,7699499	0,4362570	0,6750834	0,6841736	0,2738252	0,0946948	0,7700968	0,3658059	0,4382395	0,4848277	0,0139801	0,4258144	0,6698583	0,4463302	0,1301773	0,3021215	0,0573312	0,5549406	0,0533613	0,0336033	0,8296812	0,4737056	0,1365210	0,0045603	0,5187723	0,0739808	0,0258766	0,9790318	0,8089680	0,0983002	0,5222378	0,0392971	0,0039532	0,9657665	0,0142410	0,0311157
160	0,7007577	0,3179389	0,0365767	0,0456861	0,0886319	1,0000000	0,5140301	0,8372717	0,3295166	0,0117843	0,8201347	0,7712017	0,8114173	0,9985547	0,8945023	0,7367752	0,2782274	0,3627462	0,4443271	0,9899039	0,9076475	0,7432193	0,9374263	0,1903968	0,3206493	0,6755750	0,7678333	0,7233375	0,7848519	0,4362889	0,7016427	0,6817781	0,2840855	0,0949235	0,8160573	0,3558414	0,4165660	0,4719524	0,0151065	0,4051033	0,6695134	0,4288290	0,1302068	0,2674493	0,0573315	0,5421088	0,0567133	0,0390909	0,8280723	0,4975543	0,2133402	0,0061975	0,5348012	0,0739827	0,0523367	0,9822941	0,8307966	0,1532239	0,5046643	0,0393116	0,0042637	0,9658204	0,0145352	0,0326698
