"Time"	flhD	hdfR	qseB	lrhA	flhC	ompR	rcsB	rcsA	csgD	bolA	rstA	gadE	ydeO	evgA	gadW	gadX	rutR	nemR	torR	phoP	mdtF	mdtE	csgF	csgG	csgE	yhiD	hdeB	hdeA	gadA	gadB	gadC	sra	flgM	flgJ	fliR	rprA	wcaB	flhE	fliQ	fliM	fliH	flgE	flgN	wzc	flgH	fliK	gltI	yhjH	osmB	flhB	fliN	recC	flgD	flgI	fliG	fliF	fliT	fliD	bdm	flhA	ppdC	gadY	flgA	flgG

0	0,6996230	0,6501197	0,0113763	0,0776237	0,0047078	0,8401664	0,6370006	0,7326536	0,2102681	0,0679852	0,5021411	0,6185138	0,6192353	0,7420600	0,5732081	0,4893972	0,3009468	0,3263594	0,4858612	0,6588790	0,6054057	0,1275581	0,7141820	0,1313462	0,1600032	0,4705950	0,5094868	0,6575924	0,4371025	0,3190995	0,1867117	0,5099667	0,1771605	0,0620892	0,3540871	0,3344817	0,2948126	0,3843930	0,0096294	0,4419617	0,4300968	0,3053071	0,1038889	0,3083089	0,0474345	0,4430028	0,0539014	0,0295561	0,5975507	0,0110217	0,0564520	0,0029234	0,0658815	0,0556923	0,0314627	0,5241729	0,0292559	0,0372620	0,3627817	0,0148736	0,0022981	0,7046533	0,0156888	0,0194018
20	0,6583279	0,6770636	0,0408947	0,0379985	0,0143220	0,6364315	0,5495370	0,6417412	0,2079931	0,0910144	0,5355952	0,5306142	0,5193817	0,7888129	0,6327868	0,4913941	0,1309827	0,2968013	0,5481054	0,7533473	0,6214515	0,2302829	0,7401301	0,1175084	0,1542112	0,5736235	0,5101528	0,5951768	0,4219914	0,2998802	0,1873565	0,5623869	0,1952524	0,0472899	0,2808735	0,2391294	0,3021507	0,3502064	0,0070842	0,3884243	0,5103732	0,3082814	0,1237332	0,2760620	0,0248873	0,4129675	0,0145373	0,0209101	0,6158838	0,0486055	0,0879059	0,0062646	0,1314206	0,0399241	0,0252128	0,5598576	0,0731919	0,0431859	0,3581246	0,0301688	0,0057929	0,6014727	0,0191115	0,0319687
40	0,6348276	0,4522651	0,0208927	0,0349996	0,0193028	0,7094230	0,5876830	0,5606636	0,2434736	0,0642747	0,5410581	0,6673108	0,5150374	0,8567000	0,5648320	0,4570880	0,1841985	0,2988082	0,4990253	0,6781495	0,6592290	0,3016502	0,7677051	0,2073088	0,1630632	0,5192795	0,6399053	0,5216022	0,4234069	0,2840473	0,3132395	0,5341524	0,1964312	0,0583360	0,4590193	0,1926265	0,2980403	0,2844986	0,0175129	0,3293894	0,4310571	0,3473539	0,0707906	0,2833243	0,0252886	0,6014632	0,0618021	0,0295171	0,5091810	0,1536571	0,0789317	0,0045912	0,1998808	0,0429002	0,0133751	0,5981836	0,2415633	0,0598516	0,3865806	0,0371481	0,0043110	0,5896418	0,0080825	0,0198069
60	0,5106509	0,3543653	0,0103625	0,0368159	0,0204413	0,6691450	0,4661091	0,6534916	0,2248807	0,0418095	0,6261965	0,5584123	0,5695846	0,7886656	0,6549764	0,4940363	0,2125368	0,2966814	0,4023285	0,6569426	0,6636512	0,4118726	0,6237889	0,1512673	0,1830845	0,5793942	0,6060104	0,5444425	0,4471074	0,1925879	0,3626997	0,4737547	0,2613512	0,0411830	0,4114526	0,2489937	0,2393189	0,2939909	0,0056520	0,3780703	0,5360434	0,3817682	0,0914016	0,3062629	0,0220511	0,3771000	0,0397198	0,0405816	0,5885954	0,2118601	0,0857244	0,0060581	0,2515753	0,0373779	0,0331708	0,6145037	0,3687743	0,0603812	0,4037278	0,0139268	0,0096075	0,7302117	0,0130113	0,0565210
80	0,6476123	0,2433405	0,0232314	0,0259415	0,0133012	0,7027176	0,4685641	0,6973177	0,1321062	0,0208538	0,5516456	0,6012015	0,5916601	0,5998648	0,7192947	0,5772485	0,2053352	0,2747390	0,4227661	0,7326953	0,6474739	0,3981614	0,7345113	0,1346465	0,1236291	0,3891492	0,4606253	0,5589723	0,4940813	0,2529785	0,2794906	0,4170374	0,1713540	0,0418814	0,4343282	0,2627463	0,3456222	0,3885007	0,0115437	0,3478016	0,5142652	0,2837511	0,0573351	0,2560549	0,0411462	0,4802942	0,0476439	0,0219533	0,6236246	0,2847184	0,1270453	0,0044430	0,3346916	0,0295436	0,0433351	0,5909340	0,4112440	0,0844750	0,3160296	0,0615734	0,0041966	0,6261477	0,0100595	0,0225029
100	0,6006856	0,1908223	0,0324874	0,0531312	0,0143804	0,7512463	0,4080422	0,6496370	0,1882778	0,0222000	0,5189252	0,5652185	0,6330194	0,6316954	0,8093382	0,5682297	0,2072538	0,2954646	0,3074653	0,8147159	0,6235784	0,5177889	0,6352017	0,0856084	0,2136927	0,5638913	0,6212663	0,5432558	0,6073488	0,2943350	0,4052787	0,5370531	0,1746567	0,0513859	0,4750515	0,2485981	0,3626071	0,3634088	0,0031594	0,2867179	0,4675000	0,3254745	0,0991650	0,2246623	0,0384140	0,3479862	0,0670674	0,0274910	0,6115153	0,3088506	0,1779045	0,0022865	0,4036488	0,0418291	0,0414534	0,6203626	0,4733889	0,1605660	0,3387247	0,0321582	0,0010019	0,5570566	0,0213230	0,0278318
120	0,5550956	0,2187096	0,0529941	0,0155816	0,0814370	0,7529870	0,3778055	0,6600429	0,1584476	0,0150240	0,5163483	0,5828138	0,6476153	0,6344146	0,7396665	0,6506195	0,1512256	0,2136658	0,3434932	0,7859246	0,7438754	0,4795002	0,7602423	0,1642583	0,1653712	0,5838086	0,5989516	0,4972831	0,5531907	0,3943921	0,4945720	0,5540387	0,2345507	0,0286743	0,4915229	0,2220104	0,3131439	0,3740045	0,0176902	0,3203680	0,4284148	0,2961101	0,0857989	0,1257925	0,0278453	0,4001959	0,0691237	0,0127580	0,5823014	0,2456554	0,1685937	0,0007486	0,4170364	0,0509757	0,0659207	0,8325680	0,5294729	0,1685621	0,2549649	0,0251192	0,0006626	0,7563940	0,0056577	0,0146134
140	0,6235185	0,2040898	0,0250554	0,0250335	0,0840076	0,8163892	0,4555848	0,5875522	0,1935503	0,0034130	0,4567750	0,4516746	0,7230513	0,8604713	0,6691992	0,4877228	0,2248512	0,2475933	0,3449506	0,6601379	0,7640332	0,6090990	0,6353172	0,0806174	0,2174843	0,5323557	0,6291701	0,4819407	0,5824566	0,4213371	0,4575188	0,4930511	0,2233084	0,0695191	0,6959022	0,2786085	0,3353676	0,3878096	0,0173972	0,2926429	0,3856507	0,3345455	0,1911923	0,2065298	0,0940489	0,3623620	0,0326177	0,0360612	0,6320834	0,3407316	0,2470045	0,0096003	0,3045418	0,0220651	0,0839554	0,7376313	0,5941738	0,1572231	0,3067137	0,0234259	0,0000000	0,6000571	0,0050148	0,0398662
160	0,5370976	0,1679902	0,0260464	0,0485013	0,1150949	0,7203240	0,3509049	0,5935287	0,2131851	0,0225325	0,4979017	0,5630905	0,6433599	0,6664557	0,6372493	0,4459462	0,2087307	0,3076388	0,3413685	0,6424093	0,7809411	0,5218713	0,5792431	0,1980077	0,2141027	0,6093001	0,5683112	0,4304441	0,5147947	0,2830269	0,3462968	0,5095219	0,3295749	0,0693423	0,6611087	0,1947065	0,2698150	0,4205327	0,0159064	0,3296110	0,4022440	0,2990650	0,0905722	0,1458971	0,0318290	0,4363158	0,0556848	0,0444866	0,4888900	0,3598379	0,3692170	0,0438039	0,2753719	0,0640963	0,1676892	0,7864573	0,5871187	0,2802532	0,3350581	0,0264658	0,0042199	0,6288176	0,0130806	0,0114510
