"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB

0	0,7337526	0,2556030	0,1571443	0,0246557	0,8154822	0,0703137	0,1019773	0,0230341	0,0899712	0,5142175	0,5875084	0,4447800	0,3985601	0,3767923	0,0543347	0,3204768	0,0080911	0,2053155	0,3258386	0,0233202	0,2363452	0,0773958	0,4190248	0,4955709	0,4817723	0,3261144	0,1274472	0,3999105	0,0670708	0,0286021	0,8074439	0,2392058	0,1303391	0,7493755	0,4147170	0,0037254	0,6972150	0,1799063	0,5767847	0,0064540	0,7299534	0,0421905	0,0938961	0,5788942	0,4340535	0,3458157	0,4846645	0,0246375	0,0521119	0,0207016	0,0419370	0,0652325	0,0648778	0,7372285	0,1628884	0,2969873	0,1329990	0,2610881	0,3614946	0,2815002	0,3233023	0,2437797	0,4321623	0,0523649
20	0,7194924	0,2288345	0,1521305	0,0293177	0,5236349	0,2474890	0,0893424	0,0621861	0,2075941	0,4434040	0,5373237	0,4574283	0,4554531	0,3036564	0,0642925	0,2451477	0,0018469	0,1003340	0,2285684	0,0295094	0,4714142	0,0660392	0,3513069	0,4418626	0,4524946	0,1769713	0,1685738	0,4124496	0,0912309	0,0693580	0,6570723	0,2226941	0,2266505	0,6762851	0,4364254	0,0164053	0,7710691	0,1676401	0,4751193	0,0054849	0,6956986	0,0164976	0,0298402	0,5784766	0,4411694	0,4855373	0,6801583	0,0292922	0,0422779	0,0178053	0,0367635	0,0501296	0,0693063	0,6593339	0,1471776	0,2181863	0,1152931	0,3673496	0,3273324	0,3701310	0,2083667	0,1924706	0,5604127	0,1173853
40	0,7822000	0,3207117	0,1589476	0,0305052	0,3969660	0,2828433	0,1305496	0,0221076	0,3907207	0,6318402	0,5619961	0,2183135	0,5313394	0,3231134	0,0900380	0,3167980	0,0062113	0,0554479	0,2522862	0,0336498	0,5117727	0,0395304	0,3846932	0,5610397	0,3014573	0,1394995	0,2105154	0,4999614	0,0735551	0,0333120	0,7280667	0,3224078	0,2266462	0,6907514	0,3618286	0,0487318	0,7764030	0,2574020	0,5016858	0,0169284	0,7972393	0,0586450	0,0686255	0,6944036	0,6248122	0,4328814	0,5647512	0,0427419	0,0792456	0,0411463	0,0185117	0,0671609	0,0680344	0,5956627	0,1484975	0,2494046	0,1429514	0,3576187	0,2310546	0,4680042	0,1683203	0,2344835	0,4669642	0,1931313
60	0,6946125	0,2291590	0,2508425	0,0200173	0,5031621	0,5438676	0,1588250	0,0317340	0,3627976	0,6453729	0,6547264	0,2112095	0,5904598	0,3112181	0,0957232	0,2390028	0,0326561	0,0276023	0,1993065	0,0445611	0,5897695	0,0234223	0,2931752	0,6207434	0,2708070	0,2664789	0,2127597	0,4956997	0,0973151	0,0526931	0,7244847	0,3054806	0,3432169	0,7882315	0,2648930	0,1255153	0,7976774	0,3021656	0,5697970	0,0412951	0,6835503	0,1220945	0,0831717	0,7691312	0,5850172	0,5775393	0,7123632	0,0981539	0,0648610	0,0911558	0,0143317	0,0724467	0,1464530	0,6459761	0,1358195	0,2318243	0,1256495	0,3538909	0,2712165	0,6035953	0,1147227	0,1451410	0,5714610	0,2824020
80	0,7553488	0,2867513	0,2781391	0,0140023	0,4521985	0,7240215	0,2069674	0,0378769	0,4925004	0,6812729	0,6553228	0,1757980	0,7061629	0,3698732	0,0971965	0,2369937	0,0227376	0,0447293	0,2614269	0,1219830	0,5768181	0,0660326	0,3653563	0,6794277	0,2244477	0,2115406	0,2530640	0,4928334	0,0792619	0,0807740	0,7277319	0,3696272	0,3434048	0,7954358	0,2825629	0,1583905	0,6130761	0,3811386	0,6771071	0,0475477	0,7715081	0,1678534	0,1091298	0,6300659	0,6209333	0,5146784	0,5634629	0,2745785	0,0423990	0,1002348	0,0189216	0,0479035	0,1342606	0,6355060	0,1962515	0,2885573	0,1324556	0,3666099	0,2445656	0,6156458	0,0725950	0,2643438	0,5043496	0,1513990
100	0,6892160	0,2297400	0,2228866	0,0184272	0,3175620	0,6363981	0,2313532	0,0328542	0,3311952	0,6557624	0,6635099	0,0841023	0,7366076	0,3666106	0,0848373	0,2583072	0,0945569	0,0556104	0,1926726	0,1761727	0,8595278	0,0469975	0,4459247	0,6398573	0,1588322	0,2319147	0,3140920	0,4310008	0,0670141	0,2000229	0,6111602	0,3757782	0,5077456	0,6015346	0,2575615	0,2687222	0,6779046	0,5339102	0,5889876	0,0741485	0,8477864	0,2195147	0,1812041	0,6226174	0,6470948	0,7289640	0,8137144	0,2764303	0,0526463	0,1323495	0,0817671	0,0573097	0,1885787	0,7363803	0,2800013	0,3933270	0,1384881	0,3436268	0,2920655	0,5857885	0,0894500	0,2976914	0,6262351	0,1950997
120	0,8188255	0,2738773	0,1484770	0,0153464	0,2849432	0,6934120	0,3636482	0,0846904	0,6413632	0,7136684	0,6397754	0,0554037	0,7773818	0,3902584	0,1070160	0,2624440	0,1970709	0,0794061	0,1500701	0,2131709	0,7847656	0,0482409	0,3539719	0,5891290	0,2161467	0,2780874	0,3213367	0,4792882	0,1053143	0,2671832	0,7063763	0,4302981	0,6554450	0,6995273	0,2549896	0,3993244	0,6793508	0,5235410	0,7490789	0,1024649	0,6803430	0,2424271	0,2996175	0,7195277	0,5734133	0,6343575	0,7300759	0,2740165	0,0577793	0,1616342	0,0376552	0,0952494	0,2422222	0,7061868	0,2991016	0,3940475	0,2251612	0,3470159	0,3926249	0,7183939	0,0692852	0,4127581	0,5386232	0,2579318
140	0,7518362	0,1744067	0,1851299	0,0295600	0,2530140	0,6803585	0,5174371	0,1609584	0,6405534	0,8216631	0,7680994	0,0354814	0,6569606	0,3975335	0,1359270	0,3681448	0,3146343	0,1494070	0,2178295	0,2869632	0,7315484	0,0427613	0,4198340	0,6389917	0,1703924	0,2997546	0,3919341	0,5035153	0,1148403	0,4484845	0,5934142	0,4943909	0,6729320	0,7642580	0,2955725	0,4759335	0,6356654	0,5446337	0,8982938	0,1083255	0,7310019	0,3309520	0,3810216	0,5846932	0,7199917	0,6700372	0,8177380	0,3619304	0,0228104	0,2151644	0,0150034	0,1402260	0,2842096	0,7932839	0,2589323	0,6077220	0,1279461	0,4285129	0,3648785	0,6463681	0,0785052	0,3564669	0,6983494	0,2656257
160	0,7356678	0,2003653	0,2566796	0,0232384	0,2053516	0,5950548	0,4510490	0,2495407	0,6269476	0,6843072	0,7819088	0,0290899	0,6668237	0,4766560	0,1182636	0,3621633	0,3448265	0,1153975	0,2196149	0,3452508	0,6308980	0,0395076	0,3914621	0,7447113	0,1881825	0,2075912	0,3838919	0,6687887	0,2080747	0,5407438	0,5169973	0,4606278	0,7990572	0,7064013	0,2048780	0,4871496	0,5732992	0,6179104	0,6606638	0,1309737	0,7146012	0,3272928	0,4702168	0,6443544	0,7958274	0,6703070	0,6470436	0,5513495	0,0478045	0,2506422	0,0181948	0,1876544	0,3510633	0,7498032	0,4028627	0,4916978	0,1673799	0,5879760	0,2932508	0,9344229	0,0661416	0,5278213	0,7295169	0,3057289
