"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB

0	1,0956375	0,3304503	0,2747793	0,0380566	1,0568473	0,1117590	0,0972519	0,0355518	0,1830406	0,6113052	0,7437592	0,6372487	0,5544537	0,4329015	0,0915015	0,3978585	0,0205236	0,2863009	0,4451878	0,0345104	0,3439117	0,1173726	0,5628115	0,6154830	0,8246167	0,4259364	0,1426823	0,5805128	0,0942069	0,0745581	1,0119552	0,3985675	0,1100411	0,9795954	0,5946387	0,0066927	1,0365129	0,2653448	0,6441612	0,0166320	0,9690831	0,0675717	0,0489584	0,8855839	0,6312233	0,4952364	0,6649530	0,0389940	0,0967536	0,0115706	0,0362939	0,0671780	0,0744038	0,9772360	0,2352022	0,3461002	0,1476992	0,4303970	0,5098571	0,4358536	0,3869863	0,3349018	0,6217904	0,0650699
20	1,0041493	0,3803934	0,2949616	0,0398996	0,7289427	0,3514149	0,1003754	0,0583774	0,3508343	0,6279773	0,7527549	0,4834152	0,6416029	0,4059442	0,0990495	0,3402976	0,0087065	0,1157675	0,3569471	0,0218155	0,6827484	0,0841143	0,4860443	0,6334158	0,5145362	0,2697541	0,2122355	0,6012752	0,1066002	0,0668254	1,0448540	0,3682770	0,2941776	0,9098313	0,5678090	0,0264812	1,0857529	0,2515242	0,6805783	0,0162527	0,8942808	0,0498274	0,0500824	0,8939326	0,6643238	0,5508864	0,8028053	0,0448329	0,0868817	0,0207496	0,0363699	0,0584102	0,0866611	0,9356263	0,2138661	0,3349383	0,1802613	0,4170965	0,3211761	0,4593249	0,2772831	0,2662064	0,7355756	0,1834721
40	0,9850277	0,3691630	0,2904626	0,0421348	0,5924464	0,5263783	0,1093423	0,0521353	0,4329442	0,7245630	0,8176852	0,3434332	0,6695854	0,3945098	0,1129631	0,3662411	0,0124464	0,0742084	0,3559058	0,0316631	0,8133053	0,0648599	0,5200077	0,7276609	0,4014066	0,2551686	0,2890455	0,6867180	0,1068453	0,0545320	0,9786125	0,4299770	0,3371250	0,9077705	0,4809898	0,0381643	1,0675088	0,3421670	0,7335055	0,0226768	0,9661231	0,0781976	0,0736824	0,9984895	0,7996308	0,6537308	0,8556416	0,0725456	0,0799177	0,0487663	0,0377764	0,0783158	0,1174977	0,9544494	0,1973020	0,3403344	0,1826342	0,4089057	0,2870474	0,5962222	0,2174981	0,2838503	0,7573169	0,2680014
60	1,0069601	0,3425959	0,3022250	0,0391856	0,5531577	0,7196533	0,1914579	0,0495084	0,5107631	0,7856890	0,8589446	0,3082230	0,8042893	0,4206231	0,0982038	0,3553544	0,0305761	0,0410369	0,3084118	0,0722764	0,8096592	0,0534398	0,4672262	0,8715818	0,3327707	0,2924688	0,3369357	0,6480785	0,1002829	0,0919545	0,9685120	0,4612310	0,4781405	0,9854043	0,4522060	0,1704320	1,0489915	0,4588127	0,8419363	0,0512631	0,9597978	0,1415722	0,0822604	1,0024280	0,8509908	0,7794436	0,8564734	0,1657525	0,0784950	0,0818794	0,0367003	0,0885221	0,1908731	0,9284097	0,2341409	0,3731036	0,1712750	0,4304797	0,3392961	0,7723399	0,1560173	0,2794126	0,7145973	0,3191510
80	1,0320625	0,3612430	0,3340448	0,0306049	0,4934398	0,8232228	0,2740270	0,0389555	0,5509348	0,8579139	0,8786655	0,2088177	0,8335339	0,4722087	0,1042360	0,3980648	0,0628136	0,0547940	0,3269828	0,1450196	0,9725198	0,0481048	0,4533942	0,8911682	0,2717685	0,3203775	0,3973747	0,7011903	0,0930096	0,1324585	0,9609009	0,5022778	0,5243392	0,9937763	0,4406498	0,2212013	0,9992008	0,5071123	0,9095035	0,0733400	0,9370497	0,2196320	0,1432880	0,9216791	0,8393424	0,8193311	0,9034767	0,2803864	0,0704602	0,1398151	0,0318346	0,0744489	0,2291124	0,9708396	0,3122041	0,3982960	0,1933715	0,4502514	0,3698746	0,8736999	0,1357039	0,3720063	0,7076766	0,3065557
100	1,0142510	0,3605709	0,3151133	0,0269591	0,4808709	0,8117660	0,4122657	0,0420539	0,6149864	0,8845579	0,9166221	0,1430826	0,9324298	0,4216011	0,1160093	0,4223669	0,1442506	0,0762405	0,3075468	0,2483740	1,0092382	0,0502596	0,5481402	0,8738814	0,2390734	0,3152580	0,4600030	0,7158668	0,1209323	0,2275039	0,9011431	0,5239641	0,6550703	0,9134481	0,4242150	0,3300772	0,9410148	0,5913449	0,9775826	0,1084933	1,0348392	0,2952817	0,2364820	0,8791100	0,9403747	0,8950382	0,9341783	0,4070825	0,0677153	0,1954983	0,0350072	0,1011222	0,3166871	0,9971540	0,3670692	0,5218529	0,1782294	0,4657647	0,4256552	0,8356573	0,1213156	0,4041367	0,7664931	0,2938968
120	1,0212070	0,3115713	0,2777410	0,0418154	0,3953765	0,9038134	0,5107284	0,1192030	0,7586773	0,9747667	0,9243946	0,0744423	0,9523417	0,4796455	0,1243045	0,4287100	0,2943636	0,1101437	0,2740883	0,3205973	0,9662970	0,0624649	0,5094886	0,9534293	0,2977515	0,3445251	0,5087023	0,6706874	0,1220385	0,3883132	0,7849467	0,4948145	0,7985275	0,9142388	0,4103409	0,4758097	0,8722776	0,5938418	0,9931051	0,1469846	0,9895034	0,3298272	0,4154823	0,9643646	0,9399030	0,9266367	1,0212864	0,4524400	0,0842488	0,2830553	0,0217262	0,1449611	0,3643724	1,0395216	0,3964198	0,5436927	0,2194803	0,5279567	0,4877435	0,9090554	0,0927735	0,4862714	0,8111826	0,3148944
140	1,0323030	0,2459605	0,2701910	0,0472469	0,3924368	0,9227960	0,6580279	0,1943850	0,7912471	0,9765200	1,0003839	0,0548780	0,9488905	0,5889466	0,0879044	0,4114206	0,3779672	0,1614565	0,2674622	0,4232769	0,9670295	0,0589084	0,5316886	0,9417743	0,2720620	0,3629144	0,5017547	0,6625451	0,1880287	0,5632884	0,7257606	0,5847248	0,8818148	1,0088074	0,3755452	0,5835311	0,8802614	0,6951391	1,0783094	0,1379544	0,9435127	0,4431459	0,5084286	0,9433680	0,9394912	0,9508518	0,9796947	0,5213698	0,0687365	0,3280401	0,0190317	0,1546513	0,4031802	1,0559395	0,4205864	0,6033060	0,1766926	0,6210650	0,4622713	0,9127535	0,0841817	0,5004904	0,8562975	0,4149411
160	1,0366510	0,2934988	0,2965965	0,0397409	0,3393435	0,9412839	0,6951155	0,4544426	0,8363539	0,9575460	1,0559981	0,0382923	0,9380589	0,5862996	0,1018664	0,4241269	0,4433804	0,2115554	0,2785236	0,5114071	0,9538934	0,0571144	0,5488185	0,9456158	0,2423796	0,3249049	0,5736520	0,7493744	0,2559319	0,6995219	0,6940906	0,6466433	0,8898336	0,9795960	0,3501118	0,5853591	0,8093695	0,7398156	0,9442676	0,1895900	0,9068779	0,4887564	0,6313740	0,9354483	0,9662415	0,9179099	0,9168326	0,6583613	0,0832629	0,3819565	0,0337765	0,2442818	0,4094116	1,0042656	0,4711185	0,6046338	0,2734753	0,7621651	0,4080250	0,9772877	0,0695031	0,5881481	0,8999863	0,4419575
