"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB

0	0,9835702	0,2664055	0,2900403	0,0448654	1,0060100	0,1131684	0,0877228	0,0270238	0,1991154	0,5487149	0,7188820	0,6938650	0,6083125	0,3578196	0,1073701	0,4040291	0,0215831	0,3361808	0,4717119	0,0288939	0,3715582	0,1096704	0,5665193	0,5679419	0,7527557	0,3986036	0,1087076	0,6055531	0,0772972	0,0486188	0,9465966	0,3747833	0,1068538	1,0215245	0,6626815	0,0150529	0,9926783	0,2377915	0,6645469	0,0187172	0,9031551	0,0511090	0,0473240	0,8469310	0,6139324	0,4721875	0,6265132	0,0531226	0,0895689	0,0301268	0,0315280	0,0892866	0,0977367	1,0113005	0,2276987	0,3396044	0,1452092	0,4383529	0,4837331	0,4479594	0,4259207	0,3077356	0,6316000	0,0637884
20	0,9402853	0,3290238	0,2914342	0,0375801	0,9084453	0,1472971	0,1292332	0,0253705	0,2580612	0,6168530	0,8017006	0,5073247	0,5814697	0,3712788	0,1147065	0,4118689	0,0158787	0,1919784	0,3881238	0,0268189	0,4576308	0,0752418	0,5743367	0,5373881	0,7749327	0,3349980	0,1385138	0,5204010	0,0852336	0,0602504	0,9623121	0,4721260	0,1664712	0,9631645	0,6668520	0,0097127	1,0774881	0,2418598	0,6384976	0,0352657	0,8740897	0,0456448	0,0605429	0,8871472	0,7078148	0,6244497	0,6733885	0,0551152	0,0559001	0,0224953	0,0319585	0,0929283	0,0812285	0,9036969	0,1862321	0,3150535	0,1737293	0,4254250	0,4321473	0,4035878	0,3584645	0,2844311	0,6681971	0,0713498
40	0,8764149	0,3171419	0,2739187	0,0309826	0,8191389	0,2328441	0,1030024	0,0559238	0,2517303	0,6026846	0,8013581	0,5291637	0,6405868	0,4067170	0,1120982	0,3522212	0,0133133	0,1611548	0,4216927	0,0264589	0,6504612	0,0757646	0,5188151	0,6651795	0,6948586	0,3191813	0,1502911	0,6171337	0,1200932	0,0727851	0,9606817	0,4309901	0,2318769	1,0245780	0,6059508	0,0328968	1,0763813	0,2566089	0,6749083	0,0425390	0,8821043	0,0475152	0,0565753	0,9433492	0,7235439	0,6358581	0,7475417	0,0693531	0,0649063	0,0237621	0,0318149	0,0732733	0,0975126	0,8570107	0,1952072	0,3431567	0,1489194	0,4038475	0,3469065	0,4729760	0,3515898	0,2844484	0,6966471	0,1702807
60	0,9492616	0,3524990	0,2602792	0,0400985	0,7131897	0,3758316	0,1317971	0,0492658	0,3440419	0,6365056	0,8294533	0,4671690	0,6741788	0,4082957	0,1145056	0,3640396	0,0103575	0,1127048	0,3646140	0,0522007	0,7802445	0,0658239	0,5348323	0,6730964	0,5546623	0,2834889	0,1893759	0,6445635	0,1339301	0,0791276	0,9982530	0,3971092	0,3072616	0,9332640	0,5702624	0,0573682	1,0526396	0,3239573	0,7488900	0,0471769	0,8559806	0,0701559	0,0612065	0,9025162	0,7229781	0,6685957	0,7471539	0,0889712	0,0531673	0,0411246	0,0297381	0,0757251	0,1329664	0,9135498	0,2195401	0,3363078	0,2055633	0,4096541	0,3254231	0,4808870	0,2856433	0,2951971	0,7673839	0,1960170
80	0,9540630	0,3851685	0,3140823	0,0383198	0,6940682	0,4810216	0,1712157	0,0442850	0,4162374	0,6947760	0,8579580	0,3674859	0,7675821	0,4353337	0,0892582	0,3424982	0,0270487	0,0918746	0,3540682	0,0757244	0,8197549	0,0678764	0,5539249	0,7954283	0,4638267	0,3120577	0,2540801	0,6617651	0,1157430	0,1158922	1,0459115	0,4655365	0,3912157	0,9844641	0,4613449	0,1176790	1,0205448	0,4142208	0,7683676	0,0489462	0,9339966	0,1468417	0,0741741	0,9242725	0,7840921	0,6411929	0,8123426	0,1471273	0,0613127	0,0895415	0,0378511	0,0926077	0,1677531	0,9511177	0,2390692	0,3344614	0,1553600	0,3829553	0,3388578	0,6229724	0,1970549	0,3132921	0,7715339	0,2499484
100	1,0059934	0,3696001	0,3067240	0,0280947	0,6546463	0,6003327	0,2307457	0,0406371	0,4824585	0,7629667	0,9392884	0,2767405	0,8569428	0,4894892	0,1139059	0,4405463	0,0497157	0,0819106	0,3294002	0,0917361	0,9585805	0,0645874	0,5224350	0,8410815	0,3939474	0,3170026	0,3548207	0,6922983	0,1138672	0,1539896	0,9151549	0,5621068	0,4842928	0,9530995	0,4392029	0,2186071	0,9969279	0,4616177	0,8124595	0,0650807	0,9868850	0,2147702	0,1307861	0,9156086	0,8191688	0,7110922	0,8791093	0,2794192	0,0814648	0,1193810	0,0506083	0,0840277	0,2132339	0,9288964	0,2883875	0,3716914	0,1594442	0,3959026	0,3598982	0,7199559	0,1691272	0,3139346	0,7157555	0,2797196
120	1,0252270	0,3683088	0,2916984	0,0310423	0,6301118	0,7057892	0,2694915	0,0591562	0,5707607	0,7862605	0,9108864	0,1699533	0,8977804	0,4543550	0,1083104	0,4633559	0,0927907	0,0975501	0,3104912	0,1404022	1,0035796	0,0564090	0,5122383	0,9012857	0,3836711	0,3255358	0,4130668	0,7328413	0,0986484	0,2128761	0,8826263	0,5036695	0,6173171	0,9157259	0,4550423	0,3198254	1,0311923	0,5020492	0,8832731	0,0700725	0,9662077	0,2337082	0,1923943	0,8744685	0,9181345	0,7938617	0,9283846	0,3738755	0,0803625	0,1723167	0,0476782	0,1077663	0,2607484	0,9455872	0,3067962	0,4210919	0,2182342	0,4386233	0,3715520	0,8094877	0,1352342	0,3536112	0,7847642	0,3254976
140	1,0166428	0,2953594	0,2848248	0,0647754	0,5270762	0,7821138	0,3787841	0,1252586	0,5901982	0,8351718	0,9952922	0,1232099	0,8625015	0,4883838	0,1168469	0,4213957	0,1500122	0,1059892	0,2828958	0,2012483	0,9241466	0,1045700	0,5092894	0,8751579	0,3609024	0,3901009	0,4743245	0,7101771	0,1391063	0,2711934	0,8295964	0,4965162	0,7329928	0,9299157	0,4271021	0,5308650	0,9825457	0,5630178	1,0735391	0,0911647	1,0137366	0,3124583	0,2940104	0,8896443	0,8949355	0,8620098	0,9456816	0,4200836	0,0792363	0,2397966	0,0428135	0,1502611	0,3285559	0,9344795	0,3736511	0,4479509	0,2180592	0,5333270	0,4349134	0,8760275	0,1221012	0,4537843	0,7920349	0,3717832
160	0,9679337	0,2965830	0,2858711	0,0508236	0,4512626	0,8086761	0,4920377	0,1685459	0,7194640	0,9095079	1,0180963	0,0945068	0,8784604	0,5284808	0,1065900	0,4399540	0,2073506	0,1266448	0,2522873	0,2907657	0,9752619	0,0763244	0,5395266	0,8547721	0,3247578	0,3813927	0,4756480	0,7363400	0,1519517	0,4650382	0,7778574	0,5687817	0,7592978	0,9252944	0,4419521	0,5154301	0,9439173	0,6108152	1,0220004	0,0925128	1,0526737	0,3939923	0,3781813	0,9577915	0,9768854	0,9712663	0,9135337	0,4915333	0,0750786	0,2357288	0,0320262	0,1724560	0,3483159	0,9855603	0,4566191	0,5142379	0,2506820	0,6007217	0,4203921	0,8998232	0,1254031	0,4828482	0,7353095	0,3693127
