"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB

0	1,0000000	0,3069503	0,2919587	0,0380507	0,9999441	0,0849522	0,1024053	0,0472221	0,2193820	0,5742311	0,6900591	0,6635472	0,5508926	0,3980000	0,1090902	0,3739543	0,0164970	0,2481270	0,4086431	0,0183612	0,2999229	0,1002763	0,5832132	0,5359369	0,7548995	0,3296168	0,1228563	0,4950060	0,0922332	0,0650713	0,9943997	0,3109418	0,1165931	0,9634284	0,6161560	0,0117642	0,9996187	0,2182174	0,5155862	0,0137642	0,9561119	0,0523309	0,0450904	0,9014883	0,6427449	0,4601562	0,5927213	0,0381730	0,0699436	0,0119678	0,0352051	0,0785002	0,0748962	0,9999511	0,2115059	0,3374223	0,1330225	0,4120740	0,4735634	0,3895644	0,3882717	0,3136558	0,6884547	0,0513357
20	1,0000000	0,3069503	0,2919587	0,0380507	0,7735839	0,3707132	0,1036845	0,0472228	0,3342807	0,5895633	0,7047145	0,4770101	0,5750640	0,3981695	0,1090902	0,3400265	0,0165315	0,1351175	0,4083090	0,0198916	0,6124880	0,0797568	0,5216681	0,5647573	0,5342827	0,2508939	0,1780763	0,5269566	0,0922409	0,0651504	0,9943994	0,3322447	0,2890302	0,9634347	0,5004151	0,0143719	0,9994058	0,2402730	0,5692533	0,0145364	0,9638924	0,0641421	0,0455255	0,9020525	0,6684680	0,5114073	0,7479226	0,0416368	0,0699463	0,0141704	0,0352051	0,0785141	0,0828337	0,9999267	0,1918580	0,3389112	0,1747857	0,4122493	0,3536115	0,4136356	0,2643584	0,2392847	0,6884724	0,1767567
40	1,0000000	0,3069503	0,2919587	0,0380507	0,6427156	0,5565121	0,1165372	0,0472349	0,4245381	0,6808062	0,7497336	0,3593445	0,6515773	0,4000157	0,1090902	0,3511581	0,0174207	0,0804404	0,4046412	0,0337121	0,7412822	0,0664106	0,4941823	0,6635656	0,3994680	0,2365822	0,2358369	0,5918656	0,0922814	0,0667437	0,9943846	0,4017193	0,4152287	0,9635083	0,4372772	0,0371463	0,9966755	0,3324482	0,7101285	0,0203955	0,9791093	0,0889002	0,0508904	0,9050120	0,7509669	0,6430319	0,8324936	0,0749908	0,0699650	0,0332999	0,0352051	0,0787289	0,1209843	0,9996502	0,1906277	0,3484847	0,1865720	0,4145339	0,3006032	0,5394923	0,1888530	0,2436731	0,6888912	0,2425537
60	1,0000000	0,3069503	0,2919587	0,0380507	0,5653709	0,6822892	0,1616143	0,0473338	0,5068865	0,7837310	0,7995819	0,2633216	0,7346329	0,4075734	0,1090902	0,3756266	0,0253950	0,0562644	0,3907156	0,0763972	0,8022522	0,0578526	0,4826521	0,7599128	0,3189317	0,2543766	0,2989218	0,6405865	0,0924587	0,0786974	0,9941302	0,4714005	0,5207543	0,9639095	0,4098681	0,1043371	0,9843188	0,4519065	0,8254386	0,0365803	0,9889591	0,1437382	0,0751917	0,9109303	0,8320666	0,7490232	0,8796178	0,1664566	0,0700129	0,0828172	0,0352051	0,0799898	0,1861229	0,9985284	0,2171802	0,3717908	0,1904271	0,4254159	0,3220937	0,6884094	0,1428638	0,2847447	0,6921855	0,2770737
80	1,0000000	0,3069503	0,2919587	0,0380507	0,5152290	0,7695829	0,2466695	0,0480972	0,5848840	0,8576731	0,8427678	0,1836302	0,8023020	0,4253813	0,1090902	0,3984250	0,0582694	0,0520839	0,3636401	0,1487323	0,8384523	0,0530013	0,4806460	0,8287024	0,2761518	0,2796884	0,3629464	0,6728628	0,0935878	0,1226740	0,9918375	0,5229841	0,6184242	0,9651973	0,4013520	0,2097172	0,9562798	0,5534863	0,8968934	0,0641668	0,9940249	0,2222421	0,1340310	0,9186610	0,8866305	0,8156218	0,9078337	0,2879055	0,0700959	0,1481267	0,0352057	0,0842137	0,2616744	0,9962217	0,2664880	0,4091613	0,1920632	0,4532284	0,3834515	0,7966663	0,1166233	0,3345799	0,7044280	0,2974337
100	1,0000000	0,3069503	0,2919587	0,0380507	0,4761182	0,8305239	0,3556824	0,0540488	0,6563494	0,9069989	0,8772939	0,1259907	0,8521770	0,4543136	0,1090902	0,4175577	0,1331471	0,0666386	0,3305251	0,2340037	0,8663161	0,0516027	0,4868103	0,8761201	0,2577933	0,3028938	0,4251970	0,6943071	0,0998604	0,2174622	0,9752707	0,5586296	0,7058916	0,9678202	0,3984786	0,3213351	0,9179914	0,6265120	0,9378455	0,0989681	0,9965029	0,3053306	0,2254472	0,9266510	0,9191410	0,8575560	0,9262090	0,4040241	0,0702191	0,2102506	0,0352137	0,0943746	0,3338767	0,9935671	0,3229171	0,4558544	0,1930341	0,4992676	0,4314357	0,8674026	0,1046825	0,3814744	0,7304660	0,3166432
120	1,0000000	0,3069503	0,2919587	0,0380507	0,4401512	0,8729771	0,4689811	0,0880272	0,7187693	0,9393641	0,9039682	0,0878464	0,8874066	0,4907534	0,1090902	0,4337093	0,2405476	0,0983790	0,3006502	0,3160660	0,8908660	0,0536053	0,5008494	0,9098185	0,2518256	0,3214913	0,4851581	0,7118956	0,1226181	0,3522982	0,8987930	0,5836813	0,7783604	0,9715911	0,3940669	0,4161789	0,8812474	0,6754756	0,9607277	0,1352941	0,9977112	0,3808112	0,3303457	0,9339009	0,9381017	0,8870762	0,9369537	0,5045982	0,0704866	0,2621459	0,0352841	0,1145223	0,3941635	0,9918265	0,3764136	0,5051833	0,1944888	0,5562193	0,4603495	0,9129473	0,1025122	0,4227592	0,7674489	0,3420492
140	1,0000000	0,3069503	0,2919587	0,0380507	0,4054114	0,9024580	0,5762043	0,1926344	0,7710456	0,9604874	0,9242226	0,0632959	0,9118070	0,5293256	0,1090902	0,4472926	0,3415935	0,1396685	0,2785968	0,3867852	0,9121205	0,0586986	0,5207751	0,9341336	0,2509381	0,3355452	0,5427014	0,7367505	0,1742425	0,4934947	0,7766647	0,6025243	0,8349829	0,9758338	0,3866166	0,4882318	0,8534898	0,7076149	0,9734406	0,1689816	0,9981973	0,4463753	0,4293714	0,9399992	0,9493328	0,9102939	0,9384987	0,5904267	0,0725343	0,3039938	0,0356482	0,1492482	0,4291174	0,9913805	0,4233138	0,5514368	0,2022162	0,6146638	0,4765043	0,9423024	0,1060226	0,4579250	0,8076539	0,3741549
160	1,0000000	0,3069503	0,2919587	0,0380507	0,3727999	0,9228914	0,6815808	0,3530275	0,8134252	0,9742433	0,9394522	0,0472789	0,9285606	0,5656111	0,1090902	0,4584953	0,3947760	0,1800261	0,2643170	0,4441697	0,9290327	0,0661281	0,5426198	0,9513635	0,2517575	0,3458574	0,5970010	0,7762366	0,2528132	0,6151631	0,6983311	0,6179961	0,8776708	0,9798853	0,3772256	0,5437787	0,8357703	0,7296012	0,9805363	0,1979748	0,9978470	0,5036040	0,5122965	0,9448962	0,9559644	0,9292106	0,9309980	0,6629893	0,1024124	0,3383597	0,0368704	0,2013972	0,4145255	0,9918137	0,4626260	0,5911025	0,2480552	0,6679662	0,4852983	0,9611746	0,1121157	0,4865763	0,8447404	0,4092531
