"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB

0	1,0000000	0,3069503	0,2919587	0,0380507	0,9999446	0,0847897	0,1023819	0,0472220	0,2191532	0,5739731	0,6897736	0,6635769	0,5503176	0,3979986	0,1090902	0,3739420	0,0164965	0,2481256	0,4086441	0,0183290	0,2998862	0,1002728	0,5831986	0,5355642	0,7548958	0,3292236	0,1227019	0,4941150	0,0922326	0,0650530	0,9943999	0,3105793	0,1165123	0,9634273	0,6161825	0,0117469	0,9996214	0,2179714	0,5149445	0,0137693	0,9559908	0,0523161	0,0450877	0,9014645	0,6425201	0,4591751	0,5927204	0,0381267	0,0699435	0,0119336	0,0352051	0,0785001	0,0747972	0,9999515	0,2114897	0,3374045	0,1330222	0,4120709	0,4740182	0,3892603	0,3887638	0,3135401	0,6884529	0,0513443
20	1,0000000	0,3069503	0,2919587	0,0380507	0,9558497	0,1352708	0,1025336	0,0472221	0,2401216	0,5754228	0,6928798	0,6104036	0,5533367	0,3980187	0,1090902	0,3606549	0,0164988	0,2193389	0,4085833	0,0184682	0,4273517	0,0953346	0,5667880	0,5400448	0,7092989	0,3084048	0,1340815	0,4991693	0,0922338	0,0650690	0,9943998	0,3137011	0,1568869	0,9634281	0,5949889	0,0121225	0,9996011	0,2211087	0,5242271	0,0138623	0,9570348	0,0558269	0,0451412	0,9015781	0,6458934	0,4653899	0,6326835	0,0386005	0,0699439	0,0121767	0,0352051	0,0785019	0,0758118	0,9999494	0,2066731	0,3375680	0,1570668	0,4120886	0,4334695	0,3921330	0,3614093	0,3000879	0,6884553	0,0734311
40	1,0000000	0,3069503	0,2919587	0,0380507	0,8690981	0,2410257	0,1050585	0,0472243	0,2866555	0,5944075	0,7132017	0,5143083	0,5751889	0,3983849	0,1090902	0,3515149	0,0165830	0,1698058	0,4074920	0,0206363	0,5946263	0,0856545	0,5397969	0,5753308	0,6188039	0,2786410	0,1620366	0,5256641	0,0922433	0,0653198	0,9943979	0,3371086	0,2399850	0,9634379	0,5529632	0,0178510	0,9991804	0,2492127	0,5833342	0,0152192	0,9626665	0,0665318	0,0462166	0,9025943	0,6714980	0,5059351	0,7041597	0,0464226	0,0699484	0,0159166	0,0352051	0,0785452	0,0857517	0,9999105	0,1995915	0,3395560	0,1778769	0,4124532	0,3713512	0,4245401	0,3082141	0,2823409	0,6885154	0,1161742
60	1,0000000	0,3069503	0,2919587	0,0380507	0,7780305	0,3610048	0,1179986	0,0472455	0,3457776	0,6417897	0,7498852	0,4146410	0,6192046	0,4004758	0,1090902	0,3588703	0,0176168	0,1257368	0,4017440	0,0308556	0,7100574	0,0755925	0,5167783	0,6415428	0,5235214	0,2642105	0,2023548	0,5648336	0,0922851	0,0678165	0,9943566	0,3816702	0,3353777	0,9635066	0,5107396	0,0428866	0,9964493	0,3138811	0,6775135	0,0207324	0,9708546	0,0934093	0,0529868	0,9055689	0,7208963	0,5750823	0,7715808	0,0805319	0,0699651	0,0315781	0,0352051	0,0788836	0,1132293	0,9996805	0,2008263	0,3468374	0,1869392	0,4148883	0,3361981	0,5025368	0,2530277	0,2771033	0,6891600	0,1603696
80	1,0000000	0,3069503	0,2919587	0,0380507	0,6970400	0,4760389	0,1525871	0,0474098	0,4117077	0,7025117	0,7920679	0,3206938	0,6745860	0,4070263	0,1090902	0,3754072	0,0235068	0,0948110	0,3865622	0,0563273	0,7813042	0,0670113	0,5011379	0,7146414	0,4411605	0,2658989	0,2515260	0,6040677	0,0925198	0,0801004	0,9939145	0,4328548	0,4330510	0,9637939	0,4768499	0,0991974	0,9875501	0,3989924	0,7697798	0,0334755	0,9786321	0,1429597	0,0752300	0,9107459	0,7772316	0,6494080	0,8253128	0,1501612	0,0700029	0,0638351	0,0352052	0,0803147	0,1585123	0,9989837	0,2178292	0,3626989	0,1905971	0,4234045	0,3472504	0,6002292	0,2055483	0,2866404	0,6924131	0,1990077
100	1,0000000	0,3069503	0,2919587	0,0380507	0,6287290	0,5778630	0,2131727	0,0487084	0,4805054	0,7630391	0,8320417	0,2393109	0,7308967	0,4208016	0,1090902	0,3942316	0,0423485	0,0794709	0,3617987	0,0989730	0,8272282	0,0607606	0,4933913	0,7799723	0,3780584	0,2773884	0,3059480	0,6377629	0,0939209	0,1156423	0,9904715	0,4802946	0,5286578	0,9645752	0,4522820	0,1818429	0,9698626	0,4844516	0,8432065	0,0543777	0,9848441	0,2100253	0,1215681	0,9174319	0,8278666	0,7159612	0,8655289	0,2429534	0,0700683	0,1082274	0,0352066	0,0844291	0,2154749	0,9977071	0,2499809	0,3883103	0,1922604	0,4424272	0,3824162	0,6936689	0,1691512	0,3072047	0,7018419	0,2316791
120	1,0000000	0,3069503	0,2919587	0,0380507	0,5709205	0,6637670	0,2944917	0,0572420	0,5486557	0,8166898	0,8663764	0,1745969	0,7819233	0,4427184	0,1090902	0,4122666	0,0813270	0,0808570	0,3328373	0,1546345	0,8606163	0,0572971	0,4936061	0,8333239	0,3336417	0,2928442	0,3628421	0,6651908	0,1001211	0,1842055	0,9704691	0,5200179	0,6177066	0,9660841	0,4344687	0,2744178	0,9450617	0,5585350	0,8956702	0,0817042	0,9894027	0,2835998	0,1914656	0,9246236	0,8682227	0,7713065	0,8945381	0,3425613	0,0701814	0,1572648	0,0352217	0,0937354	0,2761993	0,9961353	0,2915366	0,4222285	0,1934920	0,4734837	0,4184712	0,7724381	0,1441205	0,3343626	0,7200018	0,2611860
140	1,0000000	0,3069503	0,2919587	0,0380507	0,5206741	0,7339113	0,3873721	0,0923500	0,6132004	0,8611968	0,8942776	0,1263621	0,8250345	0,4713065	0,1090902	0,4284499	0,1387626	0,0976120	0,3059030	0,2167349	0,8873583	0,0568199	0,5013649	0,8751075	0,3041069	0,3085602	0,4204105	0,6897505	0,1183729	0,2815471	0,9145442	0,5518724	0,6964294	0,9683445	0,4204009	0,3620257	0,9176967	0,6174528	0,9308550	0,1123403	0,9925784	0,3551880	0,2757017	0,9315061	0,8983545	0,8163277	0,9135624	0,4388229	0,0706093	0,2052829	0,0353168	0,1116477	0,3319853	0,9947246	0,3365422	0,4612464	0,1971992	0,5143301	0,4464814	0,8344420	0,1289972	0,3645963	0,7461908	0,2905861
160	1,0000000	0,3069503	0,2919587	0,0380507	0,4759836	0,7898439	0,4851926	0,1728535	0,6720301	0,8965927	0,9162073	0,0918253	0,8598200	0,5036309	0,1090902	0,4424475	0,2017367	0,1248433	0,2845718	0,2793120	0,9091487	0,0592161	0,5150305	0,9069616	0,2852132	0,3226557	0,4773513	0,7177453	0,1552884	0,3926149	0,8399713	0,5772869	0,7629405	0,9711671	0,4080729	0,4373136	0,8920815	0,6620961	0,9535265	0,1432238	0,9946105	0,4210122	0,3627269	0,9376009	0,9199850	0,8528852	0,9228102	0,5269354	0,0757993	0,2493878	0,0357050	0,1417999	0,3693984	0,9937633	0,3806573	0,5016669	0,2194990	0,5606178	0,4656428	0,8812088	0,1215167	0,3952580	0,7771924	0,3213945
