"Time"	nadR	nadB	pnuC	nadA	pncB	crp	rhaR	rhaS	zraR	melR	feaR	malI	mtlR	prpR	ascG	marR	rbsR	chbR	nagC	fucR	chbC	chbB	chbG	chbA	chbF	nagB	prpC	fucO	fucI	fucK	rbsD	prpD	zraS	nagD	malY	rhaD	nagE	rhaA	ascF	melA	rbsB	fucP	ascB	melB	rbsK	prpB	rbsC	fucU	rhaB	malX	fucA	prpE	rbsA	nagA	nanM	nanC	rhaT	manX	mtlD	manZ	mtlA	manY	galP	marB

0	0,6751791	0,2278628	0,1840981	0,0396479	0,6867695	0,0664123	0,0597357	0,0214423	0,1485257	0,3867574	0,4684532	0,5033916	0,4154349	0,2815824	0,0924961	0,3574525	0,0159783	0,1936050	0,3597664	0,0148662	0,2467214	0,1128097	0,3191573	0,4359014	0,5527873	0,3048160	0,0789087	0,5111365	0,0367596	0,0203985	0,7000766	0,3062153	0,0654884	0,7939339	0,4196689	0,0047965	0,6747927	0,1153594	0,4872812	0,0106582	0,6973167	0,0734080	0,0551415	0,5390354	0,4127236	0,3448976	0,4146528	0,0691577	0,1027043	0,0511284	0,0278558	0,0581780	0,0774556	0,7634692	0,1992813	0,1917488	0,0752122	0,3460041	0,3582764	0,3282898	0,2647398	0,2387219	0,5064523	0,0517054
20	0,7871935	0,3402830	0,2660552	0,0271124	0,6440026	0,1531627	0,0866041	0,0186600	0,1982354	0,4960564	0,5726987	0,3068973	0,4448269	0,2929129	0,0871454	0,3761013	0,0139032	0,1493197	0,2646499	0,0196963	0,3261999	0,0462458	0,4042243	0,3970222	0,6521868	0,2086561	0,0999060	0,3743151	0,0477924	0,0464051	0,8642274	0,4275001	0,1696644	0,6918985	0,5202695	0,0017748	0,7795066	0,1668864	0,4760695	0,0272136	0,6541804	0,0202519	0,0629735	0,6450939	0,5523834	0,3996009	0,4903700	0,0287420	0,0283490	0,0151302	0,0193551	0,0724891	0,0466103	0,6662941	0,1184138	0,1791839	0,1118828	0,2278974	0,2964667	0,2653148	0,3628696	0,2238226	0,4659746	0,0445426
40	0,6916641	0,3567143	0,1540298	0,0291002	0,5523688	0,2095726	0,0736301	0,0257826	0,2070701	0,4360360	0,6087039	0,3280526	0,5199006	0,2558082	0,1113678	0,2788455	0,0110443	0,1081595	0,3886608	0,0287757	0,4306436	0,0717134	0,3019887	0,5197294	0,5458269	0,2044940	0,1669170	0,3894710	0,1217962	0,0619486	0,6354282	0,2618196	0,1662438	0,7622869	0,4271244	0,0262665	0,8471408	0,1995995	0,4890922	0,0250191	0,6034494	0,0281381	0,0468879	0,6760610	0,4722198	0,4597177	0,5544980	0,0477060	0,0670921	0,0378899	0,0150864	0,0702387	0,0903500	0,7510752	0,1465247	0,2640449	0,0929575	0,2554141	0,2459710	0,4303559	0,2977209	0,2012036	0,5500201	0,1089023
60	0,7043290	0,2367821	0,2134908	0,0196277	0,5927775	0,3012982	0,0918864	0,0726605	0,2477270	0,5275786	0,6580482	0,3356678	0,5530172	0,3229858	0,0850305	0,2998370	0,0035671	0,1305549	0,2446884	0,0234597	0,4748481	0,0688139	0,3943609	0,5442335	0,4211748	0,2296846	0,2162128	0,4026980	0,1194881	0,0593061	0,7414564	0,3413515	0,2612694	0,7407741	0,4414863	0,0600978	0,7908426	0,2041043	0,6512169	0,0169688	0,6502516	0,0385793	0,0330576	0,7297928	0,5352663	0,4499048	0,5767339	0,0670066	0,0237490	0,0188982	0,0168036	0,0593897	0,1207745	0,7546004	0,1575160	0,2533452	0,1178206	0,3175748	0,2885842	0,3471954	0,1967604	0,2339111	0,5608662	0,1157219
80	0,6426077	0,3440332	0,1977123	0,0298828	0,5127357	0,3446575	0,1083738	0,0260718	0,2870009	0,5381514	0,6318291	0,2564743	0,5549285	0,3062178	0,0855911	0,2417960	0,0193337	0,0880760	0,2908903	0,0491303	0,6401160	0,0217890	0,4214819	0,5482929	0,3224922	0,1768406	0,1689389	0,5271807	0,0927743	0,0939515	0,8706289	0,3444837	0,3741189	0,8105092	0,3069203	0,0676025	0,7591827	0,3153044	0,5741082	0,0529018	0,7464793	0,1095619	0,0607108	0,7082851	0,6144908	0,5683424	0,5832528	0,1234431	0,0869135	0,0709466	0,0522682	0,0763744	0,0960653	0,6057681	0,1244907	0,2287937	0,0998911	0,2557773	0,2440095	0,5588265	0,1383436	0,2303370	0,5764686	0,2271376
100	0,8070508	0,2672459	0,2242706	0,0112389	0,5261386	0,4043149	0,1490965	0,0560865	0,3433427	0,6904569	0,6299567	0,2318053	0,7804505	0,4026407	0,0922758	0,3124994	0,0397651	0,0693701	0,2203992	0,1001770	0,6476354	0,0332552	0,4384168	0,6491930	0,2131026	0,2961134	0,2753990	0,5201252	0,0923749	0,1389428	0,5694840	0,3789449	0,3648222	0,6910291	0,4067564	0,2273052	0,7653962	0,4024134	0,6672529	0,0329384	0,6094704	0,1623640	0,0886989	0,6498090	0,5864008	0,5548583	0,6153575	0,2421280	0,0657364	0,0964479	0,0297940	0,0932621	0,1423728	0,6502198	0,2170659	0,2896009	0,0926922	0,3001729	0,2296007	0,5056133	0,1046412	0,3091527	0,4734098	0,1711594
120	0,6811953	0,2733240	0,1933582	0,0162350	0,3657171	0,5724925	0,1712140	0,0620018	0,4907172	0,5410720	0,6356992	0,1201453	0,5898550	0,3569712	0,1232624	0,3594472	0,0945486	0,0754364	0,2089990	0,1036448	0,7439225	0,0429007	0,4125056	0,7093851	0,2310124	0,2513315	0,3143549	0,4937553	0,0830441	0,1401272	0,6760937	0,3740721	0,4120698	0,5726374	0,3022835	0,2801649	0,9182891	0,3670968	0,7170599	0,0442992	0,7242833	0,1724877	0,1396836	0,5910882	0,6997972	0,5436578	0,7308165	0,2354601	0,0680202	0,1389740	0,0501004	0,0925672	0,1903305	0,6888906	0,2238429	0,3201211	0,1527437	0,2696251	0,2444158	0,6327015	0,0662067	0,2431112	0,5473494	0,2759162
140	0,7408083	0,2674490	0,1886719	0,0532141	0,4381986	0,6859597	0,3013745	0,0794992	0,4579996	0,5462234	0,7106163	0,0777960	0,5907264	0,3691434	0,0788053	0,3070284	0,1054446	0,0723434	0,2490286	0,1197049	0,6867897	0,0818984	0,3506267	0,5973656	0,3261739	0,3578816	0,3850145	0,5297906	0,1031411	0,2107739	0,5368853	0,4157078	0,6092020	0,7614175	0,3770322	0,3591818	0,6642087	0,3588296	0,7436093	0,0404013	0,7097905	0,2129304	0,1852053	0,6942828	0,6477688	0,6906545	0,7395414	0,2652145	0,0586127	0,2137782	0,0343091	0,1376952	0,1985271	0,7276915	0,2259827	0,3417284	0,2202887	0,4137279	0,3343376	0,7307556	0,1039936	0,3017148	0,6121911	0,2211138
160	0,6677710	0,2431556	0,1767061	0,0401956	0,3623938	0,6334593	0,3588386	0,1278051	0,4798476	0,6449145	0,7959155	0,0934615	0,6478203	0,4071220	0,0630492	0,3184817	0,1617810	0,0642353	0,2018366	0,1735779	0,6395707	0,0453094	0,4447419	0,7411746	0,2339873	0,2506558	0,3420784	0,5097558	0,1113704	0,3751874	0,6202996	0,4751656	0,5098103	0,7857285	0,3150922	0,4444022	0,7952629	0,4102058	0,7295473	0,0590505	0,7275550	0,2422275	0,3525416	0,6961793	0,7243075	0,7394848	0,7290006	0,3437942	0,0768004	0,2257903	0,0192072	0,1215827	0,2425957	0,7559537	0,2845919	0,3473710	0,1484231	0,4061433	0,3186519	0,6069632	0,1611475	0,2746874	0,4993750	0,2083733
