"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG

0	0,3510863	0,4289259	0,3773797	0,3001375	0,6267975	0,4128734	0,2736956	0,4997565	0,2852962	0,4462256	0,1293394	0,3095550	0,4912076	0,2557914	0,4934305	0,5315585	0,3697598	0,5418421	0,0078589	0,0013048	0,1331658	0,1721465	0,0420744	0,1130991	0,4851517	0,5377712	0,7272144	0,3569538	0,0747536	0,2310319	0,2728649	0,0004709	0,4206490	0,2516091	0,1978737	0,0209187	0,4154569	0,4284799	0,6830268	0,1992819	0,5173768	0,1197587	0,7171283	0,1076096	0,1484305	0,3708350	0,1179509	0,7479844	0,3100216	0,4454555	0,6315351	0,1258130	0,4805917	0,1975237	0,7023594	0,1975573	0,1516313	0,3102404	0,4442907	0,7688524	0,4036048	0,5600009	0,6213957	0,2610958
20	0,2421702	0,3826173	0,4382114	0,5020839	0,5133733	0,3694301	0,3757900	0,4828505	0,3152500	0,4346517	0,1298600	0,3343096	0,3399973	0,1594856	0,5109564	0,4329889	0,5204583	0,5265602	0,0148077	0,0830694	0,2431337	0,3198106	0,0699682	0,1416149	0,5576987	0,5413011	0,5884604	0,4314438	0,0543123	0,2874293	0,2454795	0,1318182	0,4192858	0,2450007	0,2837158	0,0262011	0,4163042	0,5920287	0,7396362	0,2486783	0,5159144	0,2034009	0,6088786	0,1790340	0,1869659	0,4039352	0,2698312	0,7516748	0,1820426	0,5429063	0,5618550	0,0771668	0,5083322	0,1423978	0,5743017	0,1291112	0,0973868	0,2178341	0,3773694	0,6515539	0,3342024	0,6091775	0,3834154	0,3109522
40	0,1791752	0,4384490	0,3519790	0,4483079	0,6417226	0,4767873	0,3311634	0,5054435	0,4405567	0,3722597	0,1089419	0,1781500	0,4452548	0,1670359	0,3944660	0,3271919	0,3474597	0,4767562	0,0275285	0,0852147	0,1541523	0,3884527	0,1484072	0,2061824	0,4108741	0,4494836	0,7244994	0,3655370	0,0304407	0,3419389	0,4218667	0,2197440	0,4071216	0,3048657	0,2525800	0,0124227	0,3689551	0,5376306	0,7485624	0,2214226	0,5176051	0,2548310	0,6566888	0,2159411	0,1357463	0,3698653	0,2642158	0,6592534	0,1465852	0,6003360	0,7386944	0,1130553	0,6213582	0,1618715	0,8154993	0,1396839	0,1189418	0,2158269	0,3719847	0,7169543	0,3824324	0,7518584	0,3280233	0,2210047
60	0,1893691	0,3143816	0,3442609	0,6307304	0,5102751	0,3079095	0,3861599	0,5236039	0,3801800	0,3700660	0,1166962	0,1071225	0,4415951	0,1224372	0,4576636	0,2105105	0,4564753	0,5747257	0,0630111	0,0903703	0,1657203	0,4752826	0,1638942	0,2205713	0,3884054	0,4724415	0,6772758	0,4556861	0,0870351	0,3152077	0,3835861	0,2376961	0,3849071	0,2324167	0,1772903	0,0152030	0,4820564	0,4815673	0,6325287	0,2455633	0,5972008	0,4404136	0,6271237	0,1424751	0,1153358	0,3822550	0,4048596	0,6331403	0,1740266	0,4269505	0,6620902	0,0793544	0,4685402	0,1675214	0,6293650	0,1163388	0,2116597	0,1891873	0,4840797	0,8549875	0,3964387	0,5324084	0,3300318	0,2541270
80	0,1212350	0,4512878	0,3599412	0,6042121	0,6310278	0,3867333	0,3461602	0,6196655	0,4768830	0,3159462	0,0936094	0,1585819	0,3504480	0,1456120	0,4357913	0,1123959	0,3712802	0,5306153	0,0817444	0,0381454	0,1422250	0,4258643	0,3084709	0,2227124	0,4709697	0,5451169	0,7078486	0,3819452	0,0411636	0,2966431	0,3793554	0,2970513	0,3321524	0,1733333	0,2332475	0,0201217	0,3656763	0,5070146	0,7012322	0,2396299	0,5155014	0,3166177	0,6575275	0,1471049	0,0761475	0,4068841	0,4582115	0,7134495	0,1364267	0,3853801	0,7696206	0,0500144	0,5102864	0,1777782	0,6710435	0,1418544	0,1987293	0,1573239	0,4602852	0,7792111	0,4062998	0,5806280	0,3634607	0,2655661
100	0,1237312	0,4023641	0,3261180	0,4411745	0,4877877	0,3388206	0,3278596	0,4301819	0,3673228	0,3424886	0,1182239	0,1548659	0,4890649	0,1420084	0,4916022	0,0715450	0,4308425	0,4642096	0,0663379	0,0899637	0,1620434	0,4982866	0,3102862	0,2924314	0,3737745	0,4675442	0,7654824	0,2890970	0,0527231	0,2970393	0,3916058	0,3308445	0,3608327	0,1948939	0,2562636	0,0272244	0,3773601	0,4551255	0,5325536	0,1967069	0,6731898	0,3629898	0,6974364	0,1693480	0,0666323	0,3255538	0,4878700	0,7295285	0,1782827	0,5132218	0,6503986	0,0599906	0,5211213	0,2572180	0,7467946	0,0981988	0,1350814	0,1197042	0,4139594	0,7833919	0,4308254	0,7115489	0,3418176	0,2907484
120	0,0664582	0,5550362	0,3538698	0,4908229	0,5325098	0,3176689	0,2924480	0,5262938	0,3601402	0,3343870	0,0598221	0,1357717	0,4431919	0,1335791	0,6159199	0,0702692	0,5832238	0,2627036	0,0911128	0,0951796	0,1507962	0,4987492	0,2953843	0,1909031	0,3090750	0,4409887	0,5729681	0,3716685	0,0652222	0,1906298	0,2701057	0,2828869	0,2508752	0,1935618	0,2587969	0,0104382	0,3191171	0,4994279	0,6449509	0,1736523	0,5548512	0,3574254	0,7339485	0,1706564	0,0372367	0,3982318	0,4239061	0,6802131	0,2425043	0,3736833	0,6528453	0,0799815	0,5802841	0,1454666	0,6907995	0,2014144	0,1502385	0,1549222	0,3988688	0,6664114	0,4270923	0,6686895	0,2748416	0,3342440
140	0,1089141	0,4699312	0,3487289	0,5173868	0,5634870	0,3904586	0,3729599	0,5140677	0,4178668	0,3418710	0,0490653	0,1219782	0,4547852	0,1641901	0,5575093	0,0540732	0,4159448	0,3757707	0,0603600	0,0977203	0,1350809	0,4377790	0,2774694	0,2437244	0,3476354	0,4365662	0,7685950	0,1898611	0,1095752	0,1903883	0,3247784	0,3403671	0,1875454	0,1189102	0,2292547	0,0316437	0,2800874	0,4780726	0,6252554	0,0964531	0,4618826	0,3052304	0,7041438	0,0886195	0,0736660	0,4129386	0,4063958	0,6737554	0,2697640	0,4195929	0,7394170	0,0754216	0,5229970	0,2983326	0,7984160	0,2209919	0,1943107	0,1310606	0,3369043	0,7054205	0,4711913	0,5441899	0,2828439	0,2094179
160	0,0852003	0,4436253	0,5030901	0,6542764	0,6254335	0,3743186	0,3665890	0,4466865	0,3136164	0,3048735	0,0485968	0,2017209	0,3969875	0,2273633	0,5460271	0,0673604	0,4610611	0,2601418	0,1078605	0,1144179	0,1205574	0,4970680	0,3330355	0,2454331	0,4171573	0,4291818	0,7735005	0,2122398	0,0959084	0,1943795	0,4132317	0,3504751	0,1543655	0,1584255	0,1809718	0,0356808	0,2967070	0,4964562	0,6750024	0,1610357	0,4221826	0,3679706	0,7012273	0,1534302	0,0312175	0,3791898	0,3519692	0,8443125	0,2144508	0,3632301	0,6288909	0,0272195	0,5248399	0,1816621	0,7382658	0,1046287	0,1477343	0,1760078	0,3345490	0,6509974	0,4585232	0,7629294	0,3088822	0,2226123
