"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG

0	0,5395862	0,6767542	0,5439019	0,5091957	0,8312002	0,6706050	0,4418857	0,6624448	0,4522177	0,5596729	0,1998400	0,5221288	0,6180368	0,3324114	0,7490338	0,7839795	0,5346745	0,7404448	0,0157864	0,0017709	0,2085649	0,2835339	0,0761841	0,1848712	0,7618372	0,7731345	0,9429673	0,4210163	0,0798527	0,2546479	0,4328205	0,0005026	0,5941943	0,4544619	0,3352314	0,0451189	0,5561952	0,7068761	1,0445583	0,2919150	0,7761423	0,1838384	0,9700039	0,1743543	0,2309267	0,5267793	0,0972665	1,0675199	0,4866894	0,6314319	0,9584337	0,1883482	0,7688648	0,2619535	0,9995399	0,2473337	0,2486138	0,4922794	0,6156741	0,9693634	0,5191243	0,8604995	0,7977280	0,3812659
20	0,3876096	0,6373748	0,5047159	0,6494024	0,8204626	0,6086651	0,4825041	0,6745452	0,4932516	0,5041601	0,2068156	0,3919162	0,5652262	0,2710630	0,6971057	0,5709184	0,6356864	0,7585075	0,0302751	0,0892586	0,2776058	0,4854634	0,0827727	0,2365100	0,6765373	0,7829387	0,8882874	0,5832937	0,0782599	0,4316538	0,4473442	0,1633918	0,6442680	0,3963398	0,3994723	0,0207659	0,6114307	0,7850286	0,9386438	0,3918870	0,7924770	0,3347493	0,9821169	0,2214527	0,2124712	0,6037482	0,4105754	0,9636586	0,3055440	0,7177764	0,9041062	0,1496451	0,7851707	0,2030984	0,8953108	0,2267860	0,1472816	0,3191515	0,6324604	0,9194349	0,4758582	0,8232450	0,5486964	0,4305873
40	0,3096472	0,6102334	0,4975101	0,7364331	0,8245907	0,5835716	0,4873029	0,6943166	0,5572391	0,5419989	0,1715457	0,2845785	0,6022097	0,2585583	0,7113530	0,3770090	0,6506082	0,7852340	0,0659274	0,1242045	0,2569558	0,5747029	0,1909806	0,2855390	0,6253365	0,7395313	0,9275738	0,5271314	0,0658548	0,4789959	0,5215713	0,3207608	0,5903549	0,3558655	0,3757677	0,0282618	0,6070396	0,7928657	1,0341909	0,3672170	0,7570031	0,4033300	0,9757137	0,1969098	0,1878908	0,5660714	0,5471130	0,9751683	0,2575974	0,6890378	0,8243515	0,1328325	0,7609122	0,2371293	1,0015010	0,1798532	0,1744815	0,2636680	0,6203848	0,9502891	0,5595616	0,8580194	0,4584798	0,4390770
60	0,2303586	0,5708431	0,4582543	0,7182744	0,7923983	0,5162575	0,4717953	0,7237041	0,5603816	0,4938866	0,1330844	0,2253518	0,6196121	0,1978328	0,6879594	0,2842861	0,6119534	0,7404390	0,1136934	0,0935487	0,2252717	0,6737068	0,2996869	0,3416090	0,6318093	0,7450461	0,8734164	0,5344696	0,0919953	0,4696316	0,5445081	0,3901807	0,5809880	0,3581192	0,3368029	0,0354982	0,5965861	0,7209006	0,9723131	0,3613869	0,7420211	0,4922196	0,9668645	0,1709592	0,1677194	0,5297210	0,5529697	1,0910215	0,2343930	0,6444781	0,8917776	0,1096995	0,7774330	0,2354996	0,9861339	0,1977195	0,1967417	0,2212449	0,6757871	0,9499086	0,5914613	0,8604808	0,4915399	0,3606646
80	0,1770764	0,6132911	0,5382588	0,7494271	0,8189505	0,5527859	0,4751392	0,7350275	0,6111216	0,4535257	0,1230706	0,1816467	0,6049112	0,2117113	0,6666952	0,1894207	0,6289121	0,6611060	0,1310273	0,0732430	0,2117400	0,6779800	0,4285952	0,3602398	0,6639200	0,7470562	0,8582337	0,4853389	0,0734364	0,3830912	0,5299151	0,4328077	0,5158600	0,2822699	0,3019576	0,0381174	0,5676021	0,7271198	0,9607114	0,3521246	0,7329637	0,4884756	1,0073264	0,1785868	0,1329958	0,5333934	0,6114228	1,0561483	0,2394971	0,6141379	0,9027137	0,0768057	0,7841844	0,2386651	0,9344983	0,1975628	0,1907507	0,2194924	0,6379420	1,0298833	0,6176883	0,9400441	0,4840199	0,3994625
100	0,1519674	0,6574890	0,5646358	0,6983486	0,7491694	0,4831311	0,4718631	0,7627599	0,5863904	0,4657967	0,1185207	0,1678151	0,6612498	0,2456004	0,7684987	0,1292200	0,6253293	0,5476179	0,1307565	0,1153694	0,1842761	0,7799801	0,4639082	0,3471399	0,5603193	0,7312583	0,9225024	0,4322424	0,0912813	0,3512656	0,5541895	0,4119091	0,4748482	0,2441407	0,3516441	0,0406663	0,5386012	0,6722561	0,9065503	0,2703684	0,7754517	0,4779598	0,9795096	0,1916528	0,1093500	0,5092472	0,6815394	1,1038578	0,2601638	0,6280143	0,9468480	0,0989444	0,7866280	0,2980577	0,9549395	0,2069034	0,2243811	0,1778035	0,6289112	1,0756966	0,6371393	0,9477022	0,4769858	0,3852406
120	0,1749926	0,6512927	0,5447209	0,6852518	0,7865286	0,4938810	0,4781063	0,7467017	0,5508359	0,4318306	0,1046782	0,1730160	0,6471722	0,2131098	0,7809251	0,1115154	0,6283600	0,4142278	0,1218033	0,1326858	0,1685669	0,7525005	0,4456556	0,3370224	0,5423621	0,6862873	0,9814492	0,4133896	0,1020705	0,3062293	0,5547749	0,4507519	0,3809786	0,2556339	0,3447570	0,0330112	0,4969272	0,6937207	0,9563010	0,2274617	0,7175922	0,4823654	1,0311585	0,2178507	0,0680571	0,5300707	0,5182795	1,1014355	0,3097370	0,6024984	0,9684103	0,0880014	0,7516370	0,2865047	0,9947923	0,2109310	0,2307982	0,1974271	0,6023286	1,0507042	0,6104331	0,9404945	0,4640203	0,4362149
140	0,1512194	0,6592177	0,4748904	0,6558039	0,8241463	0,5301792	0,5090673	0,7765421	0,5091071	0,4280673	0,0886078	0,1737245	0,6450669	0,2011811	0,7883012	0,0995423	0,6092251	0,4255753	0,0888000	0,1142392	0,1515042	0,8042741	0,4686299	0,3372958	0,5297620	0,6829698	1,0256496	0,3249558	0,1493943	0,2809766	0,5516625	0,5066346	0,3317711	0,2093972	0,3138845	0,0451229	0,4272400	0,6236241	0,9731239	0,1766147	0,7289944	0,4576370	0,9865469	0,2017155	0,0611526	0,5246355	0,5425309	1,0901072	0,3407516	0,5604949	1,0109959	0,0923024	0,7047756	0,3326038	0,9946988	0,1678094	0,2930495	0,2144202	0,5462706	1,0421398	0,6412317	0,9164909	0,4977238	0,3249734
160	0,1541588	0,5774757	0,5384074	0,6926393	0,8399398	0,5456857	0,5492047	0,7533666	0,4645790	0,4409292	0,0668578	0,1829207	0,6924193	0,2159114	0,8297252	0,0915149	0,5920696	0,3727516	0,0883284	0,1150402	0,1809895	0,8198782	0,4985963	0,3823869	0,5373647	0,6536423	1,0602096	0,2596129	0,1369955	0,2346831	0,5423874	0,4885930	0,2712020	0,2095102	0,3002775	0,0461524	0,4155003	0,6137706	1,0428161	0,1299640	0,6758295	0,4438233	0,9707983	0,1755009	0,0512292	0,5257381	0,5632659	1,0450209	0,3532896	0,5073694	0,9584520	0,0726403	0,7875854	0,3305409	0,9856689	0,1455603	0,2762769	0,2727609	0,5837745	1,0163964	0,6479578	0,9770524	0,4428417	0,3422422
180	0,1759454	0,5647505	0,5805450	0,7324292	0,8210321	0,5051479	0,4686462	0,6875443	0,5133595	0,4429321	0,0620531	0,1752214	0,7994891	0,2617094	0,7632774	0,0827658	0,5754555	0,2981129	0,1015394	0,1003140	0,1487066	0,8339464	0,4871676	0,3435485	0,5421823	0,5882208	0,9938484	0,2804126	0,1897961	0,2613824	0,5548125	0,5148478	0,2462241	0,2004429	0,3799840	0,0496740	0,3939805	0,4895469	1,0084839	0,1311835	0,7360640	0,4854335	1,0043032	0,1666578	0,0456405	0,5533207	0,5751109	1,0131007	0,3434606	0,4354322	1,0281553	0,0771999	0,7395239	0,3890148	0,9961176	0,1144936	0,2456579	0,2390615	0,5911411	0,9098576	0,5859170	0,9950905	0,3653709	0,2936508
200	0,1629636	0,5844324	0,6263001	0,5990133	0,8020457	0,4897748	0,4645897	0,7219720	0,5263446	0,4217598	0,0692223	0,1677267	0,8380921	0,2228613	0,7648739	0,0688761	0,5717621	0,2668624	0,1093664	0,1279243	0,1334906	0,8536112	0,4976114	0,2944199	0,5770626	0,6032243	1,0166050	0,2549688	0,2164027	0,2399999	0,5828603	0,5229713	0,2121354	0,2432766	0,3941147	0,0631172	0,4099122	0,4723665	0,9879497	0,0856009	0,6628774	0,5218502	0,9928700	0,1608348	0,0424028	0,5472946	0,5393216	0,9798311	0,3579577	0,3560859	1,0542449	0,0810708	0,7496832	0,3707205	1,0486684	0,0739776	0,2836071	0,2586830	0,6902752	0,9147867	0,5515486	1,0098615	0,4514680	0,3281853
