"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG

0	0,5137930	0,7118904	0,5202054	0,5161941	0,7931679	0,7096709	0,4835567	0,6620093	0,4515870	0,4939448	0,2101852	0,5607126	0,6485241	0,3017643	0,7688884	0,7977941	0,5375258	0,8157035	0,0163446	0,0024249	0,2390928	0,2849094	0,0869712	0,1582416	0,7531113	0,8224137	0,9118935	0,4443906	0,0815522	0,2642893	0,4287490	0,0028216	0,5511113	0,4011125	0,3896903	0,0480436	0,4390507	0,6329708	1,0063231	0,3340262	0,8209450	0,1872539	0,9215653	0,1800902	0,2517462	0,4705378	0,1024764	1,0762414	0,4094524	0,6651431	0,8227299	0,1725412	0,7317576	0,3236424	0,8856027	0,2776316	0,2565829	0,4764425	0,6444593	0,9385595	0,4952254	0,9284027	0,7392296	0,3967694
20	0,4517762	0,6598261	0,4652847	0,6000237	0,7954529	0,6791671	0,4449961	0,6464809	0,4806000	0,5265264	0,2615519	0,5806761	0,6014365	0,2765028	0,6997872	0,7476242	0,6442952	0,7092924	0,0168824	0,0230268	0,2773460	0,3725065	0,0732948	0,1935784	0,6733691	0,8210872	0,9427068	0,4775163	0,0716180	0,3503682	0,3947490	0,0318924	0,6727581	0,4872127	0,3404077	0,0359371	0,5177313	0,8042124	1,0864825	0,4064462	0,8204142	0,2295922	0,9385882	0,2481964	0,1852394	0,5563374	0,2466712	1,0697235	0,4014403	0,6463370	0,8378773	0,2266037	0,7893020	0,2263587	0,8256375	0,2067954	0,1390807	0,4466591	0,6583842	0,9113419	0,4429074	0,8388211	0,6555862	0,4162199
40	0,4148981	0,6292879	0,4718659	0,6537787	0,8271689	0,6884513	0,4659491	0,6303286	0,4724191	0,5737498	0,2384887	0,4940827	0,6495801	0,2855707	0,7270703	0,6879222	0,6378449	0,7550719	0,0329341	0,0772894	0,2441873	0,5570820	0,1063776	0,2458912	0,6875486	0,8028285	0,9321008	0,5020886	0,0702157	0,3909057	0,3796564	0,1020068	0,6928565	0,4216696	0,3267070	0,0380817	0,5686237	0,8097390	0,9755247	0,4142300	0,7840524	0,2617034	0,9390430	0,2430590	0,1668100	0,5989616	0,2989072	1,0659319	0,3593951	0,7243410	0,8116860	0,2024746	0,7179905	0,2447643	0,8786319	0,2118963	0,1270093	0,3764693	0,5969645	0,9164125	0,5653199	0,8066995	0,6269228	0,4195411
60	0,3051994	0,6036125	0,4454850	0,6830948	0,7850542	0,6769982	0,4954446	0,6668171	0,4970255	0,4850221	0,1920589	0,4082138	0,6300164	0,2822365	0,6989110	0,5664923	0,6560264	0,7427598	0,0499387	0,1148348	0,1905558	0,6246208	0,1549094	0,2296183	0,6710310	0,8019620	0,9063868	0,5371797	0,0726201	0,4311477	0,3977889	0,1883780	0,6832930	0,3970839	0,3396149	0,0332790	0,5524029	0,7997745	1,0317519	0,3890947	0,7513042	0,3692968	0,9862832	0,1973056	0,1754848	0,5895591	0,4069014	1,0259489	0,3030193	0,6425582	0,7943790	0,1754805	0,7778763	0,2299745	0,9750921	0,1845512	0,1454693	0,3158734	0,6169277	0,9515525	0,6150030	0,8556285	0,5910000	0,4314568
80	0,2603419	0,6003796	0,4573640	0,7400319	0,8968206	0,6369104	0,4937010	0,6927838	0,5175687	0,4442543	0,1711527	0,3260608	0,6382361	0,2465208	0,6984110	0,4476362	0,6253190	0,7483311	0,0615561	0,0828682	0,1978394	0,6845960	0,2215670	0,3507803	0,6837369	0,7691915	0,8823778	0,5356373	0,0840058	0,4542742	0,4386163	0,2926199	0,6376202	0,3770021	0,3398276	0,0394501	0,6169704	0,8266058	1,0433595	0,3761109	0,7715076	0,4241458	1,0432832	0,2103454	0,1545995	0,5794739	0,4662561	1,0440980	0,2464092	0,6501563	0,8609151	0,1359651	0,7918774	0,2340461	1,0026129	0,1743576	0,1817286	0,2825173	0,6659248	1,0161580	0,6255579	0,9043753	0,5435353	0,3994340
100	0,2290923	0,6256876	0,5183050	0,7059876	0,8386135	0,6040145	0,4871694	0,7135413	0,5804742	0,3979352	0,1385207	0,2366214	0,6207385	0,2174376	0,6898266	0,3692409	0,6385034	0,7101863	0,0691076	0,1008528	0,2000004	0,6873253	0,3342478	0,3732490	0,6547424	0,7665011	0,8747671	0,5014887	0,0840648	0,4481899	0,4772275	0,3917865	0,5852128	0,3493922	0,3493284	0,0213116	0,5292420	0,7914816	1,0126746	0,3608606	0,7307873	0,4928880	1,0319109	0,2016756	0,1186994	0,5883591	0,5568167	1,1022774	0,2463282	0,6559961	0,9004329	0,1334349	0,7801951	0,2520598	0,9795386	0,1756716	0,1827494	0,2558119	0,5649376	1,0222250	0,5845883	0,9591231	0,5595776	0,4158056
120	0,1899186	0,6178394	0,5195458	0,6524776	0,8251766	0,6025278	0,4453825	0,7434070	0,5703726	0,3937434	0,1122154	0,1915917	0,6813015	0,2541730	0,7198978	0,2925363	0,6404283	0,5825494	0,0954758	0,1074622	0,1715182	0,7587873	0,3993301	0,3949401	0,5760278	0,7357287	0,8727217	0,4175541	0,0928208	0,3835018	0,5172765	0,4097067	0,5085165	0,3431398	0,3570152	0,0349723	0,5100492	0,7249209	0,9790949	0,3050470	0,7762913	0,5873250	1,0345406	0,2210232	0,0967958	0,5596616	0,6283741	1,0529756	0,2959221	0,6357607	0,9184041	0,1013419	0,7849020	0,2306076	0,9969280	0,2040189	0,1965352	0,2605905	0,6249123	1,0764768	0,5948854	0,9168542	0,5214799	0,4046190
140	0,1539082	0,6395626	0,4901242	0,6841096	0,7825434	0,5259826	0,4222424	0,7422302	0,5594430	0,4133502	0,1246958	0,1501917	0,6903216	0,2355142	0,6980685	0,2228288	0,6564708	0,5656551	0,0974796	0,1230187	0,1814837	0,8147571	0,4437860	0,3797935	0,5721870	0,7016917	0,9218046	0,4217761	0,1091234	0,3330755	0,5499333	0,4615055	0,4379289	0,2241176	0,3925003	0,0242385	0,4504631	0,7030641	0,9812147	0,2901044	0,7469778	0,5169732	1,0484892	0,2298045	0,0689402	0,6326539	0,5736792	1,0049358	0,3300671	0,6238206	0,9464826	0,0923348	0,7273558	0,2704704	0,9586926	0,1808668	0,2169484	0,2306296	0,5824985	1,1250763	0,6225069	0,9125065	0,4968851	0,3797372
160	0,1575770	0,6325264	0,4555262	0,7023612	0,7889016	0,5106248	0,4675427	0,8011384	0,5376712	0,3732962	0,0949371	0,1970157	0,6794069	0,2423426	0,6770150	0,1721614	0,6396908	0,4972517	0,1023925	0,1230066	0,2071555	0,8937421	0,4899635	0,4070658	0,5111248	0,7327726	0,9533268	0,4144770	0,1280595	0,2838878	0,5228892	0,4478516	0,3756052	0,2128557	0,3811788	0,0495618	0,3994746	0,6345258	0,9810496	0,2299263	0,6865371	0,4995052	1,0135546	0,2182566	0,0512736	0,5884607	0,5452323	0,8984180	0,3765118	0,5828403	0,9361276	0,0890190	0,7586640	0,2761052	0,9414988	0,1926060	0,2416486	0,1991803	0,5900134	1,0966042	0,6046678	0,9547584	0,5168372	0,4052845
