"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG

0	0,6291137	0,6186150	0,5317285	0,4295414	0,8024998	0,6506900	0,4745051	0,7412814	0,5267131	0,3920770	0,2030004	0,5519807	0,6139886	0,2784471	0,7232216	0,8022943	0,5834690	0,7730910	0,0077019	0,0026321	0,1980818	0,3510251	0,0656795	0,1545921	0,7439767	0,7726153	0,9528613	0,4307248	0,0834487	0,2620072	0,4164961	0,0024882	0,5899615	0,3955323	0,3699727	0,0392491	0,5254609	0,6889910	0,9995525	0,2962131	0,7534967	0,1851767	0,9761087	0,1922613	0,1953098	0,5538204	0,1184234	0,9999621	0,3678684	0,6138396	0,9051857	0,1874519	0,7473728	0,3292925	0,9154272	0,2577119	0,2504473	0,5279448	0,6023771	0,9702011	0,4901231	0,8786013	0,7058782	0,3968062
20	0,4376106	0,6186153	0,5317285	0,6018797	0,8024221	0,5891839	0,4745049	0,7412819	0,5267136	0,3920733	0,1983250	0,3821347	0,6149804	0,2464042	0,7232214	0,5427568	0,5834690	0,7701320	0,0452020	0,0729820	0,1972140	0,5128561	0,0692910	0,2539106	0,7421397	0,7721643	0,9536005	0,4776096	0,0836859	0,3497825	0,4987143	0,1989377	0,5867031	0,3894758	0,3699002	0,0392372	0,5247027	0,6878027	0,9995471	0,2951353	0,7534867	0,3016704	0,9760197	0,1922485	0,1915283	0,5538205	0,3726609	0,9999621	0,2787089	0,6137370	0,9069531	0,1476885	0,7473724	0,3483605	0,9468489	0,2576144	0,2504494	0,3781384	0,6023769	0,9702013	0,5475085	0,8896332	0,4763348	0,3966984
40	0,3213103	0,6186155	0,5317284	0,6580257	0,8022094	0,5560743	0,4745028	0,7412823	0,5267132	0,3920707	0,1791709	0,2767515	0,6200083	0,2282831	0,7232214	0,3768697	0,5834691	0,7519288	0,0684461	0,0973264	0,1932801	0,6200700	0,1518068	0,3092820	0,7327922	0,7697989	0,9568904	0,4901515	0,0849894	0,3769640	0,5480773	0,3196029	0,5683863	0,3624278	0,3695477	0,0391526	0,5205671	0,6823426	0,9995148	0,2887179	0,7533073	0,3777836	0,9755489	0,1920159	0,1747992	0,5537812	0,4872687	0,9999609	0,2315972	0,6117831	0,9149096	0,1228005	0,7473666	0,3604958	0,9660177	0,2569961	0,2504508	0,3038413	0,6023767	0,9702014	0,5875664	0,8960825	0,4270983	0,3949472
60	0,2506809	0,6186156	0,5317284	0,6689299	0,8020001	0,5382845	0,4744968	0,7412825	0,5267125	0,3920690	0,1526672	0,2134416	0,6303266	0,2202791	0,7232215	0,2707533	0,5834692	0,7041393	0,0828977	0,1057549	0,1862196	0,6913477	0,2735819	0,3329463	0,7145608	0,7641863	0,9625402	0,4744095	0,0880724	0,3692792	0,5773310	0,3937149	0,5285407	0,3219460	0,3689203	0,0389341	0,5117910	0,6726691	0,9994323	0,2738856	0,7526660	0,4256676	0,9745596	0,1911973	0,1490585	0,5536368	0,5368457	0,9999558	0,2201249	0,6040082	0,9279476	0,1072229	0,7473489	0,3682190	0,9776679	0,2540049	0,2504517	0,2669934	0,6023765	0,9702015	0,6142533	0,8999890	0,4356695	0,3893771
80	0,2077874	0,6186157	0,5317283	0,6655014	0,8018374	0,5287592	0,4744877	0,7412826	0,5267119	0,3920679	0,1275254	0,1769713	0,6458787	0,2185659	0,7232216	0,2027033	0,5834692	0,6160007	0,0919334	0,1086818	0,1769111	0,7392106	0,3562434	0,3369026	0,6894786	0,7542242	0,9693545	0,4401320	0,0938144	0,3451816	0,5935598	0,4392321	0,4711062	0,2832365	0,3681694	0,0385859	0,4991162	0,6595431	0,9992710	0,2508994	0,7515077	0,4540003	0,9730637	0,1897583	0,1222502	0,5533793	0,5555550	0,9999423	0,2333311	0,5874131	0,9426323	0,0974728	0,7473213	0,3731342	0,9846248	0,2452577	0,2504524	0,2487186	0,6023765	0,9702015	0,6288129	0,9024006	0,4501650	0,3805363
100	0,1817380	0,6186157	0,5317282	0,6597256	0,8017198	0,5236852	0,4744781	0,7412826	0,5267116	0,3920672	0,1073009	0,1570588	0,6658972	0,2199825	0,7232216	0,1588218	0,5834693	0,5003208	0,0976182	0,1097082	0,1666149	0,7720332	0,4060760	0,3319050	0,6611213	0,7390691	0,9761171	0,3986795	0,1033299	0,3167801	0,6001842	0,4671874	0,4090238	0,2538247	0,3674494	0,0381707	0,4845805	0,6426492	0,9989953	0,2229084	0,7500556	0,4693688	0,9711842	0,1880163	0,0990641	0,5530627	0,5599317	0,9999128	0,2579573	0,5616043	0,9561210	0,0913702	0,7472904	0,3762624	0,9884996	0,2269054	0,2504529	0,2396551	0,6023764	0,9702015	0,6304103	0,9035707	0,4592557	0,3709042
120	0,1659182	0,6186157	0,5317282	0,6551887	0,8016371	0,5210014	0,4744698	0,7412826	0,5267115	0,3920668	0,0922366	0,1469148	0,6890762	0,2223596	0,7232216	0,1302295	0,5834693	0,3894243	0,1012135	0,1100765	0,1565349	0,7953619	0,4364067	0,3246012	0,6331417	0,7183892	0,9820044	0,3589395	0,1174930	0,2907719	0,5987168	0,4843573	0,3543478	0,2339442	0,3668471	0,0377577	0,4702682	0,6203562	0,9985662	0,1940007	0,7485935	0,4766791	0,9691054	0,1863284	0,0808086	0,5527477	0,5582806	0,9998551	0,2840772	0,5284571	0,9670510	0,0875505	0,7472614	0,3782533	0,9901263	0,1978976	0,2504532	0,2351601	0,6023764	0,9702015	0,6181797	0,9033572	0,4637966	0,3625460
140	0,1563108	0,6186158	0,5317282	0,6523461	0,8015797	0,5195956	0,4744639	0,7412826	0,5267114	0,3920665	0,0814240	0,1422302	0,7136803	0,2245147	0,7232217	0,1112813	0,5834693	0,3004655	0,1034962	0,1102147	0,1474972	0,8127934	0,4560747	0,3177177	0,6082317	0,6925752	0,9866704	0,3254724	0,1358601	0,2698780	0,5905841	0,4949034	0,3122491	0,2212626	0,3663846	0,0373919	0,4575745	0,5906926	0,9979500	0,1675168	0,7473130	0,4793379	0,9670146	0,1849057	0,0671080	0,5524705	0,5546845	0,9997509	0,3068853	0,4911067	0,9752296	0,0851597	0,7472365	0,3795203	0,9899126	0,1622140	0,2504535	0,2329308	0,6023763	0,9702015	0,5938774	0,9016591	0,4658766	0,3562519
160	0,1504762	0,6186158	0,5317282	0,6507747	0,8015399	0,5188689	0,4744601	0,7412826	0,5267115	0,3920663	0,0738061	0,1404055	0,7376582	0,2260105	0,7232217	0,0984184	0,5834693	0,2330806	0,1049491	0,1102704	0,1398915	0,8265714	0,4700543	0,3118675	0,5877658	0,6625707	0,9901255	0,2994172	0,1557269	0,2544147	0,5781974	0,5013810	0,2826071	0,2134011	0,3660484	0,0370917	0,4471079	0,5531875	0,9971326	0,1453083	0,7462893	0,4795327	0,9650598	0,1838087	0,0570752	0,5522435	0,5509787	0,9995787	0,3250372	0,4529037	0,9810439	0,0836633	0,7472163	0,3803267	0,9882298	0,1264129	0,2504536	0,2318252	0,6023763	0,9702015	0,5622584	0,8984820	0,4667996	0,3519018
180	0,1469328	0,6186157	0,5317282	0,6499804	0,8015125	0,5185004	0,4744581	0,7412826	0,5267116	0,3920662	0,0684922	0,1399575	0,7587295	0,2268427	0,7232217	0,0894256	0,5834693	0,1829899	0,1058754	0,1102953	0,1337756	0,8380056	0,4808853	0,3068599	0,5719919	0,6295766	0,9925623	0,2801149	0,1727657	0,2435756	0,5646851	0,5053598	0,2631416	0,2085967	0,3658123	0,0368573	0,4389091	0,5101477	0,9961317	0,1278493	0,7455189	0,4785710	0,9633337	0,1830098	0,0498211	0,5520657	0,5478450	0,9993206	0,3387809	0,4166425	0,9850413	0,0827267	0,7472006	0,3808399	0,9857366	0,0957113	0,2504537	0,2312768	0,6023763	0,9702015	0,5289541	0,8937647	0,4672079	0,3490348
