"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG

0	0,6291126	0,6186156	0,5317278	0,4295456	0,8024996	0,6507161	0,4745051	0,7412791	0,5267094	0,3920872	0,2030007	0,5519806	0,6137238	0,2784459	0,7232222	0,8026100	0,5834694	0,7733809	0,0077019	0,0026321	0,1981476	0,3506344	0,0656797	0,1547750	0,7441982	0,7727945	0,9523867	0,4308242	0,0834180	0,2620557	0,4163367	0,0024885	0,5901345	0,3956815	0,3699819	0,0392497	0,5254811	0,6891923	0,9995525	0,2962413	0,7534962	0,1852290	0,9761116	0,1922599	0,1954302	0,5537858	0,1184266	0,9999620	0,3677270	0,6138387	0,9050260	0,1874533	0,7473726	0,3287497	0,9154324	0,2579080	0,2503982	0,5278989	0,6023769	0,9702004	0,4902618	0,8780305	0,7058814	0,3968090
20	0,5753966	0,6186154	0,5317281	0,4736062	0,8024874	0,6399479	0,4745051	0,7412801	0,5267109	0,3920809	0,2022769	0,5087225	0,6139302	0,2712178	0,7232220	0,7558902	0,5834692	0,7729971	0,0157450	0,0187441	0,1980356	0,4025542	0,0659613	0,1843078	0,7439738	0,7726797	0,9526111	0,4415810	0,0834482	0,2846091	0,4332218	0,0414563	0,5897084	0,3945885	0,3699713	0,0392475	0,5253681	0,6890265	0,9995517	0,2960740	0,7534956	0,2122578	0,9760954	0,1922593	0,1946103	0,5537982	0,1708236	0,9999621	0,3507665	0,6138266	0,9052277	0,1764204	0,7473727	0,3321149	0,9219751	0,2578011	0,2504170	0,4974761	0,6023769	0,9702008	0,5174956	0,8808642	0,6587065	0,3968002
40	0,4776885	0,6186154	0,5317283	0,5407876	0,8024053	0,6188625	0,4745047	0,7412808	0,5267118	0,3920763	0,1958382	0,4267116	0,6151293	0,2573900	0,7232218	0,6587574	0,5834691	0,7694601	0,0316608	0,0442322	0,1971423	0,4958439	0,0824044	0,2358597	0,7422092	0,7721310	0,9534061	0,4589138	0,0836903	0,3195775	0,4665151	0,1196883	0,5855722	0,3851293	0,3698919	0,0392227	0,5242365	0,6879182	0,9995421	0,2942958	0,7534654	0,2659906	0,9759430	0,1922152	0,1879123	0,5538008	0,2638683	0,9999619	0,3174165	0,6133578	0,9068103	0,1560256	0,7473709	0,3389723	0,9349344	0,2576123	0,2504294	0,4414496	0,6023769	0,9702011	0,5589997	0,8859064	0,5877565	0,3965293
60	0,3840087	0,6186155	0,5317284	0,5919004	0,8022607	0,5968343	0,4745030	0,7412814	0,5267122	0,3920730	0,1809775	0,3452091	0,6187153	0,2441478	0,7232217	0,5506427	0,5834691	0,7562880	0,0484085	0,0656551	0,1946413	0,5850870	0,1414058	0,2800347	0,7368287	0,7703686	0,9554153	0,4683440	0,0845132	0,3426161	0,5014019	0,2033163	0,5719844	0,3621801	0,3696664	0,0391302	0,5206697	0,6848299	0,9995084	0,2883044	0,7532886	0,3222308	0,9754828	0,1919613	0,1720408	0,5537706	0,3509948	0,9999603	0,2860442	0,6105264	0,9111242	0,1361043	0,7473625	0,3466536	0,9485684	0,2567585	0,2504376	0,3867658	0,6023767	0,9702012	0,5931877	0,8909096	0,5362139	0,3950731
80	0,3089971	0,6186155	0,5317283	0,6227856	0,8020978	0,5775285	0,4744992	0,7412818	0,5267122	0,3920706	0,1606885	0,2784568	0,6257477	0,2343755	0,7232217	0,4500020	0,5834692	0,7246839	0,0631418	0,0810469	0,1901620	0,6572090	0,2184586	0,3080380	0,7265476	0,7664656	0,9588098	0,4640012	0,0864078	0,3485807	0,5316774	0,2779911	0,5449144	0,3302611	0,3692766	0,0389339	0,5138072	0,6792311	0,9994301	0,2760948	0,7528212	0,3705863	0,9746053	0,1913113	0,1497878	0,5536783	0,4188921	0,9999550	0,2660111	0,6024851	0,9183361	0,1198393	0,7473444	0,3538755	0,9605154	0,2537193	0,2504430	0,3419732	0,6023766	0,9702014	0,6162647	0,8951260	0,5060041	0,3915360
100	0,2538819	0,6186156	0,5317283	0,6389279	0,8019468	0,5619478	0,4744934	0,7412821	0,5267120	0,3920690	0,1393302	0,2291177	0,6367387	0,2284757	0,7232216	0,3640045	0,5834692	0,6687934	0,0750424	0,0914271	0,1838361	0,7115150	0,2897362	0,3212170	0,7113299	0,7594777	0,9633078	0,4464246	0,0900227	0,3407065	0,5550952	0,3391293	0,5052753	0,2974082	0,3687659	0,0386373	0,5038526	0,6708272	0,9992806	0,2574997	0,7520167	0,4078596	0,9732962	0,1902361	0,1259701	0,5535153	0,4669255	0,9999420	0,2593756	0,5870735	0,9276054	0,1076450	0,7473189	0,3601129	0,9700324	0,2459604	0,2504466	0,3081473	0,6023765	0,9702014	0,6271732	0,8983479	0,4895020	0,3859483
120	0,2153659	0,6186157	0,5317282	0,6463514	0,8018204	0,5499506	0,4744865	0,7412823	0,5267118	0,3920680	0,1198987	0,1950982	0,6516334	0,2256711	0,7232216	0,2940640	0,5834692	0,5932250	0,0841888	0,0982225	0,1761784	0,7512649	0,3469280	0,3245280	0,6922417	0,7485828	0,9683913	0,4198835	0,0961277	0,3246592	0,5709981	0,3866872	0,4585584	0,2691104	0,3682040	0,0382779	0,4918684	0,6591011	0,9990278	0,2341952	0,7509525	0,4344183	0,9716313	0,1888760	0,1041396	0,5532975	0,4986841	0,9999143	0,2635795	0,5637923	0,9377313	0,0989441	0,7472906	0,3652371	0,9770638	0,2309037	0,2504490	0,2837426	0,6023764	0,9702015	0,6248351	0,9004492	0,4805052	0,3791598
140	0,1893134	0,6186157	0,5317282	0,6492762	0,8017208	0,5409829	0,4744795	0,7412824	0,5267117	0,3920673	0,1037136	0,1728835	0,6698402	0,2248556	0,7232216	0,2389227	0,5834693	0,5097134	0,0909944	0,1026057	0,1678738	0,7803233	0,3899451	0,3226157	0,6709753	0,7332661	0,9735272	0,3895207	0,1053466	0,3055757	0,5794323	0,4224540	0,4113461	0,2472773	0,3676538	0,0379033	0,4792142	0,6431120	0,9986370	0,2088255	0,7497685	0,4521219	0,9697447	0,1874328	0,0859193	0,5530521	0,5185260	0,9998608	0,2745444	0,5338357	0,9476614	0,0929315	0,7472632	0,3693103	0,9817814	0,2078644	0,2504506	0,2666268	0,6023764	0,9702015	0,6094102	0,9012971	0,4754547	0,3722046
160	0,1720874	0,6186157	0,5317282	0,6501468	0,8016453	0,5344122	0,4744733	0,7412825	0,5267116	0,3920668	0,0909718	0,1590450	0,6902922	0,2250603	0,7232216	0,1963108	0,5834693	0,4283130	0,0959441	0,1054117	0,1595746	0,8019820	0,4215535	0,3185132	0,6493121	0,7134438	0,9783066	0,3595015	0,1176351	0,2869867	0,5811080	0,4487181	0,3685458	0,2315836	0,3671571	0,0375517	0,4670704	0,6218017	0,9980789	0,1839869	0,7486000	0,4631752	0,9677877	0,1860749	0,0715702	0,5528049	0,5302610	0,9997660	0,2886233	0,4995394	0,9566984	0,0888674	0,7472391	0,3724739	0,9844225	0,1789899	0,2504517	0,2548451	0,6023764	0,9702015	0,5836912	0,9007991	0,4725072	0,3658475
180	0,1608850	0,6186157	0,5317282	0,6502077	0,8015895	0,5296648	0,4744683	0,7412825	0,5267116	0,3920665	0,0813111	0,1507987	0,7115220	0,2256229	0,7232217	0,1637924	0,5834693	0,3546853	0,0994837	0,1072010	0,1517803	0,8186745	0,4448492	0,3137887	0,6287311	0,6894478	0,9824882	0,3324201	0,1318539	0,2707903	0,5774994	0,4676645	0,3327028	0,2208240	0,3667341	0,0372457	0,4562187	0,5947146	0,9973401	0,1615675	0,7475411	0,4695729	0,9658943	0,1849014	0,0606752	0,5525741	0,5367850	0,9996121	0,3032558	0,4636389	0,9644953	0,0861642	0,7472191	0,3748891	0,9853235	0,1481584	0,2504524	0,2468384	0,6023763	0,9702015	0,5524911	0,8988934	0,4707229	0,3604710
200	0,1536908	0,6186157	0,5317282	0,6500224	0,8015490	0,5262694	0,4744645	0,7412825	0,5267116	0,3920663	0,0741749	0,1461028	0,7317344	0,2261810	0,7232217	0,1391564	0,5834693	0,2913503	0,1019819	0,1083397	0,1448033	0,8320308	0,4623386	0,3090704	0,6102282	0,6619420	0,9859795	0,3094733	0,1459460	0,2576657	0,5706300	0,4811459	0,3044760	0,2136848	0,3663889	0,0369934	0,4470324	0,5625794	0,9964321	0,1425619	0,7466393	0,4728979	0,9641621	0,1839475	0,0525926	0,5523700	0,5401215	0,9993845	0,3169258	0,4286297	0,9709636	0,0843877	0,7472031	0,3767089	0,9849819	0,1191275	0,2504529	0,2414458	0,6023763	0,9702015	0,5207218	0,8954791	0,4696107	0,3561601
220	0,1491154	0,6186157	0,5317282	0,6498122	0,8015200	0,5238590	0,4744619	0,7412826	0,5267116	0,3920662	0,0690007	0,1435610	0,7488868	0,2265895	0,7232217	0,1205608	0,5834693	0,2390182	0,1037267	0,1090636	0,1387883	0,8430368	0,4757615	0,3045254	0,5943017	0,6318572	0,9887916	0,2908900	0,1577095	0,2475568	0,5625731	0,4906348	0,2833537	0,2090569	0,3661161	0,0367936	0,4395726	0,5272406	0,9953937	0,1272113	0,7459061	0,4743078	0,9626478	0,1832062	0,0466844	0,5521962	0,5416016	0,9990785	0,3288935	0,3963843	0,9761739	0,0832308	0,7471908	0,3780659	0,9839727	0,0943529	0,2504532	0,2378374	0,6023763	0,9702015	0,4918898	0,8903489	0,4689024	0,3528290
240	0,1462280	0,6186157	0,5317282	0,6496450	0,8014993	0,5221573	0,4744601	0,7412826	0,5267116	0,3920662	0,0653000	0,1422686	0,7608685	0,2268296	0,7232217	0,1065540	0,5834693	0,1972818	0,1049350	0,1095236	0,1337554	0,8522050	0,4861962	0,3002082	0,5810212	0,6003503	0,9909949	0,2763429	0,1655802	0,2400532	0,5549813	0,4972548	0,2682310	0,2061078	0,3659057	0,0366402	0,4337077	0,4910427	0,9942834	0,1152669	0,7453303	0,4745985	0,9613723	0,1826491	0,0424063	0,5520527	0,5420601	0,9987032	0,3389218	0,3680335	0,9802766	0,0824829	0,7471815	0,3790693	0,9827726	0,0747796	0,2504535	0,2354341	0,6023763	0,9702015	0,4677140	0,8831536	0,4684447	0,3503203
260	0,1444170	0,6186157	0,5317281	0,6495290	0,8014846	0,5209611	0,4744589	0,7412826	0,5267116	0,3920661	0,0626804	0,1416672	0,7659080	0,2269382	0,7232217	0,0960363	0,5834693	0,1650237	0,1057657	0,1098159	0,1296443	0,8597251	0,4942374	0,2962297	0,5701059	0,5687546	0,9926844	0,2652508	0,1689674	0,2346348	0,5488631	0,5018397	0,2577856	0,2042523	0,3657465	0,0365249	0,4292123	0,4561559	0,9931674	0,1062363	0,7448901	0,4742904	0,9603303	0,1822407	0,0393274	0,5519368	0,5419984	0,9982806	0,3470637	0,3440400	0,9834500	0,0820022	0,7471746	0,3798063	0,9816605	0,0602219	0,2504536	0,2338390	0,6023763	0,9702015	0,4485187	0,8733994	0,4681460	0,3484650
280	0,1432869	0,6186157	0,5317281	0,6494538	0,8014742	0,5201229	0,4744581	0,7412826	0,5267116	0,3920661	0,0608406	0,1414266	0,7631585	0,2269650	0,7232217	0,0881994	0,5834693	0,1407574	0,1063334	0,1100015	0,1263517	0,8655911	0,5001662	0,2927430	0,5609750	0,5384878	0,9939584	0,2569675	0,1681486	0,2308026	0,5446018	0,5049957	0,2506990	0,2030962	0,3656278	0,0364399	0,4258352	0,4241731	0,9921056	0,0995580	0,7445604	0,4737069	0,9595005	0,1819470	0,0371201	0,5518448	0,5417049	0,9978393	0,3535180	0,3243635	0,9858700	0,0816946	0,7471695	0,3803446	0,9807312	0,0498924	0,2504537	0,2327831	0,6023763	0,9702015	0,4338343	0,8604853	0,4679497	0,3471106
300	0,1425846	0,6186157	0,5317281	0,6494068	0,8014669	0,5195371	0,4744576	0,7412826	0,5267116	0,3920661	0,0595565	0,1413607	0,7530950	0,2269517	0,7232217	0,0824600	0,5834693	0,1229127	0,1067193	0,1101194	0,1237572	0,8697130	0,5040935	0,2898623	0,5528096	0,5109136	0,9949061	0,2508852	0,1639550	0,2281346	0,5421065	0,5071570	0,2457858	0,2023812	0,3655404	0,0363779	0,4233387	0,3960123	0,9911427	0,0947029	0,7443174	0,4730384	0,9588535	0,1817386	0,0355416	0,5517728	0,5413370	0,9974079	0,3585397	0,3086441	0,9876941	0,0814985	0,7471659	0,3807358	0,9799596	0,0428240	0,2504538	0,2320853	0,6023763	0,9702015	0,4228779	0,8438091	0,4678202	0,3461312
320	0,1421496	0,6186157	0,5317281	0,6493778	0,8014618	0,5191284	0,4744572	0,7412826	0,5267116	0,3920660	0,0586647	0,1413700	0,7373674	0,2269257	0,7232217	0,0783954	0,5834693	0,1100319	0,1069805	0,1101943	0,1217405	0,8720124	0,5060754	0,2876209	0,5447375	0,4871792	0,9956032	0,2464805	0,1574450	0,2262990	0,5409955	0,5086304	0,2420690	0,2019416	0,3654766	0,0363332	0,4215171	0,3720081	0,9903052	0,0912192	0,7441405	0,4723889	0,9583578	0,1815924	0,0344147	0,5517172	0,5409747	0,9970095	0,3623885	0,2963574	0,9890561	0,0813739	0,7471632	0,3810191	0,9792668	0,0381182	0,2504538	0,2316249	0,6023763	0,9702015	0,4148373	0,8229519	0,4677345	0,3454281
340	0,1418810	0,6186157	0,5317282	0,6493600	0,8014582	0,5188437	0,4744570	0,7412826	0,5267116	0,3920660	0,0580477	0,1414045	0,7182035	0,2269014	0,7232217	0,0756891	0,5834693	0,1008718	0,1071566	0,1102419	0,1201910	0,8724930	0,5061948	0,2859809	0,5361405	0,4680704	0,9961110	0,2433272	0,1496540	0,2250472	0,5407614	0,5096310	0,2388188	0,2016725	0,3654304	0,0363013	0,4202019	0,3520755	0,9896022	0,0887448	0,7440129	0,4718087	0,9579837	0,1814905	0,0336110	0,5516746	0,5406538	0,9966586	0,3653018	0,2869286	0,9900650	0,0812949	0,7471613	0,3812234	0,9785661	0,0350483	0,2504538	0,2313214	0,6023763	0,9702015	0,4090006	0,7978882	0,4676777	0,3449259
