"Time"	hupB	fis	mtlR	marR	marA	rob	putA	xylR	glcC	hupA	soxS	soxR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	marB	mdtE	mdtF	hdeB	yhiD	hdeA	gadA	micF	gadB	fumC	gadC	zwf	dctR	slp	inaA	nfo	ygiA	ygiC	ygiB	tolC	acrA	acrB	sodA	fpr	gadY	rfaY	poxB	rfaZ	seqA	pqiB	pgm	nemA	pqiA	xylH	hdeD	purA	xylG	xylF	mtlA	mtlD	cadB	cadA	tyrP	ptsG

0	0,4458957	0,4178764	0,3056531	0,4073377	0,5502405	0,4839182	0,2980091	0,4602124	0,3125164	0,3638385	0,1519434	0,4299444	0,4564223	0,2486647	0,5297309	0,5901134	0,3599412	0,5446707	0,0077819	0,0008654	0,1760257	0,1470597	0,0532333	0,1559780	0,6766878	0,5686801	0,7154743	0,3521433	0,0368139	0,2651104	0,3124317	0,0038416	0,3520991	0,2634471	0,3018387	0,0506205	0,2635905	0,5278542	0,7891563	0,2784024	0,5588513	0,1486954	0,6229072	0,0960740	0,1738087	0,3002575	0,0772982	0,6695714	0,3345577	0,4161115	0,6617167	0,0995375	0,5315203	0,2467858	0,5353305	0,1669195	0,1787482	0,2962405	0,3934955	0,6250949	0,3737641	0,6063356	0,4447560	0,2961425
20	0,2668844	0,4875622	0,3409096	0,4610860	0,4851267	0,4848372	0,3467596	0,4347142	0,3015379	0,3864442	0,1553763	0,4906877	0,3894360	0,2256191	0,4824628	0,4865793	0,5770507	0,6120860	0,0120241	0,0202191	0,2337120	0,2523010	0,0306563	0,1005921	0,4679223	0,5604077	0,6980320	0,3536567	0,0674642	0,2478827	0,2610101	0,0271811	0,4177160	0,3407337	0,2559005	0,0268591	0,3761856	0,4872899	0,8904326	0,2914742	0,6063036	0,1390237	0,6208930	0,1959871	0,1346317	0,3520551	0,1690487	0,6775534	0,2995855	0,4086934	0,5735028	0,1652430	0,5127312	0,1641776	0,5546907	0,1732465	0,0991225	0,3040986	0,4283207	0,6506601	0,3472477	0,6143044	0,4749454	0,2986147
40	0,3549222	0,3829116	0,3071040	0,4827819	0,4853883	0,6064270	0,3744725	0,4447768	0,2909424	0,3237398	0,1461217	0,4238064	0,4193269	0,2305930	0,5505279	0,5394552	0,4647429	0,6284250	0,0088515	0,0436842	0,1624303	0,3980849	0,1168200	0,2057248	0,5365489	0,5318520	0,5862533	0,3684717	0,0391478	0,2701461	0,2163178	0,0719821	0,5534415	0,2906046	0,2003292	0,0397607	0,3379213	0,4670967	0,7526699	0,3660783	0,5274002	0,1968760	0,6862676	0,2456667	0,0868810	0,3722072	0,1809364	0,7238395	0,2985588	0,4687795	0,5593440	0,1120300	0,4616370	0,1513775	0,5618147	0,1031307	0,0829425	0,2621295	0,4213062	0,5894405	0,3568184	0,5246229	0,5056169	0,2991876
60	0,2099791	0,4186477	0,3521714	0,5059233	0,5107154	0,4897218	0,3676790	0,4805060	0,3237131	0,4174257	0,1481489	0,3116840	0,4051135	0,2215198	0,5579487	0,4355987	0,4988583	0,5007014	0,0139687	0,1296733	0,1000407	0,4963879	0,0772113	0,2307447	0,4577803	0,5921808	0,5876523	0,3346145	0,0443861	0,2722302	0,2743806	0,1512694	0,4824419	0,2891149	0,2103189	0,0181156	0,4352425	0,5528397	0,7377685	0,2407466	0,4912822	0,1983609	0,7276449	0,1250131	0,1688836	0,3898586	0,2515881	0,6606558	0,2830656	0,5221427	0,4764199	0,1188845	0,5052457	0,1548339	0,6638724	0,1504984	0,0979438	0,1739056	0,3880633	0,6915954	0,4219025	0,5669056	0,4059322	0,3150759
80	0,1734016	0,4059683	0,3729426	0,6001823	0,6206708	0,3839879	0,3576662	0,5868025	0,3348705	0,3229470	0,1246052	0,2233709	0,5736161	0,1593042	0,5007089	0,3004907	0,4244465	0,5649782	0,0313915	0,0681251	0,1237692	0,4741916	0,1429318	0,2619794	0,5056613	0,6360375	0,5506553	0,3660680	0,0678717	0,3367461	0,3058432	0,2186957	0,5343219	0,1886678	0,2493738	0,0392958	0,4006295	0,5823136	0,8574901	0,2986771	0,5002336	0,2476272	0,6558175	0,1447591	0,1042783	0,4005026	0,3831150	0,8030179	0,1876811	0,4721256	0,6399614	0,1163396	0,5901582	0,1668490	0,6987035	0,1255932	0,1209102	0,2299180	0,4671116	0,7179929	0,3947384	0,6700567	0,3688707	0,2845189
100	0,1234674	0,4486590	0,4438110	0,4501072	0,5015117	0,4019472	0,2917170	0,5443061	0,4836365	0,2869815	0,0944743	0,1785042	0,4175518	0,1489468	0,5612382	0,2974628	0,4530496	0,4621589	0,0511608	0,0640478	0,1094177	0,5427793	0,2401731	0,3290248	0,4267810	0,5371557	0,6181314	0,3225412	0,0669618	0,3093835	0,3759440	0,2394315	0,3936778	0,2007009	0,3049189	0,0193384	0,4552890	0,7243913	0,7598742	0,2754996	0,5217390	0,2559016	0,7242176	0,1256416	0,0804244	0,4187677	0,3985725	0,7849167	0,1687380	0,3868773	0,5405232	0,1035703	0,6368482	0,1787591	0,5709983	0,1416608	0,1318066	0,2282745	0,4096272	0,7010693	0,4158188	0,6459445	0,3344483	0,3188536
120	0,1160007	0,3992490	0,3451660	0,5122142	0,6760935	0,4491121	0,3776689	0,4775794	0,4106196	0,2373725	0,0647865	0,1431625	0,3676002	0,2215988	0,4446049	0,2340940	0,4503482	0,5490803	0,0554904	0,0697130	0,1032801	0,5682577	0,2444991	0,2621450	0,4206497	0,4787850	0,5357841	0,3361292	0,0877675	0,2518332	0,3404075	0,2886174	0,3258665	0,2009070	0,2503665	0,0250587	0,3339915	0,4220545	0,6631965	0,2405808	0,5583444	0,3793940	0,7520582	0,1709207	0,0628150	0,4369251	0,4822893	0,7323043	0,2638400	0,4598444	0,6753937	0,0797512	0,6176566	0,1305209	0,7081859	0,1508061	0,1292772	0,1645271	0,5241771	0,8200842	0,3248477	0,6466398	0,3476938	0,2589653
140	0,1001509	0,4834697	0,3306816	0,4929632	0,5602060	0,3564665	0,3020438	0,5015064	0,3563102	0,2807593	0,0652199	0,0868368	0,5492214	0,1580113	0,4867505	0,1622990	0,4951360	0,3897691	0,0868982	0,0839346	0,1128029	0,5744853	0,3594030	0,3894793	0,3609163	0,5333823	0,6237411	0,3607714	0,0786786	0,2874513	0,3938173	0,2935967	0,2418856	0,1007983	0,2576931	0,0186445	0,3486245	0,4743506	0,7974026	0,1801584	0,5504679	0,3360875	0,7692513	0,1262806	0,0450152	0,4112783	0,3474804	0,6510792	0,1966042	0,4827181	0,6542066	0,0785304	0,5312502	0,1853795	0,5638413	0,1738753	0,1494291	0,1742888	0,3731256	0,7885044	0,5113331	0,6039082	0,3827471	0,2781078
160	0,0999866	0,4888673	0,3650106	0,5762993	0,4946778	0,3563584	0,2749799	0,5286126	0,3570543	0,2505279	0,0389828	0,1201754	0,4154265	0,1216231	0,4707731	0,1203916	0,4452410	0,3716076	0,0833913	0,0995727	0,1448234	0,6131415	0,2978954	0,2373911	0,2876200	0,5221730	0,6578063	0,3376314	0,0734004	0,1864829	0,4396066	0,3225470	0,2618587	0,1166400	0,2511064	0,0397796	0,2378379	0,4410781	0,6013384	0,1675405	0,5194801	0,3644568	0,6821971	0,1440290	0,0574200	0,3738033	0,4558580	0,5610770	0,2666905	0,4006091	0,6836678	0,0504619	0,4603511	0,1901402	0,7001268	0,1211587	0,1741439	0,1322748	0,3614710	0,7803501	0,3949697	0,5536627	0,3823636	0,3349362
180	0,1007385	0,4049919	0,3316985	0,5437498	0,5708755	0,3658257	0,3338281	0,5524233	0,3053245	0,3178015	0,0467354	0,0926538	0,5572109	0,1146440	0,4633936	0,0926815	0,4261515	0,2593853	0,0750236	0,1118351	0,1424205	0,6035439	0,3595038	0,2913712	0,4431526	0,3565795	0,6231791	0,2422960	0,0924776	0,1872611	0,4287859	0,2847984	0,2564144	0,1832045	0,2573855	0,0343572	0,3610609	0,4433509	0,5709460	0,1122678	0,5186764	0,3277196	0,5648742	0,1625944	0,0355298	0,4333227	0,3412984	0,7204141	0,2016884	0,3423473	0,6178064	0,0819323	0,5885181	0,1541898	0,6899151	0,0841536	0,2120761	0,1340242	0,3720949	0,7067685	0,3918965	0,5914003	0,3153612	0,2764121
200	0,1304713	0,3575816	0,3312089	0,5280781	0,5347210	0,3563044	0,3207498	0,5020284	0,3361817	0,2705446	0,0352444	0,1121383	0,4919972	0,1337597	0,5440104	0,0462193	0,3184113	0,3888105	0,0518076	0,0853301	0,0906869	0,5865249	0,3687948	0,2619053	0,2889971	0,4723878	0,6261270	0,2219772	0,1119427	0,2057570	0,3670081	0,3679435	0,2015239	0,1552665	0,3291013	0,0276483	0,2595238	0,4107174	0,5883293	0,1363760	0,5282145	0,3471817	0,8454704	0,1695395	0,0453148	0,3674853	0,3631832	0,6877511	0,2739620	0,3769801	0,6410288	0,0525314	0,4366471	0,2184084	0,6781089	0,0847431	0,2065787	0,2106094	0,4123065	0,5327674	0,3787729	0,7070793	0,2266750	0,2404778
220	0,1551283	0,3654995	0,4159455	0,4195215	0,4499366	0,3358742	0,2966624	0,5326363	0,3556550	0,2445637	0,1487082	0,1013003	0,5312582	0,1939330	0,5527393	0,0727900	0,4368852	0,2334251	0,0653326	0,1144087	0,1079580	0,5842070	0,3307268	0,2047316	0,3487979	0,4085380	0,6388462	0,2286644	0,1853350	0,2328713	0,3178108	0,3494492	0,1552912	0,1584618	0,3490046	0,0325382	0,3895595	0,4269188	0,5706602	0,1022258	0,5829593	0,2938110	0,6875441	0,1483499	0,0316353	0,3730310	0,3363934	0,5157097	0,2592374	0,3010864	0,6804470	0,0410011	0,5201677	0,2384782	0,6598055	0,0806462	0,1614449	0,1844054	0,4619953	0,6400508	0,4584687	0,6931731	0,3184820	0,2680277
240	0,1262127	0,4751575	0,4252325	0,4308402	0,5016929	0,3949072	0,2740646	0,4620624	0,3242761	0,2306080	0,0357177	0,1457221	0,5743721	0,1710934	0,5126005	0,0304121	0,4241500	0,2011643	0,0553031	0,1333216	0,1002542	0,6499919	0,2913483	0,2149878	0,3574926	0,4502273	0,9179780	0,1566966	0,2548680	0,2268254	0,3225565	0,3442971	0,1679346	0,1937478	0,3164478	0,0186902	0,4040432	0,3332187	0,5199112	0,0562333	0,5848790	0,2663964	0,6664966	0,1544025	0,0323843	0,4183457	0,3629744	0,6193696	0,2433705	0,2453997	0,7674148	0,0677643	0,5161823	0,2028118	0,8288180	0,0751880	0,1426530	0,1831145	0,5173594	0,6933286	0,3558740	0,6317342	0,2956391	0,2480594
260	0,0908019	0,4484862	0,3783108	0,4021921	0,5089903	0,3384467	0,2878495	0,6667473	0,3815953	0,2149138	0,0415431	0,1551481	0,5738431	0,2522388	0,4432886	0,0447917	0,3668074	0,2522457	0,0499538	0,0985015	0,1014469	0,7038165	0,3733254	0,2428801	0,3726870	0,3939554	0,7371999	0,1337084	0,1298428	0,1719709	0,4462094	0,3642955	0,2740547	0,1179610	0,2317341	0,0765697	0,2916454	0,2672438	0,5483151	0,0700698	0,4238750	0,2217419	0,7514041	0,1349538	0,0396648	0,3651834	0,4772788	0,7528276	0,1793714	0,2755066	0,7049905	0,0709784	0,5598991	0,3142035	0,7468118	0,0456264	0,1432048	0,1710264	0,4099086	0,5730720	0,3465480	0,6952249	0,2795092	0,2261367
280	0,0906466	0,4422011	0,3901857	0,5249326	0,5123027	0,3035105	0,3329262	0,4578021	0,4170150	0,2855885	0,0409246	0,1463584	0,6085231	0,1765974	0,4808172	0,0721876	0,4159921	0,1519099	0,0800928	0,1109139	0,0663217	0,6792080	0,2940253	0,1808300	0,3515380	0,3152500	0,6503745	0,1646788	0,1755486	0,1581747	0,3902498	0,3616443	0,2022654	0,1508021	0,2288273	0,0285868	0,2184791	0,3046743	0,7814915	0,0800585	0,5468308	0,2505988	0,6697384	0,1250514	0,0230281	0,3303742	0,3645050	0,6048333	0,1992166	0,1949672	0,7061616	0,0521549	0,6243835	0,2735152	0,7053716	0,0317992	0,1207462	0,1809745	0,5353833	0,5881637	0,2997237	0,6618237	0,2437982	0,2952826
300	0,1346650	0,3126288	0,3984713	0,4157770	0,5286639	0,3057518	0,3664462	0,4549025	0,3545424	0,2966586	0,0717750	0,0607902	0,5237615	0,1517867	0,4635511	0,0424321	0,3370268	0,2447486	0,0427973	0,0984501	0,1032177	0,6596285	0,2683830	0,1995242	0,3041458	0,2985171	0,8870890	0,1673991	0,1825387	0,1642826	0,4018318	0,3909451	0,2271483	0,1295319	0,2547544	0,0219690	0,2103026	0,3095173	0,5988756	0,0689867	0,5613627	0,3198363	0,7807949	0,1016216	0,0176329	0,4382149	0,4053252	0,7669819	0,1817905	0,1898579	0,6880359	0,1065097	0,5245531	0,2748339	0,7666090	0,0260550	0,1631740	0,2016847	0,4256807	0,6589869	0,3332121	0,5817064	0,2797735	0,2553189
320	0,0933176	0,3910706	0,4354879	0,4265856	0,4713787	0,3955775	0,2935962	0,5137124	0,3719371	0,3097991	0,0510588	0,1203920	0,6308542	0,1596450	0,4848412	0,0416782	0,4032146	0,1480851	0,0484286	0,0704177	0,0857887	0,6914905	0,3191312	0,2006330	0,3698137	0,4859680	0,8574457	0,1673030	0,1684859	0,1891122	0,3609842	0,4288990	0,2509037	0,1567344	0,2577847	0,0130081	0,2858292	0,3471578	0,7235435	0,0598926	0,4798538	0,2798367	0,7401599	0,1453599	0,0142321	0,4092531	0,3444980	0,6780632	0,2590080	0,2937977	0,7391517	0,0769509	0,5900449	0,3125219	0,7770579	0,0193920	0,1643260	0,1518880	0,4008436	0,6498679	0,2814115	0,6447884	0,3185041	0,2950878
