"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH

0	0,0022205	0,0760628	0,0086458	0,0148817	0,0271021	0,0211837	0,1434601	0,2648612	0,2567564	0,4621893	0,3463357	0,4292391	0,4670753	0,1614935	0,5512173	0,2574940	0,2335726	0,0398140	0,0840880	0,3272690	0,0130295	0,0890091	0,0028391	0,0887664	0,0010874	0,3023662	0,3152286	0,1190217	0,0535591	0,0288109	0,0007694	0,0094988	0,0255516	0,1464179	0,6176773	0,0676074	0,1046640	0,8711656	0,2868689	0,0078399	0,0162246	0,0358993	0,3808437	0,0060568	0,0997041	0,0157969	0,0121154	0,4603355	0,8113693	0,0197214	0,3357418	0,0340800	0,7810666	0,3538246	0,3475485	0,0009911	0,8266616	0,1048302	0,4003920	0,0024115	0,0280360	0,1088904	0,0722231	0,0358280
20	0,0096165	0,2889616	0,2494764	0,2109171	0,2917206	0,0100463	0,2091558	0,4102078	0,2995312	0,4401704	0,2979147	0,3813326	0,6658030	0,2570834	0,4757274	0,2752449	0,1970826	0,1380594	0,2414241	0,2583928	0,1247248	0,1779224	0,0172860	0,0925870	0,0000000	0,2379486	0,4551013	0,1748266	0,1099137	0,1024714	0,2210605	0,0081891	0,0081254	0,1506943	0,4928336	0,0734020	0,2465960	0,8272494	0,3684519	0,0049172	0,2623701	0,0507561	0,1464786	0,0226274	0,1584115	0,0839301	0,0223622	0,6377689	0,7342754	0,0223028	0,3784888	0,3176488	0,5890851	0,2453954	0,3023730	0,0013417	0,4961950	0,0786922	0,3863075	0,0007805	0,0441880	0,1267309	0,3014209	0,0442083
40	0,0042216	0,4846852	0,4039117	0,3279066	0,4116218	0,0143396	0,2598584	0,4310896	0,3819418	0,4654866	0,4330961	0,4929842	0,7145359	0,3538061	0,3062579	0,3052776	0,2273995	0,2658788	0,4754141	0,3143735	0,2300696	0,3370745	0,0610177	0,1373325	0,0014024	0,2469569	0,4340881	0,0926215	0,1176078	0,1933510	0,3473108	0,0123557	0,0337205	0,2994460	0,3084061	0,1086707	0,3768635	0,8530775	0,5392994	0,0063136	0,3965901	0,0342286	0,1192420	0,0275573	0,2515756	0,3101408	0,0610156	0,6336634	0,8022068	0,0048670	0,4262843	0,4920352	0,4981098	0,3187992	0,3583099	0,0035630	0,6587687	0,1415293	0,5158261	0,0038665	0,0464218	0,3470079	0,4725945	0,0219699
60	0,0041362	0,5307273	0,4795681	0,4783915	0,6139840	0,0042570	0,2445079	0,5001657	0,4995046	0,4577439	0,5316966	0,4609477	0,6898022	0,4105299	0,2386843	0,4403221	0,2826678	0,2799387	0,4264658	0,2244298	0,3489350	0,3656162	0,0726337	0,3177262	0,0182357	0,2213144	0,5080071	0,0854402	0,2000533	0,3047112	0,4799411	0,0758387	0,0191977	0,2623052	0,2725836	0,0664156	0,4495342	0,7840960	0,5479778	0,0067115	0,5263619	0,0930193	0,0420375	0,0148548	0,4807071	0,4904037	0,0497503	0,7027933	0,7551291	0,0045406	0,3031171	0,5595896	0,3047103	0,2522190	0,2740321	0,0807918	0,4852431	0,2110585	0,5393057	0,0227136	0,0417519	0,4647316	0,7070107	0,0341164
80	0,0028657	0,5728389	0,4614581	0,5209216	0,5346200	0,0137056	0,2595097	0,6523864	0,4266370	0,4613703	0,5346366	0,5585162	0,7033359	0,4798052	0,1713569	0,4342115	0,3167148	0,4876242	0,5450803	0,2893867	0,4846193	0,4400816	0,0669807	0,4739918	0,0694594	0,3264445	0,5706570	0,1838555	0,2515335	0,3500973	0,4959961	0,1388272	0,0242295	0,4424432	0,1661052	0,1224034	0,5355437	0,7178552	0,6047109	0,0191576	0,6173335	0,0887061	0,0700083	0,0176867	0,4877461	0,6770797	0,1350370	0,6781882	0,7244947	0,0129606	0,2323779	0,6103702	0,2412286	0,1587450	0,3316088	0,1312953	0,6141911	0,3206090	0,6171924	0,1241479	0,0373308	0,5052894	0,6535515	0,0874356
100	0,0004216	0,7109976	0,5404542	0,5399795	0,6506231	0,0127574	0,2719291	0,7933858	0,5294104	0,4246676	0,5748988	0,5286775	0,7675393	0,6097191	0,1183482	0,3991210	0,3495219	0,5388607	0,7009180	0,2990533	0,5154714	0,4099262	0,1888053	0,6720096	0,0584100	0,4642811	0,5827302	0,2360092	0,3495137	0,3548293	0,4891657	0,1498156	0,0706209	0,3261180	0,1215360	0,2009941	0,5822036	0,7829681	0,7790525	0,0536908	0,6682458	0,1889584	0,0828595	0,0214539	0,4926920	0,6437416	0,2318688	0,7985635	0,6260906	0,0428095	0,2883787	0,5389978	0,2214522	0,1684922	0,3603458	0,1733876	0,4730713	0,3788537	0,7198545	0,1082352	0,0610100	0,5422283	0,7511981	0,1694752
120	0,0053902	0,5484928	0,5751544	0,5449871	0,6940401	0,0107606	0,1838111	0,7771577	0,5628926	0,4991575	0,6208705	0,6863446	0,7602166	0,5637572	0,1074312	0,4371998	0,3143940	0,7093751	0,6143715	0,3382415	0,4738219	0,4740575	0,0950578	0,6857398	0,1237617	0,4844557	0,6744600	0,2688101	0,3384590	0,3492097	0,5741379	0,2520684	0,1240173	0,4404088	0,0958379	0,2602185	0,6396067	0,8310336	0,6992196	0,3141080	0,5196410	0,1660625	0,0525440	0,0524928	0,5557344	0,8066822	0,2703577	0,7415582	0,6390650	0,0744293	0,2774048	0,7093735	0,0670949	0,1505453	0,4781739	0,2570430	0,4637852	0,3993291	0,5612973	0,1444693	0,1222729	0,5532495	0,6713724	0,1764378
140	0,0019503	0,6179125	0,5665468	0,5865380	0,7663306	0,0250896	0,2401922	0,9021212	0,4765315	0,4935275	0,7960395	0,7527228	0,7195365	0,3869819	0,0456757	0,6742721	0,2894877	0,6405697	0,7673106	0,4152664	0,5007680	0,5393817	0,2041456	0,7338883	0,1080370	0,4846819	0,5776220	0,4291016	0,4663894	0,3894911	0,5583869	0,2502720	0,1457075	0,4151319	0,0682152	0,2921688	0,6050291	0,7782947	0,7489394	0,3867579	0,5729110	0,2021637	0,0932282	0,0402190	0,7591973	0,7186300	0,2945387	0,7249748	0,6104803	0,0497570	0,2182885	0,7137364	0,0356978	0,1282618	0,5145960	0,3896061	0,4862397	0,4010889	0,7154983	0,2311207	0,1197806	0,4824003	0,7932387	0,2062585
160	0,0080697	0,6055027	0,5386174	0,6457686	0,7634579	0,0088299	0,2179678	0,6566938	0,4633407	0,4682441	0,6058516	0,6590422	0,6071722	0,6301354	0,0398580	0,6085530	0,4282180	0,5594535	0,6790155	0,3234488	0,5464523	0,5745113	0,1963837	0,5752349	0,0995054	0,3462867	0,6803730	0,3901046	0,4364007	0,4578081	0,4432470	0,2998981	0,1772927	0,4546860	0,0819784	0,3182615	0,7076537	0,9556307	0,7855172	0,3899535	0,7059542	0,2619653	0,1570527	0,0215381	0,7080580	0,7547651	0,2994941	0,8371386	0,6572254	0,0779258	0,3250335	0,7303270	0,0417195	0,1453674	0,5556745	0,3229986	0,4454122	0,4941694	0,8825023	0,2005961	0,1338644	0,5685043	0,8274462	0,2424973
