"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH

0	0,0075143	0,0760601	0,0181093	0,0185685	0,0477337	0,0274708	0,1853340	0,4650937	0,3180634	0,6726733	0,3955170	0,6004049	0,7837900	0,1892154	0,7570278	0,3685228	0,3344902	0,0681259	0,1045414	0,4637360	0,0143528	0,1521117	0,0083313	0,1705822	0,0007462	0,4061953	0,4307633	0,1921203	0,0923130	0,0478587	0,0024264	0,0187306	0,0316828	0,1973231	0,8362161	0,0935979	0,1483393	1,0788069	0,3050448	0,0120008	0,0240866	0,0570731	0,5600597	0,0128230	0,1573662	0,0250203	0,0277151	0,6062685	1,0365845	0,0229956	0,4638285	0,0321666	1,0081355	0,4435776	0,4513320	0,0007739	1,0705248	0,1222362	0,5149963	0,0020848	0,0450541	0,0692217	0,1066850	0,0484488
20	0,0096568	0,4193928	0,4189618	0,3367264	0,3697508	0,0177683	0,2973122	0,5282624	0,3255143	0,6508529	0,4063164	0,5658657	0,8118288	0,3788403	0,5805141	0,3695754	0,3248654	0,2106922	0,3503511	0,4630718	0,2145002	0,2378837	0,0327450	0,1322317	0,0000000	0,3956897	0,6404971	0,1697819	0,1565121	0,1113303	0,2815759	0,0102740	0,0249413	0,2518346	0,5870061	0,1291818	0,2859442	1,1270144	0,6235209	0,0078314	0,4177784	0,0798581	0,2142111	0,0268554	0,1524159	0,1407023	0,0239616	0,7050363	0,9846399	0,0243950	0,4577098	0,4341473	0,8015450	0,3872126	0,4448197	0,0009837	0,8313153	0,1079162	0,5950906	0,0026772	0,0395995	0,1829798	0,3772023	0,0430716
40	0,0068394	0,5982239	0,5922605	0,4703079	0,6450149	0,0209077	0,3170156	0,6472041	0,4289344	0,6499299	0,5949867	0,6493788	0,9400105	0,4705121	0,3644769	0,3790527	0,3010216	0,3039627	0,5321485	0,4600140	0,3737647	0,3670694	0,0777623	0,2366789	0,0028935	0,3412784	0,6923232	0,1573177	0,1866187	0,2592327	0,4354351	0,0325432	0,0251842	0,3061365	0,4072640	0,1204606	0,4388770	1,1583650	0,7368067	0,0087686	0,5743353	0,0775918	0,1225009	0,0254969	0,2863942	0,4634057	0,0314094	0,8508618	1,0108097	0,0124523	0,4510395	0,6674610	0,6225644	0,3809576	0,4233194	0,0050069	0,7950233	0,1896195	0,7108992	0,0038522	0,0550310	0,4104482	0,6361085	0,0378509
60	0,0083890	0,7100651	0,6236776	0,6447067	0,7659342	0,0144786	0,3330773	0,7948524	0,5535776	0,6119962	0,6916781	0,7217456	0,9338224	0,5181793	0,2926466	0,4839443	0,3455009	0,4121254	0,6517832	0,3674857	0,4793427	0,4659458	0,1172305	0,4799516	0,0403172	0,3964686	0,6794773	0,1463069	0,2851357	0,3431815	0,5302208	0,0762998	0,0278316	0,3829279	0,3098698	0,1017025	0,5694218	1,0479000	0,8385048	0,0044987	0,7378956	0,0810761	0,0783740	0,0170252	0,5292184	0,6495529	0,0610125	0,9388087	0,9804259	0,0149793	0,4374602	0,7700727	0,4860283	0,3436682	0,4193450	0,1006562	0,7787385	0,3042438	0,7688016	0,0383332	0,0388194	0,5924221	0,8641564	0,0599802
80	0,0051743	0,8306166	0,7472999	0,7274836	0,8385107	0,0141880	0,2937464	0,8335311	0,5757647	0,6226768	0,7328143	0,7547604	0,9689726	0,6045825	0,2326527	0,5659128	0,4099373	0,5569040	0,8015235	0,4696683	0,6120150	0,5473263	0,1238392	0,6616281	0,0813772	0,4760709	0,7407329	0,2575790	0,4042748	0,4352576	0,6224089	0,1574629	0,0293540	0,4442991	0,2035942	0,1459970	0,6697124	1,0933002	0,8574252	0,0281504	0,8125828	0,1451554	0,0875889	0,0240799	0,6624739	0,8340472	0,1711859	0,9884673	0,9277688	0,0195356	0,3968322	0,8227636	0,3341130	0,2541066	0,4751317	0,2031243	0,6980120	0,3998954	0,8232083	0,1201166	0,0467896	0,6678440	0,9510313	0,0929992
100	0,0006865	0,9065517	0,7272561	0,7749786	0,9104671	0,0160586	0,3086297	0,9791037	0,6001624	0,6200115	0,7524730	0,8174973	0,9819499	0,6781219	0,1594056	0,6449408	0,4901574	0,6834186	0,8296592	0,4861253	0,6543091	0,6001448	0,1607903	0,7717145	0,1124695	0,5613344	0,8170528	0,3054823	0,4671774	0,4802809	0,6990697	0,1980487	0,1131860	0,4923601	0,1614500	0,2458171	0,7107295	1,0985088	0,9615400	0,1019699	0,7880921	0,2243803	0,0978529	0,0304878	0,8045312	0,9133006	0,2511478	0,9762262	0,9325311	0,0343909	0,4367565	0,8610099	0,2193555	0,2456401	0,5283968	0,2845431	0,6455437	0,4196985	0,8887279	0,2002729	0,0682648	0,7058180	0,9693310	0,1859345
120	0,0052317	0,8627492	0,7845072	0,8091712	0,9367228	0,0285581	0,2937800	1,0412357	0,6783886	0,6117768	0,8222432	0,8526746	0,9567895	0,7325860	0,1386528	0,7052109	0,4831342	0,8409170	0,9131883	0,4734138	0,6703995	0,6803540	0,2250291	0,8660813	0,1280916	0,6084794	0,8755428	0,3868139	0,5300555	0,5546159	0,7528619	0,3349898	0,1969835	0,5291318	0,1345006	0,3736580	0,7222272	1,1157730	0,9313465	0,3205484	0,8627114	0,2699284	0,1223187	0,0332323	0,8226099	1,0123449	0,4108886	0,9885623	0,9044790	0,0654573	0,4234525	0,8926054	0,1153602	0,2111594	0,6463314	0,3817586	0,6347438	0,4646904	0,9299374	0,2321151	0,1429300	0,7065898	0,9467193	0,2834962
140	0,0046279	0,8559242	0,7710137	0,8451186	1,0174350	0,0280492	0,3506112	1,0863280	0,6751131	0,6664377	0,8878909	0,8717625	0,8990088	0,7481057	0,1237851	0,7667302	0,5233219	0,8688431	0,9453379	0,5057264	0,6656514	0,6947701	0,2373170	0,9138703	0,1303406	0,6351613	0,8882190	0,4725602	0,5493257	0,5804719	0,7065461	0,3577224	0,1918921	0,5917089	0,1031443	0,4452355	0,7877275	1,0963477	0,8856377	0,4564747	0,8557929	0,3324415	0,1452464	0,0337927	0,8925909	1,0078360	0,4370976	0,9940718	0,9020709	0,0688298	0,4381761	1,0043022	0,0725711	0,1948048	0,6657960	0,4486818	0,6479887	0,5358844	0,9626668	0,2575480	0,1571711	0,7947032	0,9827234	0,3095199
160	0,0112337	0,9131092	0,7715125	0,8838548	0,9589841	0,0268969	0,3422356	1,0188163	0,6786385	0,6785052	0,8965207	0,9025317	0,8861371	0,7875705	0,0790441	0,8061591	0,5898860	0,9032418	0,9612104	0,5243268	0,7048564	0,7960692	0,2600873	0,9066854	0,1257898	0,5845039	0,8726853	0,5073526	0,5807571	0,6399367	0,6927541	0,3488994	0,2723244	0,5979202	0,1055338	0,4493915	0,8781583	1,0862280	1,0368562	0,5698991	0,9350377	0,3532540	0,1718304	0,0455132	0,8269450	1,0015764	0,4590280	1,0184613	0,9181707	0,0736706	0,4506294	0,9354135	0,0460281	0,2214345	0,6906083	0,5574942	0,6158130	0,6339984	0,9944610	0,2570115	0,2399276	0,7770822	1,0593677	0,3455447
