"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH

0	0,0058251	0,0734517	0,0208541	0,0153930	0,0563567	0,0182131	0,1690043	0,4265994	0,3201953	0,5728979	0,3479114	0,6130695	0,8033227	0,1871476	0,6891040	0,4316987	0,2956907	0,0583225	0,0961210	0,4466348	0,0052619	0,1628949	0,0104680	0,1793803	0,0032906	0,4450578	0,4688280	0,1542535	0,1041954	0,0560572	0,0070748	0,0239191	0,0262337	0,1961066	0,8715461	0,1064364	0,1447049	1,0842439	0,2717068	0,0144369	0,0325487	0,0727890	0,5606766	0,0115531	0,1254298	0,0076744	0,0358085	0,5877273	1,0123941	0,0155190	0,4531092	0,0145572	0,9609130	0,4773358	0,4191336	0,0050035	0,9190437	0,1253528	0,5178489	0,0025370	0,0530129	0,1022026	0,0919259	0,0414109
20	0,0006221	0,1357855	0,0845334	0,0714747	0,1107241	0,0277250	0,1982999	0,4489898	0,3698301	0,5923934	0,3867688	0,5993183	0,8215290	0,2243998	0,7581556	0,4026227	0,3291604	0,0924342	0,1931461	0,4934552	0,0682451	0,1395229	0,0092064	0,1601715	0,0011562	0,4839691	0,5269186	0,1773440	0,1170376	0,0504618	0,0641228	0,0136741	0,0279024	0,1767503	0,7770084	0,1119553	0,1213499	1,0638396	0,4354839	0,0267598	0,1224583	0,0572639	0,5135878	0,0226914	0,1583717	0,0402519	0,0448819	0,6168876	0,9555103	0,0311751	0,4184416	0,1174781	0,9870976	0,4287636	0,4240748	0,0037802	0,8698916	0,1272018	0,6146971	0,0107969	0,0532170	0,0804602	0,1366186	0,0524354
40	0,0049245	0,3016648	0,2228913	0,1545401	0,2967715	0,0255372	0,2416922	0,5336936	0,3836701	0,6280657	0,4501350	0,5709283	0,8102215	0,3306223	0,5758018	0,3943685	0,3082601	0,1656974	0,3180692	0,4903527	0,1516813	0,1494782	0,0319190	0,1805452	0,0010055	0,4199757	0,6037510	0,1703196	0,1287006	0,1098788	0,1698034	0,0215745	0,0137654	0,2157941	0,6617004	0,1376238	0,1763796	1,1172480	0,5604100	0,0180875	0,2847078	0,0722340	0,3587356	0,0279026	0,1666059	0,1588217	0,0371295	0,7034001	1,0221937	0,0272782	0,4155093	0,2463322	0,8160331	0,3959510	0,4695714	0,0005315	0,7469052	0,1552374	0,6600438	0,0074286	0,0525663	0,1661315	0,2198300	0,0468002
60	0,0093918	0,4478518	0,3619117	0,2597020	0,4725118	0,0191530	0,2854082	0,6508728	0,4523194	0,6664587	0,5852402	0,6141210	0,8616914	0,4037782	0,4694154	0,3966049	0,2963234	0,2749703	0,4483367	0,4494144	0,2486602	0,2457340	0,0428185	0,4278513	0,0217904	0,3993826	0,6293946	0,1717711	0,1785330	0,2052341	0,2828980	0,0427055	0,0129796	0,2849230	0,5584400	0,1193960	0,2606830	1,1641045	0,5936628	0,0191402	0,4035055	0,0724516	0,2648413	0,0227899	0,2681652	0,3321035	0,0237139	0,8005290	1,0156485	0,0158054	0,4143134	0,4430893	0,6952615	0,4084339	0,4324620	0,0309201	0,7572658	0,2429309	0,7149932	0,0094390	0,0407077	0,2694859	0,4041280	0,0354004
80	0,0148649	0,6057062	0,4708803	0,3840867	0,6112420	0,0164905	0,2584743	0,7280647	0,5201893	0,6478723	0,6433931	0,6474867	0,8750531	0,4331795	0,4069992	0,4072430	0,3657468	0,3394289	0,5935844	0,4428146	0,3769178	0,3183143	0,0775772	0,6314424	0,0545131	0,3532966	0,5914306	0,2013718	0,2473592	0,2766709	0,3934590	0,1018673	0,0136952	0,3987112	0,4474961	0,1190434	0,3566218	1,0352855	0,7115258	0,0237265	0,5587419	0,0708218	0,2447390	0,0281752	0,3760233	0,5308634	0,0363027	0,9034777	0,9445017	0,0056661	0,4205962	0,6177944	0,5193845	0,3327022	0,4809321	0,0613131	0,7489787	0,3503309	0,6753530	0,0240093	0,0483611	0,3475365	0,5803133	0,0380157
100	0,0084557	0,8501622	0,5657252	0,4743821	0,7948868	0,0233322	0,3070874	0,8256907	0,5780662	0,6510498	0,6816704	0,6959399	0,9286426	0,5252556	0,3277609	0,4918425	0,4111836	0,4504422	0,6915119	0,4439172	0,5193465	0,3939091	0,1395452	0,6943196	0,0876373	0,4431472	0,6484724	0,2447308	0,2879961	0,4319530	0,4998180	0,1309467	0,0783889	0,4153760	0,2961089	0,1702445	0,4744796	1,0025448	0,7013186	0,0507071	0,6006302	0,1622454	0,1946054	0,0219885	0,4945013	0,6925529	0,0957217	0,9542439	0,9279225	0,0070892	0,4183433	0,6949868	0,4388476	0,3083671	0,4523536	0,1222670	0,7498583	0,3662970	0,6747715	0,0479354	0,0771640	0,4464804	0,6625352	0,0634578
120	0,0110391	0,8922632	0,6159815	0,5733793	0,8665936	0,0301953	0,3157479	0,8991806	0,5390447	0,5743026	0,6709053	0,7084798	0,9689131	0,5739002	0,2661253	0,5405728	0,4868835	0,5754990	0,7183923	0,4785036	0,6105486	0,4508078	0,2025282	0,7818667	0,1097749	0,4609846	0,6927654	0,2920349	0,3862325	0,4428776	0,6281830	0,1676655	0,1762923	0,5698343	0,2663901	0,2558236	0,6053578	1,0375883	0,8004293	0,1337154	0,6179572	0,1869304	0,1797047	0,0483130	0,5660316	0,8408841	0,1610436	0,9958002	0,9087030	0,0352484	0,4487605	0,7810991	0,3390909	0,2970955	0,4684277	0,2427942	0,7297134	0,4271223	0,7827450	0,0721816	0,0650036	0,5224113	0,7231950	0,1072920
140	0,0120066	0,9057548	0,5922361	0,6540211	0,9017171	0,0212336	0,3437264	0,9674434	0,5624803	0,5947899	0,7406745	0,7252385	0,9266527	0,6534739	0,1593995	0,6989544	0,4909297	0,6484038	0,7957264	0,4702592	0,6256549	0,5175205	0,2164543	0,9037222	0,1371833	0,5467087	0,7274548	0,3388328	0,4303016	0,4923679	0,6774318	0,2487683	0,1755650	0,4809832	0,1986553	0,3063591	0,6392243	1,0990209	0,8063413	0,2333222	0,7280425	0,2351309	0,1660079	0,0414515	0,6699888	0,9208620	0,2377067	1,0102127	0,9332028	0,0398207	0,4131983	0,9066315	0,2687970	0,2614000	0,6098032	0,3003480	0,7058468	0,4080639	0,9061510	0,1287614	0,0969719	0,5904705	0,7898038	0,1632662
160	0,0097211	0,8914216	0,6935670	0,6963846	0,9435100	0,0216474	0,3518315	1,0511852	0,5769598	0,7167946	0,7576963	0,7331358	0,8940780	0,6937925	0,1182648	0,7713724	0,5588568	0,6952973	0,8546230	0,5129800	0,6221561	0,6393108	0,2368264	0,9990042	0,1261689	0,6002151	0,8262589	0,3427127	0,4884783	0,5796242	0,6871002	0,2847880	0,1951902	0,5259179	0,1440241	0,3675385	0,6749090	1,0797484	0,9122764	0,3971622	0,8283819	0,2619374	0,1753311	0,0462545	0,7325034	0,9350377	0,3013697	1,0254580	0,9127437	0,0316423	0,4446935	0,9403249	0,2131713	0,2711421	0,6650903	0,4185269	0,6532538	0,4617887	0,9084273	0,1685775	0,1421966	0,6680029	0,9264303	0,2150111
180	0,0076646	0,9319739	0,7177308	0,6947357	0,9399139	0,0150471	0,3656454	1,0486841	0,6150896	0,6605007	0,8414670	0,8294629	0,8660872	0,7288069	0,1010094	0,7834912	0,5152002	0,7597094	0,8962695	0,4667454	0,6840461	0,7079438	0,3054654	0,8616108	0,2058684	0,6688368	0,8388299	0,4134484	0,5179118	0,6221476	0,6902326	0,3472255	0,3084967	0,5366689	0,1256146	0,4299209	0,7634996	1,1021505	0,9572766	0,4556508	0,8678328	0,3048881	0,1843257	0,0450084	0,7281358	0,8758643	0,3533442	1,0538211	0,9712367	0,0446370	0,4433097	0,8800162	0,1408703	0,2680101	0,7052217	0,5089653	0,6094308	0,5709180	1,0076970	0,2105464	0,1998281	0,6462404	0,9426728	0,2618462
200	0,0029947	0,8650777	0,7089828	0,7497612	1,0560383	0,0159423	0,3545749	0,9879248	0,6576973	0,6906220	0,8497592	0,7976220	0,8973951	0,7934944	0,0909605	0,9156091	0,5625307	0,8315425	0,8963634	0,4936616	0,7114849	0,8029819	0,3508540	0,8681609	0,1877829	0,6394584	0,8174321	0,4631659	0,5543207	0,6733696	0,6656086	0,3643765	0,3606358	0,6137736	0,1106416	0,4549263	0,7606694	1,0846690	0,9939591	0,5589231	0,8790464	0,3691603	0,1640980	0,0567531	0,8444440	0,8967125	0,4052101	1,0261533	0,9114108	0,0943439	0,4555697	0,8855406	0,1059626	0,1991722	0,6319287	0,5158424	0,6173369	0,5592077	0,9484464	0,2513168	0,2743294	0,7030456	0,9054472	0,3295015
220	0,0043167	0,8465938	0,6775744	0,7660657	1,0263837	0,0147380	0,3434755	1,0486057	0,6330444	0,7255538	0,8689015	0,8225578	0,9133364	0,9105896	0,0910831	0,9256360	0,5706381	0,8629448	0,8969972	0,5441899	0,7473201	0,8252680	0,3721428	1,0214681	0,1671891	0,6094119	0,7732688	0,5033111	0,5490418	0,6842980	0,6713909	0,3602300	0,4562464	0,5448404	0,0862515	0,4185421	0,7671630	1,0901252	1,0032482	0,6010724	0,8734967	0,4394282	0,1930811	0,0612966	0,8637905	0,9286179	0,4373208	0,9757229	0,9877273	0,0983229	0,4197514	0,9330569	0,0814761	0,1890637	0,5858947	0,5170370	0,5893707	0,6777143	0,9123705	0,2795921	0,3180350	0,7370410	0,9229060	0,3305215
240	0,0026659	0,8171471	0,7317745	0,7494928	1,0186723	0,0191256	0,3273022	1,0179532	0,6027380	0,6155707	0,8630122	0,8038282	1,0217411	0,9494163	0,1022995	0,8508358	0,5905255	0,9982504	0,9504849	0,5727257	0,7613968	0,8282400	0,3887108	0,9334477	0,1728874	0,5818201	0,7903208	0,4229439	0,5044548	0,6585573	0,7192818	0,3433738	0,4571368	0,5906047	0,0754116	0,4229804	0,8151471	1,1646878	1,0211870	0,5340808	0,8736300	0,4142344	0,1808372	0,0856896	0,8396321	0,8887642	0,4784993	0,9037894	1,0451206	0,1206030	0,4057313	0,8982111	0,0648125	0,1840628	0,6355969	0,5567920	0,5192810	0,7933001	0,9849600	0,3147073	0,3286759	0,7731960	1,0189248	0,3302359
260	0,0026016	0,8546784	0,7235939	0,7726330	1,0016515	0,0373659	0,3915619	1,0874370	0,6263350	0,5786769	0,8330111	0,9038573	1,0159121	0,9176656	0,0961862	0,8673200	0,6249887	1,0650273	1,0002797	0,5022853	0,8565506	0,9041721	0,3441970	0,9509464	0,1276651	0,5118771	0,7467397	0,4400919	0,5487951	0,6744179	0,7186169	0,4118024	0,5162780	0,6038453	0,0551864	0,4252470	0,8658720	1,0694815	1,0629848	0,5878310	0,9005598	0,4308597	0,1600755	0,0954131	0,8610177	0,9407483	0,4983829	0,9112608	0,9956247	0,1263319	0,4508770	0,8850298	0,0423417	0,1493515	0,6972773	0,5616588	0,5483889	0,8224892	0,9776317	0,3213260	0,3605752	0,7871324	0,9493075	0,3400522
280	0,0034418	0,9700034	0,7886591	0,8209999	0,9814209	0,0356280	0,3705176	1,1507042	0,6620266	0,5789631	0,8111221	0,9456238	1,0004311	1,0365659	0,0662241	0,8349002	0,6481693	1,0048028	0,9473720	0,5394112	0,7713767	0,9361333	0,3557378	0,9851092	0,0791790	0,5453951	0,7755935	0,4999919	0,5571359	0,6625618	0,7243467	0,3967549	0,5885930	0,5701770	0,0582477	0,4685200	0,9194160	1,1093200	0,9972131	0,5773164	0,8736720	0,4232399	0,1590074	0,1057506	0,8851045	0,9885093	0,5419395	0,9313968	0,9643247	0,1022311	0,3975219	0,9109397	0,0210125	0,1451958	0,7380741	0,6719449	0,5547221	0,8037398	0,9228146	0,3931670	0,3725268	0,7781002	0,9957841	0,3707141
300	0,0064573	0,8985363	0,8028771	0,8474610	1,0251984	0,0375276	0,3495873	1,1099971	0,6532023	0,6497895	0,8943408	1,0039536	0,9481372	0,9977813	0,0467847	0,8723878	0,5939084	0,9953973	0,9575671	0,5522918	0,7272188	0,9143895	0,4191528	1,0712836	0,1464599	0,5648292	0,7194425	0,4984047	0,5187022	0,6327163	0,7185434	0,4353590	0,5427475	0,6015524	0,0596060	0,4642400	0,9957786	1,0590621	1,0297005	0,6012741	0,8939946	0,4616492	0,1557223	0,1153382	0,8991804	1,0396788	0,5379703	0,9468344	0,9488059	0,1130252	0,3924697	0,8316369	0,0199857	0,1526389	0,7264456	0,6155045	0,5787200	0,7676831	0,8718762	0,4043834	0,3769833	0,7706394	0,9960019	0,4632245
320	0,0029068	0,9386702	0,8239088	0,9115163	1,0301993	0,0400738	0,4009770	1,0357993	0,6798459	0,6222072	0,9315365	1,0147944	0,9778750	0,9785210	0,0508304	0,9508913	0,6061731	0,9748994	0,9719596	0,5211326	0,7101047	0,9416567	0,4841758	0,9999543	0,2379313	0,6037807	0,7476392	0,5123438	0,5083681	0,5770033	0,6620525	0,4097453	0,6861740	0,6213991	0,0525808	0,5638671	0,9454661	1,0410663	0,9770208	0,6440476	0,9784491	0,3964598	0,1684469	0,1411710	0,9265841	0,9677079	0,5269305	0,9533191	1,0408749	0,1239528	0,3912781	0,8149556	0,0151104	0,1585487	0,7200416	0,5984300	0,4991426	0,8199842	0,9011702	0,4149744	0,3722239	0,8518413	0,9911922	0,4914930
340	0,0018259	0,9270674	0,8034219	0,9735465	0,9700144	0,0277737	0,4144936	0,9813899	0,6092813	0,6525625	1,0683479	1,0469850	0,9511493	1,0111577	0,0466365	0,9379447	0,6829556	1,0575649	0,8919110	0,5626279	0,6433322	0,9371039	0,4429006	1,0184156	0,3088579	0,6162790	0,7457257	0,5119255	0,4937111	0,5750820	0,6814861	0,4886387	0,6200261	0,6848588	0,0610390	0,5305763	0,8836181	0,9976571	1,0101178	0,6984463	0,9609831	0,3898253	0,1739366	0,1623627	0,9135877	0,9567616	0,5721935	0,9522564	1,0111292	0,1228914	0,4279868	0,8753716	0,0070279	0,1549499	0,7137728	0,6125549	0,4415658	0,9059427	0,9013318	0,4421691	0,3920533	0,8504348	0,9526371	0,5106455
