"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH

0	0,0031601	0,0805582	0,0171953	0,0124150	0,0422430	0,0212342	0,1706029	0,4015612	0,3464350	0,6513923	0,3425658	0,6104019	0,7534395	0,1746803	0,7397568	0,3752710	0,3093031	0,0480447	0,0867057	0,4700695	0,0162218	0,1555092	0,0009070	0,1401115	0,0000613	0,4503634	0,4760704	0,1491247	0,1262294	0,0533620	0,0034483	0,0167958	0,0225509	0,1679255	0,8209987	0,1000008	0,0787632	0,9999228	0,2838269	0,0096699	0,0450626	0,0512305	0,5490232	0,0117953	0,1470481	0,0132524	0,0430951	0,5424333	0,9999953	0,0171305	0,4274782	0,0217126	0,9990627	0,4405028	0,4558878	0,0015162	0,9948899	0,1108034	0,5071229	0,0032434	0,0463515	0,0724176	0,1140020	0,0454310
20	0,0031601	0,4416000	0,3890935	0,2993601	0,3753347	0,0212343	0,2495849	0,5699588	0,3645768	0,6513916	0,3895085	0,6108470	0,7919618	0,3201589	0,5180671	0,3754639	0,3113740	0,1965036	0,3332054	0,4702655	0,2489520	0,2412559	0,0329017	0,1532750	0,0004124	0,4070813	0,5976932	0,1496957	0,1344098	0,1061539	0,2658312	0,0193863	0,0225533	0,2420472	0,5801569	0,0997804	0,2286383	0,9997754	0,6006459	0,0096700	0,4198106	0,0512876	0,2381144	0,0117954	0,1926159	0,0990526	0,0434314	0,7354071	0,9999056	0,0171311	0,4001848	0,4215002	0,8376069	0,4402361	0,4435722	0,0015232	0,8929745	0,1202169	0,6296991	0,0032948	0,0463507	0,1976997	0,3639918	0,0455280
40	0,0031607	0,6369482	0,5427868	0,4972231	0,6050100	0,0212378	0,2814273	0,6586764	0,4274079	0,6513917	0,5458003	0,6221795	0,8629736	0,3962040	0,3845032	0,3825076	0,3267136	0,3071885	0,4956842	0,4724665	0,4146913	0,3668501	0,0634090	0,2360182	0,0060939	0,3863593	0,6789314	0,1580408	0,1829492	0,2465359	0,4277132	0,0379567	0,0226720	0,3081576	0,4152034	0,0957264	0,4218713	0,9985737	0,7513858	0,0096845	0,6258786	0,0544069	0,1068666	0,0118108	0,3574930	0,4574193	0,0483509	0,8867538	0,9978314	0,0171962	0,3932710	0,6390174	0,6737654	0,4336353	0,4357231	0,0112814	0,8326067	0,2239230	0,7227131	0,0054372	0,0463216	0,3619938	0,6663706	0,0483118
60	0,0031683	0,7528883	0,6218683	0,6373702	0,7595614	0,0212630	0,2917275	0,7553162	0,4973835	0,6513920	0,6803928	0,6648113	0,9129458	0,4558876	0,2894674	0,4194793	0,3599054	0,4175711	0,6126319	0,4786800	0,5261776	0,4731333	0,1109110	0,4283490	0,0248486	0,3993005	0,7330826	0,1860339	0,2617727	0,3801221	0,5275952	0,0809152	0,0239262	0,3754426	0,3013547	0,0918469	0,5623011	0,9966792	0,8312704	0,0104983	0,7394537	0,0754362	0,0657953	0,0120510	0,5323605	0,7053768	0,0678777	0,9519783	0,9890468	0,0179777	0,3944617	0,7575795	0,4763419	0,4055228	0,4347296	0,0883908	0,7892911	0,3387188	0,7933497	0,0186961	0,0461809	0,5040863	0,8357710	0,0615566
80	0,0031991	0,8229253	0,6750277	0,7377078	0,8546885	0,0213407	0,2955153	0,8344602	0,5514549	0,6513924	0,7774312	0,7273495	0,9450406	0,5307029	0,2190032	0,4909247	0,4039502	0,5319871	0,7044208	0,4884406	0,5971186	0,5535336	0,1542962	0,6243258	0,0538999	0,4413075	0,7683751	0,2344500	0,3397064	0,4780939	0,5892489	0,1409307	0,0304943	0,4378766	0,2221560	0,1191883	0,6686621	0,9956043	0,8790682	0,0197999	0,8023303	0,1220519	0,0744843	0,0132875	0,6666905	0,8422181	0,1111667	0,9788364	0,9728230	0,0212210	0,3957858	0,8227655	0,3180871	0,3487887	0,4495601	0,1933741	0,7512195	0,4294500	0,8463252	0,0510627	0,0464002	0,6090233	0,9197410	0,0903242
100	0,0032678	0,8655985	0,7158279	0,8093916	0,9123214	0,0214968	0,2995484	0,8859416	0,5880027	0,6513926	0,8454311	0,7884763	0,9653072	0,6122809	0,1677934	0,5734176	0,4498836	0,6392451	0,7787405	0,5001804	0,6410406	0,6183488	0,1842614	0,7661216	0,0831431	0,4934957	0,7900090	0,2945989	0,4010213	0,5490259	0,6273656	0,2056812	0,0517459	0,4912812	0,1668337	0,1931682	0,7472391	0,9956364	0,9098491	0,0601282	0,8373075	0,1811604	0,1012767	0,0167992	0,7607160	0,9157562	0,1784597	0,9899117	0,9547979	0,0286672	0,3953247	0,8595093	0,2091891	0,2807159	0,4862505	0,2944639	0,7144158	0,5042202	0,8858055	0,1006707	0,0501170	0,6824916	0,9608077	0,1328542
120	0,0033745	0,8920517	0,7480134	0,8603865	0,9471164	0,0217425	0,3064467	0,9171842	0,6119911	0,6513928	0,8926855	0,8391665	0,9780373	0,6850468	0,1312759	0,6480682	0,4914386	0,7298296	0,8372012	0,5125985	0,6677705	0,6727068	0,2048950	0,8574152	0,1054803	0,5415402	0,8022211	0,3565827	0,4442612	0,5999661	0,6510264	0,2664177	0,0976379	0,5346134	0,1282675	0,2830920	0,8033936	0,9962566	0,9303045	0,1491972	0,8568502	0,2394325	0,1259609	0,0237562	0,8243742	0,9550176	0,2605957	0,9945347	0,9417127	0,0404933	0,3936227	0,8812889	0,1374197	0,2229173	0,5394638	0,3816496	0,6784186	0,5696810	0,9151454	0,1599395	0,0647850	0,7328933	0,9808302	0,1836447
140	0,0035058	0,9088684	0,7732412	0,8965518	0,9680992	0,0220750	0,3165165	0,9356939	0,6280736	0,6513928	0,9254135	0,8782612	0,9860183	0,7432193	0,1054982	0,7085892	0,5256914	0,8005863	0,8811928	0,5248410	0,6839606	0,7184126	0,2233787	0,9135781	0,1200100	0,5796694	0,8088372	0,4126443	0,4735038	0,6364424	0,6658383	0,3190222	0,1689491	0,5686334	0,1016476	0,3605961	0,8425591	0,9970146	0,9440797	0,2726894	0,8678175	0,2902865	0,1423087	0,0346062	0,8669288	0,9759343	0,3460066	0,9965063	0,9367265	0,0552736	0,3915594	0,8951933	0,0907129	0,1830673	0,5983467	0,4527164	0,6439102	0,6290333	0,9369188	0,2211972	0,0985441	0,7672336	0,9905860	0,2369282
160	0,0036461	0,9198793	0,7928075	0,9221588	0,9807469	0,0224821	0,3288871	0,9465682	0,6392834	0,6513928	0,9480452	0,9073559	0,9910200	0,7874949	0,0873607	0,7553680	0,5521833	0,8530506	0,9131445	0,5363609	0,6937804	0,7559723	0,2471840	0,9475355	0,1294923	0,6074741	0,8127944	0,4581097	0,4930803	0,6625686	0,6752539	0,3624738	0,2560383	0,5948210	0,0836012	0,4179029	0,8694332	0,9977034	0,9534391	0,4007673	0,8740039	0,3317928	0,1513755	0,0489035	0,8952777	0,9870718	0,4261617	0,9973754	0,9389218	0,0710681	0,3897145	0,9048203	0,0603651	0,1591320	0,6543406	0,5088406	0,6116818	0,6830838	0,9530645	0,2790432	0,1524527	0,7906282	0,9953414	0,2883358
180	0,0037840	0,9273108	0,8078716	0,9402827	0,9883691	0,0229474	0,3423407	0,9529503	0,6473993	0,6513928	0,9636837	0,9286047	0,9941559	0,8206626	0,0745781	0,7907996	0,5717818	0,8906992	0,9358171	0,5468250	0,6997451	0,7858249	0,2820645	0,9679406	0,1379806	0,6267366	0,8158454	0,4916992	0,5062007	0,6813029	0,6813899	0,3973423	0,3466374	0,6147634	0,0716662	0,4573622	0,8876683	0,9982644	0,9598590	0,5132352	0,8775159	0,3643619	0,1558249	0,0655709	0,9141941	0,9930042	0,4966294	0,9977767	0,9454065	0,0863045	0,3883397	0,9119459	0,0405902	0,1464166	0,7031241	0,5523790	0,5822700	0,7314786	0,9650315	0,3305298	0,2185230	0,8066277	0,9976622	0,3352026
200	0,0039132	0,9324715	0,8194285	0,9531174	0,9929626	0,0234538	0,3557953	0,9567097	0,6534506	0,6513928	0,9744870	0,9439678	0,9961243	0,8455767	0,0655239	0,8174017	0,5858301	0,9171884	0,9516842	0,5560638	0,7033630	0,8087696	0,3293636	0,9801816	0,1499921	0,6396604	0,8187695	0,5147552	0,5150366	0,6947503	0,6855369	0,4248327	0,4317785	0,6298773	0,0640108	0,4836217	0,8999421	0,9986998	0,9643118	0,6032486	0,8795262	0,3893310	0,1577910	0,0833191	0,9268786	0,9961674	0,5560256	0,9979735	0,9533758	0,1000444	0,3874745	0,9174492	0,0276474	0,1407146	0,7434617	0,5858285	0,5559098	0,7736531	0,9738990	0,3745525	0,2858964	0,8176409	0,9987973	0,3762716
220	0,0040307	0,9361460	0,8282879	0,9622185	0,9957311	0,0239859	0,3684839	0,9589411	0,6580536	0,6513928	0,9819500	0,9550199	0,9973619	0,8645132	0,0590629	0,8372952	0,5956726	0,9356184	0,9627087	0,5640336	0,7055453	0,8259002	0,3850225	0,9875286	0,1697173	0,6481574	0,8217698	0,5297790	0,5210256	0,7044089	0,6884771	0,4462783	0,5068321	0,6413215	0,0592821	0,5008334	0,9081521	0,9990304	0,9674384	0,6716680	0,8806894	0,4082273	0,1585765	0,1009826	0,9354462	0,9978571	0,6047222	0,9980767	0,9610125	0,1118886	0,3870529	0,9217907	0,0191348	0,1390380	0,7757588	0,6114082	0,5326096	0,8093504	0,9804687	0,4111558	0,3467287	0,8252849	0,9993545	0,4112536
