"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH

0	0,0031601	0,0805578	0,0171952	0,0124141	0,0422427	0,0212342	0,1706029	0,4015612	0,3464355	0,6513952	0,3425748	0,6104035	0,7534065	0,1746802	0,7397568	0,3752711	0,3093045	0,0480341	0,0866451	0,4700695	0,0162205	0,1555275	0,0009129	0,1401117	0,0000615	0,4503632	0,4760911	0,1491349	0,1262522	0,0534343	0,0034483	0,0167956	0,0225509	0,1679255	0,8209648	0,1000048	0,0787503	0,9999229	0,2835399	0,0096699	0,0450626	0,0512305	0,5490062	0,0117953	0,1470182	0,0132393	0,0430950	0,5424181	0,9999953	0,0171305	0,4274386	0,0217126	0,9990598	0,4404769	0,4559031	0,0015162	0,9948898	0,1108061	0,5066672	0,0032433	0,0463524	0,0725000	0,1139981	0,0454310
20	0,0031601	0,1721212	0,0830590	0,0612258	0,1279504	0,0212342	0,2000380	0,4603892	0,3486850	0,6513940	0,3479363	0,6104312	0,7585809	0,2207178	0,6816155	0,3752880	0,3095567	0,0810116	0,1518278	0,4701196	0,0611459	0,1719182	0,0094223	0,1452904	0,0001209	0,4370551	0,5029015	0,1491902	0,1269746	0,0656144	0,0550645	0,0171409	0,0225515	0,1990410	0,7580101	0,0999855	0,0974460	0,9999088	0,3538347	0,0096699	0,1200100	0,0512342	0,4829582	0,0117953	0,1518093	0,0217314	0,0431182	0,5823948	0,9999881	0,0171306	0,4226628	0,1013604	0,9660292	0,4404682	0,4528478	0,0015166	0,9564828	0,1118966	0,5411872	0,0032459	0,0463519	0,0904517	0,1545591	0,0454365
40	0,0031602	0,3343155	0,1994057	0,1668659	0,2943067	0,0212346	0,2414972	0,5497565	0,3671919	0,6513932	0,3977310	0,6118025	0,7868866	0,2959868	0,5753797	0,3764361	0,3133166	0,1489814	0,2759838	0,4710820	0,1571940	0,2201639	0,0271729	0,1936781	0,0018622	0,4144472	0,5572539	0,1508388	0,1365070	0,1124400	0,1590612	0,0218987	0,0225969	0,2544981	0,6348630	0,0992191	0,1800050	0,9996630	0,4778443	0,0096713	0,2638750	0,0516088	0,3687206	0,0117977	0,1944199	0,1308026	0,0437585	0,6818985	0,9996706	0,0171369	0,4147199	0,2537764	0,8899978	0,4395115	0,4469037	0,0025803	0,8957293	0,1428785	0,6099530	0,0034440	0,0463470	0,1473816	0,2780327	0,0457429
60	0,0031615	0,4905916	0,3131697	0,2905823	0,4703764	0,0212390	0,2690230	0,6405939	0,4056689	0,6513927	0,4871310	0,6211609	0,8274740	0,3647521	0,4673379	0,3864674	0,3264449	0,2327235	0,4050932	0,4749079	0,2668727	0,2937284	0,0552237	0,3413227	0,0107357	0,4021872	0,6159830	0,1596900	0,1647381	0,2014652	0,2706765	0,0389873	0,0232030	0,3178817	0,5062867	0,0965362	0,2899885	0,9988797	0,5958526	0,0097887	0,4105328	0,0558792	0,2670029	0,0118543	0,2838929	0,3201260	0,0476710	0,7814672	0,9974552	0,0172583	0,4086043	0,4086486	0,7735569	0,4328567	0,4415242	0,0237845	0,8420063	0,2191283	0,6842441	0,0054972	0,0463064	0,2332676	0,4365079	0,0481823
80	0,0031696	0,6184872	0,4121847	0,4125466	0,6218223	0,0212585	0,2837529	0,7305232	0,4533447	0,6513925	0,5862181	0,6446733	0,8677387	0,4328786	0,3711939	0,4170503	0,3511849	0,3278287	0,5220100	0,4824010	0,3693279	0,3736366	0,0918981	0,5382353	0,0301178	0,4119654	0,6688364	0,1817556	0,2098386	0,3008164	0,3707537	0,0724779	0,0269035	0,3822883	0,3933990	0,0990176	0,4039176	0,9978175	0,6927588	0,0117206	0,5357211	0,0713005	0,1969718	0,0122546	0,3957112	0,5069410	0,0597712	0,8574906	0,9911526	0,0179909	0,4047356	0,5404938	0,6343787	0,4128342	0,4413458	0,0796631	0,7967441	0,3081126	0,7518487	0,0132445	0,0462604	0,3298505	0,5822469	0,0561228
100	0,0031942	0,7152062	0,4957075	0,5231302	0,7388863	0,0213100	0,2919274	0,8055491	0,4996990	0,6513925	0,6779108	0,6803783	0,9021994	0,5072125	0,2911819	0,4690096	0,3850285	0,4292746	0,6231689	0,4927150	0,4557573	0,4505169	0,1282430	0,7028780	0,0562144	0,4420607	0,7119602	0,2182519	0,2628759	0,3930627	0,4530451	0,1195602	0,0406023	0,4418697	0,3019019	0,1223794	0,5099965	0,9969810	0,7679105	0,0234557	0,6339958	0,1008440	0,1588242	0,0137107	0,5076082	0,6587287	0,0849744	0,9095794	0,9805107	0,0203053	0,4021043	0,6439369	0,4981410	0,3767022	0,4526583	0,1576606	0,7563503	0,3930174	0,8086055	0,0302613	0,0469697	0,4237961	0,6997042	0,0723520
120	0,0032443	0,7851172	0,5653349	0,6184422	0,8239744	0,0214111	0,2985739	0,8607443	0,5394221	0,6513926	0,7554414	0,7223116	0,9294790	0,5831961	0,2275611	0,5328345	0,4232361	0,5296892	0,7082807	0,5045335	0,5242984	0,5210073	0,1591063	0,8162172	0,0819477	0,4827422	0,7447358	0,2656525	0,3154031	0,4714480	0,5173680	0,1738660	0,0743009	0,4932260	0,2310463	0,1711569	0,6023516	0,9965988	0,8245210	0,0596003	0,7075130	0,1411529	0,1434621	0,0172332	0,6074352	0,7710249	0,1252254	0,9433833	0,9679200	0,0251769	0,3998907	0,7216563	0,3793272	0,3306439	0,4790091	0,2429146	0,7183887	0,4697825	0,8541675	0,0576789	0,0512662	0,5079632	0,7883200	0,0976574
140	0,0033221	0,8343200	0,6228874	0,6978281	0,8834265	0,0215746	0,3064607	0,8983477	0,5712365	0,6513927	0,8175967	0,7650262	0,9500628	0,6533501	0,1785998	0,5980693	0,4612150	0,6221926	0,7777331	0,5167761	0,5764855	0,5840676	0,1844916	0,8880706	0,1025670	0,5244560	0,7683329	0,3181478	0,3623935	0,5347062	0,5660280	0,2291410	0,1332760	0,5353481	0,1778266	0,2344904	0,6790050	0,9966232	0,8663982	0,1285961	0,7608360	0,1866017	0,1406375	0,0237214	0,6906511	0,8497022	0,1786247	0,9646637	0,9567643	0,0329967	0,3977519	0,7787409	0,2826068	0,2837972	0,5185204	0,3249851	0,6820920	0,5388587	0,8897638	0,0941650	0,0644119	0,5795879	0,8526943	0,1308921
160	0,0034230	0,8684350	0,6700677	0,7623401	0,9238457	0,0218066	0,3164636	0,9227665	0,5958308	0,6513927	0,8657232	0,8049343	0,9651008	0,7131839	0,1417915	0,6578963	0,4957227	0,7024098	0,8326354	0,5286953	0,6151242	0,6393742	0,2078038	0,9320668	0,1172752	0,5612999	0,7847754	0,3697922	0,4018823	0,5841140	0,6020372	0,2809316	0,2126594	0,5687585	0,1388062	0,2991440	0,7404061	0,9969077	0,8969890	0,2238512	0,7987013	0,2322013	0,1431057	0,0335678	0,7570474	0,9029158	0,2408175	0,9778209	0,9494706	0,0434138	0,3956591	0,8202636	0,2072663	0,2426528	0,5658501	0,3981689	0,6476373	0,6013712	0,9170973	0,1369711	0,0914761	0,6384747	0,8983756	0,1697592
180	0,0035391	0,8919287	0,7084384	0,8138044	0,9507811	0,0221062	0,3282824	0,9381429	0,6145241	0,6513928	0,9020952	0,8401695	0,9758359	0,7616259	0,1145697	0,7092283	0,5250756	0,7687237	0,8748039	0,5398073	0,6431618	0,6868630	0,2339621	0,9586336	0,1280790	0,5909354	0,7961921	0,4159881	0,4337541	0,6218716	0,6282961	0,3267786	0,3014190	0,5946929	0,1108166	0,3567151	0,7882728	0,9973164	0,9191368	0,3303144	0,8251855	0,2745698	0,1469489	0,0465184	0,8084605	0,9380366	0,3068680	0,9858673	0,9467260	0,0555892	0,3937075	0,8504286	0,1503057	0,2099824	0,6152839	0,4602680	0,6154922	0,6578955	0,9378485	0,1829892	0,1335094	0,6857329	0,9303022	0,2116238
