"Time"	rhaR	rhaS	crp	feaR	melR	zraR	malI	mtlR	prpR	ascG	rbsR	marR	fucR	chbR	nagC	srlR	gutM	idnR	xylR	uxuR	chbB	chbF	chbG	chbA	chbC	gutQ	srlE	srlD	srlA	srlB	zraS	rhaB	prpE	prpD	rbsC	rbsA	melB	nagE	fucO	rhaD	ascF	prpB	rbsB	fucU	rhaA	fucA	prpC	fucI	nagD	ascB	rbsK	fucP	malX	rbsD	gntP	melA	malY	nagB	fucK	xylF	uxuA	uxuB	rhaT	xylH

0	0,0040881	0,0701131	0,0195200	0,0184033	0,0297048	0,0165417	0,1629201	0,3113582	0,3149537	0,4340459	0,3047443	0,4046978	0,5280881	0,1440207	0,5181578	0,2692957	0,2526265	0,0377917	0,0603369	0,3139324	0,0029872	0,1356763	0,0138087	0,1250948	0,0020964	0,3484413	0,3371777	0,1491617	0,0710344	0,0274437	0,0048411	0,0104530	0,0105251	0,1418199	0,7002963	0,0982126	0,1500126	0,7289165	0,1903285	0,0072082	0,0330438	0,0526394	0,3640002	0,0103394	0,0902748	0,0077576	0,0197234	0,4211683	0,6582242	0,0111510	0,3454820	0,0314903	0,7225843	0,3650147	0,3109424	0,0030046	0,8433523	0,1087951	0,3251601	0,0011499	0,1053554	0,0540307	0,0512066	0,0335562
20	0,0002226	0,1023588	0,0793465	0,0303881	0,1154407	0,0373723	0,1965755	0,3193346	0,3930801	0,4443217	0,2937568	0,4491480	0,6834054	0,1563393	0,4439487	0,2568292	0,2341841	0,0920999	0,1404534	0,3103877	0,0507676	0,1261831	0,0075799	0,1369679	0,0001768	0,3350481	0,4753993	0,1302858	0,0550612	0,0329766	0,0434195	0,0100606	0,0135152	0,1112316	0,6110210	0,0666827	0,0796932	0,7843443	0,3089267	0,0208365	0,0588353	0,0274468	0,4633675	0,0142022	0,1304146	0,0424407	0,0380416	0,5263357	0,8078398	0,0357938	0,2981396	0,0957529	0,7475126	0,3152856	0,3017129	0,0044878	0,5795877	0,1181430	0,4164266	0,0106664	0,0426339	0,0648697	0,0701793	0,0355824
40	0,0043643	0,2148842	0,1472545	0,1191151	0,2520220	0,0122078	0,1655625	0,3392865	0,2648177	0,3953883	0,3549418	0,4307097	0,6637712	0,2173621	0,4115529	0,2307096	0,2030841	0,0892803	0,2745666	0,4440651	0,1024809	0,1342701	0,0323981	0,1433431	0,0005593	0,3540569	0,3964410	0,1287123	0,1364161	0,0902706	0,1156637	0,0156663	0,0086235	0,1661636	0,5904755	0,0914509	0,1395743	0,8790070	0,4909568	0,0335106	0,2152031	0,0475822	0,2268299	0,0333016	0,1423129	0,1263522	0,0174989	0,4932100	0,6933600	0,0137527	0,3881468	0,2151591	0,7576453	0,3109045	0,3906455	0,0003955	0,5600588	0,1309548	0,4822006	0,0048284	0,0582256	0,1401175	0,2029258	0,0202365
60	0,0012468	0,2946667	0,3133556	0,1742351	0,3626212	0,0069725	0,2499359	0,4618877	0,3529506	0,4842937	0,4176549	0,5008427	0,6416917	0,3445375	0,3639332	0,2760375	0,2425737	0,1917566	0,3307483	0,3461239	0,1912553	0,1647491	0,0277186	0,3062255	0,0150313	0,2511099	0,5131029	0,1502185	0,1673673	0,1444996	0,2316735	0,0282139	0,0160069	0,2451597	0,3668683	0,0930510	0,1943699	0,7874748	0,4669897	0,0203374	0,3400385	0,0746288	0,1897151	0,0149696	0,2012710	0,2278334	0,0215208	0,6194442	0,7535554	0,0149717	0,2821088	0,2847365	0,4332056	0,3751842	0,3287493	0,0216875	0,5663532	0,2127272	0,5456217	0,0058734	0,0245520	0,1929185	0,2550405	0,0349546
80	0,0091579	0,4446624	0,4271023	0,2597184	0,4420098	0,0347400	0,1915330	0,5228352	0,3926334	0,5679045	0,4728200	0,5088006	0,7504893	0,2486881	0,3098576	0,2959297	0,2836074	0,2366365	0,5814596	0,2914458	0,2689592	0,3241455	0,1492435	0,4106902	0,0578975	0,1892731	0,3628716	0,2594092	0,1927211	0,2654409	0,4160458	0,0678079	0,0294722	0,2949141	0,2569132	0,1134771	0,2948181	0,6818804	0,5703341	0,0060231	0,4005424	0,0548689	0,2114512	0,0251813	0,2749038	0,3725342	0,0334562	0,6644766	0,7045067	0,0019775	0,2874681	0,5130536	0,3011913	0,2942447	0,3401085	0,0490156	0,5390623	0,2384852	0,4566681	0,0247481	0,0498345	0,2199779	0,4439156	0,0410261
100	0,0060241	0,5586820	0,4526376	0,3601122	0,5074897	0,0151840	0,2699713	0,5406361	0,4442275	0,4226577	0,4526791	0,6126779	0,6996581	0,3981172	0,3344422	0,4475731	0,3741119	0,3551304	0,4759068	0,3672885	0,3778581	0,2374617	0,0835419	0,5079021	0,0513543	0,3339007	0,4789113	0,1761103	0,1785435	0,3653035	0,4038972	0,1208396	0,0510891	0,3228858	0,2075813	0,1122399	0,2857230	0,7969671	0,5423829	0,0449211	0,3795268	0,1230424	0,1408325	0,0199628	0,3542501	0,5089364	0,0664916	0,5845811	0,6834456	0,0030520	0,2989917	0,4708440	0,2852086	0,2751048	0,3465219	0,0901326	0,5220146	0,2938816	0,4196002	0,0345387	0,0501362	0,4390981	0,4616940	0,0392805
120	0,0094672	0,6790662	0,4198591	0,3938958	0,5588790	0,0260956	0,2149718	0,6452964	0,4704041	0,4361996	0,4244103	0,6784949	0,6693017	0,4867332	0,1968920	0,4260565	0,3825110	0,4750924	0,5898537	0,3836941	0,4550934	0,3641389	0,1710761	0,5651372	0,0945220	0,2882264	0,5602591	0,1870059	0,2510250	0,4101208	0,4444425	0,1298969	0,1301792	0,4152578	0,1935534	0,2329682	0,5384012	0,6517837	0,4832410	0,0943358	0,4273827	0,1054758	0,1646870	0,0375470	0,3933323	0,5323252	0,1666247	0,7872985	0,5922393	0,0415262	0,2860252	0,6279333	0,2649066	0,1382469	0,2704329	0,2068490	0,6407968	0,3771994	0,6284142	0,0522559	0,0391566	0,4447278	0,5886165	0,0765250
140	0,0086652	0,7392663	0,4270010	0,5099271	0,6002719	0,0073957	0,2825751	0,5947679	0,3738573	0,4908443	0,5379044	0,4895213	0,6679987	0,4447233	0,1211012	0,5668179	0,3274377	0,4545118	0,6657713	0,3169514	0,4099718	0,3704984	0,1548663	0,5860341	0,1519485	0,4393301	0,5794577	0,2174483	0,3337965	0,4267289	0,5000300	0,1824590	0,1371823	0,3883565	0,1579095	0,1985513	0,4545814	0,7812272	0,5856828	0,1124108	0,6074003	0,1956539	0,0954367	0,0573878	0,5434653	0,6301121	0,1457820	0,7955736	0,6181635	0,0265294	0,2825690	0,7363094	0,1469899	0,1589406	0,4316703	0,2477505	0,4890757	0,2813298	0,6846366	0,1475317	0,0526478	0,4421243	0,5617371	0,1272941
160	0,0080153	0,6596511	0,5327651	0,5247509	0,6537838	0,0084445	0,2508630	0,8469339	0,5025143	0,6308384	0,6064336	0,4827072	0,5490584	0,4699411	0,0956952	0,4944705	0,4270154	0,6262232	0,6206195	0,4535757	0,4598208	0,4903368	0,1741212	0,7675562	0,0687401	0,4396529	0,6759600	0,1912780	0,2886649	0,3847297	0,6033193	0,2123608	0,1507038	0,4015638	0,0875171	0,2462067	0,5446347	0,6541238	0,7007463	0,3256002	0,5795961	0,1892412	0,0848701	0,0286973	0,6006935	0,6610577	0,2701224	0,7388445	0,6261159	0,0147967	0,3191605	0,7477785	0,1796808	0,1798790	0,5076261	0,3141133	0,6210123	0,3021850	0,6723894	0,1353236	0,1001118	0,4839230	0,6881676	0,1741956
180	0,0036037	0,6002717	0,5292641	0,4773046	0,6662904	0,0058041	0,2381173	0,8220420	0,5491873	0,5010453	0,6454706	0,7089838	0,6749854	0,5167695	0,0757445	0,5893052	0,3833884	0,5288627	0,6025581	0,3282761	0,5160786	0,6113233	0,2101861	0,6193474	0,1497873	0,4595083	0,4854543	0,3457305	0,3946629	0,4471905	0,4999195	0,2368084	0,2480700	0,3417764	0,1019086	0,2902381	0,7070686	0,8352138	0,6567826	0,3516589	0,5131920	0,2231818	0,1444823	0,0249739	0,4713714	0,6848581	0,2650064	0,8011482	0,6498841	0,0195462	0,3466091	0,6711235	0,1048540	0,1899308	0,4870831	0,3936781	0,4476341	0,4813325	0,8494432	0,2095832	0,1139324	0,3861700	0,6075750	0,2048542
200	0,0016516	0,5822556	0,5093264	0,6058962	0,7715722	0,0158643	0,2247574	0,6585010	0,4805734	0,4589761	0,6032545	0,5824076	0,6923798	0,5212755	0,0556800	0,7129412	0,4515494	0,5972779	0,6231095	0,4526027	0,4707778	0,6572336	0,2582831	0,7395921	0,1347976	0,4285487	0,6189206	0,3649916	0,4196183	0,5337476	0,4905931	0,2852910	0,2212915	0,4521910	0,0533936	0,2944027	0,4711712	0,6962887	0,6536710	0,3901181	0,6094134	0,2756632	0,1251575	0,0368741	0,6185900	0,7059959	0,2911043	0,7395470	0,7795097	0,0856180	0,3108094	0,7335379	0,0868299	0,1467303	0,4325234	0,3780437	0,4846730	0,4291161	0,6961236	0,1828458	0,2212321	0,5855479	0,5889267	0,2426280
220	0,0058035	0,6322022	0,4027733	0,6313455	0,7046545	0,0066671	0,2652582	0,6410331	0,4575642	0,5350989	0,5545147	0,6183959	0,7217183	0,7340386	0,0610439	0,6793769	0,4146671	0,7219250	0,5521057	0,4094622	0,6572766	0,5598339	0,2345260	0,7620721	0,1246466	0,5204852	0,5012204	0,3169109	0,4622891	0,4565423	0,4452281	0,2980781	0,3031580	0,3843826	0,0706633	0,3329069	0,7017074	0,7502898	0,7415883	0,4493249	0,6062788	0,2737137	0,1612297	0,0573991	0,5792786	0,6747863	0,3123622	0,7024344	0,8425663	0,0920049	0,2600581	0,6978019	0,0426384	0,1961685	0,4106593	0,4579667	0,5247368	0,4899328	0,7533291	0,1980412	0,2047232	0,5374045	0,6186937	0,2469944
240	0,0039228	0,5242011	0,5660448	0,5381925	0,7465168	0,0194169	0,2243487	0,7516548	0,4125371	0,4394064	0,5108699	0,6844844	0,7784333	0,8107078	0,0841305	0,5682460	0,4331926	0,8070247	0,6670235	0,4775404	0,5336147	0,6049843	0,3130976	0,6657547	0,0945607	0,5178276	0,5955489	0,2615888	0,3856306	0,4830838	0,6030296	0,2066007	0,3164042	0,4198250	0,0340337	0,3110507	0,6257678	0,9135982	0,8116950	0,3885645	0,6479787	0,2898786	0,1143325	0,0281208	0,6009469	0,6575484	0,2976139	0,6200361	0,7535230	0,0644103	0,3304106	0,6031771	0,0314749	0,1207916	0,4845457	0,4177648	0,4233112	0,6193431	0,8214852	0,2076875	0,1865646	0,6334703	0,8788483	0,3192413
260	0,0038866	0,6162505	0,4699992	0,4789254	0,7031677	0,0324782	0,2585634	0,8010382	0,3980005	0,4057169	0,5120110	0,7332946	0,7490202	0,6203706	0,0731751	0,6348543	0,4592289	0,7379652	0,7660202	0,3710140	0,4938922	0,6349079	0,2571769	0,6658015	0,0843280	0,3750988	0,5926263	0,3425480	0,3514349	0,5124420	0,5745294	0,3109780	0,3707959	0,4372047	0,0355137	0,2608927	0,7103544	0,6620896	0,9080776	0,4431231	0,6573615	0,2547592	0,1418011	0,0883641	0,7216455	0,7977997	0,3428476	0,5709488	0,7892647	0,1032620	0,2988526	0,5912715	0,0405631	0,1258299	0,4995223	0,4735898	0,4432761	0,5808336	0,6674489	0,2469394	0,2832359	0,5968885	0,7239778	0,2392330
280	0,0058499	0,6748144	0,6364667	0,5716438	0,6965138	0,0345062	0,2704643	0,9051354	0,4574451	0,4657403	0,6671271	0,7135822	0,7065258	0,6889190	0,0555170	0,5741526	0,5428560	0,7074065	0,6773052	0,4522072	0,4953127	0,6664727	0,2062973	0,6915303	0,0411546	0,3652686	0,6064820	0,3518793	0,3640153	0,4180367	0,4826703	0,3235438	0,4062342	0,4553392	0,0437197	0,3716759	0,8443534	0,8937204	0,6388307	0,4341938	0,6952864	0,2435183	0,1285224	0,0702209	0,6742649	0,7643356	0,4242924	0,7514945	0,6670701	0,0952914	0,2661021	0,6628063	0,0282737	0,0712881	0,4493824	0,5824180	0,3770899	0,6001629	0,7318200	0,2778901	0,2665671	0,5425745	0,8291415	0,2944703
