"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF

0	0,6402485	0,7179640	0,2163616	0,0450222	0,5788093	0,4118761	0,2698733	0,4847135	0,6466003	0,0863858	0,2732459	0,0688184	0,1437550	0,6504209	0,7830599	0,5656905	0,6161815	0,0895011	0,4129681	0,6597310	0,8004990	0,3643568	0,2688569	0,5635325	0,2625267	0,2437969	0,4536577	0,6469350	0,5516790	0,6922728	0,0097932	0,5989543	0,7623939	0,0675965	0,4575043	0,4679200	0,4614107	0,4608035	0,2611090	0,4806353	0,0451157	0,0422470	0,1743846	0,3160590	0,3682212	0,3947314	0,5199240	0,5633433	0,1482290	0,3882998	0,4396981	0,4979734	0,3210598	0,6426894	0,2407109	0,0678823	0,5498439	0,3729957	0,7951940	0,5979761	0,5239855	0,4101083	0,4436431	0,6261650
20	0,5349702	0,6551405	0,2537130	0,0252940	0,5507778	0,3876300	0,2236978	0,4747566	0,5736830	0,2084440	0,3609452	0,0750363	0,2067642	0,6284261	0,5850268	0,5863347	0,6552594	0,1326638	0,3037113	0,5436296	0,6807767	0,2174560	0,2856069	0,7566862	0,2307127	0,2164633	0,4761861	0,8074399	0,3844362	0,6040755	0,0241067	0,6240377	0,6492485	0,0552656	0,4097441	0,6394058	0,5080387	0,1974446	0,2187424	0,4776772	0,0329851	0,0218706	0,2799735	0,2993044	0,2984759	0,5163607	0,4998338	0,6027019	0,0957592	0,3823145	0,4907721	0,4784503	0,4006288	0,9166270	0,2806547	0,0517602	0,6909465	0,3483558	0,6694854	0,5145964	0,6627973	0,4261322	0,3903330	0,7521714
40	0,5508935	0,6797528	0,2230820	0,0120706	0,6746254	0,3120794	0,2149029	0,4600192	0,6309459	0,2423508	0,4180549	0,1227427	0,3268286	0,5599930	0,5982772	0,6210460	0,6410481	0,1156623	0,2856852	0,5051106	0,6735614	0,3351651	0,2355216	0,7139566	0,2156965	0,2304285	0,5686036	0,6848359	0,4860852	0,6758344	0,0173775	0,6877393	0,6062119	0,0528863	0,4543802	0,6354462	0,5813357	0,2906866	0,2605875	0,3688315	0,0474992	0,0208110	0,3831142	0,2518341	0,3143399	0,5000868	0,5542917	0,6372081	0,0426950	0,4961690	0,4977920	0,5080589	0,3723618	0,7171636	0,3465199	0,0190839	0,6262991	0,4770306	0,5813171	0,6284302	0,5129784	0,4309332	0,2904462	0,7640466
60	0,4590636	0,6821074	0,2710877	0,0214205	0,6671434	0,3060542	0,2236320	0,4420029	0,5751258	0,3385200	0,6120000	0,0989602	0,4636975	0,5231174	0,6823983	0,5832023	0,6216982	0,1089341	0,3240552	0,5279322	0,6059727	0,3418488	0,3131118	0,5203152	0,2188727	0,1853997	0,6948012	0,6029819	0,4661065	0,7267139	0,0238388	0,6757321	0,6101996	0,0909660	0,5583976	0,6051142	0,5844612	0,2536062	0,3639076	0,3743908	0,0501926	0,0321347	0,4404342	0,2535722	0,3992319	0,6812823	0,5269197	0,7310353	0,0644356	0,3901967	0,5714318	0,5476514	0,4171181	0,6358107	0,2387551	0,0225971	0,5539586	0,3900661	0,7030692	0,5744859	0,4974568	0,3873651	0,3729359	0,7087155
80	0,4574525	0,7476235	0,2335361	0,0179954	0,7119340	0,3735700	0,2362949	0,4579229	0,5593700	0,3709490	0,6057007	0,0584246	0,5369544	0,4502645	0,6286300	0,5656268	0,7174099	0,1289956	0,2221833	0,5771528	0,5123082	0,4377100	0,3229164	0,7109756	0,2181540	0,2594353	0,6845160	0,7076249	0,4710220	0,7483156	0,0161815	0,7210048	0,6320574	0,0382491	0,4409648	0,4296445	0,6165544	0,2368899	0,2673979	0,3373093	0,0491206	0,0288613	0,5775159	0,2640848	0,3913265	0,6991783	0,5014136	0,8008171	0,0301512	0,4883201	0,5691789	0,6088694	0,3778284	0,7219929	0,2463049	0,0372876	0,6492869	0,5044982	0,6673650	0,6351263	0,5379136	0,4771937	0,2620508	0,7832324
100	0,4619997	0,7021763	0,2190937	0,0234525	0,6125669	0,2522109	0,2583698	0,4859526	0,5317866	0,3006622	0,6428502	0,0542925	0,4923591	0,4134844	0,8093872	0,6494546	0,7117937	0,1227605	0,2912947	0,5231465	0,6463248	0,3216593	0,2016535	0,6533525	0,1178793	0,2090458	0,7022660	0,6316572	0,3748048	0,7515967	0,0132698	0,6443044	0,6775482	0,0750943	0,5267746	0,4479336	0,6321332	0,3273306	0,2100681	0,3446530	0,0825034	0,0251153	0,6216891	0,2336620	0,4595284	0,7573855	0,5711701	0,7710170	0,0311208	0,4254961	0,5762915	0,4348148	0,3809002	0,7960813	0,2480520	0,0312105	0,7929514	0,3863480	0,6787389	0,4931950	0,5471607	0,3621123	0,3357188	0,8146439
120	0,4589745	0,6911733	0,2140694	0,0160485	0,8403798	0,2868411	0,2115142	0,5334194	0,5527150	0,4658057	0,5485062	0,0802896	0,5434505	0,5331725	0,6574607	0,6173752	0,7252345	0,0861318	0,2736345	0,5323336	0,5442715	0,4014666	0,1651649	0,6349811	0,1331223	0,3197615	0,8395846	0,6992431	0,3667065	0,6683016	0,0134130	0,5592875	0,7041867	0,0647912	0,4683134	0,4435224	0,7350471	0,3411086	0,2028308	0,3465396	0,1014490	0,0412024	0,6188289	0,2789470	0,4858291	0,6862381	0,6101224	0,6929230	0,0217586	0,4711200	0,6037763	0,6410727	0,3576258	0,7913693	0,2151952	0,0435235	0,6090819	0,6529180	0,6237745	0,4765518	0,4860011	0,3237553	0,3155807	0,7125615
140	0,4229606	0,6281366	0,2794648	0,0458304	0,6946736	0,2642208	0,2104842	0,5292906	0,5684202	0,5145930	0,5162561	0,0385254	0,4915031	0,5177787	0,7092524	0,5661736	0,6449167	0,1488819	0,3493317	0,5785587	0,7227237	0,3675069	0,1903430	0,7425029	0,0781646	0,2135662	0,6998283	0,5749079	0,4123838	0,7693382	0,0243983	0,6898478	0,5463615	0,0833487	0,5161188	0,4254689	0,7189932	0,4767145	0,2179010	0,3965491	0,0773829	0,0601323	0,5450529	0,2297151	0,5947213	0,6443089	0,6407497	0,5745684	0,0234259	0,4954798	0,5240948	0,5686652	0,3647766	0,6421104	0,2419608	0,0296368	0,6328135	0,5431115	0,6854686	0,5503271	0,5264996	0,3872067	0,4008866	0,7181390
160	0,3935740	0,6667429	0,3351180	0,0623293	0,5368451	0,3353041	0,2488792	0,4950669	0,6382297	0,5618893	0,5646534	0,0863998	0,4525951	0,5106878	0,6518186	0,7128689	0,8178634	0,1380297	0,2985895	0,6648827	0,7214847	0,3088784	0,1205967	0,6805281	0,0364048	0,1840580	0,7333382	0,7048280	0,3947225	0,8616580	0,0189126	0,5775223	0,5231871	0,0637518	0,4708791	0,4119531	0,6699188	0,4448570	0,2136499	0,3543251	0,1154726	0,0600270	0,6658408	0,2658302	0,5171603	0,7598575	0,5005951	0,7368216	0,0225856	0,4022785	0,6179037	0,5462041	0,4711642	0,6877397	0,2626893	0,0607177	0,6965637	0,5359972	0,7474623	0,5078181	0,5856514	0,4584853	0,4295787	0,6725284
