"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF

0	1,0131944	1,0142759	0,3675667	0,0490818	0,8701330	0,5080885	0,3099420	0,7310553	0,8857446	0,1260044	0,3749456	0,0933609	0,1593457	1,0014151	0,9879286	0,7396593	0,9468369	0,1741788	0,4824110	0,8743050	0,9315699	0,5424249	0,4015967	0,7971280	0,4537301	0,3451494	0,6408405	0,8912094	0,7177271	0,9247502	0,0339902	0,9275157	0,9960088	0,0793532	0,5749128	0,6956712	0,6316572	0,5492668	0,2829445	0,7324142	0,0772878	0,0428889	0,2834197	0,4228227	0,4610613	0,5033700	0,7534838	0,8799551	0,2005049	0,5328213	0,6004775	0,6896912	0,5229743	0,9625312	0,3659251	0,0700148	0,7162221	0,5157650	1,0949145	0,7222884	0,7263005	0,6413949	0,6145911	0,9039892
20	0,7666869	1,0161957	0,4030149	0,0314129	0,8389414	0,5093466	0,2989215	0,6632136	0,8595775	0,2738725	0,5241361	0,1053672	0,3697997	0,8776973	1,0023819	0,8538573	1,0342643	0,1720667	0,4236956	0,8161331	0,9502589	0,4115971	0,3923243	0,9044268	0,3439269	0,3278453	0,7919939	1,0114251	0,7072641	0,9353010	0,0409529	0,9177924	0,9040603	0,0769818	0,6002967	0,7640748	0,7562932	0,3738347	0,3715553	0,6574920	0,0574919	0,0404803	0,4205623	0,4057498	0,4481795	0,8059502	0,7540899	0,8163278	0,1217282	0,5191255	0,7072910	0,7141835	0,5727181	1,0517399	0,3594412	0,0459463	0,8678491	0,5464823	1,0045630	0,6967645	0,7928147	0,5723576	0,4908513	1,0329650
40	0,7356394	1,0259241	0,3576370	0,0165740	0,9092476	0,4175587	0,3065929	0,6930805	0,8380301	0,3355447	0,6121984	0,1064012	0,4868310	0,7838362	1,0242218	0,8637624	0,9256953	0,1523801	0,4118413	0,7704801	0,9317823	0,4866042	0,3829183	1,0356206	0,3095601	0,2938683	0,8591333	1,0176859	0,6588632	0,9795806	0,0276871	0,9357688	0,8773808	0,0887624	0,6581123	0,7453812	0,7640703	0,3481457	0,3786196	0,5702687	0,0711619	0,0316548	0,4698006	0,4164517	0,4755208	0,8582789	0,7585749	0,8993463	0,0972340	0,5135142	0,7467669	0,7620291	0,5364468	0,9913973	0,3633494	0,0219476	0,9402816	0,5680574	0,9370739	0,7361287	0,8226556	0,6705870	0,4658982	1,0270162
60	0,6792432	1,0174709	0,3538033	0,0267419	0,8454609	0,4265357	0,3319527	0,6570801	0,8082812	0,4485436	0,7593119	0,1129452	0,5834750	0,6763817	1,0264199	0,8711596	0,8984554	0,1719022	0,3934806	0,7762712	0,9400455	0,5169725	0,4041647	0,9625969	0,2752216	0,2806365	0,9495299	0,9360874	0,6270007	1,0352202	0,0367328	0,9315964	0,8829311	0,1004593	0,6730070	0,7333438	0,8711616	0,3547425	0,3711843	0,5623502	0,0820309	0,0366339	0,6756159	0,4318222	0,5035235	0,9630776	0,7510180	0,9447932	0,0668709	0,5378853	0,7598794	0,7845681	0,5638336	0,9676666	0,3242129	0,0327552	0,8709322	0,5878853	0,9616611	0,7306743	0,7558737	0,5840894	0,4532542	1,0240191
80	0,6693585	1,0164611	0,3670994	0,0412159	0,9312585	0,4140114	0,3595429	0,6633550	0,7769332	0,5298713	0,8009292	0,0884395	0,7238606	0,6400365	0,9803872	0,8572344	1,0506838	0,1871427	0,4013882	0,7347794	0,8905921	0,5111641	0,3912967	0,9495488	0,2650732	0,3082287	0,9336017	0,9130614	0,5984452	0,9700634	0,0295587	0,8910113	0,8700489	0,1102862	0,6741851	0,7146146	0,8976852	0,3304687	0,3686355	0,5457840	0,1090049	0,0418697	0,8355414	0,4308501	0,5666040	1,0243096	0,7504196	0,9658092	0,0564853	0,6133106	0,7356984	0,6993025	0,5302088	1,0049856	0,3433211	0,0495251	0,8574384	0,6841323	0,9361381	0,7638198	0,7203329	0,5900391	0,4527426	1,0709170
100	0,6326463	0,9839531	0,3683313	0,0234273	0,9536907	0,3623632	0,3519888	0,7014008	0,7830306	0,5671847	0,7908171	0,0841152	0,7397542	0,6676398	0,9752250	0,7970249	1,0530618	0,1505615	0,4055591	0,7379194	0,8887818	0,5292808	0,3247404	0,9739749	0,2064460	0,2817832	1,0096370	0,9401193	0,5234080	1,0067558	0,0225265	0,9566289	0,8263598	0,0893824	0,6969305	0,6682063	0,8658544	0,4068094	0,3131586	0,5164643	0,1470220	0,0462347	0,8628068	0,4078607	0,5912174	1,0509305	0,7830512	0,9349409	0,0326784	0,5983336	0,7445984	0,6622705	0,4979878	1,0646202	0,3421824	0,0414004	0,9210268	0,6198762	0,9475829	0,7481761	0,7430422	0,5023806	0,5067040	1,0390870
120	0,5961660	0,9766539	0,3487930	0,0373719	0,9699229	0,3816098	0,3355290	0,7298995	0,8163242	0,6322729	0,7274611	0,0697706	0,7541123	0,6734157	1,0552625	0,8206053	1,0600388	0,1719895	0,4292256	0,7732950	0,8885417	0,5244606	0,2692415	1,0479284	0,1822588	0,3426538	1,0062233	0,9621271	0,5564667	1,0008066	0,0182616	0,9105033	0,8962003	0,0873498	0,6701650	0,6610351	0,8456530	0,4495185	0,2951236	0,4581463	0,1452061	0,0467649	0,9722887	0,3776646	0,7134318	1,0385692	0,8027523	0,9979149	0,0234048	0,6109037	0,7832161	0,7176057	0,4786022	1,0835840	0,3289834	0,0507340	0,9053901	0,6802515	0,9907447	0,7566908	0,8152805	0,5016119	0,5001159	1,0227462
140	0,6024101	0,9879853	0,4168509	0,0432112	1,0137394	0,3554869	0,2975795	0,7574878	0,8245290	0,6763785	0,7382636	0,0566316	0,7513521	0,6814744	1,0626883	0,8579409	1,0053731	0,1593566	0,4827888	0,7498178	0,8865172	0,5186610	0,2083762	1,0377858	0,1139000	0,3365691	0,9454113	0,8693687	0,6186735	1,0101733	0,0209650	0,9431659	0,8730119	0,0897225	0,6719499	0,6718727	0,8100071	0,5458475	0,3528717	0,4720565	0,1353380	0,0752392	0,9114675	0,3502731	0,8274501	1,0213993	0,7795237	1,0558640	0,0209159	0,6234885	0,7520164	0,7750843	0,4997198	1,0211439	0,3462578	0,0743713	0,9285024	0,6788294	0,9477641	0,8090437	0,7923889	0,5424124	0,4765264	1,1086762
160	0,6070332	0,9359103	0,4405239	0,0420636	0,9133980	0,3259262	0,2933959	0,7609158	0,8082831	0,7150445	0,7629159	0,0697172	0,7784709	0,6629869	1,0014276	0,8743804	0,9738113	0,1865382	0,3826636	0,7796541	0,9247543	0,4864175	0,1819693	0,9462145	0,0803136	0,3484386	0,9655077	0,8707964	0,5972268	1,0139632	0,0338315	0,8695740	0,8495424	0,0855178	0,6242907	0,6925328	0,8047708	0,6373111	0,3290515	0,5147196	0,1793751	0,0700819	0,8760406	0,3656109	0,8418564	1,0866469	0,7013236	1,0599740	0,0224246	0,6792017	0,7135635	0,7489497	0,5572663	0,9580029	0,4064541	0,1037089	1,0056797	0,7141876	0,9786871	0,8012029	0,7552414	0,5897844	0,4528924	0,9644022
180	0,6167931	0,9302652	0,4246119	0,0561741	0,9361796	0,3210295	0,2950406	0,8059326	0,8339521	0,7192159	0,7450589	0,0802675	0,8309792	0,6547631	0,9933078	0,8605260	1,0160129	0,1834473	0,4127578	0,8537052	0,9810560	0,5117745	0,1886750	0,8665928	0,1045987	0,3664829	1,0196648	1,0153071	0,5847138	1,0101142	0,0294638	0,8625612	0,8740287	0,0891667	0,6848383	0,6410441	0,8835338	0,6309763	0,3014966	0,5615469	0,1406208	0,0597770	0,9390599	0,3803552	0,8499673	1,0506230	0,7769850	1,0765616	0,0150158	0,6563537	0,7825144	0,7786447	0,5736149	0,8575061	0,4501253	0,1250701	1,0293421	0,7062358	0,9880575	0,8275569	0,7087209	0,6668708	0,4275418	0,9843223
200	0,6049523	0,9701985	0,4549633	0,0560258	0,9867279	0,3623518	0,2728064	0,7859072	0,8684569	0,8071296	0,7659680	0,0682079	0,8238467	0,6166608	1,0079493	0,9119380	1,0334777	0,1341427	0,3901770	0,8112416	0,9645758	0,6749541	0,2020303	0,8845763	0,1461476	0,4247944	0,9061203	1,0135373	0,5590251	1,0201964	0,0398360	0,8621730	0,8318724	0,0839936	0,7107557	0,6436279	0,9462010	0,6808573	0,3409784	0,6052397	0,1446397	0,0679130	0,9749990	0,3582770	0,8357522	1,0039953	0,7932189	1,0063674	0,0104364	0,6856807	0,7707298	0,7358172	0,5899353	0,8525001	0,4353695	0,1535206	1,0587885	0,6378150	1,0196761	0,8145423	0,7043801	0,7253075	0,4215703	0,9483928
