"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF

0	1,0595668	1,0018639	0,4073650	0,0327674	0,8554738	0,6002001	0,3567118	0,8501698	0,9573691	0,1306202	0,4023889	0,0884025	0,1430449	0,9725117	1,0671419	0,8063723	1,0351449	0,1689456	0,4153003	0,8809132	0,9041808	0,5316405	0,4224576	0,8461386	0,4457571	0,3175485	0,6138421	0,8774282	0,6767693	0,9305095	0,0234137	0,9484020	0,9626654	0,0862401	0,5733982	0,7250761	0,5653463	0,5785798	0,3159744	0,8512298	0,0654113	0,0329676	0,2978671	0,4003893	0,4440148	0,4343023	0,7608021	0,9244823	0,1652658	0,5654812	0,6439133	0,7392592	0,5467085	0,9345961	0,4331374	0,0991185	0,8121981	0,5315120	1,1013754	0,7497585	0,7778277	0,5956359	0,5344485	0,8863605
20	0,8577818	1,0442145	0,4345213	0,0350498	0,8020347	0,5682315	0,3259674	0,7131511	0,8727844	0,1617093	0,3359242	0,1050330	0,2166340	0,9548196	1,0396741	0,8152904	0,8984853	0,1774837	0,5170196	0,8611884	0,9377165	0,4720916	0,3955886	0,8822853	0,3523766	0,3150509	0,6688500	1,0376421	0,7162886	0,9236355	0,0448224	0,8676002	0,8975288	0,0846062	0,6980011	0,7297663	0,6029866	0,4391120	0,3860678	0,7908984	0,0447113	0,0442816	0,3356188	0,3712466	0,4054343	0,5048608	0,7416847	0,8247394	0,1749516	0,5637643	0,6477057	0,7173315	0,4835925	1,0698989	0,3916274	0,0632038	0,8909251	0,5066820	1,0029061	0,6078076	0,7294837	0,5795831	0,5022092	1,0097887
40	0,8636628	1,0188288	0,4528010	0,0337594	0,8903716	0,5099481	0,2832806	0,7564048	0,8105722	0,2515787	0,4425985	0,0854996	0,2383722	0,8911738	1,0094937	0,8138222	0,9803635	0,2008053	0,4919031	0,8771992	0,9032428	0,4865439	0,3583402	0,9130776	0,3568450	0,3297474	0,7719963	1,0593719	0,7272799	0,9472384	0,0225875	0,8003142	0,8882829	0,0720102	0,6915607	0,7242956	0,6876632	0,3641259	0,4111148	0,6782223	0,0531735	0,0588459	0,3609064	0,3927282	0,4537643	0,5723873	0,7560445	0,8668326	0,1357804	0,5091592	0,7804343	0,7131115	0,5258018	1,0948489	0,3540297	0,0599843	0,9355814	0,4692291	1,0476987	0,6997431	0,7523967	0,6583551	0,4768507	0,9874390
60	0,7641210	1,0140383	0,4318778	0,0395787	0,8498743	0,4511643	0,3240353	0,7130965	0,8018996	0,3160051	0,5599304	0,0942463	0,3429142	0,8349453	1,0046174	0,8247200	0,9083579	0,1751551	0,4754096	0,8546750	0,8528887	0,5073868	0,3839328	0,9371745	0,2947758	0,3323770	0,8231545	0,9664928	0,7312030	0,9289830	0,0241031	0,8643459	0,9529807	0,1118449	0,6911441	0,7243106	0,7824103	0,3526664	0,4189626	0,6612777	0,0693245	0,0430578	0,4041138	0,4311825	0,4746271	0,7235079	0,7320721	0,9033966	0,1323844	0,5190322	0,7419690	0,8177045	0,5296008	1,1010187	0,3847559	0,0457627	0,9118834	0,5592574	0,9702573	0,6727219	0,7791543	0,6381055	0,4797993	0,9625425
80	0,7422162	0,9810781	0,3898058	0,0482970	0,8847156	0,4554133	0,3206657	0,6779176	0,8066805	0,3738163	0,6613351	0,0937584	0,4498874	0,7202609	1,0529504	0,8480699	0,9663827	0,1983158	0,4641522	0,7493845	0,8767353	0,5131291	0,3839492	0,9427852	0,2600542	0,3374606	0,8901377	0,9593981	0,7126685	0,9921879	0,0171954	0,9247069	0,9822676	0,1120473	0,7007174	0,7376106	0,8345992	0,3429389	0,4075864	0,6009024	0,0964414	0,0412388	0,5299590	0,3876001	0,5102367	0,8410795	0,7629370	0,8685204	0,1081801	0,4582539	0,7124861	0,8159179	0,5600803	0,9327421	0,3447668	0,0409601	0,8421599	0,6632285	0,9933423	0,7133437	0,7205012	0,6278762	0,4829953	1,0601826
100	0,7082306	0,9986671	0,4343589	0,0312352	0,8944416	0,4628019	0,3121075	0,6564379	0,7802653	0,4238455	0,6851509	0,0835812	0,5171196	0,6462036	0,9985777	0,8690766	1,0141880	0,2069485	0,4295046	0,7736968	0,8978289	0,5320486	0,3851395	0,9402203	0,2435307	0,3087582	0,8872258	0,9301577	0,6194001	0,9527215	0,0170992	0,9744719	0,9252952	0,1131710	0,7030664	0,7282801	0,8237012	0,2888805	0,3968736	0,5448069	0,1374033	0,0509224	0,6720547	0,3895874	0,5219926	0,8847635	0,7825026	0,9483292	0,0796482	0,5292674	0,7302997	0,8083499	0,5117047	1,0355623	0,3654338	0,0369919	0,8552400	0,6949683	0,9600982	0,7149786	0,7527752	0,6223939	0,4708605	1,0152446
120	0,7095927	0,9856828	0,3800969	0,0445067	0,9448942	0,4635004	0,3793117	0,7329702	0,7770428	0,4987511	0,6616369	0,0540985	0,6089790	0,6540258	0,9957552	0,9014330	0,9923509	0,1729104	0,4809623	0,7697068	0,9574832	0,5212005	0,3722338	0,8876348	0,2022764	0,3144471	0,8354997	0,9496513	0,5748653	0,9910883	0,0181015	1,0020875	0,9324962	0,0875153	0,6533389	0,7043119	0,8991175	0,3611994	0,3640308	0,4816254	0,1499734	0,0626200	0,8043380	0,3825693	0,5758948	1,0028149	0,7763315	0,8812995	0,0541176	0,5557116	0,7062408	0,7339168	0,4615189	1,0794956	0,3499775	0,0427828	0,8789890	0,6505318	1,0246421	0,7050622	0,7391317	0,5803399	0,4953914	1,0234477
140	0,6717803	0,9989702	0,3477061	0,0352317	0,9972427	0,4118195	0,3378758	0,7483256	0,8239715	0,5686325	0,6841966	0,0635583	0,6918404	0,6741419	0,9526272	0,9477182	0,9766135	0,1650469	0,4627683	0,6716631	0,9631541	0,4961450	0,2799212	0,9484147	0,1679090	0,3419740	0,9356716	0,9727246	0,6139572	0,9210388	0,0208011	0,8965222	0,9082146	0,0799765	0,6531114	0,7105608	0,9555160	0,4022607	0,3553395	0,4835600	0,1453272	0,0679376	0,8207546	0,3656917	0,6553491	1,0118678	0,8777904	0,9767219	0,0318721	0,6149929	0,7602680	0,6926147	0,4899647	1,0083665	0,3791792	0,0569511	0,9189903	0,6525967	1,0510659	0,7127573	0,7311820	0,5363914	0,5476343	1,0277843
160	0,6260813	0,9718758	0,3447802	0,0560155	0,9870506	0,4094550	0,3600150	0,7896785	0,8049553	0,5721736	0,7079691	0,0569469	0,7005743	0,5921625	0,9173312	0,9161216	0,9781685	0,1620615	0,4934576	0,7023723	0,9009241	0,4925002	0,2634717	0,9687806	0,1196031	0,3500425	0,8886508	0,9350964	0,6537747	0,9582088	0,0202732	0,8939842	0,9163148	0,0659521	0,6612313	0,7093379	0,8403635	0,5294493	0,3281811	0,4708899	0,1454878	0,0485660	0,8371815	0,3221338	0,7172897	1,0382141	0,7879247	1,0077958	0,0296734	0,5959412	0,7104864	0,7447608	0,4657319	0,8895256	0,3880124	0,0633334	0,9767004	0,6350478	1,0215083	0,7466809	0,7846698	0,5608578	0,5095395	0,9505817
180	0,6154798	0,9272201	0,3426896	0,0451192	0,9506914	0,3990727	0,3462178	0,8147948	0,8339576	0,5735787	0,7347281	0,0882575	0,7352317	0,6972212	0,9106806	0,8543739	0,9815610	0,1473317	0,4428562	0,7177203	0,8852116	0,5538435	0,2404337	0,9805478	0,1052677	0,3034529	0,9665261	1,0040036	0,6462812	0,9731138	0,0301454	0,9152717	0,8605262	0,0823029	0,6694300	0,6966216	0,8767450	0,5330541	0,3313307	0,5058769	0,1669738	0,0554540	0,8601646	0,3236902	0,7838689	1,0315161	0,7438621	0,9807138	0,0259928	0,6681276	0,7975283	0,7601447	0,5381125	0,8470015	0,4510046	0,0692952	0,9996600	0,6466688	0,9900057	0,7851158	0,7864851	0,5842296	0,4361896	1,0539632
200	0,5790024	0,9301083	0,3584390	0,0330342	0,9671317	0,3915176	0,3069185	0,8156841	0,8591546	0,6582226	0,7302415	0,1049227	0,7437154	0,6590380	0,9836007	0,8318778	0,9725337	0,1471887	0,4591927	0,7112261	0,8870857	0,5778934	0,2232628	1,0068239	0,1388981	0,4087808	0,9110361	0,9629564	0,6302929	1,0119832	0,0339623	0,8750975	0,8490032	0,0706641	0,7777915	0,7042704	0,9575523	0,6615304	0,3085076	0,5462205	0,1689533	0,0618738	0,8685249	0,3509413	0,8018224	1,0256315	0,7844498	1,0320706	0,0153001	0,6322464	0,7335024	0,7314829	0,5291493	0,8809249	0,4383902	0,0827037	1,0579283	0,6134999	1,0449302	0,7882447	0,7656097	0,6045235	0,5007818	1,0205159
220	0,5969858	1,0008728	0,3937970	0,0363845	0,9799071	0,3691305	0,2904922	0,8027973	0,8940108	0,7165334	0,7535687	0,0764424	0,7798391	0,6204460	1,0651297	0,8592775	1,0036910	0,1771562	0,4255768	0,7439784	0,9187144	0,6224583	0,1733036	0,9637305	0,1408919	0,3759655	0,8826616	0,9933006	0,5311328	1,0198754	0,0386599	0,8836357	0,8110974	0,0856093	0,7232012	0,6427028	0,9804923	0,6806576	0,2675088	0,5467721	0,1711520	0,0510983	0,9001331	0,3511032	0,8124564	0,9455942	0,8448354	1,0373338	0,0126020	0,6829111	0,7738324	0,6873520	0,5590585	0,8867925	0,4282365	0,1360137	1,0844369	0,6418876	1,0007846	0,8052367	0,7719139	0,6995201	0,4728662	0,9838002
240	0,6285947	0,9764718	0,4166404	0,0430152	1,0578996	0,4160747	0,2972202	0,7024680	0,8269359	0,7745012	0,7701044	0,0554103	0,7705040	0,5928836	1,1239040	0,8366467	0,9640279	0,1719729	0,4373903	0,7440685	0,9497953	0,6226754	0,1899308	1,0115020	0,1238153	0,4187047	0,8844841	0,9909131	0,5264962	0,9329693	0,0264429	0,8446796	0,8553335	0,0929723	0,7217939	0,6537895	0,9613261	0,6857916	0,3112206	0,5973615	0,1560340	0,0485232	0,9291300	0,3649601	0,8425580	0,9440347	0,7956815	1,0551444	0,0107787	0,6741746	0,7533015	0,6582924	0,6020442	0,9092840	0,3779867	0,1654464	1,0823876	0,6201018	0,9812017	0,8320513	0,7269191	0,7076758	0,4932053	0,9925987
260	0,6363542	1,0240996	0,4219677	0,0371400	1,0717004	0,4370679	0,3481185	0,6944844	0,8284885	0,8672266	0,7646023	0,0611229	0,7443665	0,6857517	1,0276284	0,8732620	0,9843272	0,1514655	0,4188939	0,8284901	0,9557692	0,5996356	0,1811782	1,0568069	0,1114351	0,3820489	0,9787237	1,0196426	0,5405078	1,0131230	0,0268152	0,8653735	0,8580633	0,0830222	0,7257031	0,7235007	0,9551995	0,7284792	0,3073039	0,6378904	0,1680968	0,0704524	0,9788826	0,3683703	0,8977003	0,9526461	0,7783304	1,0501866	0,0108208	0,6681607	0,7963454	0,6987479	0,6124219	0,8516941	0,3730603	0,1343079	1,0628826	0,6242499	0,9985657	0,8683850	0,6631834	0,7107620	0,4126278	0,9915906
280	0,6181620	0,9695305	0,3946310	0,0466335	1,0540141	0,4283495	0,2836432	0,6661714	0,8940517	0,8049128	0,7749121	0,0633430	0,7259350	0,7598064	1,0237358	0,8605131	1,0185816	0,1571022	0,4199196	0,9276492	0,8398016	0,5857139	0,1539211	1,0506423	0,1032336	0,4219938	0,9324595	0,9643766	0,4696919	0,9706165	0,0339076	0,8421813	0,8104281	0,0781091	0,7564958	0,7011563	0,9242533	0,7690734	0,3086859	0,6910871	0,1773120	0,0572526	0,9673596	0,3301786	0,8484256	0,9518968	0,7698184	1,0646531	0,0100801	0,6271415	0,8478091	0,6450976	0,6476726	0,8760671	0,3375117	0,1632099	0,9529342	0,6168686	0,9347973	0,8601419	0,6672275	0,6513859	0,4469085	1,0623252
300	0,5828965	0,9926396	0,3744338	0,0398888	0,9751067	0,4374176	0,3134630	0,7275423	0,8686421	0,7998167	0,7663231	0,0786314	0,7057902	0,6259141	1,0074643	0,8268994	0,9774042	0,1661942	0,4312863	0,8442081	0,9136645	0,5313239	0,1965403	0,9837941	0,1324263	0,4547197	0,8963137	0,9554878	0,5362166	0,9569837	0,0387315	0,9295140	0,7915189	0,0859703	0,7677619	0,7556875	0,9038004	0,7547159	0,2931313	0,6979727	0,2236099	0,0559566	0,9354986	0,3646437	0,8644835	1,0257579	0,7495715	0,9455303	0,0248337	0,5781895	0,8375311	0,7349521	0,6835176	0,8231032	0,4051475	0,1701222	1,0911892	0,6395672	0,9647785	0,8850337	0,6758294	0,6352372	0,4590418	1,0859650
320	0,5757582	0,9954369	0,3623348	0,0304701	0,9434884	0,4049096	0,3137275	0,8205764	0,8388393	0,7831682	0,7808486	0,0624086	0,8287992	0,5854463	0,9361047	0,9107302	0,9657026	0,1421492	0,4401058	0,8991629	0,9156353	0,5227284	0,1953714	0,9067444	0,1306725	0,4092256	0,9030660	1,0033007	0,4542847	0,9002807	0,0301514	0,9597643	0,7663361	0,1010078	0,8032277	0,7220245	0,9024141	0,7115528	0,3470862	0,6311712	0,2344887	0,0560140	0,9834846	0,3710990	0,9293430	1,0006907	0,7529850	0,9734187	0,0179062	0,5931589	0,8888599	0,7961865	0,7087046	0,9392310	0,4852520	0,1750236	1,0949877	0,5969437	0,8902002	0,8614818	0,7668536	0,6182071	0,4176785	1,0388225
340	0,5164012	1,0468713	0,3476509	0,0393461	0,9886237	0,4268791	0,3616512	0,7878821	0,8422667	0,7295611	0,7965451	0,0532900	0,9041231	0,5964340	0,8727229	0,8568610	1,0087987	0,1403097	0,4118000	0,9350557	1,0916173	0,4645148	0,1705438	0,9245800	0,1360387	0,4732530	0,9209530	1,0784897	0,5225859	0,9267403	0,0277393	0,9293860	0,7657410	0,1040059	0,7693067	0,7542207	0,9359117	0,7749344	0,3233522	0,6123327	0,2349203	0,0722650	1,0066815	0,3084331	0,9677966	1,0208815	0,7364660	0,9676679	0,0113099	0,6054855	0,9439998	0,8418394	0,7376372	0,9794354	0,4770523	0,1881833	1,0631415	0,5955711	0,9103897	0,8527782	0,7210578	0,6897777	0,4503820	0,9957574
360	0,5131288	0,9374416	0,3609673	0,0275853	1,0060296	0,3998277	0,3311099	0,7716402	0,9275544	0,6946099	0,8013826	0,0489054	0,9091612	0,6266325	0,9082667	0,8582419	1,0320158	0,1224409	0,3693862	0,9043864	0,9921110	0,4459637	0,1639001	0,9635497	0,1149342	0,4882147	0,9085676	1,0468672	0,5037760	0,9142230	0,0341012	0,9039941	0,8310642	0,1236332	0,6438433	0,7617180	0,9649868	0,7161830	0,3255369	0,6690101	0,2522296	0,0540958	0,9653686	0,3085717	0,8509902	0,8922444	0,7068641	0,9559554	0,0047815	0,6711135	0,9169498	0,8786306	0,6720199	0,9058203	0,4627127	0,2246677	0,9847277	0,6039087	0,9439005	0,8243802	0,7183233	0,6769305	0,4638565	1,1278337
380	0,5511578	0,9565980	0,3190808	0,0308472	0,9786328	0,4045086	0,3197354	0,7193401	0,9472083	0,7088462	0,8516203	0,0633618	0,9113944	0,6050635	0,9628296	0,8596463	1,0152218	0,1537639	0,4140396	0,9174678	1,0037925	0,5144131	0,1118875	0,9092877	0,1191722	0,5047265	0,9844450	1,0128453	0,5149770	0,8727643	0,0251131	0,8677969	0,8332097	0,1291702	0,7467979	0,7045612	0,8864551	0,7179505	0,3389713	0,6469351	0,2263095	0,0348689	0,9869484	0,3829790	0,8586795	0,9518704	0,7679564	0,9019274	0,0053620	0,6449351	0,9018913	0,9334921	0,6519022	0,8646146	0,5025753	0,2456449	1,0058344	0,6558254	0,9243924	0,8349035	0,6912537	0,6879175	0,4576734	1,0461103
