"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF

0	0,9939356	1,0000000	0,4068094	0,0409783	0,8003583	0,5317106	0,3201301	0,7190301	0,8437616	0,1218323	0,3486556	0,0885818	0,1632468	0,9992449	1,0000000	0,8223097	1,0000000	0,1416421	0,4372011	0,8413720	0,8059033	0,4271750	0,4117256	0,8221060	0,4310668	0,3162942	0,6157785	0,9622113	0,6572826	0,9741852	0,0362051	0,9020547	0,8788252	0,0908138	0,6284296	0,7132877	0,5446179	0,4570265	0,2866508	0,7535419	0,0580633	0,0536827	0,3688451	0,3923729	0,4339424	0,4579085	0,6708976	0,8639658	0,1996437	0,5922731	0,6580546	0,6837888	0,4802813	0,9595014	0,3706310	0,0922886	0,7877276	0,5540318	0,9972238	0,7214907	0,7196236	0,4377080	0,5447752	0,9992876
20	0,8666764	1,0000000	0,4068083	0,0409783	0,8648461	0,4659940	0,3201301	0,7189816	0,8437616	0,2966304	0,5158070	0,0885819	0,3674004	0,8305384	1,0000000	0,8389327	1,0000000	0,1416421	0,4372011	0,8413720	0,8092353	0,4354022	0,4095030	0,8889493	0,3820722	0,3165697	0,8072062	0,9625367	0,6562365	0,9741852	0,0362051	0,9020547	0,8788252	0,0908138	0,6594458	0,7132877	0,7030450	0,3776132	0,2866508	0,6588698	0,0605817	0,0536862	0,3894632	0,3923729	0,4364029	0,7434446	0,6715172	0,9193262	0,1339262	0,5922689	0,6683545	0,6844364	0,4820704	0,9643137	0,3659742	0,0469947	0,7971816	0,5890623	0,9983498	0,7228381	0,7196234	0,5134175	0,5040618	0,9996405
40	0,7812821	1,0000000	0,4068073	0,0409783	0,9060990	0,4236612	0,3201301	0,7186081	0,8437616	0,4142041	0,6205470	0,0885820	0,5009209	0,7272918	1,0000000	0,8488074	1,0000000	0,1416421	0,4372011	0,8413720	0,8226035	0,4550804	0,3981899	0,9188572	0,3235631	0,3183871	0,8950236	0,9638822	0,6490644	0,9741852	0,0362051	0,9020547	0,8788252	0,0908138	0,6800050	0,7132877	0,7856328	0,3376715	0,2866508	0,5962453	0,0725914	0,0536970	0,4801901	0,3923729	0,4524015	0,8694562	0,6746709	0,9523289	0,0899981	0,5922663	0,7025354	0,6879521	0,4902878	0,9679009	0,3628521	0,0293863	0,8308334	0,6125806	0,9990043	0,7291595	0,7196233	0,5577339	0,4794138	0,9998180
60	0,7236950	1,0000000	0,4068066	0,0409783	0,9325663	0,3989577	0,3201301	0,7178704	0,8437616	0,4979474	0,6861790	0,0885821	0,5912824	0,6640579	1,0000000	0,8546734	1,0000000	0,1416421	0,4372011	0,8413720	0,8408513	0,4748047	0,3766713	0,9306105	0,2640524	0,3231292	0,9360996	0,9658389	0,6332328	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,6936327	0,7132877	0,8327781	0,3297485	0,2866508	0,5553734	0,0929174	0,0537083	0,6062223	0,3923729	0,4923644	0,9251567	0,6807082	0,9720049	0,0606350	0,5922650	0,7400606	0,6954398	0,5041338	0,9705567	0,3607591	0,0261473	0,8709782	0,6283700	0,9993870	0,7401019	0,7196232	0,5836689	0,4659513	0,9999077
80	0,6845495	1,0000000	0,4068062	0,0409783	0,9495942	0,3862114	0,3201301	0,7169779	0,8437616	0,5609511	0,7273052	0,0885821	0,6552882	0,6252882	1,0000000	0,8581580	1,0000000	0,1416421	0,4372011	0,8413720	0,8581621	0,4930368	0,3483842	0,9338375	0,2138258	0,3314120	0,9559096	0,9678107	0,6113031	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7026659	0,7132877	0,8617825	0,3547524	0,2866508	0,5308601	0,1164061	0,0537170	0,7200401	0,3923729	0,5547004	0,9499586	0,6889658	0,9835954	0,0410076	0,5922646	0,7704403	0,7066158	0,5206402	0,9725070	0,3593561	0,0317194	0,9054441	0,6389705	0,9996117	0,7534638	0,7196232	0,5986924	0,4594986	0,9999529
100	0,6576238	1,0000000	0,4068059	0,0409783	0,9605824	0,3807799	0,3201301	0,7161117	0,8437616	0,6102745	0,7530756	0,0885821	0,7024848	0,6014876	1,0000000	0,8602281	1,0000000	0,1416421	0,4372011	0,8413720	0,8721792	0,5093924	0,3179194	0,9334197	0,1755871	0,3426832	0,9658998	0,9694888	0,5874922	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7086536	0,7132877	0,8806508	0,4068692	0,2866508	0,5214221	0,1390000	0,0537231	0,8063258	0,3923729	0,6256565	0,9612784	0,6985032	0,9903721	0,0278879	0,5922646	0,7927255	0,7202064	0,5372466	0,9739335	0,3584156	0,0436028	0,9316154	0,6460873	0,9997440	0,7671598	0,7196232	0,6071850	0,4571094	0,9999757
120	0,6388119	1,0000000	0,4068058	0,0409783	0,9676998	0,3793280	0,3201301	0,7153679	0,8437616	0,6497737	0,7692238	0,0885822	0,7382450	0,5868578	1,0000000	0,8614577	1,0000000	0,1416421	0,4372011	0,8413720	0,8826699	0,5235578	0,2888300	0,9317592	0,1481967	0,3556774	0,9712528	0,9708469	0,5651981	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7126225	0,7132877	0,8934462	0,4712828	0,2866508	0,5266287	0,1587294	0,0537272	0,8670150	0,3923729	0,6917753	0,9667855	0,7084424	0,9943209	0,0191182	0,5922649	0,8084582	0,7346680	0,5523782	0,9749749	0,3577851	0,0600328	0,9504558	0,6508653	0,9998222	0,7798152	0,7196231	0,6117774	0,4568980	0,9999871
140	0,6254261	1,0000000	0,4068058	0,0409783	0,9723326	0,3797203	0,3201301	0,7147768	0,8437616	0,6817286	0,7793425	0,0885822	0,7657769	0,5778553	1,0000000	0,8621882	1,0000000	0,1416421	0,4372011	0,8413720	0,8901901	0,5354093	0,2630718	0,9299465	0,1293105	0,3690693	0,9743432	0,9720021	0,5462991	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7152534	0,7132877	0,9024067	0,5341016	0,2866508	0,5432398	0,1750575	0,0537299	0,9082493	0,3923729	0,7464674	0,9698156	0,7181066	0,9966197	0,0132562	0,5922652	0,8193747	0,7487327	0,5653125	0,9757345	0,3573626	0,0791432	0,9636800	0,6540731	0,9998686	0,7907474	0,7196231	0,6140755	0,4577317	0,9999929
160	0,6157181	1,0000000	0,4068058	0,0409783	0,9753669	0,3807397	0,3201301	0,7143318	0,8437616	0,7076567	0,7856831	0,0885822	0,7871669	0,5723109	1,0000000	0,8626221	1,0000000	0,1416421	0,4372011	0,8413720	0,8954464	0,5450287	0,2413297	0,9283998	0,1165964	0,3818504	0,9762764	0,9730841	0,5313809	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7169972	0,7132877	0,9088451	0,5878995	0,2866508	0,5657486	0,1881617	0,0537316	0,9358112	0,3923729	0,7887192	0,9717829	0,7270488	0,9979590	0,0093379	0,5922655	0,8268851	0,7615976	0,5758924	0,9762883	0,3570794	0,0990248	0,9728523	0,6562267	0,9998961	0,7997622	0,7196231	0,6150644	0,4589666	0,9999959
180	0,6085506	1,0000000	0,4068059	0,0409783	0,9773696	0,3817841	0,3201301	0,7140095	0,8437616	0,7286837	0,7896563	0,0885822	0,8038741	0,5688942	1,0000000	0,8628799	1,0000000	0,1416421	0,4372011	0,8413720	0,8990636	0,5526411	0,2235266	0,9272189	0,1081616	0,3934142	0,9775778	0,9741684	0,5202195	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7181532	0,7132877	0,9135698	0,6306981	0,2866508	0,5892567	0,1984928	0,0537327	0,9541090	0,3923729	0,8201547	0,9732628	0,7350244	0,9987409	0,0067187	0,5922657	0,8320304	0,7728818	0,5842758	0,9766918	0,3568896	0,1180789	0,9791856	0,6576726	0,9999126	0,8069503	0,7196231	0,6153428	0,4602594	0,9999974
200	0,6031775	1,0000000	0,4068059	0,0409783	0,9787031	0,3826168	0,3201301	0,7137829	0,8437616	0,7457040	0,7921459	0,0885822	0,8169694	0,5667878	1,0000000	0,8630330	1,0000000	0,1416421	0,4372011	0,8413720	0,9015286	0,5585422	0,2092227	0,9263730	0,1026112	0,4034916	0,9785059	0,9752705	0,5122072	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7189194	0,7132877	0,9170977	0,6633551	0,2866508	0,6108285	0,2065551	0,0537335	0,9662431	0,3923729	0,8431064	0,9744776	0,7419422	0,9991991	0,0049679	0,5922659	0,8355489	0,7824994	0,5907636	0,9769859	0,3567623	0,1352498	0,9835589	0,6586433	0,9999224	0,8125396	0,7196231	0,6152666	0,4614448	0,9999983
220	0,5991009	1,0000000	0,4068060	0,0409783	0,9795998	0,3831920	0,3201301	0,7136270	0,8437616	0,7594509	0,7937060	0,0885822	0,8272607	0,5654888	1,0000000	0,8631240	1,0000000	0,1416421	0,4372011	0,8413720	0,9031980	0,5630407	0,1978603	0,9257911	0,0989715	0,4120440	0,9791943	0,9763669	0,5066367	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7194273	0,7132877	0,9197698	0,6877168	0,2866508	0,6292334	0,2128125	0,0537340	0,9743127	0,3923729	0,8597472	0,9755095	0,7478152	0,9994690	0,0037977	0,5922660	0,8379545	0,7905380	0,5956947	0,9772001	0,3566771	0,1500338	0,9865889	0,6592950	0,9999284	0,8168028	0,7196231	0,6150398	0,4624573	0,9999987
240	0,5959802	1,0000000	0,4068060	0,0409783	0,9802092	0,3835469	0,3201301	0,7135216	0,8437616	0,7705316	0,7946835	0,0885822	0,8353663	0,5646877	1,0000000	0,8631780	1,0000000	0,1416421	0,4372011	0,8413720	0,9043243	0,5664243	0,1888917	0,9254018	0,0965843	0,4191678	0,9797175	0,9774210	0,5028558	0,9741852	0,0362051	0,9020547	0,8788252	0,0908139	0,7197639	0,7132877	0,9218175	0,7056975	0,2866508	0,6442687	0,2176569	0,0537343	0,9797106	0,3923729	0,8718194	0,9763907	0,7527186	0,9996291	0,0030154	0,5922661	0,8396007	0,7971681	0,5993911	0,9773562	0,3566199	0,1623476	0,9887001	0,6597325	0,9999320	0,8200057	0,7196231	0,6147729	0,4632849	0,9999989
