"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF

0	0,9939356	1,0000000	0,4068059	0,0409783	0,8003560	0,5317106	0,3201301	0,7190291	0,8437616	0,1217851	0,3486465	0,0885813	0,1631566	0,9992449	1,0000000	0,8223084	1,0000000	0,1416473	0,4372011	0,8413718	0,8058928	0,4264424	0,4117475	0,8221164	0,4311473	0,3162928	0,6157715	0,9621928	0,6572471	0,9741847	0,0362051	0,9020546	0,8788241	0,0908136	0,6284287	0,7132840	0,5445797	0,4570225	0,2866518	0,7535391	0,0579999	0,0536826	0,3681152	0,3923736	0,4339050	0,4579039	0,6709000	0,8638900	0,1996453	0,5922780	0,6579094	0,6837835	0,4802345	0,9594961	0,3706327	0,0922886	0,7875800	0,5540320	0,9972112	0,7214675	0,7196303	0,4377082	0,5447512	0,9992867
20	0,9670036	1,0000000	0,4068068	0,0409783	0,8165048	0,5141167	0,3201301	0,7190230	0,8437616	0,1550558	0,3838193	0,0885815	0,1940155	0,9366011	1,0000000	0,8255837	1,0000000	0,1416457	0,4372011	0,8413719	0,8065387	0,4276828	0,4113218	0,8374528	0,4142975	0,3163763	0,6671472	0,9622306	0,6571285	0,9741849	0,0362051	0,9020547	0,8788245	0,0908137	0,6382104	0,7132852	0,5921520	0,4316265	0,2866514	0,7257544	0,0583463	0,0536831	0,3705104	0,3923734	0,4342381	0,5082572	0,6709771	0,8769432	0,1852548	0,5922753	0,6607242	0,6838964	0,4805192	0,9617584	0,3692632	0,0817499	0,7896321	0,5619253	0,9974089	0,7217010	0,7196281	0,4586999	0,5331931	0,9993812
40	0,9117890	1,0000000	0,4068071	0,0409783	0,8475798	0,4805518	0,3201301	0,7189173	0,8437616	0,2246155	0,4540477	0,0885817	0,2607026	0,8343142	1,0000000	0,8320823	1,0000000	0,1416446	0,4372011	0,8413719	0,8119401	0,4340432	0,4072053	0,8640162	0,3751024	0,3172743	0,7521035	0,9625334	0,6553113	0,9741850	0,0362051	0,9020547	0,8788247	0,0908137	0,6559326	0,7132860	0,6710067	0,3902164	0,2866512	0,6741218	0,0615902	0,0536868	0,3918360	0,3923732	0,4381878	0,6000460	0,6718018	0,9016964	0,1560279	0,5922723	0,6793968	0,6850554	0,4830561	0,9653354	0,3667068	0,0642692	0,8046646	0,5778733	0,9978035	0,7238315	0,7196266	0,4964436	0,5120930	0,9995427
60	0,8512909	1,0000000	0,4068071	0,0409783	0,8793201	0,4476465	0,3201301	0,7185724	0,8437616	0,3037169	0,5286483	0,0885818	0,3387688	0,7463078	1,0000000	0,8389426	1,0000000	0,1416439	0,4372011	0,8413720	0,8237291	0,4452155	0,3957256	0,8877070	0,3232453	0,3202610	0,8257601	0,9632928	0,6490128	0,9741851	0,0362051	0,9020547	0,8788249	0,0908138	0,6729703	0,7132866	0,7410273	0,3589942	0,2866511	0,6233647	0,0704389	0,0536939	0,4451891	0,3923731	0,4526570	0,6895558	0,6742402	0,9266415	0,1243743	0,5922698	0,7112375	0,6886054	0,4897345	0,9684846	0,3641710	0,0499590	0,8337745	0,5950504	0,9982292	0,7294585	0,7196255	0,5321559	0,4924546	0,9996879
80	0,7957797	1,0000000	0,4068068	0,0409783	0,9064338	0,4217267	0,3201301	0,7179817	0,8437616	0,3804061	0,5948182	0,0885819	0,4161339	0,6823229	1,0000000	0,8449947	1,0000000	0,1416433	0,4372011	0,8413720	0,8390386	0,4591309	0,3762587	0,9048866	0,2697147	0,3263700	0,8794220	0,9644514	0,6368804	0,9741851	0,0362051	0,9020547	0,8788250	0,0908138	0,6867544	0,7132869	0,7944405	0,3496426	0,2866510	0,5821693	0,0848726	0,0537022	0,5221214	0,3923730	0,4835805	0,7636109	0,6786842	0,9475753	0,0957275	0,5922679	0,7442721	0,6953480	0,5004983	0,9709373	0,3620586	0,0417941	0,8677599	0,6105137	0,9986148	0,7385504	0,7196248	0,5603021	0,4777914	0,9997968
100	0,7489190	1,0000000	0,4068066	0,0409783	0,9277065	0,4038523	0,3201301	0,7172434	0,8437616	0,4499332	0,6486133	0,0885820	0,4873771	0,6390998	1,0000000	0,8498923	1,0000000	0,1416429	0,4372011	0,8413720	0,8544651	0,4742233	0,3509608	0,9158959	0,2223132	0,3357249	0,9156079	0,9658246	0,6198181	0,9741852	0,0362051	0,9020547	0,8788250	0,0908138	0,6970637	0,7132872	0,8329052	0,3667412	0,2866509	0,5534360	0,1029201	0,0537100	0,6067530	0,3923730	0,5304950	0,8207138	0,6850138	0,9636274	0,0719511	0,5922667	0,7720580	0,7051954	0,5140081	0,9727716	0,3604356	0,0402273	0,8992235	0,6232839	0,9989363	0,7499666	0,7196243	0,5805374	0,4682488	0,9998716
120	0,7111591	1,0000000	0,4068064	0,0409783	0,9435961	0,3927955	0,3201301	0,7164732	0,8437616	0,5108671	0,6901517	0,0885820	0,5504518	0,6109922	1,0000000	0,8536600	1,0000000	0,1416427	0,4372011	0,8413720	0,8679533	0,4893539	0,3230807	0,9222465	0,1842744	0,3475228	0,9390670	0,9672389	0,6000468	0,9741852	0,0362051	0,9020547	0,8788251	0,0908138	0,7044492	0,7132873	0,8599903	0,4064723	0,2866509	0,5384061	0,1222303	0,0537166	0,6870941	0,3923729	0,5869115	0,8632447	0,6927783	0,9752911	0,0531982	0,5922660	0,7932160	0,7173274	0,5286101	0,9741226	0,3592438	0,0447831	0,9250089	0,6333087	0,9991918	0,7622823	0,7196239	0,5942296	0,4627809	0,9999205
140	0,6815636	1,0000000	0,4068062	0,0409783	0,9550987	0,3866735	0,3201301	0,7157578	0,8437616	0,5632324	0,7211511	0,0885821	0,6049667	0,5930998	1,0000000	0,8564636	1,0000000	0,1416425	0,4372011	0,8413720	0,8787699	0,5037079	0,2955266	0,9254930	0,1556994	0,3605332	0,9539840	0,9685968	0,5799419	0,9741852	0,0362051	0,9020547	0,8788251	0,0908138	0,7096045	0,7132875	0,8789575	0,4591161	0,2866508	0,5367914	0,1409562	0,0537218	0,7569304	0,3923729	0,6449191	0,8943847	0,7013940	0,9834699	0,0388957	0,5922656	0,8085292	0,7306099	0,5429133	0,9751116	0,3583928	0,0544815	0,9447170	0,6409208	0,9993887	0,7743002	0,7196237	0,6030507	0,4601504	0,9999514
160	0,6587468	1,0000000	0,4068061	0,0409783	0,9632528	0,3837317	0,3201301	0,7151448	0,8437616	0,6076574	0,7437317	0,0885821	0,6513241	0,5818510	1,0000000	0,8585017	1,0000000	0,1416424	0,4372011	0,8413720	0,8869736	0,5167540	0,2702460	0,9268603	0,1351884	0,3735939	0,9634088	0,9698743	0,5613301	0,9741852	0,0362051	0,9020547	0,8788251	0,0908138	0,7131441	0,7132875	0,8922908	0,5146143	0,2866508	0,5460986	0,1579670	0,0537257	0,8142850	0,3923729	0,6985793	0,9170221	0,7102907	0,9890628	0,0282432	0,5922655	0,8193159	0,7439739	0,5559882	0,9758338	0,3577963	0,0679862	0,9591641	0,6465671	0,9995372	0,7852296	0,7196235	0,6084713	0,4593097	0,9999705
