"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	ydeO	evgA	rcsA	csgD	rcsB	rstA	ompR	bolA	phoP	treR	mdtE	mdtF	csgE	csgG	csgF	gadA	yhiD	hdeB	hdeA	rutB	rutG	rutC	rutE	rutF	rutA	rutD	cadB	gadB	fadL	cadA	gadC	sra	rprA	nemA	wcaB	wza	lldP	osmB	betT	betB	wcaA	wzc	gadY	wzb	betA	lldD	bdm	treC	slp	hdeD	treB	dctR	rpoS	yjbF

0	0,6810217	0,7726365	0,3109661	0,0300345	0,5846045	0,4402689	0,2470472	0,4899486	0,6399284	0,0863456	0,2883476	0,0548698	0,0999261	0,6814113	0,7573249	0,4983922	0,7384472	0,1114325	0,3459852	0,5233149	0,7431805	0,3892944	0,2891824	0,5903792	0,2918956	0,2226385	0,4484805	0,6703992	0,4287413	0,7045123	0,0103213	0,6484525	0,5634068	0,0651487	0,3683159	0,4576562	0,3704715	0,4630536	0,2363628	0,6413687	0,0672482	0,0226435	0,2482164	0,2490301	0,3727292	0,3004121	0,6069305	0,6863969	0,0992513	0,3391466	0,4504723	0,6092910	0,3958935	0,6183151	0,4086066	0,0804114	0,5188641	0,3595177	0,7546104	0,5995438	0,6061339	0,4468483	0,4128780	0,6085689
20	0,5784908	0,6708569	0,3112251	0,0477853	0,5776309	0,3706071	0,2264593	0,4525614	0,6892210	0,1343424	0,2677934	0,0747877	0,1942467	0,7077908	0,6502851	0,5779085	0,6109645	0,1053179	0,3743275	0,5539642	0,6948933	0,3359556	0,2868558	0,5953770	0,1782988	0,2215890	0,4002427	0,7007435	0,4549412	0,6783447	0,0202108	0,6919601	0,6150818	0,0450690	0,4195616	0,6173152	0,4629323	0,3345045	0,3611377	0,4945747	0,0218544	0,0269324	0,2412181	0,2995024	0,2933217	0,3152259	0,5225738	0,7401623	0,1178008	0,4248047	0,4964620	0,5451358	0,3341728	0,6963197	0,2554276	0,0417160	0,6668542	0,3944709	0,7861978	0,4553615	0,5474603	0,3622705	0,3445685	0,7022894
40	0,6665990	0,6493251	0,3028483	0,0172216	0,6136580	0,3857388	0,1872396	0,4887159	0,6088795	0,1415286	0,3175553	0,0477072	0,2542019	0,6748036	0,9553023	0,7397351	0,7252202	0,1406247	0,3287964	0,6875008	0,6602441	0,3732700	0,2229465	0,5626226	0,2412468	0,2581355	0,5320933	0,7282102	0,5880530	0,6452981	0,0203878	0,5675945	0,5139907	0,0488284	0,5599087	0,4618038	0,4937270	0,3032497	0,3142599	0,4171819	0,0375213	0,0459717	0,2649276	0,2247747	0,2859585	0,4049635	0,5928299	0,5275568	0,0769279	0,3231722	0,5095597	0,5292123	0,4241414	0,7281485	0,3022216	0,0260189	0,7227368	0,3215510	0,6952893	0,4889463	0,5528481	0,5105864	0,3464189	0,7088877
60	0,5011344	0,7818109	0,2728746	0,0547672	0,5729748	0,3485240	0,3178128	0,4549625	0,6519953	0,2261720	0,3601312	0,0550687	0,2273467	0,7265901	0,7760472	0,6013234	0,6644314	0,1290517	0,3019601	0,6466378	0,5893645	0,3335871	0,2845861	0,6235317	0,2289920	0,2510032	0,4820048	0,6994764	0,5142285	0,6776558	0,0145201	0,5917984	0,7069097	0,0791331	0,5431569	0,6001478	0,5656199	0,2887952	0,3502282	0,4305306	0,0670793	0,0378322	0,2167481	0,2751976	0,3214340	0,4820939	0,4515389	0,6508830	0,1103841	0,3667139	0,5191623	0,6249909	0,3776757	0,7755012	0,3113770	0,0255785	0,6099174	0,4889490	0,6561187	0,4734169	0,6375637	0,4850461	0,3387662	0,5157737
80	0,5527712	0,6336800	0,2463617	0,0414195	0,5867484	0,3418055	0,2944690	0,5571675	0,5094136	0,2691960	0,5106548	0,0793930	0,3443799	0,4846196	0,7465638	0,6717006	0,8395884	0,1274116	0,3291207	0,5070454	0,6555215	0,3441905	0,3160090	0,6982106	0,2277687	0,2521721	0,6154526	0,6270590	0,4972727	0,6908121	0,0178583	0,6568874	0,7432821	0,0911497	0,4052273	0,5430288	0,5095570	0,2410757	0,2698559	0,4224489	0,0886362	0,0373347	0,3256194	0,2175010	0,4343223	0,8345201	0,5349806	0,6823709	0,0708608	0,2381415	0,5890724	0,5716562	0,5065955	0,6421260	0,2547656	0,0375712	0,6404866	0,4571134	0,7498737	0,4686332	0,4636055	0,5265809	0,3584239	0,7321598
100	0,5119858	0,6987808	0,4302075	0,0220163	0,5927308	0,4281510	0,2584161	0,5808327	0,5498193	0,2718409	0,4960534	0,0708062	0,3861220	0,3840046	0,7212979	0,6810216	0,7384700	0,1832134	0,3588079	0,6300164	0,7058032	0,2788229	0,2851299	0,7149029	0,1572394	0,2352477	0,6245716	0,6148464	0,4432295	0,6656928	0,0220965	0,7005828	0,6022872	0,0800979	0,5816558	0,5149767	0,5917065	0,2027129	0,3171250	0,3955635	0,0757654	0,0313622	0,4645637	0,3362142	0,3636519	0,6654398	0,4898346	0,6760057	0,0884094	0,2960883	0,4797863	0,6975208	0,3811445	0,6040586	0,3064512	0,0317359	0,6371250	0,5305710	0,6871885	0,4515576	0,4935153	0,4891386	0,3300097	0,7178548
120	0,4370283	0,7714832	0,2631993	0,0255502	0,6896078	0,3969003	0,3302102	0,5774248	0,5631527	0,3889451	0,4701493	0,0336249	0,3848684	0,3969015	0,6937105	0,7035581	0,7469139	0,1284631	0,3395033	0,5964086	0,6455232	0,3466143	0,2416914	0,7076481	0,1300212	0,2036539	0,5594642	0,7090362	0,3916660	0,7038360	0,0073359	0,6784044	0,6472655	0,0615726	0,5501552	0,4754836	0,7325651	0,2101084	0,2714091	0,3476600	0,1140428	0,0328074	0,5282518	0,3086471	0,4505172	0,7069799	0,5809359	0,5686931	0,0442112	0,3849375	0,5816581	0,5402336	0,3173780	0,6853994	0,2516987	0,0434339	0,5480442	0,4667746	0,7439515	0,4432768	0,5451011	0,4525260	0,3339978	0,6577364
140	0,4790784	0,8688660	0,2634241	0,0232934	0,6488536	0,2573724	0,1678484	0,4780813	0,5489591	0,4052159	0,4907652	0,0442682	0,4530677	0,4104632	0,6532369	0,7008003	0,7465338	0,0953283	0,3349705	0,4672857	0,7445965	0,3470815	0,2153281	0,6311858	0,1161767	0,2113085	0,7555663	0,6985712	0,4996239	0,6376620	0,0113857	0,6619880	0,6761625	0,0737909	0,4658600	0,3956474	0,6174477	0,2934626	0,2323079	0,2763437	0,1069386	0,0305808	0,6150983	0,2840092	0,5108483	0,8348610	0,5666493	0,6661021	0,0266945	0,4451618	0,5240112	0,4814151	0,3332393	0,7280867	0,2169539	0,0428528	0,5985872	0,5228803	0,7081103	0,5851087	0,6213348	0,3930029	0,4052560	0,6204659
160	0,4755427	0,6620709	0,3110044	0,0327906	0,7249051	0,2061610	0,3150835	0,6497976	0,6116142	0,4073115	0,5249672	0,0404612	0,4738099	0,4681923	0,6223493	0,6615309	0,6856425	0,1081281	0,3493481	0,4750154	0,7064891	0,3827578	0,1968345	0,7233974	0,0534905	0,1902698	0,6436333	0,8072858	0,3989514	0,7205433	0,0200772	0,7326985	0,7247955	0,0639944	0,5350837	0,5605033	0,6140595	0,3588013	0,2379329	0,3762093	0,1150908	0,0587407	0,5621838	0,2424756	0,4147670	0,6763025	0,5910333	0,8379905	0,0200266	0,4906266	0,4542381	0,5958508	0,3366834	0,6270903	0,2600023	0,0478641	0,6145251	0,4853445	0,8293776	0,5666787	0,5881437	0,4336771	0,3484483	0,7626399
